Stage,Time,Condition
Trial 1,290,Actual
Trial 1,281,Actual
Trial 1,159,Actual
Trial 1,114,Actual
Trial 1,156,Actual
Trial 1,278,Actual
Trial 1,351,Actual
Trial 1,836,Actual
Trial 2,151,Actual
Trial 2,150,Actual
Trial 2,427,Actual
Trial 2,880,Actual
Trial 2,201,Actual
Trial 2,300,Actual
Trial 2,243,Actual
Trial 2,96,Actual
Total,441,Actual
Total,431,Actual
Total,586,Actual
Total,994,Actual
Total,357,Actual
Total,578,Actual
Total,594,Actual
Total,932,Actual
Trial 1,160,Virtual
Trial 1,79,Virtual
Trial 1,157,Virtual
Trial 1,72,Virtual
Trial 1,98,Virtual
Trial 1,83,Virtual
Trial 1,104,Virtual
Trial 1,110,Virtual
Trial 2,88,Virtual
Trial 2,182,Virtual
Trial 2,90,Virtual
Trial 2,94,Virtual
Trial 2,87,Virtual
Trial 2,51,Virtual
Trial 2,79,Virtual
Trial 2,109,Virtual
Total,248,Virtual
Total,261,Virtual
Total,247,Virtual
Total,166,Virtual
Total,185,Virtual
Total,134,Virtual
Total,183,Virtual
Total,219,Virtual
