EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
260.595,242.506,229.108,161.674,237.582,160.876,199.706,142.262
255.364,237.686,225.903,159.349,234.823,159.143,197.144,140.283
251.559,239.467,222.977,156.172,232.048,157.129,195.125,138.429
249.233,240.593,221.068,155.387,230.627,156.086,194.244,136.681
250.165,239.417,222.326,158.92,232.749,158.217,196.427,137.542
253.335,240.147,224.43,162.32,235.464,161.511,199.46,140.348
253.438,241.704,222.012,160.422,233.22,161.564,198.093,140.483
248.357,240.294,215.242,154.258,226.611,158.083,192.049,136.287
243.584,237.386,210.991,149.657,222.589,155.277,187.884,132.666
243.933,235.394,212.87,149.849,224.387,156.031,190.041,134.141
246.737,233.692,217.25,153.52,228.243,159.137,195.967,139.233
248.218,232.551,220.921,158.832,231.398,162.468,202.074,144.61
248.473,233.304,223.494,163.314,234.153,164.887,206.714,148.284
246.838,234.511,223.178,163.49,234.852,165.205,207.607,148.341
241.581,233.499,218.803,159.518,231.634,163.423,203.489,144.443
234.75,230.341,212.728,155.924,226.247,161.631,196.561,139.08
230.004,226.33,207.405,155.241,221.139,160.475,189.623,134.054
227.759,221.864,203.495,155.388,217.145,158.103,183.579,128.982
224.961,216.873,200.42,153.474,213.941,153.231,177.989,123.518
218.148,210.137,195.909,148.18,209.549,146.318,171.656,117.334
208.906,202.249,189.574,141.261,203.442,140.13,165.092,110.807
202.953,197.644,184.7,136.752,198.667,137.92,161.236,106.369
201.765,197.989,182.54,135.415,196.603,138.591,160.551,104.97
202.193,199.148,180.742,134.328,194.972,138.511,159.911,104.462
202.239,197.013,177.845,132.12,192.227,137.028,157.581,103.31
200.975,191.708,174.238,129.565,188.882,135.133,154.767,101.856
197.356,185.645,170.129,126.779,185.565,132.411,152.744,100.455
192.85,180.498,165.758,123.798,182.631,129.24,151.459,98.961
191.199,178.319,162.506,122.322,180.8,127.967,150.326,97.683
193.005,181.046,161.085,123.176,180.358,128.861,148.389,97.013
194.535,185.929,160.057,124.066,180.486,129.188,145.392,96.211
194.002,187.695,158.511,123.065,180.533,127.814,143.324,94.681
193.453,185.049,157.243,121.869,180.483,126.562,143.568,93.452
192.722,179.962,155.878,122.17,179.687,126.401,143.825,92.948
188.929,174.821,153.107,121.807,177.402,125.761,141.619,91.704
183.515,172.015,150.372,119.519,175.175,124.224,138.762,89.938
180.724,171.27,149.627,117.968,174.595,123.859,137.816,89.717
179.524,169.44,148.894,117.725,173.345,124.471,136.991,90.146
176.429,165.802,146.507,116.393,169.552,123.632,134.354,88.811
172.283,162.884,144.747,114.268,165.847,121.76,131.915,86.348
169.775,161.132,144.851,113.813,164.08,120.774,130.985,84.781
169.775,158.7,145.023,115.502,162.495,120.818,130.116,84.674
171.563,156.785,144.292,117.807,160.103,121.735,129.135,85.459
172.948,158.778,143.383,119.652,158.149,123.55,129.469,86.487
171.877,163.138,142.183,120.651,156.479,124.879,130.172,86.928
168.928,163.726,139.182,119.814,152.928,123.834,128.343,85.653
165.824,158.377,133.784,116.482,147.109,120.656,123.875,82.772
162.396,150.902,127.476,111.906,141.01,117.654,119.312,79.626
158.35,145.609,122.553,108.586,136.443,116.44,116.015,76.961
154.835,143.731,119.51,107.273,133.391,115.896,113.346,74.546
150.881,142.886,115.722,105.391,129.562,113.28,109.611,71.578
144.858,140.332,109.667,100.817,123.759,108.326,104.015,67.74
139.512,136.694,104.367,95.584,118.844,104.403,98.397,64.058
138.495,134.391,102.933,93.079,117.784,104.34,95.76,62.208
141.038,135.103,104.347,93.72,119.53,107.557,97.207,63.143
143.508,138.537,105.541,95.591,120.878,111.166,100.42,65.593
143.179,140.589,104.64,96.494,120.006,112.375,101.651,67.029
140.709,137.201,102.49,95.116,118.098,111.034,100.179,67.16
141.886,134.087,104.088,95.041,120.316,112.026,101.728,70.583
154.008,143.456,115.878,104.438,132.79,122.667,114.321,83.65
173.991,163.961,135.136,122.734,152.317,141.163,134.851,103.21
187.329,179.011,149.218,136.49,166.358,155.102,148.931,116.353
187.43,181.409,152.846,139.233,170.198,159.32,151.717,119.067
182.422,178.708,152.056,138.229,169.87,159.707,151.476,119.361
178.698,174.428,149.562,136.785,167.752,158.09,151.166,119.738
174.957,166.88,144.489,131.886,163.015,152.702,147.829,116.311
170.899,160.401,140.34,125.862,159.138,147.32,143.423,110.647
167.94,159.281,138.82,122.144,157.802,144.887,140.244,106.564
165.038,158.22,135.72,117.678,155.29,141.667,135.851,102.895
160.345,150.88,128.98,109.73,149.543,135.667,129.242,97.814
154.034,140.926,121.785,102.075,142.659,131.059,123.136,93.119
148.228,136.007,117.528,100.138,137.596,130.84,119.737,91.123
144.981,136.147,116.184,104.109,135.572,132.586,118.912,91.443
143.119,135.217,113.564,107.501,133.41,131.818,117.698,90.801
138.818,130.427,105.529,103.546,126.051,125.976,112.055,85.56
131.807,124.319,94.8,94.416,114.759,117.035,102.629,76.516
126.925,119.596,87.92,88.513,106.293,110.214,94.794,68.954
127.32,117.725,86.562,89.454,103.749,109.015,91.783,66.384
130.069,119.291,87.395,94.14,104.331,112.042,91.555,66.788
129.479,120.238,86.123,96.685,103.164,112.81,89.253,65.225
124.558,115.713,81.046,93.816,98.425,107.011,83.343,60.436
121.117,109.66,76.044,89.855,94.4,100.738,78.92,57.097
122.163,108.541,74.68,89.33,94.049,100.548,79.032,57.258
122.377,109.986,73.103,88.502,92.321,101.306,77.799,55.461
117.418,108.297,66.958,83.598,85.026,96.796,70.682,48.936
110.35,103.203,59.754,78.598,76.88,91.45,63.438,44.017
105.088,97.65,56.079,77.016,72.937,90.428,61.976,44.587
99.968,92.295,52.755,74.551,69.549,88.828,61.841,43.885
91.725,85.029,45.184,66.923,61.745,81.167,56.615,36.586
81.407,75.223,35.894,57.769,52.195,71.798,48.099,27.87
71.883,65.504,28.939,51.795,45.062,66.199,41.041,22.927
64.167,58.743,23.456,48.015,39.356,62.519,36.47,19.88
58.935,55.506,18.115,44.584,33.735,58.047,33.732,16.778
56.386,53.581,14.181,41.706,29.545,53.644,32.208,14.175
54.696,50.216,11.87,38.653,26.997,50.017,30.633,11.196
52.468,45.8,9.741,35.048,24.655,46.959,28.259,7.02
50.035,42.515,7.266,32.288,22.172,44.888,25.49,3.692
46.767,39.935,4.555,30.212,19.883,43.742,22.636,3.164
41.503,36.411,2.07,28.206,18.058,43.201,20.418,4.861
36.097,33.609,1.427,28.551,17.837,44.287,20.745,7.554
33.192,33.331,2.532,31.906,19.012,46.761,23.026,9.341
31.03,31.928,2.123,33.55,18.421,46.647,22.685,7.659
26.967,26.526,-0.376,31.075,15.176,42.247,18.617,4.093
23.458,21.781,-1.3,29.895,12.774,38.976,15.665,3.304
23.795,22.023,0.295,33.834,13.072,41.05,16.277,5.216
25.803,23.91,1.883,38.123,14.593,44.44,19.383,6.573
24.854,22.417,2.243,37.551,15.842,44.196,24.414,7.053
20.054,17.856,-0.241,32.871,13.9,40.766,25.106,6.379
13.637,12.923,-8.763,25.993,4.805,35.263,11.624,1.3
7.115,7.718,-21.015,18.073,-8.161,27.981,-9.082,-8.005
2.1,2.508,-28.031,13.422,-14.509,23.313,-15.814,-13.793
0.343,-0.503,-27.304,14.352,-12.026,24.633,-7.504,-12.198
-0.558,-2.793,-28.048,14.527,-11.644,25.789,-7.117,-12.292
-5.108,-8.554,-35.712,8.897,-19.312,20.408,-21.484,-20.417
-12.659,-16.407,-43.752,2.375,-27.408,13.224,-32.873,-28.094
-18.45,-21.199,-47.094,0.079,-30.508,10.769,-35.483,-29.051
-20.291,-22.083,-48.874,0.015,-32.376,11.006,-39.899,-29.676
-20.079,-22.166,-51.219,-1.078,-34.574,9.917,-45.332,-33.856
-21.068,-23.907,-53.109,-4.269,-35.01,7.744,-44.054,-36.587
-24.343,-27.108,-55.532,-9.379,-35.552,5.563,-41.344,-36.054
-27.238,-29.624,-59.028,-13.724,-38.358,3.655,-45.989,-36.9
-27.737,-30.808,-61.061,-14.224,-40.701,2.734,-54.259,-40.894
-27.524,-31.936,-59.825,-11.055,-39.607,3.008,-55.916,-43.533
-27.758,-32.927,-56.243,-6.039,-35.532,3.5,-48.605,-40.99
-27.652,-33.176,-52.926,-1.41,-31.177,3.029,-40.944,-36.448
-27.838,-33.458,-53.03,-0.22,-30.161,1.01,-41.208,-36.009
-29.73,-34.135,-57.126,-3.383,-33.592,-2.022,-45.535,-39.568
-32.549,-34.585,-60.829,-6.973,-36.935,-4.044,-43.717,-40.693
-34.142,-34.938,-60.16,-6.462,-35.979,-3.185,-36.935,-35.78
-35.016,-37.11,-59.446,-4.74,-35.417,-1.648,-38.98,-30.811
-39.122,-43.265,-66.587,-9.839,-43.133,-5.536,-55.97,-35.924
-46.597,-50.941,-78.741,-20.723,-55.614,-14.902,-74.553,-49.577
-50.791,-53.71,-84.273,-26.383,-60.95,-20.38,-77.778,-57.983
-49.472,-51.11,-81.483,-24.265,-57.895,-18.416,-67.418,-56.807
-49.54,-50.272,-80.051,-23.513,-56.864,-17.122,-59.604,-55.509
-54.993,-54.394,-84.097,-27.308,-62.17,-20.625,-62.854,-57.731
-61.68,-59.035,-88.58,-29.424,-68.029,-23.402,-71.356,-57.367
-66.244,-61.611,-90.467,-28.179,-70.785,-22.932,-77.466,-54.455
-70.964,-65.599,-93.184,-29.763,-74.283,-24.406,-81.983,-58.107
-77.812,-72.511,-99.06,-36.664,-81.376,-30.183,-87.32,-69.304
-83.316,-77.398,-104.19,-42.99,-87.651,-35.39,-90.047,-76.37
-84.053,-77.423,-105.165,-44.945,-89.297,-37.483,-89.198,-74.347
-82.464,-76.705,-104.062,-45.376,-89.325,-38.987,-89.454,-71.359
-81.502,-77.645,-102.866,-44.651,-90.296,-39.519,-90.686,-71.789
-80.367,-77.661,-101.213,-40.026,-91.008,-36.832,-88.579,-71.605
-78.313,-75.665,-99.853,-33.516,-91.534,-33.06,-84.494,-69.488
-75.687,-72.602,-99.439,-29.27,-92.601,-30.823,-82.776,-67.358
-72.986,-69.644,-99.028,-27.762,-93.308,-29.337,-83.66,-64.917
-71.95,-69.101,-98.118,-27.365,-93.141,-28.132,-84.477,-62.142
-72.766,-70.739,-96.415,-25.977,-91.914,-26.953,-82.33,-60.164
-72.765,-70.822,-93.187,-21.984,-89.052,-23.82,-75.652,-57.67
-72.841,-69.923,-90.132,-18.04,-86.565,-19.668,-67.354,-53.5
-77.143,-72.764,-91.209,-18.935,-88.687,-19.22,-64.198,-51.101
-83.484,-77.759,-96.111,-23.074,-95.084,-22.692,-68.704,-53.018
-86.142,-79.556,-100.396,-25.682,-101.047,-25.43,-76.282,-56.532
-87.799,-80.867,-104.937,-29.778,-107.227,-28.261,-85.56,-61.882
-94.976,-87.457,-114.627,-40.655,-118.537,-36.103,-100.769,-73.658
-105.172,-96.316,-126.907,-53.905,-132.133,-46.253,-118.677,-89.369
-110.733,-100.415,-133.665,-60.029,-139.292,-50.774,-128.392,-99.617
-110.293,-98.846,-132.772,-56.545,-138.251,-48.658,-126.604,-100.042
-108.042,-95.633,-128.772,-50.136,-134.615,-45.704,-120.348,-94.653
-107.43,-94.47,-126.635,-48.219,-133.384,-45.412,-117.432,-90.526
-109.588,-96.889,-128.938,-51.868,-136.484,-47.295,-120.623,-91.565
-112.215,-99.83,-133.032,-56.277,-141.085,-49.156,-125.296,-94.269
-109.568,-96.613,-130.829,-54.646,-138.932,-45.868,-121.532,-90.567
-98.896,-86.03,-117.458,-44.038,-124.917,-33.824,-104.439,-75.831
-85.513,-75.448,-98.989,-29.105,-105.582,-18.506,-81.789,-54.217
-76.412,-70.001,-85.627,-16.663,-91.763,-7.974,-65.853,-36.187
-72.521,-67.293,-79.943,-9.64,-85.923,-2.796,-59.527,-28.702
-71.447,-65.55,-78.207,-8.733,-83.932,-0.528,-56.94,-28.857
-71.756,-66.194,-77.994,-12.152,-83.365,-0.616,-54.348,-30.064
-72.918,-68.704,-79.22,-15.188,-84.564,-1.588,-54.244,-31.656
-75.169,-71.141,-81.979,-16.763,-87.872,-3.157,-60.027,-36.632
-78.768,-73.537,-85.946,-20.33,-92.702,-7.988,-70.454,-44.165
-83.208,-76.687,-90.304,-26.398,-97.859,-15.491,-80.428,-51.393
-87.794,-80.054,-94.159,-31.896,-102.191,-22.161,-86.248,-57.659
