EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-24.049,-39.886,-8.148,5.318,-9.115,-22.19,-7.652,-13.659
-22.619,-36.783,-7.334,4.404,-8.15,-22.577,-7.464,-11.808
-18.152,-31.688,-3.869,5.898,-4.592,-21.94,-2.29,-7.753
-14.544,-28.226,1.525,10.257,0.817,-18.98,4.953,-2.61
-15.272,-31.667,5.58,16.007,5.255,-13.415,10.93,2.712
-19.401,-41.389,5.293,20.577,5.831,-7.655,13.626,6.143
-22.492,-47.641,1.259,21.606,2.926,-5.206,12.023,5.403
-21.975,-44.21,-3.239,19.2,-0.844,-6.144,7.152,2.318
-20.204,-38.998,-6.615,15.518,-4.557,-8.085,2.062,0.942
-19.879,-40.273,-9.317,12.608,-7.883,-9.936,-0.597,1.257
-19.429,-42.511,-10.784,11.664,-8.853,-10.921,-0.706,0.848
-17.049,-39.356,-10.641,12.395,-7.475,-10.359,-0.82,-0.237
-14.194,-34.219,-10.469,13.207,-6.71,-9.514,-3.671,-1.305
-11.14,-29.469,-10.089,13.971,-6.55,-9.225,-7.555,-2.415
-6.174,-24.053,-7.232,16.246,-4.196,-8.088,-7.9,-2.842
-1.008,-21.051,-3.109,19.927,-0.763,-5.672,-5.388,-2.647
1.189,-21.346,-0.958,23.483,0.52,-3.047,-4.135,-2.665
1.409,-19.253,-0.344,26.201,0.321,-0.604,-3.841,-2.414
0.869,-16.041,-0.145,26.737,-0.027,-0.292,-3.566,-2.428
-2.252,-20.922,-1.981,23.327,-1.954,-4.814,-5.464,-4.47
-7.266,-31.478,-5.756,18.266,-5.153,-10.89,-8.94,-7.089
-10.984,-35.402,-8.773,16.091,-6.934,-12.806,-11.055,-7.108
-13.05,-32.466,-10.048,16.293,-6.943,-12.027,-11.783,-5.289
-14.12,-30.2,-10.253,15.348,-6.785,-12.863,-12.377,-5.656
-13.352,-26.929,-9.639,13.726,-6.732,-14.279,-12.841,-8.848
-10.145,-21.426,-7.745,14.605,-5.315,-13.221,-12.153,-10.197
-4.854,-21.579,-4.523,18.042,-1.748,-10.41,-9.429,-7.518
-0.005,-28.818,-2.786,19.632,1.08,-9.509,-6.58,-5.46
0.894,-32.578,-5.906,16.417,-0.934,-11.772,-7.03,-7.757
-1.972,-27.497,-12.196,11.322,-7.029,-14.776,-10.725,-11.982
-5.506,-21.564,-16.933,8.068,-12.559,-17.488,-14.571,-14.955
-7.789,-21.928,-18.179,7.092,-14.663,-20.24,-16.479,-16.267
-8.031,-24.402,-16.491,8.713,-13.156,-20.087,-15.753,-15.468
-6.006,-22.861,-13.458,12.764,-9.836,-15.23,-13.364,-12.553
-2.995,-18.746,-11.916,15.949,-8.105,-10.481,-12.446,-10.27
-0.6,-16.081,-12.396,16.587,-8.638,-9.639,-13.513,-10.275
-0.023,-15.705,-12.771,16.617,-9.178,-10.614,-13.379,-11.035
-1.894,-16.938,-13.176,16.565,-9.792,-11.722,-11.712,-11.739
-3.548,-18.474,-14.123,16.611,-10.783,-12.56,-11.164,-12.332
-1.344,-18.401,-13.04,18.699,-9.425,-11.612,-11.516,-11.764
2.643,-16.455,-9.144,22.226,-5.371,-9.31,-10.338,-10.157
3.066,-14.853,-6.507,23.703,-3.032,-8.44,-8.005,-9.291
-0.483,-16.706,-8.181,21.913,-4.77,-10.319,-7.637,-10.204
-3.957,-22.319,-11.42,19.638,-7.168,-12.815,-9.899,-11.843
-5.595,-27.579,-12.388,19.306,-6.932,-12.689,-11.556,-12.307
-6.43,-28.712,-11.859,19.283,-5.691,-10.461,-10.889,-11.763
-6.239,-25.964,-12.139,17.152,-5.875,-10.218,-10.283,-12.266
-3.925,-20.71,-12.438,14.273,-6.561,-12.872,-11.035,-13.496
-0.043,-12.737,-11.147,14.132,-6.083,-14.092,-11.185,-12.752
3.245,-3.897,-9.048,17.443,-5.01,-11.363,-10.282,-10.197
4.73,-0.004,-6.929,21.754,-3.959,-7.061,-9.015,-7.845
5.937,-3.062,-4.126,24.722,-1.997,-3.927,-6.615,-5.472
7.321,-8.37,-2.081,24.843,-0.192,-3.502,-5.03,-3.795
5.972,-11.886,-3.378,22.554,-1.35,-5.355,-7.405,-4.842
