EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
18.074,20.602,11.43,12.303,11.782,13.802,9.743,13.809
13.237,16.221,8.807,10.427,8.961,11.799,7.652,12.266
3.817,6.427,-3.049,-1.548,-2.782,0.173,-3.269,0.921
-5.36,-4.766,-17.837,-17.418,-16.607,-14.94,-16.86,-13.826
-11.845,-14.317,-27.103,-28.049,-24.512,-25.312,-25.172,-23.512
-15.207,-20.428,-29.437,-31.438,-26.339,-29.366,-27.454,-26.747
-15.075,-21.061,-28.407,-30.66,-25.749,-29.221,-27.069,-26.244
-12.763,-16.569,-25.484,-26.657,-23.152,-25.006,-24.344,-22.217
-11.07,-11.74,-21.706,-20.983,-19.1,-18.598,-19.629,-16.1
-10.775,-10.821,-20.652,-18.847,-17.656,-15.679,-17.168,-13.454
-10.572,-12.953,-23.631,-22.256,-20.567,-18.511,-19.52,-16.623
-10.327,-14.676,-26.573,-25.801,-23.77,-22.098,-22.928,-20.393
-9.66,-12.956,-24.358,-22.889,-22.147,-19.995,-21.456,-18.118
-6.294,-7.161,-17.02,-14.246,-15.482,-12.226,-14.264,-9.957
-1.395,-1.269,-11.002,-7.689,-9.521,-5.62,-7.131,-2.751
-0.016,0.12,-11.603,-7.9,-9.408,-4.975,-5.089,-1.137
-2.813,-2.289,-16.092,-11.106,-13.22,-7.767,-6.32,-2.709
-4.776,-4.205,-17.945,-11.582,-15.055,-8.804,-6.192,-2.742
-2.681,-2.94,-14.683,-7.909,-12.168,-5.822,-3.681,0.343
1.318,0.558,-9.632,-2.805,-7.357,-1.004,-1.329,4.151
3.058,3.08,-7.985,0.193,-5.753,1.525,-1.489,5.393
1.839,2.906,-10.282,0.847,-8.247,1.297,-3.316,4.481
1.029,1.8,-11.411,1.909,-9.897,1.803,-3.47,5.072
1.889,1.551,-9.293,3.521,-8.36,3.513,-1.507,7.523
2.154,1.801,-7.972,3.213,-7.32,3.398,-0.631,8.345
2.024,2.886,-9.093,2.201,-8.153,2.324,-0.821,7.833
3.561,5.221,-10.078,3.58,-8.298,3.842,1.08,9.757
5.605,6.765,-10.299,5.834,-7.821,6.766,4.232,13.333
6.499,6.834,-10.128,6.537,-7.801,7.832,5.547,14.663
7.643,8.031,-8.167,7.276,-6.572,7.775,5.551,13.664
10.303,11.109,-4.499,9.365,-3.46,8.709,6.421,12.861
13.324,13.959,-1.249,11.484,-0.255,10.474,8.376,13.056
15.258,15.599,0.92,12.708,2.171,11.631,10.157,12.995
15.747,16.518,2.52,12.866,4.084,10.981,10.372,11.189
14.708,16.405,2.861,11.102,4.757,8.005,8.313,7.336
13.108,14.785,1.526,7.14,3.517,3.442,4.865,2.611
13.833,13.682,0.77,3.535,2.321,0.057,2.537,-1
17.48,15.671,2.245,3.043,3.121,-0.235,2.358,-3.01
19.872,18.829,3.225,3.85,3.723,0.139,1.69,-5.28
18.583,19.594,1.664,2.999,2.126,-1.082,-0.847,-7.939
16.519,18.458,0.752,2.1,1.306,-1.954,-2.073,-8.29
14.49,15.62,1.809,2.198,2.639,-2.421,-0.971,-6.998
8.651,8.347,0.294,-0.675,1.56,-6.331,-1.713,-8.612
-0.172,-0.744,-4.722,-6.969,-3.365,-12.73,-4.666,-12.753
-4.071,-3.115,-6.879,-9.448,-6.005,-14.464,-3.339,-12.746
1.184,4.011,-2.632,-3.571,-2.259,-8.112,4.858,-5.387
11.117,14.629,4.364,6.271,4.617,1.914,14.007,4.756
20.191,23.716,10.45,14.201,10.686,10.064,18.959,12.081
26.998,31.411,15.067,19.199,15.023,14.971,19.946,15.231
30.375,36.867,16.809,21.61,16.221,16.892,17.432,14.549
28.37,37.096,14.512,20.592,13.416,15.344,11.688,10.52
23.684,33.718,11.495,17.762,10.16,12.06,6.421,6.211
23.104,33.015,12.321,17.341,10.976,11.448,5.842,5.667
28.884,37.481,16.884,20.822,15.651,15.363,9.797,9.191
36.786,43.864,21.926,26.102,20.871,21.537,15.418,14.323
42.74,49.386,25.959,31.244,24.942,27.372,20.739,19.476
44.984,53.039,28.486,34.559,27.207,30.887,23.999,23.062
43.695,53.919,28.651,35.046,26.833,31.458,23.946,24.043
42.19,52.965,28.17,35.208,25.533,31.775,22.799,24.691
42.005,51.411,29.07,36.815,25.593,33.24,22.83,26.256
40.441,48.767,28.578,35.972,24.729,32.053,21.123,24.696
38.015,46.534,23.961,29.868,20.391,26.179,15.416,17.829
39.201,47.795,19.176,23.771,16.534,20.925,11.12,11.93
43.632,51.302,19.39,24.041,17.979,21.746,14.004,14.177
46.998,53.664,23.733,29.579,22.931,27.253,21.622,23.363
48.73,55.114,27.961,34.898,26.631,32.383,27.614,31.734
49.05,55.996,28.475,35.478,26.208,32.657,27.74,31.465
45.36,53.663,24.133,30.002,21.626,26.555,21.82,21.261
38.126,47.739,17.649,21.506,15.685,17.199,14.094,8.017
31.997,42.096,12.552,14.546,10.983,9.602,8.714,-0.747
29.911,39.506,10.464,11.728,8.554,6.739,6.392,-2.529
31.229,39.421,12.159,13.693,9.667,8.992,7.243,1.549
33.249,40.774,15.896,18.552,13.184,14.195,10.361,7.983
33.161,42.557,16.892,21.726,14.072,17.91,11.473,11.729
32.088,44.315,15.068,21.826,11.892,18.557,10.043,11.698
33.98,46.893,16.613,23.048,13.251,19.903,12.407,12.9
37.566,48.919,21.929,26.335,18.969,23.099,19.289,17.398
37.751,47.789,23.77,26.982,21.392,23.942,22.656,20.463
34.537,44.802,19.689,23.284,17.645,20.724,19,18.789
31.552,42.112,14.404,18.093,12.606,15.83,13.147,13.948
29.713,38.816,11.458,13.663,9.889,11.061,9.653,8.668
27.7,34.563,10.239,10.768,8.562,7.398,8.61,5.251
26.612,32.814,10.879,11.354,8.689,7.668,10.258,6.714
29.875,36.833,16.07,17.299,13.329,14.018,16.896,14.553
34.592,42.138,22.664,23.726,19.732,21.07,24.984,22.554
32.084,40.326,21.453,22.195,18.694,20.201,25.492,21.619
23.266,32.698,12.964,14.592,10.075,13.095,18.253,13.93
18.879,28.413,8.348,10.841,4.597,9.139,12.794,9.465
22.418,29.778,11.368,12.88,6.844,10.463,13.631,10.197
27.439,31.82,15.27,14.623,10.971,11.837,16.656,10.655
29.215,32.541,16.067,14.186,12.566,11.458,17.893,9.041
29.516,34.043,17.174,15.379,14.005,12.425,18.908,8.913
31.257,36.928,21.159,19.133,17.572,15.568,22.51,11.858
33.079,39.106,23.888,20.588,19.753,16.704,25.593,13.258
32.848,39.794,21.717,17.54,17.517,13.751,23.957,9.893
32.975,40.911,18.974,15.299,15.057,11.442,21.252,6.812
36.04,43.262,20.7,17.899,16.841,13.7,22.675,9.103
