EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-14.189,-9.675,-17.644,1.149,-16.631,2.958,-110.074,-6.244
-6.389,-12.727,-10.536,8.559,-9.801,9.687,-104.032,1.488
1.07,28.872,0.148,43.344,-0.635,52.35,-109.724,16.537
4.879,48.252,10.259,67.758,8.866,83.745,-110.474,30.4
-6.546,-9.799,2.163,25.802,2.612,31.245,-99.899,19.266
-22.358,-67.573,-16.599,-34.178,-14.306,-43.659,-93.015,-4.255
-22.767,-57.2,-23.399,-40.397,-21.337,-49.069,-97.073,-11.16
-14.885,-28.885,-22.12,-24.866,-20.882,-28.518,-102.982,-10.18
-12.241,-14.364,-25.711,-31.92,-24.798,-40.567,-107.515,-18.059
-11.422,15.077,-28.486,-31.192,-28.22,-42.7,-115.275,-22.157
-9.986,38.734,-24.519,-1.93,-25.093,-4.661,-124.52,-11.856
-12.041,12.411,-20.904,15.455,-21.32,19.954,-128.163,-1.92
-13.95,-27.026,-22.314,-2.835,-21.713,-2.72,-124.82,-4.847
-12.875,-32.177,-25.348,-25.601,-23.99,-31.246,-120.925,-12.16
-14.803,-29.728,-26.234,-26.44,-24.791,-28.675,-121.738,-12.17
-18.227,-34.214,-22.966,-13.311,-21.898,-8.938,-125.732,-5.804
-16.643,-24.365,-18.631,-4.268,-17.771,0.266,-128.265,-2.115
-12.763,-11.892,-18.283,-6.954,-16.946,-6.221,-124.899,-3.672
-10.016,-13.32,-18.752,-12.084,-17.024,-11.563,-115.203,-2.898
-7.059,-13.365,-15.912,-8.052,-14.882,-4.691,-106.94,1.729
-2.728,0.421,-13.517,0.538,-13.802,4.225,-106.401,2.073
2.894,20.153,-13.576,2.956,-14.681,3.786,-108.367,-2.358
4.751,32.141,-12.824,1.782,-14.004,1.317,-107.168,-3.533
-1.931,30.243,-11.169,5.618,-12.142,7.707,-104.933,-0.408
-7.673,22.423,-9.318,14.451,-10.276,19.31,-100.416,3.23
-0.233,18.045,-4.356,24.451,-5.541,30.307,-88.774,9.799
11.095,7.999,1.186,27.051,0.181,34.388,-75.901,18.363
9.086,-15.077,-0.29,8.503,-0.26,14.497,-70.795,16.876
-0.886,-27.16,-6.831,-21.489,-5.811,-23.573,-71.035,2.823
-1.722,-6.934,-9.021,-28.021,-8.21,-35.342,-73.041,-6.732
7.755,27.286,-3.705,-0.666,-4.114,-1.353,-76.597,0.381
16.296,41.771,4.928,28.434,3.465,36.484,-74.565,15.189
16.349,22.397,9.939,26.222,8.63,32.632,-61.724,21.648
11.087,-5.613,7.584,0.919,7.431,0.408,-48.914,16.479
9.726,-3.103,2.997,-11.651,3.637,-13.161,-49.138,10.099
12.182,19.701,2.521,-1.366,2.975,0.792,-57.415,10.127
10.967,20.959,5.477,9.74,5.391,12.914,-59.551,13.707
9.044,4.971,9.921,12.328,9.375,13.758,-52.175,16.866
13.608,6.591,14.801,17.507,13.758,18.777,-43.819,19.273
19.303,21.42,14.966,22.653,13.534,25.884,-42.296,18.479
19.216,22.557,8.446,13.975,7.002,17.256,-45.658,12.601
19.445,15.496,4.939,2.318,3.56,2.101,-45.971,9.485
25.568,17.981,11.74,9.419,10.069,6.49,-40.145,16.999
30.399,21.926,19.753,24.778,17.627,22.034,-33.868,26.552
27.14,15.755,18.199,24.276,15.881,21.021,-34.557,24.925
20.221,7.565,12.01,13.966,9.777,8.592,-41.264,16.176
16.43,7.512,10.846,13.32,8.761,7.354,-46.363,13.225
16.622,13.977,13.172,19.371,11.174,14.816,-45.736,17.109
19.283,21.605,14.426,19.962,12.443,16.399,-40.404,20.927
24.035,28.488,17.571,18.901,15.665,15.077,-33.387,23.442
29.064,32.318,24.134,24.43,22.431,20.658,-28.494,26.751
30.647,29.615,27.573,31.142,25.882,28.861,-27.533,28.419
28.806,24.369,23.661,29.405,21.45,28.582,-29.487,23.91
27.732,24.421,17.349,21.286,14.371,20.145,-33.456,15.655
27.718,27.36,14.417,15.705,11.069,13.562,-39.614,11.717
24.917,25.098,13.433,13.774,10.339,11.875,-48.835,12.673
19.974,18.597,10.424,10.321,7.932,9.905,-61.001,11.505
18.129,16.341,7.367,6.62,5.438,7.817,-70.455,8.435
21.424,21.834,10.212,9.517,8.513,11.507,-69.26,11.65
28.513,31.119,20.694,20.607,18.785,22.056,-54.862,23.454
37.252,39.485,32.965,33.256,30.575,33.352,-32.106,35.689
41.553,43.204,37.534,38.57,34.668,37.911,-13.929,38.252
37.023,40.733,31.778,34.886,28.694,34.666,-11.816,30.322
29.588,35.196,23.258,28.616,20.433,28.949,-21.973,20.687
27.009,30.648,18.728,24.012,16.469,23.603,-32.03,15.666
29.395,28.915,17.429,20.116,15.372,17.978,-35.521,13.54
32.864,30.1,15.894,16.189,13.517,13.268,-34.746,10.728
34.091,32.617,13.84,13.254,11.375,11.055,-37.309,7.466
31.187,33.308,13.843,11.866,11.883,10.149,-47.224,6.381
24.603,28.712,15.084,9.908,13.566,7.487,-58.679,6.714
18.036,19.53,13.157,4.6,11.449,1.388,-65.76,4.595
