EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
7.636,6.463,-5.695,-6.16,-3.367,-5.131,0.043,-4.82
6.197,1.543,-8.822,-6.806,-6.82,-4.337,-4.994,-5.618
0.945,-1.951,-12.075,-8.707,-10.587,-6.336,-8.95,-8.079
-1.771,0.325,-11.503,-8.523,-10.825,-7.836,-7.89,-9.944
-0.539,1.633,-9.092,-7.007,-9.238,-8.196,-3.946,-10.132
-4.155,-5.535,-11.563,-9.862,-12.043,-12.408,-5.751,-13.131
-11.198,-10.248,-15.617,-13.702,-16.113,-16.854,-13.941,-17.064
-7.271,1.626,-11.227,-9.259,-12.108,-12.173,-17.178,-13.363
7.856,20.114,-0.55,0.437,-1.936,-2.094,-10.126,-3.627
15.544,23.036,3.71,3.392,2.767,0.713,-1.905,0.467
6.135,8.197,-3.147,-3.878,-2.873,-6.871,-3.334,-6.525
-7.096,-5.065,-12.055,-12.699,-11.12,-15.495,-12.482,-16.616
-8.648,-5.174,-12.87,-13.959,-12.087,-15.968,-16.469,-18.371
-1.614,-0.368,-6.269,-8.319,-5.533,-9.342,-9.039,-11.036
2.415,1.246,-0.082,-2.652,1.071,-2.967,1.049,-3.21
1.116,1.34,0.711,-1.503,2.265,-1.773,3.649,-1.229
-1.343,-0.555,-2.88,-5.032,-1.116,-5.688,-0.393,-4.951
-5.237,-8.495,-8.25,-11.697,-6.044,-12.281,-6.277,-11.894
-15.094,-21.24,-16.038,-20.853,-13.274,-20.645,-15.474,-21.492
-27.748,-30.476,-24.814,-29.476,-22.201,-28.696,-27.046,-30.99
-31.065,-27.814,-26.452,-30.568,-24.671,-30.032,-29.028,-32.318
-23.47,-17.551,-19.324,-23.878,-17.96,-23.766,-16.175,-24.206
-17.555,-12.859,-14.792,-18.916,-12.986,-18.675,-3.671,-17.189
-19.39,-15.943,-20.283,-21.28,-18.04,-20.181,-8.545,-18.654
-24.155,-20.242,-29.73,-27.386,-27.731,-25,-26.092,-25.233
-27.861,-24.294,-34.298,-31.751,-32.573,-28.394,-35.575,-29.998
-29.726,-28.344,-32.876,-32.33,-30.73,-28.845,-30.392,-29.919
-30.578,-32.207,-31.308,-31.969,-28.554,-28.929,-24.959,-27.908
-32.215,-38.705,-33.717,-34.382,-30.947,-31.884,-26.415,-27.36
-33.187,-44.389,-35.649,-36.718,-33.361,-34.713,-24.53,-25.753
-31.876,-39.973,-31.848,-34.187,-29.902,-32.442,-14.659,-20.487
-33.051,-30.651,-27.997,-31.575,-25.967,-29.879,-9.12,-18.228
-38.227,-29.801,-30.399,-34.92,-28.228,-33.621,-16.375,-24.617
-37.733,-31.968,-31.467,-37.143,-29.445,-36.608,-24.531,-30.222
-24.671,-22.827,-22.694,-29.53,-20.971,-29.351,-20.491,-24.302
-6.655,-6.387,-11.076,-18.584,-9.573,-18.283,-10.977,-13.834
2.481,1.864,-8.138,-16.111,-6.679,-16.042,-8.688,-12.38
-1.636,-2.342,-12.438,-20.599,-10.73,-21.405,-11.49,-18.602
-9.064,-9.274,-14.692,-21.788,-12.481,-23.31,-10.559,-21.023
-9.364,-9.74,-13.419,-18.119,-10.832,-19.433,-7.878,-17.791
-5.948,-7.301,-14.977,-17.381,-12.345,-17.941,-11.173,-17.223
-5.986,-10.247,-19.992,-21.334,-17.502,-21.496,-17.893,-21.008
-4.068,-12.76,-19.143,-20.143,-17.109,-20.331,-16.089,-19.06
5.583,-3.809,-8.481,-8.682,-7.325,-8.693,-3.205,-6.79
13.441,9.118,0.394,1.392,0.751,1.824,6.011,2.997
11.993,12.884,-2.085,-0.531,-2.012,-0.018,1.201,-0.583
8.611,9.934,-8.426,-7.849,-8.404,-7.674,-8.018,-9.468
7.16,6.462,-8.587,-10.863,-8.898,-10.697,-10.149,-12.585
3.407,3.779,-3.2,-9.07,-4.177,-8.543,-6.148,-10.042
0.446,3.775,3.066,-5.389,1.588,-4.997,-0.658,-5.943
3.546,5.873,7.358,-2.066,6.035,-2.313,3.799,-2.396
7.917,6.928,8.02,-0.63,7.187,-1.118,4.936,-0.393
7.281,6.486,4.955,-1.784,4.228,-2.042,2.038,-1.034
3.631,5.588,0.286,-5.308,-0.432,-5.551,-2.728,-5.013
1.033,4.262,-2.497,-8.468,-2.618,-8.968,-5.802,-9.487
0.346,4.112,-1.441,-7.616,-0.845,-8.123,-4.381,-9.246
3.103,7.746,1.477,-3.352,2.043,-3.345,-0.008,-4.546
7.443,10.096,1.612,-1.806,1.739,-1.006,1.224,-3.307
3.957,2.479,-3.653,-7.731,-3.233,-6.531,-3.908,-10.553
-7.437,-9.64,-9.778,-15.698,-8.277,-14.726,-10.674,-18.849
-11.336,-11.983,-8.614,-15.015,-6.532,-14.075,-11.53,-16.895
-3.882,-5.039,-1.571,-6.527,0.033,-4.931,-6.982,-7.202
-0.509,-1.586,-0.125,-2.975,0.762,-0.812,-6.627,-3.796
-5.582,-3.548,-5.941,-7.263,-5.494,-5.055,-11.69,-8.892
-4.816,-1.366,-5.714,-6.653,-5.599,-4.546,-9.161,-8.182
5.872,6.169,5.098,3.354,5.021,5.147,4.346,3.402
13.147,10.224,12.925,9.632,12.913,10.75,13.354,11.723
10.48,8.348,9.359,4.815,9.527,5.39,9.324,8.178
5.566,5.729,3.082,-1.932,3.353,-1.291,2.633,1.924
4.479,3.81,2.406,-3.214,2.566,-1.864,2.5,1.202
5.888,2.079,5.05,-1.777,4.794,0.461,6.426,3.522
