EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
31.101,18.554,-1.527,10.874,-1.011,11.867,8.739,9.112
24.859,13.696,-7.302,4.709,-7.304,5.856,0.585,1.208
21.144,13.225,-2.702,6.886,-2.634,8.231,3.958,2.998
14.807,14.086,2.193,8.8,2.597,10.031,6.71,3.396
5.667,10.352,-0.493,2.733,0.416,3.399,2.132,-3.487
-0.244,2.514,-6.491,-7.202,-5.129,-7.346,-6.092,-12.295
1.471,-0.542,-7.45,-10.882,-6.026,-11.768,-11.509,-15.688
7.001,4.51,-2.33,-5.147,-1.179,-6.183,-9.626,-11.769
8.331,6.755,0.156,0.018,1.009,-0.699,-5.187,-8.614
5.011,-1.124,-5.905,-4.084,-5.349,-4.715,-6.513,-12.892
5.094,-7.004,-11.008,-8.561,-10.761,-9.329,-8.437,-15.215
12.735,1.337,-3.819,-2.033,-3.424,-2.979,-0.125,-6.367
22.095,14.737,9.372,9.118,10.329,7.83,13.184,4.774
27.529,18.802,16.277,13.869,17.415,12.357,18.668,8.388
30.115,15.586,16.886,13.1,17.848,11.505,16.401,7.585
31.918,16.323,18.911,14.283,20.008,12.292,16.817,9.323
33.37,23.088,24.897,20.608,26.498,18.314,24.792,16.04
34.851,28.267,29.835,27.446,32.104,25.834,33.559,23.94
36.413,29.711,30.303,29.847,33.215,29.664,35.669,28.065
37.466,31.809,28.555,28.725,31.845,29.654,32.249,27.757
37.338,33.469,26.543,26.635,30.07,27.934,28.944,25.233
32.941,27.5,19.863,20.427,23.462,21.872,24.965,19.328
18.851,9.979,1.458,2.974,4.651,4.634,10.314,3.908
-1.526,-10.737,-22.485,-20.648,-19.748,-19.193,-14.275,-18.328
-12.821,-18.955,-32.542,-30.935,-29.986,-30.38,-28.458,-30.759
-6.95,-11.7,-21.918,-19.551,-19.806,-19.94,-20.559,-23.971
3.898,-3.523,-6.401,-1.771,-4.982,-2.475,-5.437,-9.37
4.496,-4.602,-0.825,5.66,0.057,5,-0.905,-2.694
-2.414,-7.551,-1.49,4.589,-1.108,3.792,-4.174,-3.806
-5.852,-5.436,-0.562,3.405,-0.478,2.273,-4.65,-4.197
-6.129,-5.095,0.229,1.253,0.532,-0.276,-2.579,-4.033
-9.748,-12.506,-2.428,-5.324,-1.73,-7.102,-3.385,-8.149
-14.555,-21.59,-6.457,-12.948,-5.529,-14.684,-7.593,-14.621
-12.798,-21.8,-5.862,-12.756,-4.755,-14.479,-9.061,-14.387
-6.897,-12.316,0.985,-2.487,2.226,-4.218,-2.544,-3.688
-7.93,-5.743,4.199,5.344,5.476,4.11,5.13,5.695
-14.884,-11.21,-4.021,0.578,-2.659,0.062,3.398,1.749
-14.904,-20.62,-14.683,-7.87,-13.389,-8.374,-5.445,-8.39
-3.173,-18.773,-13.199,-4.941,-12.437,-5.991,-8.907,-8.523
15.024,-3.832,0.612,8.991,0.972,7.743,-1.154,3.277
28.66,8.376,10.932,17.84,11.739,16.799,7.259,11.962
24.512,6.872,6.821,12.406,8.428,11.726,5.307,7.852
9.522,3.393,-0.434,5.515,1.095,5.724,1.164,2.361
9.288,11.375,5.508,11.684,5.646,13.134,6.462,8.737
23.07,18.628,16.45,19.716,15.051,21.383,12.325,16.003
21.883,7.47,11.827,10.658,10.01,11.121,4.432,6.418
1.2,-11.271,-4.787,-7.027,-6.502,-7.574,-10.477,-11.29
-13.59,-15.548,-11.44,-11.68,-13.654,-12.256,-14.753,-16.148
-15.471,-9.37,-5.521,-5.095,-8.453,-5.959,-8.062,-9.95
-22.348,-13.472,-4.979,-5.186,-8.056,-7.169,-5.593,-10.09
-33.265,-26.836,-11.936,-11.408,-14.647,-14.162,-8.945,-15.76
-24.296,-25.511,-7.287,-5.305,-9.418,-7.598,-2.038,-8.104
4.909,-2.837,12.85,14.962,11.364,13.649,17.177,14.316
23.59,16.978,27.416,28.352,26.44,27.559,29.18,28.802
16.345,15.671,23.826,24.216,23.147,23.638,24.669,24.148
