EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
1087.379,1107.721,1091.598,1102.56,1088.716,1105.8,1096.382,1106.09
1012.919,1037.419,1018.333,1030.702,1016.583,1033.466,1024.889,1026.949
963.988,991.395,970.307,981.616,970.999,982.585,973.389,973.094
1015.136,1043.021,1018.234,1029.691,1018.923,1029.52,1021.002,1023.173
1210.741,1236.626,1206.249,1219.467,1204.361,1218.679,1215.291,1216.43
1585.636,1608.132,1576.283,1590.82,1573.001,1589.654,1586.927,1589.803
2046.758,2066.138,2040.787,2055.557,2038.497,2054.432,2046.13,2056.025
2361.032,2379.464,2362.253,2377.316,2361.151,2375.768,2370.664,2377.919
2367.314,2388.311,2372.276,2388.795,2371.091,2386.313,2391.526,2387.92
2109.268,2137.775,2114.209,2133.264,2111.883,2130.914,2135.238,2131.818
1727.528,1766.456,1732.934,1753.329,1729.522,1752,1749.693,1753.562
1328.242,1368.541,1335.052,1352.712,1331.981,1351.7,1352.282,1355.1
997.408,1023.141,1004.167,1015.404,1003.416,1014.077,1018.599,1018.092
871.353,883.682,878.031,884.107,879.694,882.419,882.474,886.135
1091.447,1109.947,1099.927,1108.197,1100.276,1105.847,1101.58,1112.384
1611.049,1644.401,1619.921,1636.732,1615.332,1633.632,1630.781,1645.343
2101.004,2136.699,2105.731,2127.935,2098.295,2125.036,2123.038,2137.234
2222.713,2249.588,2219.888,2240.035,2214.22,2238.969,2232.697,2244.902
1991.488,2014.277,1982.291,1998.673,1979.243,1999.714,1988.493,2000.971
1688.539,1716.21,1681.474,1695.222,1679.609,1696.353,1686.213,1701.166
1502.285,1533.008,1504.129,1514.804,1503.177,1514.436,1510.718,1524.314
1485.976,1511.824,1490.443,1500.287,1489.942,1498.908,1499.975,1506.91
1681.318,1704.95,1681.681,1694.574,1680.166,1692.498,1693.985,1695.144
1980.3,2012.218,1983.071,1997.719,1980.538,1994.366,1996.26,1995.057
2053.006,2089.809,2061.771,2073.576,2060.192,2069.48,2074.353,2071.887
1694.569,1719.88,1697.089,1704.851,1697.854,1701.522,1707.248,1705.383
1106.517,1117.414,1093.475,1099.414,1096.085,1097.43,1096.573,1099.551
652.707,664.822,632.264,639.129,635.132,638.105,627.494,636.184
452.145,477.805,437.762,447.917,439.131,447.78,435.503,443.57
387.052,423.019,384.399,397.469,383.519,398.511,394.569,396.629
463.864,497.56,469.207,481.569,467.506,483.232,485.354,485.319
877.675,901.132,882.216,891.439,881.725,891.963,890.933,894.521
1563.108,1584.253,1562.509,1569.944,1562.511,1568.168,1563.958,1569.095
2010.278,2044.025,2008.833,2017.55,2006.612,2014.697,2014.016,2016.877
1836.721,1879.127,1837.033,1848.227,1832.31,1846.375,1849.075,1852.885
1240.22,1269.075,1236.978,1248.679,1232.229,1248.128,1249.553,1258.978
627.795,638.898,619.474,629.548,616.35,629.354,630.108,642.032
163.55,178.675,157.02,164.9,155.768,164.771,167.363,174.458
-140.033,-108.277,-142.41,-137.273,-141.69,-137.124,-135.691,-134.676
-278.287,-240.746,-282.135,-278.988,-280.132,-278.741,-283.343,-281.434
-332.781,-301.747,-340.765,-335.774,-338.869,-335.336,-344.302,-335.646
-434.818,-409.226,-443.296,-433.325,-441.827,-431.81,-438.09,-425.781
-632.769,-607.592,-639.419,-626.185,-637.801,-623.532,-624.417,-615.444
-888.756,-864.318,-896.037,-883.135,-894.446,-880.624,-881.796,-876.984
-1138.808,-1115.31,-1148.993,-1136.694,-1147.906,-1134.96,-1143.36,-1136.827
-1381.769,-1354.758,-1392.57,-1380.193,-1391.53,-1378.924,-1393.518,-1383.214
-1725.178,-1691.527,-1731.947,-1722.197,-1730.186,-1721.266,-1733.916,-1726.728
-2212.478,-2175.654,-2214.01,-2208.426,-2211.428,-2207.209,-2213.041,-2214.451
-2675.249,-2641.899,-2675.821,-2670.071,-2673.234,-2667.572,-2670.385,-2674.379
-2934.594,-2906.556,-2938.529,-2928.628,-2936.757,-2925.466,-2930.993,-2927.337
-3047.097,-3018.899,-3053.543,-3042.037,-3051.769,-3039.955,-3048.275,-3036.556
-3190.238,-3156.568,-3196.56,-3186.908,-3194.033,-3186.435,-3195.258,-3182.138
-3382.755,-3345.87,-3389.538,-3379.818,-3388.452,-3380.179,-3391.468,-3377.801
-3466.411,-3434.374,-3477.39,-3465.21,-3479.506,-3465.475,-3482.474,-3466.194
