EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
20.547,16.127,11.688,4.198,18.761,6.06,3.919,2.881
22.586,14.812,9.528,1.889,16.064,3.824,2.881,2.81
25.031,15.454,9.773,-1.105,16.728,0.881,3.233,-0.223
23.531,15.471,8.906,-4.347,16.897,-1.51,3.377,-3.127
18.847,14.037,5.611,-6.231,14.251,-2.373,3.114,-2.47
14.673,12.287,1.522,-7.557,10.24,-3.351,2.622,-0.005
11.96,10.528,-1.724,-10.501,6.837,-6.244,1.164,-0.405
9.408,8.507,-3.31,-14.199,4.509,-9.382,-0.872,-3.776
7.855,7.428,-2.907,-14.972,3.203,-9.268,-1.527,-4.751
9.102,8.658,-1.232,-11.221,3.014,-5.276,-0.032,-0.911
11.317,10.515,-0.061,-6.128,3.709,-1.035,2.091,3.748
10.832,9.944,-0.916,-4.5,3.81,-0.881,2.854,4.712
8.774,7.835,-2.563,-5.931,2.343,-3.613,2.966,3.221
9.448,7.155,-1.805,-4.802,1.363,-2.666,4.949,5.311
11.224,5.95,0.139,-1.133,1.729,2.003,7.348,10.296
8.364,0.54,-1.861,-2.561,0.275,0.858,5.946,8.01
1.26,-6.627,-7.221,-9.88,-3.363,-7.565,2.152,-1.665
-4.369,-10.219,-9.801,-13.631,-4.788,-11.167,1.474,-4.834
-6.048,-9.572,-7.926,-9.918,-2.753,-5.468,3.809,1.365
-7.118,-8.909,-6,-5.905,-1.259,-0.874,4.392,5.062
-11.071,-11.006,-6.935,-6.366,-2.919,-2.781,2.393,2.358
-16.432,-14.251,-8.856,-8.356,-5.682,-5.5,0.299,-0.734
-19.903,-17.121,-9.556,-10.403,-6.593,-7.187,-1.727,-3.466
-19.981,-18.413,-9.25,-12.89,-5.646,-10.065,-3.958,-7.62
-16.314,-15.309,-8.406,-12.501,-4.728,-10.674,-3.972,-8.447
-11.207,-9.495,-7.794,-8.708,-4.652,-6.873,-1.005,-3.47
-9.38,-7.913,-9.816,-7.559,-5.343,-4.377,0.824,0.409
-11.789,-11.874,-14.829,-10.903,-7.192,-6.122,-1.452,-1.237
-14.093,-14.798,-18.557,-12.908,-9.792,-7.533,-4.467,-3.878
-13.956,-13.611,-18.087,-11.708,-11.857,-7.201,-4.755,-4.811
-13.268,-11.856,-15.506,-11.302,-12.427,-8.392,-3.8,-5.532
-12.13,-10.299,-12.305,-11.422,-10.301,-9.657,-2.906,-4.429
-9.198,-6.456,-7.869,-9.311,-5.892,-8.008,-1.6,-1.006
-6.942,-3.175,-4.501,-8.09,-3.006,-7.243,-1.275,-0.542
-7.775,-4.927,-5.216,-10.948,-3.723,-10.53,-3.295,-4.709
-6.834,-6.751,-6.188,-11.818,-3.751,-11.223,-4.965,-5.176
0.928,-1.161,-1.764,-5.456,1.604,-4.451,-3.267,1.901
9.729,7.194,4.327,0.69,8.802,1.659,-0.307,6.13
11.162,8.961,5.629,-0.882,10.979,-0.419,1.11,2.145
6.389,4.514,4.166,-6.866,9.06,-7.298,1.582,-3.018
0.609,-1.263,3.384,-13.519,7.876,-14.754,0.822,-8.826
-4.601,-7.682,1.093,-20.789,6.554,-21.848,-2.226,-18.612
-8.763,-14.465,-4.258,-25.831,2.334,-25.762,-5.848,-24.444
-11.226,-19.305,-10.116,-26.475,-3.152,-25.391,-8.591,-20.316
-12.826,-21.531,-13.827,-25.993,-6.749,-24.897,-11.121,-14.831
-14.257,-21.547,-15.189,-26.005,-8.275,-25.609,-12.994,-14.335
-15.372,-19.636,-15.933,-23.783,-10.247,-23.966,-12.617,-13.402
-16.375,-17.808,-17.505,-20.546,-13.208,-21.32,-9.873,-10.054
-16.57,-16.868,-18.554,-20.161,-13.326,-21.294,-6.097,-9.428
-14.428,-14.061,-16.948,-20.227,-8.748,-19.908,-3.014,-10.779
-10.518,-8.619,-14.314,-16.633,-5.041,-13.528,-2.118,-8.239
-7.222,-4.093,-13.456,-11.548,-6.717,-7.472,-2.972,-1.838
-6.154,-3.108,-13.558,-8.999,-9.511,-6.854,-4.063,2.194
-7.234,-4.923,-13.172,-9.438,-8.881,-9.679,-6.011,0.321
-8.768,-7.505,-12.597,-10.606,-6.338,-11.611,-9.037,-3.107
-10.078,-9.26,-12.371,-10.575,-5.005,-11.196,-10.447,-3.367
-12.933,-9.836,-13.625,-10.33,-6.889,-10.71,-9.275,-3.334
-17.636,-10.294,-16.056,-11.647,-10.363,-12.29,-8.036,-6.054
-21.287,-12.12,-16.161,-13.431,-9.831,-14.505,-8.574,-8.926
-21.581,-15.107,-12.775,-13.654,-4.485,-15.217,-9.836,-10.592
-20.02,-17.078,-10.641,-12.002,-2.413,-14.043,-9.427,-10.407
-20.044,-16.608,-12.886,-8.02,-8.466,-9.683,-6.93,-3.977
-22.842,-14.967,-16.341,-3.611,-16.319,-4.122,-6.836,4.26
-26.125,-14.621,-18.71,-6.305,-19.897,-7.5,-13.141,-1.527
-25.72,-15.008,-19.996,-16.733,-19.903,-21.191,-18.984,-19.759
-20.157,-12.636,-17.836,-22.819,-16.645,-29.275,-14.999,-28.581
-13.742,-8.04,-12.418,-19.676,-10.706,-24.882,-6.609,-23.122
-10.353,-5.889,-8.728,-15.271,-6.57,-18.455,-4.445,-17.167
-8.906,-7.035,-8.645,-13.022,-6.561,-14.72,-6.553,-13.646
-9.083,-9.156,-10.474,-11.047,-8.817,-11.083,-6.863,-8.683
-12.276,-12.648,-14.098,-12.351,-12.261,-11.193,-7.754,-7.967
-15.844,-17.268,-18.264,-18.598,-15.71,-17.568,-11.833,-15.301
-16.146,-18.56,-19.066,-22.753,-16.324,-22.148,-14.007,-20.982
-15.029,-14.913,-16.141,-19.523,-14.315,-18.471,-11.27,-16.547
-15.774,-11.301,-13.088,-13.682,-12.473,-11.074,-9.054,-7.877
-17.474,-11.854,-11.503,-11.328,-11.335,-6.738,-10.507,-4.272
-17.489,-14.629,-10.576,-11.742,-10.703,-7.177,-10.972,-5.521
-14.976,-15.316,-9.669,-10.463,-11.133,-9.112,-7.675,-5.624
-12.004,-13.205,-9.239,-6.135,-13.329,-8.333,-4.31,-3.043
-11.701,-10.774,-10.445,-1.917,-17.429,-5.287,-4.175,-0.856
-13.483,-8.663,-11.757,0.513,-19.513,-2.087,-5.524,1.517
-13.42,-6.125,-9.357,2.548,-15.239,1.384,-4.96,5.907
-10.452,-4.845,-4.727,2.444,-9.216,2.294,-3.161,6.952
-7.312,-6.424,-4.102,-3.033,-9.688,-3.668,-3.332,0.734
-5.947,-8.796,-7.978,-11.029,-15.06,-13.516,-5.198,-6.402
-6.844,-9.861,-11.158,-16.346,-17.658,-20.834,-7.024,-10.213
