EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-12.224,-7.47,-8.163,-5.933,-8.396,-11.592,4.94,-0.588
-11.251,-6.916,-12.42,-7.115,-10.142,-8.575,9.384,0.22
-5.662,-5.929,-11.105,-4.529,-6.976,-4.662,7.503,4.588
-1.788,-7.018,-8.237,-2.954,-4.802,-2.33,-3.294,6.612
-1.727,-8.189,-4.809,-0.702,-3.594,1.771,-5.221,8.145
-0.484,-6.654,1.403,4.81,1.322,7.031,7.617,12.241
3.656,-4.139,7.262,7.481,7.86,6.632,15.381,12.06
8.073,-2.376,8.402,3.376,10.354,1.107,6.639,3.504
13.376,2.049,9.048,0.845,11.211,1.12,-2.806,-3.938
20.386,10.078,12.893,5.042,14.277,7.765,-1.071,-3.902
24.555,15.946,14.615,8.964,15.548,10.082,0.697,-2.544
23.588,16.759,12.416,8.644,13.095,6.029,-3.626,-2.495
22.897,15.354,11.563,7.748,11.729,3.454,-4.995,-0.484
25.245,12.612,11.414,6.712,11.676,3.504,-2.401,-0.132
25.145,7.23,7.313,3.046,8.715,1.357,-3.755,-5.62
20.444,1.823,2.967,-0.424,6.212,-1.65,-7.49,-9.76
18.18,1.412,5.909,2.122,11.833,0.522,-5.211,-4.226
22.991,6.103,13.664,8.988,22.052,7.351,0.351,4.6
29.522,10.489,15.983,10.925,23.824,10.641,-0.486,3.659
29.721,10.241,9.378,4.16,13.19,4.897,-5.911,-5.828
23.071,7.116,1.248,-3.712,1.006,-4.607,-7.898,-10.314
18.441,7.862,0.574,-3.149,-0.723,-6.902,-5.048,-5.083
22.676,15.637,8.386,5.479,8.732,-0.09,1.035,1.291
30.067,23.639,16.558,12.127,19.171,6.179,6.89,1.779
31.707,23.969,17.073,10.136,20.475,5.157,6.124,-1.58
28.875,18.805,12.435,4.103,14.512,0.337,0.962,-3.603
26.786,14.497,10.166,1.286,10.356,-2.008,2.515,-2.431
23.917,11.571,9.427,1.739,9.301,-0.511,9.309,0.328
17.911,8.683,5.157,1.702,7.111,1.677,8.26,3.126
13.695,8.08,0.174,0.833,4.944,2.501,2.48,4.964
15.818,10.51,-0.474,0.568,5.137,2.808,3.517,3.404
19.859,12.325,0.723,0.201,5.111,2.697,3.039,-1.565
19.875,10.994,0.308,-0.416,3.685,1.708,-6.309,-4.252
16.365,7.153,-0.798,-0.166,2.72,0.57,-11.447,-2.808
12.379,2.591,-1.826,0.124,1.91,-0.451,-7.409,-2.627
9.633,-0.233,-2.391,-0.662,0.814,-1.653,-3.81,-3.776
8.375,-0.939,-2.048,-1.725,0.184,-3.007,-1.552,-1.484
7.757,-0.943,-1.169,-1.015,0.57,-3,5.763,3.162
7.508,0.66,0.919,3.237,3.241,1.122,14.53,6.648
7.843,3.678,3.447,9.127,6.535,8.128,13.838,8.634
7.247,3.745,1.686,11.7,4.244,12.395,2.488,9.369
3.998,-0.782,-6.082,9.308,-5.07,11.687,-8.798,7.789
0.198,-5.416,-13.344,4.395,-12.964,7.732,-11.662,2.859
-0.964,-6.19,-14.436,-0.971,-12.914,1.787,-11.073,-3.936
-0.595,-3.953,-12.072,-4.648,-8.858,-3.169,-14.846,-9.125
-0.645,-1.221,-9.972,-4.523,-5.62,-4.08,-18.256,-11.381
0.267,0.786,-8.163,-2.406,-2.991,-2.797,-14.835,-11.792
2.303,1.298,-7.613,-2.101,-1.861,-2.279,-9.493,-11.321
2.644,-0.008,-8.634,-3.691,-2.818,-2.608,-6.388,-10.568
0.932,-1.626,-7.511,-4.474,-1.418,-3.092,-0.581,-9.269
-0.512,-2.157,-4.278,-4.678,2.469,-4.268,6.491,-7.149
-0.464,-1.695,-5.066,-6.344,0.956,-6.267,3.507,-5.365
0.894,0.1,-10.043,-7.897,-6.511,-6.607,-7.669,-4.077
1.876,2.586,-12.391,-7.66,-10.918,-4.819,-11.763,-2.698
1.133,2.766,-10.846,-8.924,-9.612,-6.201,-7.296,-3.193
-0.121,0.331,-9.804,-13.854,-7.361,-12.771,-5.098,-6.857
-1.652,-0.692,-9.588,-17.99,-5.113,-17.205,-5.592,-9.532
-5.289,0.446,-7.269,-17.257,-0.62,-14.186,-1.681,-7.156
-10.091,-0.951,-3.645,-14.591,4.229,-9.328,6.429,-3.261
-11.63,-5.525,-2.275,-14.087,4.802,-9.16,11.351,-3.588
-7.697,-7.83,-3.981,-14.909,0.637,-11.686,7.659,-7.639
-3.092,-6.998,-7.105,-15.65,-4.646,-13.75,-1.123,-11.163
-5.504,-8.671,-11.895,-17.818,-10.18,-16.685,-10.541,-12.755
-13.373,-12.981,-17.321,-20.508,-15.062,-19.075,-19.74,-12.528
-15.343,-11.843,-16.588,-18.288,-12.077,-14.663,-20.99,-7.203
-8.767,-3.9,-9.013,-10.184,-1.573,-3.248,-11.186,3.729
-4.398,0.742,-6.344,-3.977,1.368,4.481,-3.255,11.147
-6.748,-2.681,-12.674,-5.14,-7.557,1.06,-3.788,6.79
-9.147,-6.997,-17.745,-10.311,-14.613,-7.907,-7.292,-5.926
-9.128,-6.869,-17.328,-15.536,-14.213,-15.079,-12.966,-16.874
-10.269,-4.946,-15.923,-19.588,-11.74,-18.678,-19.053,-19.08
-11.193,-4.055,-13.276,-20.103,-7.57,-17.207,-18.475,-14.158
-7.664,-3.678,-8.391,-16.994,-2.163,-11.809,-12.76,-9.124
-2.85,-3.546,-6.677,-14.809,-2.276,-9.157,-9.273,-7.759
-1.885,-3.75,-9.767,-14.905,-7.728,-11.231,-8.342,-8.533
-1.328,-2.103,-9.405,-12.424,-7.026,-10.778,-5.399,-8.231
2.815,3.004,-1.2,-5.499,3.799,-4.221,1.303,-4.76
6.027,8.693,5.989,-0.219,11.82,1.174,7.828,0.138
3.717,10.546,2.758,-2.173,6.254,-0.6,7.807,2.174
-2.608,7.395,-7.287,-8.489,-5.57,-5.008,0.754,-0.144
-10.483,0.924,-14.169,-13.587,-11.46,-6.912,-5.2,-4.743
-17.489,-6.222,-14.595,-17.147,-10.809,-8.812,-3.053,-9.027
-19.925,-10.016,-11.351,-19.571,-7.918,-11.587,3.379,-10.295
-18.305,-8.907,-7.723,-18.82,-4.05,-11.621,4.061,-7.438
-18.328,-8.403,-7.454,-17.836,-2.274,-11.328,-3.105,-5.121
-22.452,-13.233,-11.922,-21.996,-5.749,-15.26,-9.934,-8.155
-27.227,-18.53,-17,-27.558,-11.28,-18.757,-11.419,-12.153
-28.787,-17.644,-18.003,-26.837,-13.598,-16.587,-9.091,-10.913
-25.642,-12.246,-14.686,-20.893,-11.479,-12.992,-4.427,-6.377
-19.073,-7.987,-10.402,-15.494,-7.136,-11.715,-1.533,-1.811
-14.176,-7.22,-9.882,-12.439,-5.54,-9.844,-6.095,2.505
-15.887,-8.917,-14.977,-11.525,-10.653,-7.354,-15.142,3.685
-21.533,-10.171,-21.002,-13.314,-17.915,-8.943,-20.488,-1.142
-23.501,-8.546,-22.701,-16.445,-19.822,-13.395,-20.111,-7.271
-19.962,-4.572,-20.421,-16.504,-16.916,-13.327,-14.855,-6.417
-16.244,-0.504,-16.532,-12.691,-13.482,-9.207,-5.462,-0.922
-17.005,1.503,-13.262,-11.221,-11.254,-9.98,1.555,-1.433
-20.462,1.1,-12.214,-13.327,-10.446,-14.68,0.493,-5.458
-20.312,1.384,-10.718,-10.536,-9.073,-11.947,-2.593,-1.17
-14.697,4.731,-5.842,-1.576,-5.126,-2.209,0.676,7.084
-9.349,8.196,-1.708,2.932,-2.106,1.883,5.34,5.432
-9,8.454,-3.115,-0.896,-4.648,-2.391,2.533,-3.332
-11.852,6.462,-6.531,-5.255,-8.924,-6.394,-3.992,-6.983
