EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
49.633,49.194,35.25,149.566,30.326,32.983,28.325,5.835
45.402,43.864,33.951,146.69,29.174,32.786,27.525,5.284
46.238,44.027,35.84,148.905,34.207,35.239,27.174,6.552
49.164,49.254,37.683,154.286,39.481,41.497,27.826,7.854
48.594,52.083,35.532,157.122,37.341,45.802,27.048,7.34
46.126,50.873,31.598,155.041,30.643,42.156,24.792,7.324
44.759,48.107,29.294,150.164,26.861,34.829,23.254,8.763
44.558,44.757,28.685,145.665,26.889,31.761,23.064,8.941
46.322,43.618,29.28,143.56,28.057,32.962,23.366,8.006
51.638,48.75,31.948,144.618,31.111,34.948,24.439,9.29
57.364,56.258,35.863,145.906,36.729,35.727,26.609,11.467
57.2,57.392,37.355,142.824,40.302,33.726,28.149,10.469
51.778,52.446,35.213,137.481,37.741,30.98,27.371,7.721
47.668,47.481,32.692,135.297,32.761,30.451,24.553,6.167
46.786,43.746,32.302,135.962,31.759,30.655,21.743,5.523
46.998,41.582,33.918,137.686,34.641,31.159,21.852,7.117
47.423,42.642,36.57,141.305,36.552,35.192,24.797,11.414
47.144,44.895,38.561,144.645,36.498,40.78,26.393,13.882
45.874,45.556,38.826,143.661,37.133,40.846,25.334,13.189
45.576,45.773,38.101,140.066,37.044,36.284,25.516,13.037
47.345,47.157,37.595,137.768,33.827,33.731,27.965,13.932
50.134,48.055,38.278,135.711,32.03,32.145,28.94,14.064
52.924,46.927,40.126,132.205,35.606,28.453,27.386,13.617
56.105,45.952,42.418,129.482,40.433,27.125,26.01,12.754
60.056,46.198,44.782,128.472,42.401,30.078,25.363,10.856
61.655,43.853,44.852,125.627,41.075,29.933,23.294,8.026
57.402,37.637,39.519,119.204,35.773,22.88,19.961,5.113
50.692,33.259,31.43,113.164,28.437,16.038,17.845,3.096
47.494,34.876,27.15,111.495,24.574,16.729,17.253,2.541
47.663,39.144,28.692,113.55,27.075,23.468,17.022,4.062
48.459,41.667,32.302,117.07,33.132,30.418,17.469,7.551
49.377,41.923,32.78,120.263,35.26,33.336,18.527,10.248
48.78,39.771,27.617,120.442,27.697,30.664,18.977,9.904
45.028,35.848,20.6,117.304,16.052,25.546,19.038,8.905
40.508,33.854,17.878,113.923,11.585,22.189,18.831,9.363
37.501,34.231,19.292,110.631,14.744,19.687,16.961,9.033
35.485,31.964,20.757,106.518,17.311,17.306,15.091,8.47
35.037,26.936,22.64,105.199,17.775,18.848,17.323,12.25
37.528,26.251,27.684,109.098,21.407,25.357,22.473,18.316
41.664,31.538,34.155,113.135,28.459,30.94,25.308,19.547
45.111,36.054,37.397,111.779,32.659,30.271,24.852,16.406
47.234,37.024,36.448,107.098,31.506,26.697,23.862,14.356
47.633,38.348,34.823,104.826,29.922,26.886,23.437,13.808
45.728,41.171,34.439,106.65,30.562,30.483,23.459,13.461
43.328,43.361,33.51,110.483,29.709,34.201,24.542,15.19
42.458,44.895,31.473,114.392,25.836,38.028,26.33,19.303
42.309,45.755,31.257,116.817,23.491,39.7,26.436,22.185
43.14,45.111,35.445,116.83,26.904,36.521,23.638,21.077
46.031,43.365,41.091,115.069,32.353,32.652,20.509,17.853
47.063,39.582,41.103,111.937,31.22,32.099,19.711,16.219
41.89,33.613,33.882,107.042,22.777,32.196,19.888,16.099
35.087,30.419,27.317,102.048,16.847,31.122,19.321,15.349
36.346,34.559,29.423,100.599,22,32.917,19.307,14.523
46.426,42.724,37.776,101.897,34.754,38.259,19.802,14.311
53.675,45.384,41.703,99.087,41.73,38.148,18.216,13.971
49.281,38.199,35.436,89.566,34.449,28.394,15.376,13.541
37.855,27.947,24.544,78.978,19.678,17.903,15.063,12.834
28.118,20.835,16.995,71.106,10.288,12.164,16.577,11.562
22.852,15.638,14.289,64.823,9.782,7.898,15.884,10.642
20.99,12.795,14.194,60.649,12.767,5.529,13.09,10.117
21.389,14.833,15.093,59.728,14.699,7.565,11.319,8.665
22.278,19.114,16.044,60.168,14.476,10.194,11.692,7.254
22.036,21.456,16.968,60.29,13.139,9.365,13.277,8.392
21.729,21.489,17.953,60.332,12.832,7.793,14.086,10.638
23.696,20.758,18.69,60.108,14.494,8.752,12.88,10.788
26.782,19.786,19.3,58.599,16.498,9.302,10.971,9.009
26.741,18.149,19.691,55.851,16.701,6.749,9.972,6.79
22.954,15.907,19.47,54.163,15.064,5.813,9.62,5.483
19.581,13.019,18.65,54.992,12.593,9.218,8.916,6.329
18.871,10.103,17.501,55.77,9.94,10.955,7.41,7.32
18.825,9.931,16.758,54.708,8.134,9.145,5.764,5.857
17.617,12.835,17.188,54.944,8.229,10.616,5.495,4.819
15.814,14.64,18.3,57.923,9.694,16.375,6.881,7.497
14.672,13.704,18.773,59.568,10.362,19.141,8.181,10.346
15.324,13.392,19.33,58.023,10.5,17.864,8.434,9.023
18.829,16.653,22.659,56.987,14.277,19.057,8.449,5.952
23.985,22.056,26.62,57.735,20.259,22.822,8.071,4.943
26.523,23.896,24.097,55.613,18.972,21.491,6.749,5.139
24.103,19.525,15.032,48.045,8.895,12.504,6.048,5.165
19.493,14.635,7.96,39.403,0.552,2.807,6.347,5.265
17.206,14.832,6.997,34.767,-0.144,-0.315,4.959,4.686
19.767,18.894,8.677,34.021,2.5,2.491,1.72,3.44
24.403,22.037,9.658,33.816,3.935,5.624,-0.139,2.909
24.582,21.072,9.931,32.513,4.531,6.641,0.546,2.856
19.919,18.133,11.187,31.929,6.37,8.182,2.335,2.832
17.105,16.521,13.712,33.182,8.794,11.694,3.744,4.175
17.132,14.48,14.557,32.658,8.777,12.548,3.761,6.567
12.873,9.015,10.48,25.851,4.969,6.102,1.525,6.006
3.45,2.14,2.43,14.747,-1.198,-3.869,-2.488,0.579
-1.128,0.471,-3.568,7.887,-5.467,-8.181,-5.094,-4.922
3.851,6.781,-2.365,9.909,-2.661,-3.434,-4.587,-6.125
9.05,12.474,2.086,13.729,4.001,2.443,-3.946,-5.841
5.044,8.087,1.064,10.355,3.822,0.338,-5.341,-7.466
-5.92,-2.586,-6.058,2.042,-4.576,-6.939,-6.972,-9.007
-15.942,-10.335,-12.666,-3.222,-12.271,-10.758,-6.924,-7.963
-20.452,-13.272,-14.832,-3.281,-14.309,-9.882,-5.297,-5.396
-19.26,-13.771,-12.527,-0.926,-10.952,-7.973,-3.602,-3.486
-14.663,-11.546,-6.944,1.93,-3.219,-5.326,-3.701,-2.864
-10.411,-6.272,-1.247,4.662,4.228,-1.291,-5.216,-2.506
-10.196,-3.305,-0.759,4.857,3.402,-0.306,-5.868,-2.308
-14.84,-7.759,-7.767,0.005,-7.361,-5.335,-5.836,-4.287
-19.891,-13.91,-15.649,-5.985,-17.857,-8.002,-6.689,-8.025
-19.396,-12.362,-16.124,-6.588,-18.056,-1.477,-7.294,-9.436
-13.764,-5.522,-11.336,-3.901,-11.224,4.257,-6.458,-6.549
-9.423,-3.412,-8.692,-4.946,-6.228,-0.659,-5.915,-2.024
-9.716,-7.275,-9.246,-9.802,-5.359,-9.186,-6.914,0.098
-10.771,-9.309,-10.052,-13.768,-7.032,-12.393,-7.936,-1.289
-8.772,-6.455,-10.404,-16.01,-10.135,-12.71,-7.877,-3.924
-5.711,-2.709,-9.687,-17.508,-11.495,-13.208,-7.335,-5.481
-4.138,0.096,-6.506,-16.646,-8.999,-10.353,-6.408,-4.874
-2.911,3.656,-2.628,-13.036,-6.675,-3.08,-5.233,-3.231
-0.58,7.688,-1.077,-9.553,-7.612,3.162,-4.627,-3.046
1.686,8.443,-1.674,-8.654,-8.461,3.665,-4.161,-2.701
1.48,4.327,-2.289,-9.501,-5.902,2.02,-3.563,0.4
-1.987,-0.163,-2.324,-9.771,-1.952,5.409,-4.626,1.927
-7.213,-2.026,-4.161,-10.929,-2.584,9.35,-7.211,-1.387
-11.871,-4.08,-9.102,-16.063,-9.209,2.846,-8.416,-3.762
-14.618,-7.14,-13.926,-23.129,-15.723,-10.416,-8.234,-2.434
-14.99,-8.089,-15.228,-27.465,-18.651,-16.824,-8.809,-3.305
-13.467,-7.491,-13.863,-28.739,-19.432,-15.157,-10.122,-7.652
-12.735,-9.588,-13.621,-30.618,-18.996,-15.473,-11.964,-10.227
-13.593,-13.505,-15.219,-33.699,-17.188,-19.025,-14.458,-10.414
-13.792,-14.587,-15.425,-34.709,-14.224,-17.901,-15.953,-11.847
-14.088,-13.493,-14.218,-33.921,-12.537,-12.599,-15.08,-14.285
-15.926,-13.903,-14.754,-35.127,-14.673,-10.882,-12.026,-14.383
-17.852,-17.069,-17.764,-39.797,-19.117,-14.231,-8.89,-12.806
-21.28,-24.114,-22.193,-47.247,-22.78,-20.09,-9.237,-13.283
-28.82,-34.115,-26.966,-55.736,-25.809,-27.605,-12.678,-16.144
-35.786,-40.381,-30.093,-61.602,-29.503,-34.482,-15.171,-18.582
-34.863,-38.002,-29.003,-61.675,-31.11,-37.429,-15.192,-17.8
-25.94,-29.516,-21.86,-55.522,-24.641,-33.666,-13.211,-12.544
-13.374,-18.181,-9.729,-44.918,-9.039,-21.13,-9.812,-4.937
-1.658,-6.362,0.931,-34.848,4.951,-5.317,-6.689,0.322
2.313,-0.455,2.486,-32.616,4.039,0.479,-5.51,0.257
-4.106,-4.453,-3.97,-40.011,-8.576,-8.827,-6.352,-3.089
-12.67,-12.361,-9.538,-49.428,-17.141,-21.644,-8.064,-5.469
-17.225,-16.869,-10.673,-52.919,-17.525,-25.06,-9.644,-5.97
-20.771,-18.076,-11.91,-50.634,-18.7,-20.173,-11.177,-6.572
-23.135,-18.424,-15.17,-47.101,-23.099,-15.122,-13.145,-8.266
-20.18,-17.906,-16.702,-44.649,-24.096,-12.304,-14.958,-9.626
-14.603,-16.278,-14.564,-43.43,-19.577,-9.974,-15.77,-8.88
-13.181,-15.113,-11.672,-44.055,-15.317,-9.13,-16.464,-7.416
-16.212,-15.735,-10.538,-46.544,-14.912,-11.114,-17.964,-7.81
-16.917,-15.586,-9.632,-48.944,-14.485,-12.653,-19.14,-9.791
-12.536,-12.376,-7.178,-50.976,-10.329,-11.819,-18.572,-12.286
-10.152,-10.972,-5.456,-55.96,-6.057,-14.31,-16.826,-15.06
-14.613,-16.148,-8.044,-65.131,-8.065,-23.669,-16.631,-17.718
-19.164,-22.706,-13.927,-74.146,-14.6,-33.315,-19.879,-20.656
