EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-120.666,-123.23,-81.91,-102.188,-78.071,-80.085,-104.463,-107.049
-114.752,-115.851,-78.001,-94.606,-74.443,-73.392,-98.702,-101.327
-118.044,-117.553,-88.338,-96.556,-85.059,-76.276,-100.757,-103.968
-128.116,-125.863,-99.38,-105.293,-95.971,-84.503,-109.475,-113.216
-133.859,-129.433,-94.37,-109.05,-90.485,-87.777,-114.174,-117.993
-128.113,-120.512,-78.121,-100.44,-73.959,-80.082,-106.977,-111.149
-118.175,-107.311,-73.801,-88.309,-69.837,-69.53,-96.034,-100.968
-116.168,-104.182,-87.714,-87.57,-84.055,-69.31,-96.545,-101.076
-121.707,-110.963,-101.804,-97.703,-98.151,-78.102,-106.848,-110.003
-125.25,-115.679,-105.093,-105.377,-101.318,-84.077,-111.338,-114.939
-123.595,-114.496,-102.035,-106.206,-98.364,-85.282,-107.353,-113.537
-123.07,-114.875,-99.057,-109.278,-95.558,-89.857,-108.672,-116.314
-126.975,-119.524,-99.874,-117.689,-96.362,-97.543,-119.652,-125.209
-128.946,-122.209,-103.963,-120.887,-100.409,-99.013,-126.987,-127.795
-125.115,-120.778,-107.833,-114.184,-104.192,-93.636,-122.516,-119.33
-120.065,-118.723,-108.196,-106.759,-104.115,-88.219,-114.518,-110.241
-115.865,-115.426,-102.329,-104.139,-97.65,-83.641,-111.498,-107.36
-107.797,-106.716,-89.428,-99.813,-84.659,-77.136,-108.63,-104.371
-94.932,-93.317,-76.753,-88.75,-72.562,-68.531,-98.078,-95.01
-87.3,-84.43,-77.797,-79.16,-74.283,-62.374,-86.616,-86.479
-93.917,-88.029,-91.807,-81.086,-88.711,-64.975,-87.337,-88.868
-107.054,-97.433,-98.459,-87.537,-95.704,-71.515,-95.21,-95.89
-109.755,-98.101,-84.88,-82.057,-82.339,-66.721,-91.408,-91.535
-100.349,-89.559,-63.585,-65.923,-60.927,-50.175,-75.149,-76.382
-95.981,-87.232,-56.661,-59.675,-54.022,-42.577,-67.539,-69.512
-105.878,-98.869,-68.496,-72.336,-66.571,-54.229,-77.434,-79.162
-118.89,-113.62,-82.41,-89.327,-81.396,-70.588,-90.219,-92.191
-121.549,-116.997,-82.904,-94.059,-82.242,-75.965,-92.013,-94.609
-114.921,-108.567,-72.436,-87.212,-71.771,-71.541,-85.61,-88.213
-111.791,-102.455,-66.567,-83.588,-66.015,-69.314,-85,-86.63
-117.637,-106.697,-72.849,-90.748,-72.549,-75.758,-96.155,-94.942
-122.328,-111.322,-82.429,-98.736,-82.464,-84.098,-107.159,-102.324
-119.535,-108.293,-90.625,-99.749,-91.069,-86.573,-108.475,-102.84
-118.711,-106.633,-104.5,-101.889,-105.278,-87.738,-109.707,-105.852
-126.822,-114.633,-122.73,-112.336,-123.466,-96.404,-120.951,-117.469
-135.374,-124.746,-132.397,-123.469,-132.614,-108.857,-133.706,-128.77
-134.982,-126.727,-127.18,-125.374,-126.709,-112.881,-135.238,-129.788
-128.627,-122.658,-114.274,-120.916,-113.249,-108.307,-128.903,-124.325
-124.51,-121.852,-106.102,-120.272,-104.891,-106.951,-127.268,-123.728
-123.909,-125.605,-109.317,-124.121,-108.435,-109.863,-131.266,-128.726
-119.517,-123.148,-116.58,-120.982,-116.126,-104.348,-128.633,-126.917
-108.872,-110.468,-113.54,-107.373,-113.029,-90.204,-116.55,-114.512
-103.636,-103.472,-102.329,-97.905,-101.44,-84.86,-109.435,-105.819
-111.951,-113.081,-100.615,-102.182,-99.575,-93.418,-114.287,-110.105
-121.912,-123.376,-107.485,-108.708,-106.573,-99.995,-119.01,-116.895
-119.199,-117.665,-103.489,-105.281,-102.739,-94.452,-114.667,-114.799
-110.649,-107.156,-91.371,-99.158,-90.787,-86.971,-109.911,-109.362
-111.868,-109.982,-91.982,-102.665,-91.592,-89.867,-114.414,-110.873
-120.855,-120.558,-103.67,-112.131,-103.357,-98.767,-123.365,-117.612
-124.256,-123.112,-110.569,-115.758,-110.192,-101.907,-126.819,-121.394
-120.521,-117.781,-112.475,-111.722,-112.143,-97.606,-123.633,-119.704
-119.688,-115.173,-116.158,-109.079,-116.077,-94.865,-121.286,-118.189
-124.562,-116.745,-120.338,-113.693,-120.461,-99.662,-124.863,-121.957
-125.514,-113.534,-120.419,-118.827,-120.506,-105.276,-129.906,-126.533
-116.926,-103.165,-114.445,-115.625,-114.429,-101.994,-129.069,-124.376
-109.025,-98.618,-106.647,-108.529,-106.652,-93.985,-123.592,-118.102
-115.452,-111.937,-104.39,-110.45,-104.377,-96.836,-124.098,-119.029
-131.391,-132.666,-106.261,-121.388,-106.012,-111.905,-133.957,-128.746
-139.035,-139.8,-109.574,-126.757,-109.068,-120.185,-140.459,-134.242
-136.063,-134.318,-122.086,-123.718,-121.604,-116.51,-137.077,-131.404
-134.384,-132.72,-140.609,-125.17,-140.534,-118.101,-135.813,-132.249
-135.824,-136.495,-148.643,-133.79,-149.146,-128.504,-143.24,-140.531
-134.215,-136.556,-146.615,-138.319,-147.354,-131.853,-148.089,-144.831
-129.476,-131.524,-142.669,-133.058,-143.1,-123.118,-141.567,-138.542
-125.507,-124.645,-131.696,-123.895,-131.774,-113.819,-131.06,-128.217
-125.083,-119.907,-116.221,-118.84,-116.303,-111.981,-127.552,-122.779
-129.327,-123.267,-112.281,-119.764,-112.523,-114.279,-131.061,-124.391
-134.714,-132.531,-119.046,-121.396,-119.394,-114.133,-133.546,-128.013
-135.533,-136.546,-119.336,-118.835,-119.861,-109.595,-131.323,-128.277
-133.575,-133.763,-111.14,-115.276,-111.919,-105.235,-129.043,-127.127
-134.877,-132.46,-107.543,-115.935,-108.421,-105.621,-130.507,-129.194
-138.499,-134.199,-113.749,-119.001,-114.645,-108.591,-132.539,-132.754
-139.354,-134.475,-122.614,-118.547,-123.903,-108.503,-129.973,-131.507
-138.519,-133.825,-125.158,-114.013,-127.34,-105.214,-125.043,-125.266
-142.688,-137.329,-122.486,-112.966,-125.435,-106.326,-126.967,-122.913
-150.963,-143.078,-122.187,-118.494,-125.144,-113.824,-135.52,-127.686
-151.374,-140.809,-121.643,-121.572,-124.128,-116.475,-138.485,-130.273
-138.881,-127.465,-115.104,-116.131,-117.388,-108.547,-131.318,-124.618
-125.43,-114.491,-109.195,-109.963,-111.741,-101.975,-123.095,-117.791
-123.058,-113.806,-111.148,-111.354,-113.923,-106.187,-121.84,-117.91
-128.211,-122.441,-117.727,-114.887,-120.312,-111.155,-123.606,-120.76
-130.278,-126.652,-121.797,-109.824,-124.101,-103.178,-119.226,-116.356
-126.922,-120.375,-118.719,-97.33,-121.19,-86.586,-109.072,-105.159
-124.425,-112.97,-110.706,-89.772,-113.732,-78.509,-103.686,-98.293
-125.149,-113.166,-103.265,-92.153,-106.733,-84.206,-107.703,-100.881
-121.079,-113.029,-95.795,-93.286,-99.32,-88.045,-110.881,-103.23
-108.294,-103.661,-88.965,-84.674,-92.36,-79.264,-104.186,-96.563
-98.652,-95.047,-90.097,-75.854,-93.506,-70.474,-95.825,-88.545
-101.873,-98.606,-97.006,-76.665,-100.644,-73.249,-97.099,-89.904
-109.101,-106.642,-98.112,-80.679,-101.941,-78.449,-103.193,-96.065
-107.456,-105.247,-91.665,-77.31,-95.448,-74.376,-101.463,-95.003
-100.893,-96.079,-88.154,-69.639,-91.777,-66.596,-93.46,-88.678
-103.712,-93.721,-95.267,-70.918,-98.814,-69.281,-94.184,-91.504
-116.155,-102.162,-105.435,-83.339,-109.133,-82.027,-106.983,-105.063
-122.497,-108.189,-103.222,-92.26,-107.322,-88.296,-116.657,-113.612
-113.717,-101.497,-87.544,-86.634,-91.94,-80.246,-111.175,-107.185
-99.267,-88.428,-74.877,-74.637,-79.121,-71.262,-97.506,-94.275
-94.001,-82.598,-74.802,-71.1,-78.691,-74.597,-91.631,-89.267
-99.057,-87.392,-81.88,-75.817,-85.707,-82.626,-96.18,-93.103
-102.711,-92.722,-90.634,-76.549,-94.764,-80.684,-98.123,-94.117
-99.52,-91.178,-96.874,-70.256,-101.364,-70.172,-91.997,-88.344
-96.532,-88.512,-96.26,-66.644,-100.964,-64.118,-88.297,-85.372
-97.264,-90.544,-89.488,-69.715,-94.087,-66.345,-91.561,-88.968
-94.798,-92.119,-79.547,-71.631,-83.539,-69.003,-91.539,-89.372
-85.439,-87.393,-70.545,-67.839,-73.859,-67.216,-83.445,-81.754
-75.828,-79.912,-68.389,-63.475,-71.558,-63.613,-76.303,-74.451
-73.88,-77.726,-73.861,-64.499,-77.209,-62.847,-78.256,-75.425
-78.059,-81.988,-78.969,-69.377,-82.329,-65.591,-85.318,-81.259
-78.606,-84.006,-76.287,-69.593,-79.523,-65.721,-86.147,-81.444
-71.539,-78.101,-67.736,-61.846,-71.008,-59.815,-78.017,-73.52
-64.377,-70.867,-58.537,-54.641,-62.073,-54.649,-71.488,-67.507
-63.551,-69.869,-50.891,-54.956,-54.665,-55.329,-73.48,-69.642
-64.285,-70.722,-48.003,-56.947,-51.814,-55.793,-75.641,-71.562
-60.901,-65.915,-52.616,-53.407,-56.352,-51.972,-68.813,-65.029
-59.28,-59.578,-60.12,-48.381,-63.636,-50.145,-59.111,-56.533
-64.66,-59.014,-62.966,-46.417,-66.085,-51.392,-56.085,-53.667
-67.744,-59.226,-59.843,-42.422,-62.738,-46.855,-56.761,-51.292
-58.375,-50.593,-53.272,-32.104,-56.294,-33.998,-53.566,-43.269
-42.771,-36.066,-46.266,-21.235,-49.279,-21.73,-48.174,-34.732
-35.541,-28.615,-45.376,-19.18,-47.881,-19.564,-48.832,-35.014
-40.375,-33.327,-52.538,-26.991,-54.547,-27.956,-56.218,-43.657
-48.442,-42.211,-58.546,-36.381,-60.702,-38.937,-61.726,-51.383
-51.428,-45.733,-57.459,-40.232,-60.131,-44.097,-60.967,-53.437
-48.187,-42.323,-53.82,-38.436,-56.618,-40.89,-58.158,-52.477
-42.993,-37.378,-51.855,-34.851,-54.324,-34.667,-57.392,-51.139
-39.276,-34.4,-49.869,-32.013,-52.329,-32.92,-56.685,-48.724
-35.07,-30.335,-44.741,-28.223,-47.727,-34.066,-52.083,-43.694
-28.986,-23.874,-39.762,-21.973,-42.981,-30.944,-45.113,-37.383
-25.583,-21.32,-41.524,-17.591,-44.386,-25.821,-41.04,-33.907
