EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-176.558,-177.058,-183.974,-173.734,-167.089,-179.234,-195.165,-190.998
-71.986,-76.95,-77.855,-72.829,-61.292,-80.989,-95.607,-87.928
32.349,24.404,26.979,30.319,43.192,24.546,13.079,15.743
136.31,128.846,124.761,135.936,140.551,133.872,119.568,120.283
245.502,236.981,229.981,242.857,245.125,240.924,222.847,227.754
356.191,344.749,345.792,349.006,360.171,346.117,335.39,335.963
457.644,446.443,453.449,450.76,467.07,449.107,453.507,439.536
555.565,549.666,550.485,552.587,563.304,552.919,560.662,541.783
665.447,664.87,657.053,663.238,669.192,664.162,660.019,652.13
782.698,781.94,780.557,777.837,792.366,778.084,768.484,768.81
886.017,881.602,898.624,879.242,910.3,878.976,881.332,874.099
966.48,960.445,983.055,957.302,994.504,957.277,970.803,953.209
1036.589,1032.295,1036.823,1021.467,1047.728,1021.631,1027.826,1017.351
1117.811,1116.504,1098.975,1097.36,1109.075,1097.202,1088.303,1096.692
1217.094,1217.744,1196.99,1198.741,1206.492,1198.548,1185.234,1200.024
1313.693,1314.014,1305.009,1302.697,1314.299,1303.018,1292.885,1298.563
1383.74,1382.341,1378.788,1375.835,1387.849,1375.208,1367.528,1364.829
1432.176,1430.987,1420.406,1420.656,1428.91,1416.222,1415.489,1409.806
1488.419,1490.566,1474.632,1473.255,1482.295,1464.915,1476.469,1467.731
1569.1,1573.206,1562.916,1553.844,1569.648,1544.86,1562.391,1551.526
1652.397,1654.566,1653.966,1639.518,1659.815,1632.252,1644.965,1636.944
1710.812,1711.958,1715.366,1702.045,1720.355,1695.838,1703.476,1699.415
1757.875,1761.53,1763.234,1752.363,1767.464,1745.45,1757.646,1750.752
1825.29,1830.26,1831.799,1819.712,1835.631,1811.456,1833.626,1818.454
1912.42,1914.022,1920.591,1905.412,1924.278,1896.608,1923.582,1904.048
1990.736,1988.322,2000.182,1983.806,2003.444,1975.263,1999.887,1983.435
2040.286,2038.612,2050.658,2035.495,2053.152,2027.023,2047.802,2036.901
2069.989,2071.503,2079.847,2066.884,2081.725,2057.629,2076.707,2068.061
2108.35,2109.645,2114.144,2103.127,2115.667,2092.252,2112.274,2100.626
2168.924,2167.019,2169.235,2158.881,2170.234,2146.489,2169.48,2152.793
2232.866,2229.123,2229.632,2219.25,2229.761,2206.844,2230.895,2212.816
2276.071,2273.146,2271.314,2262.335,2270.62,2251.255,2270.3,2256.26
2301.293,2300.091,2297.467,2290.36,2296.459,2279.975,2293.051,2283.783
2333.427,2332.175,2332.637,2324.097,2331.877,2312.844,2329.428,2319.398
2386.616,2382.47,2386.589,2373.735,2386.185,2361.296,2387.957,2373.571
2443.511,2436.213,2439.551,2423.786,2439.019,2411.311,2439.757,2425.567
2477.591,2469.165,2471.02,2451.441,2469.878,2439.695,2460.828,2450.075
2491.124,2483.653,2492.857,2461.176,2491.158,2449.31,2466.374,2455.013
2509.49,2506.253,2524.153,2483.44,2522.094,2471.552,2486.885,2473.867
2543.276,2546.508,2551.009,2528.589,2548.52,2517.751,2529.054,2518.307
2577.844,2585.041,2558.903,2569.564,2555.955,2557.284,2571.503,2562.315
2596.385,2604.522,2563.813,2583.875,2560.638,2567.586,2591.561,2579.518
2602.204,2609.833,2574.21,2583.045,2570.957,2566.013,2593.141,2577.39
2616.757,2619.301,2586.915,2593.087,2583.391,2578.987,2601.865,2585.535
2651.364,2645.252,2618.047,2624.261,2613.986,2611.572,2630.348,2617.031
2686.657,2678.163,2667.677,2660.451,2663.089,2646.226,2664.17,2653.933
2699.78,2698.275,2696.599,2681.594,2691.652,2666.789,2687.272,2675.829
2700.929,2706.606,2692.014,2692.944,2686.626,2681.132,2702.696,2686.959
2714.979,2722.277,2692.909,2712.103,2686.832,2701.983,2721.954,2703.762
2743.763,2749.545,2723.288,2738.185,2716.65,2723.657,2746.279,2728.409
2768.245,2771.613,2759.84,2756.132,2752.974,2737.248,2763.622,2746.746
2773.982,2775.572,2772.081,2760.3,2764.783,2742.866,2765.477,2750.604
2765.202,2767.075,2759.13,2758.615,2751.016,2742.184,2761.444,2750.067
