EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
21.497,44.059,15.214,26.581,13.267,26.831,17.495,20.221
23.333,41.961,17.655,30.585,16.835,30.978,19.894,24.944
22.836,39.654,20.226,31.185,21.393,31.575,20.685,24.345
22.29,38.188,21.01,29.976,23.623,30.324,22.21,21.649
21.776,36.374,19.143,27.801,22.958,28.332,22.572,21.815
21,35.921,16.482,24.648,21.28,25.184,20.798,24.381
19.747,38.538,15.155,22.45,20.366,22.552,19.35,26.079
17.03,40.567,14.586,22.158,20.082,21.972,19.427,25.351
12.154,35.839,12.266,19.5,18.67,19.462,17.829,20.183
5.104,24.397,6.627,11.272,13.757,11.379,11.971,9.004
-2.059,14.916,-0.475,2.66,5.537,2.702,5.51,-2.237
-6.029,13.582,-4.87,-0.418,-1.119,-0.447,3.573,-4.316
-8.014,13.051,-5.724,-1.101,-3.011,-1.067,4.301,0.306
-11.433,4.39,-5.768,-3.936,-2.436,-3.69,2.877,0.655
-14.966,-7.513,-5.589,-6.095,-1.133,-5.593,0.511,-3.991
-15.468,-12.405,-3.681,-4.101,1.606,-3.47,1.261,-5.25
-12.499,-6.914,0.056,0.347,5.388,0.864,4.897,-1.365
-7.609,4.383,4.167,5.118,8.788,5.312,8.543,3.568
-2.98,13.135,7.792,11.214,11.918,11.196,11.44,9.155
-0.505,13.703,10.991,17.432,15.836,17.535,13.882,15.589
-1.117,6.063,11.652,17.618,17.621,17.959,14.471,17.992
-3.58,-4.403,7.315,10.701,12.83,11.13,12.664,12.823
-5.286,-9.447,1.331,4.877,4.961,5.213,10.955,5.03
-5.609,-5.342,-0.552,5.723,1.644,5.889,12.014,2.901
-5.927,3.098,1.203,9.322,3.029,9.384,14.836,6.868
-6.7,8.899,1.808,9.502,3.878,9.591,15.658,9.551
-6.632,9.968,0.482,5.858,3.18,6.079,13.804,7.919
-4.908,7.594,0.719,2.953,4.196,3.341,12.538,6.87
-2.904,3.746,3.534,3.772,7.26,4.161,13.593,10.51
-2.164,1.001,5.911,7.035,8.988,7.058,15.153,16.191
-2.821,0.644,4.93,9.461,7.311,8.987,13.838,16.803
-5.174,1.027,0.257,7.31,3.201,6.838,7.901,9.884
-8.745,0.248,-4.18,1.371,0.947,1.472,1.493,4.627
-10.648,-0.575,-3.573,-0.819,3.61,-0.306,1.668,10.654
-9.935,-0.661,-0.739,3.207,5.545,3.621,7.885,21.709
-10.146,-2.712,-2.376,5.088,0.534,5.24,11.078,23.5
-13.919,-7.434,-7.967,-1.693,-6.639,-1.664,4.51,10.931
-19.249,-10.625,-12.139,-12.285,-9.385,-12.141,-7.944,-9.172
-23.043,-10.628,-13.903,-18.066,-11.051,-17.716,-15.137,-23.48
-24.77,-11.979,-15.411,-18.081,-15.599,-17.721,-12.482,-23.908
-24.865,-16.405,-14.777,-15.378,-16.634,-15.062,-6.887,-16.502
-24.476,-19.326,-10.264,-9.869,-10.224,-9.323,-4.613,-11.619
-25.32,-17.836,-7.305,-4.5,-6.107,-3.652,-4.997,-11.093
-24.592,-12.475,-9.722,-5.508,-10.627,-4.773,-6.278,-11.202
-17.782,-4.82,-11.601,-10.603,-14.127,-10.398,-7.571,-10.611
-6.658,1.832,-6.663,-10.715,-7.583,-10.869,-6.318,-7.769
3.655,4.562,1.655,-4.462,2.484,-4.506,-0.818,1.518
10.232,4.262,5.75,0.827,6.018,0.861,5.225,14.196
13.166,4.514,4.739,1.038,4.858,0.773,6.306,17.218
14.267,6.447,2.503,-2.228,4.933,-2.629,1.673,4.406
12.835,7.304,0.259,-6.763,5.436,-6.676,-5.441,-12.553
7.525,5.602,-2.281,-8.354,3.649,-7.585,-10.545,-17.75
3.115,3.313,-5.205,-3.374,-1.848,-2.347,-9.592,-9.523
3.659,1.191,-8.613,2.534,-9.908,3.33,-4.109,0.113
3.1,-3.322,-11.318,0.6,-15.425,1.083,-0.553,1.227
-3.913,-11.336,-12.678,-7.384,-17,-6.975,-1.158,-3.483
-10.619,-17.847,-12.934,-11.736,-17.313,-11.437,-1.831,-4.7
-8.616,-15.463,-10.627,-8.104,-14.616,-8.233,0.348,0.687
-1.763,-6.237,-5.761,-2.757,-7,-3.192,2.155,5.967
-1.64,-2.657,-3.338,-3.683,-0.834,-3.955,-0.363,4.322
-11.262,-9.444,-6.515,-8.526,-2.866,-8.549,-3.713,-1.164
-21.454,-16.87,-10.947,-9.886,-9.468,-9.908,-2.623,-3.218
-24.581,-17.201,-12.012,-9.457,-12.643,-9.689,-0.167,-1.801
-21.579,-13.218,-9.934,-12.394,-9.191,-12.829,-1.41,-1.118
-16.274,-10.059,-6.048,-14.572,-1.676,-14.803,-3.616,-0.786
-11.317,-8.536,-1.988,-10.65,3.338,-10.358,-1.518,2.112
-7.599,-6.329,0.389,-4.469,2.84,-4.014,3.823,6.39
-6.533,-4.017,0.113,-2.007,0.374,-1.801,6.507,7.222
-12.133,-7.537,-4.896,-5.083,-4.1,-5.005,2.687,2.801
-23.228,-17.829,-13.825,-11.954,-12.878,-11.872,-4.969,-1.926
-28.461,-23.955,-18.611,-16.596,-19.522,-16.656,-8.602,-1.44
-20.105,-17.948,-13.382,-14.101,-15.92,-14.331,-3.786,3.009
-6.284,-7.703,-3.31,-7.701,-5.605,-7.87,3.85,6.221
-0.569,-5.285,2.091,-3.553,0.541,-3.455,5.547,5.837
-4.59,-9.99,0.513,-2.594,-1.53,-2.329,1.273,4.01
-9.37,-11.754,-3.198,-2.645,-6.659,-2.473,-1.821,3.061
-11.452,-8.363,-6.389,-3.722,-10.913,-3.643,-1.371,1.257
-15.435,-7.527,-9.77,-6.058,-14.631,-5.833,-1.243,-2.79
-20.548,-12.355,-11.442,-6.91,-16.23,-6.479,-2.667,-5.452
-20.127,-18.058,-9.92,-5.498,-14.271,-5.031,-4.019,-5.023
-14.894,-21.906,-9.168,-6.604,-12.67,-6.138,-5.924,-5.982
-12.81,-25.433,-12.089,-12.819,-14.693,-12.226,-8.786,-10.184
-16.392,-28.694,-15.006,-18.444,-17.223,-17.801,-10.136,-12.894
-19.192,-28.24,-12.673,-16.247,-14.908,-15.814,-7.46,-9.874
-14.945,-20.749,-4.177,-6.652,-6.182,-6.47,-0.606,-1.766
-6.977,-10.466,4.975,1.919,3.396,2.013,6.676,6.474
-4.378,-7.686,7.336,1.614,5.885,1.734,8.588,8.829
-8.421,-13.123,2.868,-5.887,1.365,-5.651,4.47,3.946
-10.6,-14.432,-1.208,-11.468,-2.459,-11.09,-0.122,-3.301
-6.895,-7.081,-1.625,-11.043,-2.136,-10.762,-1.941,-7.35
-5.284,-4.875,-3.267,-10.784,-3.239,-10.87,-4.31,-8.877
-11.577,-14.773,-7.958,-14.817,-7.971,-15.155,-10.188,-12.362
-17.762,-21.672,-8.915,-17.2,-8.688,-17.452,-15.732,-16.846
-15.164,-15.919,-3.868,-13.456,-4.096,-13.438,-14.986,-16.966
-7.252,-7.854,0.416,-8.239,-2.848,-7.957,-8.549,-11.856
-2.393,-6.888,0.047,-7.535,-6.421,-7.219,-3.331,-6.725
-3.144,-11.136,-2.985,-11.317,-9.442,-11.264,-3.339,-6.027
-5.589,-15.781,-6.359,-15.106,-10.87,-15.163,-5.674,-8.254
-6.264,-17.666,-8.598,-15.695,-12.081,-15.405,-6.946,-9.72
-5.151,-14.759,-8.365,-13.066,-12.061,-12.333,-7.321,-9.443
-2.741,-8.816,-5.942,-9.335,-9.984,-8.411,-7.547,-8.173
-1.029,-6.233,-4.626,-8.039,-8.675,-7.105,-7.904,-7.455
-3.278,-9.554,-6.227,-9.654,-9.937,-8.768,-8.84,-8.071
-8.394,-13.486,-7.346,-10.095,-10.131,-9.309,-9.394,-8.146
-12.073,-15.016,-6.683,-9.144,-8.051,-8.53,-9.235,-7.655
-12.248,-16.726,-8.057,-10.651,-7.886,-10.175,-10.003,-9.158
-8.478,-17.404,-10.296,-12.321,-8.404,-11.814,-10.092,-10.506
-1.504,-12.948,-7.014,-9.54,-3.219,-8.979,-6.505,-7.555
4.429,-6.778,1.073,-5.455,6.589,-4.849,-2.321,-3.09
4.099,-7.768,5.385,-5.666,11.505,-4.73,-1.394,-2.452
-1.738,-15.393,2.122,-9.126,5.944,-7.812,-0.486,-4.1
-5.962,-18.774,-2.366,-11.293,-3.055,-10.258,3.397,-3.047
-4.811,-15.02,-2.452,-11.645,-5.872,-11.355,6.323,0.039
-2.463,-12.526,-1.829,-12.892,-4.817,-12.875,4.824,0.576
-2.752,-14.218,-4.459,-15.339,-5.968,-14.883,0.57,-2.35
-2.955,-13.79,-6.027,-15.43,-5.837,-14.412,-3.735,-5.36
0.202,-9.342,-2.168,-11.387,-0.07,-10.187,-6.187,-5.579
4.621,-6.23,3.377,-7.441,5.485,-6.43,-5.146,-3.198
6.432,-5.989,5.049,-7.427,4.027,-6.666,-1.511,-0.536
4.382,-5.995,3.226,-9.396,-0.527,-8.788,0.136,-0.067
1.341,-5.635,2.092,-9.98,-0.295,-9.43,-2.904,-2.033
2.48,-4.926,3.302,-8.08,3.744,-7.441,-6.946,-3.981
7.785,-3.899,4.254,-4.514,3.875,-3.713,-6.978,-3.599
11.133,-2.818,3.382,-0.455,-1.08,0.35,-3.236,-0.94
10.283,0.007,4.311,5.432,-2.554,6.046,0.605,3.165
8.897,4.387,9.526,14.26,4.249,14.689,2.622,8.086
8.21,4.683,13.477,20.468,10.361,21.042,3.446,11.202
6.467,-2.373,10.586,17.809,6.295,18.881,4.218,10.035
3.912,-11.41,4.682,9.37,-1.934,10.791,4.602,6.327
1.815,-15.64,2.054,2.222,-3.8,3.594,3.637,3.348
-0.001,-15.597,2.468,-1.417,-0.807,-0.155,2.2,2.092
-1.901,-15.606,2.452,-3.034,0.495,-1.785,1.182,1.83
-3.202,-16.174,1.078,-4.551,0.127,-3.358,-1.08,0.85
-3.032,-15.262,-0.337,-6.421,0.376,-5.288,-5.451,-2.303
-1.566,-13.053,-1.103,-7.312,-0.587,-6.147,-8.465,-5.642
-1.189,-11.907,-1.601,-7.912,-3.75,-6.703,-7.134,-6.166
-4.86,-13.561,-2.296,-10.643,-5.831,-9.452,-5.208,-6.027
-11.37,-17.316,-3.657,-13.691,-5.394,-12.518,-7.949,-8.696
-15.086,-19.238,-4.901,-11.861,-4.406,-10.661,-12.235,-11.547
-13.317,-17.105,-4.723,-6.147,-4.492,-4.994,-11.25,-10.778
-9.79,-16.065,-4.24,-5.418,-6.171,-4.556,-6.943,-8.512
-6.891,-18.547,-4.337,-10.913,-7.803,-10.387,-5.649,-7.865
-3.028,-18.328,-3.528,-12.237,-7.216,-11.614,-6.237,-7.228
-0.02,-14.859,-1.972,-7.026,-5.536,-6.028,-4.793,-4.519
-0.441,-13.168,-0.675,-2.712,-3.983,-1.756,-2.526,-1.065
-1.472,-10.88,2.079,0.735,-0.52,1.311,-1.305,1.878
-2.182,-7.003,6.185,6.531,4.63,7.099,-0.606,4.263
-6.502,-10.162,6.679,8.782,5.899,9.567,-0.799,4.022
-13.035,-20.971,2.21,3.374,1.31,4.029,-2.108,0.329
-14.381,-26.458,-1.073,-2.054,-2.697,-1.587,-2.895,-2.774
-10.037,-22.253,-0.252,-1.905,-2.396,-1.317,-2.956,-3.066
-7.88,-17.243,0.139,-0.294,-2.399,0.284,-3.546,-3.262
-11.31,-17.222,-2.157,-1.088,-5.446,-0.844,-4.209,-4.474
-16.054,-20.815,-3.796,-3.742,-7.68,-3.605,-3.693,-4.626
-18.413,-22.482,-2.703,-5.465,-6.301,-4.987,-2.474,-3.367
-18.324,-18.502,-1.02,-4.118,-3.781,-3.452,-2.608,-3.236
-16.667,-14.496,-0.707,-2.524,-2.651,-2.26,-4.6,-5.429
-14.017,-16.412,-0.913,-4.163,-2.481,-4.396,-6.057,-7.842
-10.785,-20.842,-0.603,-6.831,-2.568,-7.021,-5.89,-8.996
-7.982,-22.957,-0.207,-7.968,-2.558,-7.75,-6.169,-9.819
-7.409,-22.111,-0.12,-8.48,-2.085,-7.961,-7.149,-9.768
-7.802,-17.957,0.822,-7.346,-0.669,-6.744,-5.864,-6.694
-5.141,-11.092,3.58,-2.414,2.521,-1.879,-2.375,-1.995
-1.281,-6.902,5.061,2.544,5.025,2.899,-1.396,-0.263
-1.647,-9.36,1.269,1.374,1.691,1.427,-4.666,-2.492
