EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
16.606,-31.603,14.829,26.171,-41.278,-15.46,-15.081,-55.491
12.851,-33.053,11.476,29.399,-50.001,-11.082,-10.194,-52.36
8.937,-25.678,9.919,30.47,-54.489,-10.35,-5.115,-46.676
6.152,-17.237,12.452,28.545,-48.476,-13.092,-3.598,-42.978
4.448,-20.03,14.2,25.829,-43.299,-15.817,-2.89,-41.587
4.983,-29.231,13.316,24.948,-45.162,-16.718,-0.223,-38.938
8.532,-30.788,13.266,26.807,-47.16,-14.752,1.576,-35.479
13.186,-24.525,15.038,30.076,-45.107,-9.546,0.648,-34.33
15.113,-22.04,14.88,30.762,-43.817,-5.938,-0.784,-35.79
13.058,-25.786,11.518,27.164,-46.245,-7.798,-1.439,-37.927
11.126,-25.871,10.219,24.441,-46.735,-10.53,-0.775,-37.686
13.317,-17.37,15.03,27.896,-40.33,-9.026,2.792,-32.907
17.31,-8.941,20.6,33.761,-33.465,-5.868,7.773,-27.405
19.371,-9.789,20.455,34.338,-34.545,-6.203,10.575,-26.417
22.148,-14.612,19.103,30.744,-37.929,-9.486,11.545,-27.267
29.565,-12.121,24,30.754,-32.095,-9.84,12.675,-24.966
39.149,-2.601,33.069,36.426,-18.036,-3.615,13.93,-20.688
46.089,6.403,40.121,43.577,-7.026,6.369,16.988,-17.128
47.839,11.108,42.119,48.154,-7.249,12.818,23.481,-14.605
43.449,9.185,38.461,47.666,-16.518,10.201,28.11,-13.875
35.809,0.282,32.317,42.922,-24.089,2.061,25.288,-15.029
31.497,-8.766,28.817,39.112,-23.607,-1.947,19.726,-15.325
33.759,-10.044,29.296,40.618,-19.699,2.255,19.747,-12.324
39.017,-3.807,32.22,45.528,-16.93,9.158,25.831,-6.927
42.079,4.918,36.439,49.056,-13.655,12.162,32.733,-1.817
42.177,12.575,41.196,51.294,-8.06,12.774,38.073,2.694
40.56,13.709,44.817,53.865,-1.971,14.676,42.264,7.063
36.237,4.251,44.59,53.308,0.383,13.9,43.394,7.445
30.639,-6.444,42.154,49.396,-1.024,8.55,41.228,2.281
28.96,-5.875,44.213,49.558,0.676,7.145,41.229,-0.55
30.654,1.437,51.297,55.818,7.684,13.984,46.334,5.118
30.141,4.126,56.35,61.72,13.237,21.634,52.455,14.232
28.912,3.341,57.508,64.934,14.55,25.231,56.265,20.577
32.405,5.374,58.741,68.694,15.648,28.402,58.512,24.994
38.179,8.669,59.567,72.589,16.514,32.41,59.326,28.767
39.975,8.783,56.024,71.887,12.954,31.98,57.366,28.648
37.228,6.16,48.733,64.788,5.242,24.396,53.031,22.989
34.153,4.66,43.399,57.155,-0.913,16.448,50.023,18.601
33.565,5.573,44.158,56.428,-0.208,16.518,51.547,23.856
34.445,6.001,48.573,61.27,6.494,22.597,54.724,34.996
34.483,3.97,50.468,63.632,12.088,25.654,53.52,38.528
31.056,0.096,46.688,59.343,10.866,21.533,47.467,28.972
24.444,-3.205,41.157,53.842,5.678,15.929,43.669,18.335
21.582,-1.865,40.661,56.129,3.953,18.034,47.231,20.837
26.275,3.383,44.679,65.32,6.728,27.989,52.861,31.562
31.391,5.237,45.916,69.921,8.224,34.841,52.943,34.698
30.99,0.495,41.752,63.412,5.633,30.262,48.668,28.337
29.21,-6.045,36.979,52.767,2.334,19.513,45.556,23.739
29.819,-11.069,35.118,46.374,2.209,12.19,43.957,24.007
29.862,-14.705,34.458,43.089,4.423,9.004,41.769,21.379
