EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
208.115,193.796,184.4,179.386,145.216,177.808,153.522,113.104
215.125,197.29,189.246,183.433,148.948,181.927,160.361,120.419
216.232,191.264,190.507,183.049,149.379,181.745,161.871,122.914
213.363,184.187,190.248,180.399,150.13,178.985,158.912,119.805
212.563,183.599,192.577,179.35,155.222,177.437,156.972,116.189
214.852,187.584,198.076,180.912,163.703,178.657,159.021,116.535
217.679,191.117,202.356,184.974,167.336,182.945,164.834,120.677
221.456,195.109,204.14,192.285,164.406,190.646,172.249,126.111
228.741,202.932,208.641,201.482,165.873,199.935,179.571,132.958
237.512,212.321,215.797,208.317,173.451,206.778,186.399,141.517
243.366,219.048,219.999,211.538,177.216,210.116,191.581,148.268
247.821,224.591,224.179,214.494,179.789,212.939,195.118,152.071
255.396,232.158,234.801,219.904,190.756,217.954,200.301,157.584
264.882,239.518,247.106,226.968,204.668,224.971,209.01,166.38
270.892,242.202,252.349,232.638,210.951,231.049,217.139,172.951
271.653,240.382,251.268,234.524,211.259,233.23,218.897,173.353
271.189,239.737,250.135,233.702,212.061,232.232,215.365,171.278
274.075,245.902,252.197,234.583,214.739,232.702,214.15,172.754
278.549,255.641,255.916,239.482,217.477,237.468,218.064,178.06
278.974,259.111,258.255,244.789,219.741,242.96,221.005,182.575
276.483,256.095,259.744,247.36,222.649,245.618,220.046,184.876
278.028,256.359,262.205,249.502,223.855,247.757,221.158,187.659
284.023,261.059,264.345,252.748,220.775,251.232,226.961,190.879
288.271,262.397,264.621,255.052,216.681,253.782,232.02,192.169
288.891,259.809,263.407,256.282,214.301,254.939,233.719,192.525
288.756,259.469,261.575,258.39,213.746,256.891,234.238,194.286
288.596,262.212,259.355,260.322,215.538,258.87,233.189,196.173
287.773,263.882,256.06,258.927,216.764,257.609,229.176,195.444
287.237,263.548,251.372,254.764,212.653,253.54,224.932,192.75
287.387,263.856,247.016,252.549,205.057,251.451,224.159,191.133
285.538,263.904,245.343,252.807,201.932,251.849,225.113,190.846
278.034,257.901,244.923,248.412,205.504,247.423,222.318,188.953
267.721,246.041,242.337,237.827,208.269,236.599,216.423,185.372
263.227,238.006,238.79,231.215,205.291,229.657,215.093,184.303
265.777,239.049,237.774,233.714,200.9,231.793,220.552,187.555
267.955,244.418,239.208,238.576,200.269,236.477,226.093,191.929
267.346,249.614,241.804,241.405,203.891,239.514,227.412,194.839
269.492,254.635,245.99,245.255,210.366,243.684,227.855,198.097
276.708,258.45,250.553,250.704,216.636,249.363,230.597,203.463
281.972,257.926,251.292,252.148,217.861,251.146,232.195,207.196
278.649,253.155,247.131,246.648,214.112,246.002,228.013,204.803
270.971,247.822,242.869,239.595,211.287,238.935,221.538,199.443
265.803,243.337,241.04,236.221,210.079,235.311,220.182,197.14
261.314,238.134,238.111,234.304,205.026,233.452,222.983,197.258
253.124,231.269,231.664,230.303,195.331,229.796,222.857,195.694
243.024,222.405,223.642,224.947,185.908,224.545,217.951,191.9
236.477,212.937,217.572,221.16,181.502,220.63,212.393,188.817
236.297,207.221,215.624,220.564,183.138,220.046,209.414,188.85
239.167,207.097,215.393,220.818,186.126,220.33,208.051,189.929
239.34,209.348,212.338,218.352,184.628,217.761,206.172,188.163
235.433,210.588,206.049,214.011,178.175,213.491,203.817,184.255
228.482,208.907,198.304,209.753,169.124,209.483,200.034,180.513
218.806,203.395,189.65,203.867,159.686,203.59,192.479,175.932
209.631,195.83,183.071,196.842,153.884,196.293,184.918,171.557
205.494,189.418,182.519,193.173,154.135,192.473,184.525,171.774
206.484,186.342,186.064,193.074,157.148,192.492,189.588,175.805
208.23,186.478,187.783,192.182,158.591,191.865,191.443,177.327
205.091,185.741,184.663,188.408,157.507,188.303,186.992,173.452
195.696,180.107,178.222,182.492,154.126,182.423,180.408,167.531
186.147,172.425,171.831,175.549,148.505,175.474,175.72,163.502
182.388,168.079,167.672,169.287,142.715,169.392,173.508,161.439
182.811,166.684,166.083,166.231,140.398,166.601,172.807,159.956
182.044,164.168,165.709,166.42,141.453,166.789,171.779,158.783
176.749,157.778,162.856,165,139.902,165.187,167.31,156.343
167.756,148.131,154.674,158.193,131.428,158.314,158.411,150.649
159.4,140.2,143.891,148.991,120.346,148.957,148.806,143.275
154.765,138.351,136.383,142.285,114.189,141.901,142.718,137.318
152.203,139.729,133.723,138.381,113.952,138.039,140.087,133.448
148.761,138.494,131.385,134.478,113.776,134.81,137.489,130.333
144.653,134.363,124.946,129.187,108.25,130.122,132.209,126.33
141.757,131.082,115.505,123.63,97.978,124.472,125.17,120.975
140.28,130.46,108.014,120.073,89.062,120.502,119.892,116.364
139.646,132.268,105.357,119.535,86.255,119.946,117.888,114.818
140.231,135.38,105.092,119.757,87.333,120.389,116.813,114.773
