EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-1.252,-19.563,0.861,6.811,2.355,-0.808,2.268,-3.354
0.463,-16.096,3.487,12.073,6.11,4.176,5.457,2.66
-0.599,-16.507,4.896,15.26,9.223,7.839,9.613,7.808
-2.556,-19.294,4.09,14.595,9.406,7.922,10.681,6.773
-5.084,-21.598,0.859,13.907,5.463,7.639,8.162,3.109
-7.951,-22.79,-3.418,14.099,-1.005,7.749,4.413,0.369
-9.528,-24.058,-6.99,9.578,-7.834,2.957,1.356,-1.19
-8.386,-24.775,-9.296,0.746,-13.553,-5.999,0.074,-0.956
-6.926,-24.9,-11.716,-5.297,-18.069,-11.884,-1.068,-0.746
-7.309,-25.533,-13.871,-6.464,-20.733,-12.718,-3.647,-2.618
-6.525,-24.907,-12.053,-4.276,-18.623,-10.245,-4.707,-2.395
-2.888,-21.549,-5.631,1.597,-11.308,-4.27,-1.885,5.129
-0.685,-18.639,-0.561,8.542,-4.673,2.526,1.954,14.597
-2.997,-19.266,-2.743,8.963,-5.356,2.734,2.345,11.544
-5.909,-21.599,-9.785,0.266,-12.216,-5.761,-1.775,-6.443
-4.079,-22.079,-12.816,-8.404,-16.593,-13.697,-5.064,-20.015
1.51,-20.063,-7.785,-8.162,-13.155,-12.716,-1.838,-16.46
6.707,-16.735,0.437,-2.79,-5.863,-7.218,4.55,-8.071
11.475,-12.446,6.844,-0.018,0.071,-5.015,7.649,-5.885
18.153,-7.235,11.691,0.936,4.957,-4.797,8.485,-2.686
26.487,-1.448,16.268,4.768,10.306,-1.268,11.284,6.716
34.099,4.285,19.914,10.279,14.643,4.501,15.155,13.751
38.966,8.855,22.378,13.065,16.648,7.629,16.817,13.418
40.928,12.084,25.813,13.776,18.82,8.219,17.638,13.962
41.042,14.471,30.812,15.862,23.489,10.005,21.182,21.204
38.824,14.488,32.37,18.138,26.684,12.417,24.969,27.84
33.298,10.68,27.201,17.068,23.453,11.61,23.445,25.164
26.861,5.809,20.992,13.425,17.042,7.803,18.084,15.745
24.243,5.258,20.31,11.793,14.431,5.893,15.535,10.343
27.095,11.696,23.707,14.968,16.365,9.172,17.639,14.655
31.414,21.069,25.878,20.605,18.234,15.071,19.973,21.481
31.847,25.765,24.482,23.785,17.101,18.462,19.047,21.862
27.375,23.537,19.918,21.838,12.77,17.062,15.632,17.734
21.054,18.78,12.97,15.686,5.774,11.554,11.499,13.03
15.845,14.795,5.676,7.931,-1.529,3.719,8.384,6.488
13.463,11.765,2.456,1.74,-4.793,-2.986,8.942,1.45
15.622,10.999,6.509,0.154,-1.592,-4.85,13.285,3.109
21.376,13.464,13.473,2.872,4.224,-2.54,16.639,6.407
25.175,16.22,14.345,5.076,5.509,-1.135,15.211,5.062
22.532,15.063,7.736,2.182,0.86,-4.495,11.017,1.626
15.462,9.854,0.802,-4.259,-4.7,-10.692,6.981,-1.904
10.225,5.975,-2.291,-7.481,-7.473,-13.487,2.982,-6.722
10.442,7.774,-2.927,-4.442,-7.605,-10.249,-0.775,-10.352
13.284,12.276,-1.891,1.044,-5.836,-4.83,-2.284,-8.953
14.66,15.181,1.569,5.983,-1.868,-0.183,-0.611,-1.865
15.577,18.276,6.926,11.14,3.931,4.636,2.213,7.266
17.436,23.304,11.182,15.375,8.541,8.622,2.625,11.712
15.778,25.091,10.507,14.763,8.21,7.909,-0.725,7.998
8.039,20.306,6.099,9.988,4.285,3.322,-4.589,1.14
0.691,15.355,4.821,8.052,3.183,1.671,-3.99,0.562
-0.534,16.676,8.402,12.834,6.859,6.461,1.828,10.035
1.712,21.898,11.071,19.239,10.261,12.972,8.321,22.901
2.934,25.015,9.777,19.226,9.134,13.642,9.757,27.203
2.585,23.912,6.016,11.83,3.411,7.088,4.534,19.347
3.572,22.283,2.959,4.709,-2.672,0.429,-1.876,10.51
7.125,23.817,3.747,2.631,-3.976,-1.667,-4.292,7.885
8.641,25.855,6.272,1.187,-1.992,-3.41,-5.041,3.019
5.956,25.661,6.901,-1.31,-0.713,-5.965,-6.127,-6.493
4.974,26.76,7.497,1.031,1.449,-3.178,-4.428,-8.555
8.524,31.152,9.769,7.337,5.855,3.842,-0.459,-1.178
11.707,34.928,11.365,8.076,8.557,5.078,-0.371,0.722
11.768,35.437,11.577,1.764,7.483,-1.413,-5.51,-8.568
11.897,35.469,12.82,-2.144,6.767,-5.665,-8.297,-14.528
14.018,38.302,14.818,1.863,8.869,-1.244,-3.921,-6.547
13.941,41.082,13.635,8.625,9.45,6.431,1.387,5.655
8.556,39.533,8.931,11.55,6.026,10.166,1.24,9.608
3.635,37.521,5.717,10.855,3.242,10.18,-0.989,7.324
5.899,41.109,7.352,10.495,5.061,10.121,0.678,7.177
