EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-55.365,-81.82,-46.47,-28.73,-39.174,-16.68,-39.804,-42.912
-52.897,-74.783,-36.483,-23.536,-31.391,-11.493,-30.541,-31.735
-50.477,-69.738,-34.554,-13.78,-24.515,-3.861,-20.891,-18.231
-50.47,-70.426,-37.798,-6.925,-22.807,1.515,-18.077,-5.869
-56.836,-74.563,-41.529,-11.08,-28.041,-1.672,-25.434,-3.999
-66.437,-78.01,-43.207,-18.217,-33.368,-7.324,-34.291,-7.623
-71.769,-79.568,-43.571,-16.491,-33.18,-5.798,-34.783,-6.907
-68.832,-78.187,-44.125,-12.169,-31.587,-2.648,-29.419,-6.776
-60.751,-71.635,-44.343,-14.96,-32.347,-6.594,-25.927,-14.481
-52.181,-62.163,-41.199,-18.219,-31.314,-11.468,-24.919,-22.109
-45.961,-57.826,-36.312,-15.99,-27.43,-11.039,-23.207,-17.993
-45.606,-62.049,-37.189,-15.769,-27.312,-11.769,-21.795,-4.909
-50.125,-67.375,-42.987,-21.079,-32.672,-16.965,-23.968,3.804
-51.433,-65.541,-44.176,-23.931,-36.823,-18.93,-29.071,2.426
-47.659,-59.449,-41.33,-22.956,-37.807,-16.519,-33.881,-9.395
-46.618,-57.624,-42.824,-27.076,-40.637,-19.752,-37.524,-32.992
-49.679,-59.364,-47.279,-34.246,-44.795,-27.972,-38.394,-50.036
-48.699,-56.302,-47.584,-31.868,-43.958,-27.282,-32.402,-35.088
-40.357,-46.298,-42.606,-19.53,-36.466,-14.922,-21.291,-1.883
-32.36,-37.792,-38.659,-11.796,-30.067,-6.225,-16.352,7.963
-33.794,-40.072,-43.031,-19.712,-34.727,-13.691,-25.996,-18.767
-42.248,-49.691,-50.884,-34.565,-46.077,-28.288,-40.864,-46.95
-46.749,-54.302,-50.644,-38.904,-49.217,-33.068,-44.307,-42.398
-42.556,-49.913,-43.963,-32.477,-43.015,-28.272,-37.593,-23.35
-34.886,-42.285,-40.616,-26.486,-38.384,-23.683,-34.701,-21.298
-31.509,-37.801,-43.848,-23.835,-38.806,-21.44,-38.629,-27.848
-36.602,-40.775,-51.934,-24.571,-42.256,-21.928,-43.417,-28.598
-45.98,-48.943,-59.162,-29.551,-47.421,-25.962,-46.682,-32.846
-49.831,-53.225,-58.077,-31.263,-49.713,-26.949,-47.499,-40.692
-44.741,-50.794,-49.861,-22.631,-45.408,-19.204,-44.381,-36.901
-36.09,-47.824,-41.869,-11.614,-37.295,-9.724,-38.802,-20.76
-29.24,-46.64,-35.883,-12.163,-30.078,-10.059,-34.095,-5.1
-26.832,-44.501,-30.931,-24.891,-26.823,-20.046,-33.072,-0.479
-29.443,-42.249,-30.105,-36.674,-28.577,-28.051,-36.893,-11.615
-32.363,-41.71,-33.463,-37.925,-31.34,-27.104,-40.292,-26.604
-30.973,-41.386,-36.673,-31.996,-30.906,-22.555,-36.144,-24.619
-30.385,-43.045,-40.867,-31.313,-32.214,-25.587,-31.694,-15.236
-35.861,-50.306,-46.837,-43.453,-39.695,-39.625,-39.557,-25.864
-41.718,-57.721,-47.909,-56.599,-45.137,-51.462,-51.248,-43.727
-41.109,-56.118,-41.452,-52.993,-39.957,-46.473,-47.35,-33.312
-34.62,-47.063,-33.394,-35.921,-28.594,-29.899,-29.339,-2.813
-28.825,-41.524,-30.167,-24.932,-22.419,-20.203,-18.905,5.393
-29.384,-44.907,-33.389,-27.684,-26.087,-24.199,-27.165,-17.178
