EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-1.603,0.422,-15.078,-6.019,5.867,5.734,18.512,6.731
-0.329,-0.223,-13.632,-3.182,8.882,8.557,15.207,1.837
1.672,2.114,-9.568,0.675,8.792,11.634,14.983,5.094
5.213,7.927,-5.096,3.549,11.319,13.699,20.708,13.436
7.778,12.163,-2.137,5.605,13.409,16.434,25.404,16.554
6.657,11.205,-1.256,7.186,10.484,19.051,22.677,11.674
3.171,7.197,-1.63,3.409,4.817,13.832,16.391,6.739
0.708,3.544,-3.141,-6.066,2.582,1.038,13.549,7.521
1.283,2.578,-4.497,-9.552,4.664,-3.291,14.92,11.178
4.734,5.765,-2.118,-1.875,6.473,6.685,16.764,13.661
8.578,10.281,2.93,5.553,4.827,14.605,16.561,13.206
10.334,11.355,5.726,4.752,1.476,10.729,14.727,9.221
11.252,10.527,7.497,3.168,1.73,6.719,13.836,5.416
13.818,12.898,12.197,7.839,7.731,11.25,16.438,6.815
16.566,17.696,17.037,12.916,14.879,15.976,20.482,11.005
14.805,18.768,14.914,10.567,16.414,13.85,19.312,10.801
7.558,13.952,5.859,4.365,11.121,10.758,11.5,5.987
1.067,8.914,-0.867,3.206,5.642,12.936,5.095,3.325
-0.004,8.452,-1.893,6.858,4.716,16.891,5.128,4.307
0.458,9.663,-3.223,7.571,4.173,16.515,5.109,2.297
-1.577,8.576,-5.995,3.347,-0.097,11.91,-0.841,-5.647
-2.52,7.367,-4.637,0.342,-4.063,8.388,-6.036,-11.132
1.216,9.053,2.056,2.616,-2.721,9.725,-2.906,-7.267
5.157,10.316,7.568,5.325,2.447,12.19,2.923,-1.542
3.908,6.946,6.807,1.573,7.008,8.787,3.557,-1.918
0.108,1.844,4.266,-5.562,8.623,1.81,1.751,-3.451
-0.504,0.797,7.16,-6.004,8.417,1.015,2.763,-0.627
0.937,2.725,11.939,-0.061,7.877,5.894,4.896,2.222
-1.017,1.311,8.996,0.859,5.979,5.441,4.496,-0.126
-5.521,-3.883,0.331,-5.649,2.356,-1.812,2.318,-4.921
-8.297,-7.931,-4.856,-10.657,-2.061,-6.615,-0.599,-7.768
-11.549,-10.81,-7.118,-11.801,-7.603,-7.061,-7.037,-11.357
-18.524,-15.402,-11.781,-14.438,-13.862,-9.103,-17.173,-19.349
-23.955,-18.555,-16.326,-17.844,-18.292,-12.717,-24.238,-26.484
-21.378,-15.379,-14.893,-15.79,-19.461,-12.151,-23.313,-24.838
-12.731,-7.225,-8.057,-7.175,-17.073,-5.74,-17.049,-15.712
-2.762,2.631,-0.432,3.118,-9.205,2.624,-8.655,-6.781
6.255,12.114,6.295,9.877,2.628,7.943,0.547,-1.987
10.934,16.519,11.184,10.806,9.815,7.842,6.403,-0.853
10.828,15.087,13.882,9.757,8.949,6.452,7.496,-0.126
14.626,17.721,21.581,16.3,9.463,13.191,12.059,7.547
26.684,28.765,38.551,31.968,17.487,28.54,24.137,22.955
35.408,35.473,51.063,42.023,24.661,36.967,32.365,32.524
30.787,28.396,45.599,35.87,23.285,29.459,27.511,27.418
20.001,16.733,30.734,24.214,19.483,19.853,16.928,17.598
13.805,12.009,21.885,20.397,21.355,20.857,11.244,13.377
12.461,13.191,21.317,21.89,25.489,25.222,10.585,11.383
12.415,14.851,24.79,22.779,25.799,25.251,10.204,8.824
13.041,15.194,30.055,23.928,23.527,24.731,8.675,9.845
14.004,13.567,32.92,23.976,20.989,24.604,7.326,12.289
14.865,10.545,29.676,19.194,16.937,20.497,7.022,9.689
16.024,8.695,24.538,13.032,12.128,14.443,6.655,5.051
17.625,9.065,24.567,12.324,10.487,12.914,5.824,4.548
19.561,10.018,30.507,16.703,11.419,15.892,6.727,4.917
22.215,10.3,37.622,20.514,12.356,17.815,11.782,2.128
25.893,10.754,40.564,21.625,16.755,17.034,20.536,2.77
29.818,12.151,38.586,21.933,24.321,16.996,26.692,11.855
32.88,13.643,37.126,22.03,27.227,18.363,24.288,18.949
35.325,14.793,40.388,21.544,24.476,18.29,17.682,14.631
37.668,15.869,45.158,21.992,21.192,17.374,13.419,8.792
37.549,14.422,43.434,22.01,19.34,16.279,10.167,10.771
33.188,8.329,34.029,17.338,19.325,11.882,7.497,11.7
29.495,2.809,27.837,12.425,21.329,7.862,9.547,7.124
30.281,3.311,30.079,15.005,23.313,11.272,14.188,5.283
30.001,5.42,31.833,18.152,21.636,14.278,13.251,3.379
23.903,2.76,28.451,11.455,15.917,5.693,5.463,-7.051
15.768,-3.681,24.798,1.018,9.998,-7.045,-1.387,-17.947
11.166,-8.83,22.3,-2.163,6.802,-11.555,-1.476,-17.697
12.372,-8.497,19.66,1.91,6.337,-8.317,2.842,-10.123
17.804,-3.255,20.065,7.016,7.282,-3.191,6.249,-4.814
22.919,1.381,25.26,9.444,10.391,1.18,7.523,-2.642
25.001,2.754,30.706,10.729,16.569,5.704,8.514,0.462
25.01,3.407,31.488,12.835,21.558,10.616,9.439,3.856
24.077,4.495,27.823,13.321,23.048,11.481,10.039,4.57
22.966,5.126,25.521,10.886,24.918,6.741,10.776,3.269
23.279,6.055,28.833,9.449,27.308,3.419,10.481,1.795
24.754,7.529,32.545,10.818,26.165,5.693,8.264,0.306
24.814,7.792,29.789,10.515,20.795,7.214,6.196,-1.026
24.04,7.944,25.662,7.354,14.32,4.069,6.422,-1.242
26.039,11.669,29.643,8.35,10.911,3.211,8.962,0.823
29.152,16.495,36.017,14.621,11.666,6.983,12.09,4.635
26.448,14.273,31.554,15.736,12.811,7.163,11.826,6.721
17.616,4.886,20.747,8.642,10.434,3.37,6.595,6.678
12.039,-0.859,19.232,4.1,7.856,4.199,2.691,9.007
14.454,2.215,26.518,7.061,12.317,8.781,4.456,12.006
18.516,6.639,29.593,10.358,19.761,8.739,4.874,7.084
19.733,6.963,26.889,9.081,18.478,2.774,-2.392,-7.129
20.325,6.116,25.014,3.725,10.336,-5.898,-11.818,-22.837
20.185,4.929,22.623,-4.877,6.427,-15.324,-13.249,-30.547
16.817,0.504,16.813,-12.035,5.018,-20.03,-4.618,-24.862
11.848,-5.399,10.772,-12.554,-1.769,-16.254,5.062,-12.98
9.253,-7.5,7.053,-9.248,-8.103,-10.087,8.224,-8.134
9.831,-4.87,5.309,-6.64,-4.849,-7.051,7.43,-10.173
11.317,-1.073,5.589,-4.158,4.096,-5.092,6.962,-8.974
11.695,1.114,8.215,-1.61,10.586,-3.27,5.895,-4.012
10.164,1.251,11.839,-1.29,12.793,-4.158,2.573,-3.491
7.197,-0.186,13.012,-3.148,11.636,-7.419,0.311,-7.531
4.03,-2.662,10.039,-4.394,7.144,-9.157,2.491,-8.213
0.611,-5.82,6.389,-3.712,1.046,-7.307,3.82,-4.816
-3.845,-9.654,5.023,-3.077,-4.553,-4.642,-1.829,-4.873
-8.151,-13.572,4.076,-4.347,-9.283,-4.689,-7.915,-9.328
-9.065,-14.046,4.25,-3.739,-9.831,-4.211,-3.703,-9.019
-5.814,-8.575,9.519,3.304,-2.906,2.254,7.766,-0.774
-3.944,-3.727,15.088,10.149,5.557,8.599,13.006,5.318
-8.296,-7.421,11.392,7.332,7.431,5.033,7.502,2.318
-14.273,-14.53,3.314,0.178,4.81,-3.125,1.305,-2.318
-14.409,-15.041,4.609,-0.699,3.209,-4.709,3.015,0.177
-8.882,-9.729,14.307,3.601,1.229,-0.353,7.869,6.631
-2.952,-4.851,19.629,7.131,-3.06,4.001,7.861,10.072
0.104,-2.018,15.606,8.331,-6.42,6.655,3.733,9.686
-0.96,-1.669,6.597,5.124,-7.291,4.523,-0.19,4.198
-5.697,-5.153,-1.149,-3.989,-7.813,-5.692,-3.338,-8.644
-9.734,-9.91,-2.525,-12.917,-7.895,-17.281,-6.176,-20.431
-8.876,-11.451,1.307,-14.522,-6.196,-20.392,-7.686,-20.35
-4.118,-8.658,4.761,-9.906,-4.654,-15.445,-6.612,-12.042
2.172,-2.862,8.521,-3.171,-5.743,-8.276,-2.425,-4.407
8.178,2.802,14.761,3.574,-6.723,-2.967,2.802,0.356
9.266,3.153,16.327,5.238,-2.767,-4.764,4.899,0.438
2.771,-3.054,8.96,-2.908,1.479,-14.74,1.859,-6.357
-6.072,-10.076,1.518,-14.744,-4.259,-22.708,-4.509,-15.142
-10.397,-12.157,1.055,-18.364,-15.601,-18.64,-9.592,-16.325
-8.991,-9.18,3.143,-11.896,-17.91,-6.704,-9.598,-7.693
-7.129,-6.808,-0.406,-7.454,-13.947,-2.13,-9.28,-2.724
-10.262,-10.063,-11.022,-13.935,-17.387,-12.027,-15.756,-13.837
-12.797,-12.809,-17.319,-20.852,-21.717,-22.655,-20.856,-27.847
-6.713,-6.826,-10.106,-16.582,-14.102,-20.677,-14.346,-26.633
1.086,1.584,-0.081,-9.024,-4.999,-13.125,-6.021,-16.589
2.334,4.422,1.751,-5.928,-6.402,-7.775,-5.032,-8.299
2.356,5.832,2.2,-1.729,-9.976,-2.836,-3.793,-1.154
4.866,8.678,6.217,3.377,-8.244,-2.6,-0.173,1.655
4.698,8.563,7.53,2.407,-6.315,-9.527,-2.041,-2.867
0.577,4.3,4.379,-2.732,-9.995,-13.575,-8.049,-8.535
-3.462,-0.747,0.914,-6.233,-17.753,-11.661,-9.743,-11.013
-5.956,-3.311,-1.825,-6.498,-21.525,-10.506,-5.911,-10.456
-7.15,-1.81,-3.55,-3.361,-18.354,-9.259,-2.284,-7.149
-6.233,2.096,-2.284,0.67,-14.831,-6.239,-3.17,-4.922
-3.688,5.169,1.339,2.156,-13.212,-6.127,-6.724,-6.434
-2.736,5.296,2.978,2.167,-10.685,-7.783,-8.008,-8.16
-5.062,2.244,-0.53,2.17,-9.932,-6.496,-6.027,-8.024
-7.309,-1.4,-6.737,0.297,-11.991,-5.737,-3.974,-7.317
-6.973,-3.26,-11.025,-3.8,-11.059,-9.739,-3.847,-5.461
-6.892,-4.387,-12.104,-7.107,-6.886,-14.395,-5.246,-2.271
-9.124,-6.019,-10.79,-8.368,-6.184,-15.425,-7.261,-1.269
-12.131,-7.801,-9.199,-9.698,-10.6,-14.404,-8.919,-5.083
-15.348,-10.151,-11.295,-11.991,-16.177,-13.418,-10.375,-10.683
-18.444,-12.591,-16.64,-12.913,-19.568,-12.385,-11.948,-12.176
-18.653,-12.004,-18.104,-11.089,-20.39,-11.778,-11.999,-9.091
-15.593,-8.289,-13.767,-9.497,-20.904,-13.223,-10.442,-7.788
-12.74,-5.871,-10.82,-9.548,-19.914,-14.432,-9.079,-9.439
-11.87,-6.664,-11.885,-7.4,-14.387,-10.23,-7.847,-8.155
-13.868,-9.896,-14.736,-5.262,-11.965,-6.097,-7.908,-6.141
-19.771,-15.408,-21.226,-12.143,-21.546,-14.187,-12.11,-10.824
-25.319,-19.808,-28.453,-24.264,-32.035,-28.19,-18.457,-18.585
-24.123,-17.621,-27.318,-26.126,-28.279,-28.519,-21.033,-20.703
-16.685,-9.546,-18.555,-14.993,-16.456,-14.322,-16.938,-15.089
-9.842,-2.739,-12.123,-3.624,-11.87,-2.429,-9.611,-4.494
-8.62,-1.897,-11.046,-0.833,-19.483,-1.577,-6.493,3.402
-10.11,-3.419,-9.747,-3.115,-29.164,-6.536,-9.183,1.683
-8.808,-1.9,-6.783,-3.542,-26.988,-9.21,-10.367,-3.554
-6.719,0.195,-7.774,-2.584,-18.698,-8.918,-7.86,-5.492
-9.504,-3.139,-15.225,-6.412,-18.545,-11.331,-9.134,-11.063
-15.297,-9.906,-23.732,-15.461,-20.227,-17.29,-15.453,-20.523
-15.735,-11.002,-25.289,-20.487,-12.67,-19.395,-17.347,-19.271
-7.579,-2.835,-17.293,-14.226,-3.218,-12.841,-10.772,-6.177
0.729,6.079,-8.004,-4.483,-2.042,-5.574,-4.281,1.337
-0.688,6.185,-7.586,-3.647,-5.071,-6.998,-5.091,-3.695
-8.658,0.504,-13.389,-8.32,-5.046,-10.786,-9.335,-9.978
-13.235,-2.302,-16.742,-7.676,-5.855,-7.514,-11.612,-9.39
-12.747,-1.503,-16.516,-3.587,-13.644,-3.025,-12.674,-6.192
-11.577,-1.232,-15.738,-4.544,-22.753,-6.165,-14.046,-5.89
-11.227,-2.2,-15.244,-9.266,-22.104,-12.463,-14.3,-8.057
-10.828,-3.087,-14.459,-10.085,-11.402,-12.849,-12.409,-10.307
-10.629,-3.831,-13.839,-6.632,-3.492,-8.521,-10.577,-12.046
-11.731,-4.666,-14.697,-5.593,-8.504,-7.462,-11.766,-12.631
-14.021,-5.49,-16.15,-9.505,-22.269,-11.766,-15.482,-11.691
-14.558,-4.992,-15.797,-12.945,-33.462,-15.463,-17.566,-10.687
-10.762,-1.582,-14.68,-10.248,-33.583,-12.949,-14.464,-9.28
-6.492,1.538,-16.062,-4.074,-21.827,-6.732,-8.236,-5.859
-7.885,-0.525,-18.499,-2.023,-8.765,-4.541,-5.367,-3.383
-13.148,-5.523,-18.428,-5.78,-6.702,-8.763,-8.4,-5.96
-15.8,-7.972,-18.663,-10.7,-11.941,-14.17,-12.338,-10.485
-15.226,-7.881,-22.687,-13.701,-12.165,-15.672,-12.619,-10.755
-14.907,-7.701,-25.18,-14.332,-7.635,-13.125,-11.378,-6.958
-15.411,-7.604,-20.979,-12.753,-6.306,-10.167,-11.671,-3.765
-16.454,-8.592,-16.309,-11.542,-9.524,-10.669,-12.409,-3.255
