EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0.881,3.633,-8.255,5.883,-0.762,-1.003,-1.165,-0.88
1.478,5.4,-7.186,7.85,0.14,1.663,0.148,3.742
5.879,10.902,-5.446,10.445,2.294,5.262,3.746,5.998
8.834,13.549,-6.67,8.791,1.177,4.303,4.064,0.862
4.337,7.229,-13.011,0.016,-5.488,-4.859,-3.269,-12.958
-1.755,-1.159,-17.895,-8.205,-10.292,-14.133,-10.582,-23.686
0.417,-0.353,-13.383,-6.091,-5.453,-12.575,-7.311,-19.737
6.865,5.926,-4.197,2.267,3.314,-4.022,1.582,-8.154
6.404,5.463,-1.556,5.472,5.697,-0.282,4.251,-2.716
-0.412,-1.134,-5.38,3.077,3.253,-1.995,2.026,-2.918
-4.251,-3.864,-6.826,2.366,3.396,-2.036,2.695,-1.289
-2.157,-1.007,-4.406,4.328,5.798,0.233,5.146,1.241
1.379,2.261,-2.921,5.666,6.37,1.498,5.144,1.167
2.503,3.657,-3.019,6.036,5.309,2.065,3.798,0.486
1.26,3.094,-3.014,5.862,4.388,2.846,3.01,0.609
-0.777,0.292,-3.402,4.422,3.592,2.584,2.037,-0.695
-3.268,-3.783,-4.523,2.536,2.467,1.037,0.575,-2.805
-5.593,-6.38,-5.439,2.571,1.291,0.115,0.284,-1.732
-5.882,-5.637,-6.185,4.949,0.504,1.371,2.012,2.669
-5.098,-4.034,-8.381,6.912,-0.63,3.932,3.657,6.426
-6.244,-5.31,-12.071,6.773,-2.537,5.687,3.19,9.366
-8.145,-8.285,-14.11,6.71,-3.118,6.31,2.006,14.436
-8.041,-9.907,-13.609,6.623,-1.773,5.432,2.079,16.811
-7.991,-11.54,-14.631,1.428,-2.169,-0.041,2.143,6.824
-10.174,-14.528,-18.13,-8.255,-5.381,-9.391,0.48,-11.667
-11.567,-15.246,-19.142,-13.31,-7.101,-14.817,-1.149,-21.429
-9.925,-11.997,-16.385,-10.644,-5.679,-12.452,-0.814,-15.541
-7.888,-8.936,-14.841,-7.079,-4.567,-7.728,-0.48,-5.428
-8.547,-9.233,-17.363,-6.939,-5.945,-5.942,-2.461,-1.765
-12.15,-12.062,-21.117,-8.183,-8.4,-6.375,-5.147,-2.651
