EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-7.495,-21.93,2.089,-4.223,6.467,-1.284,6.012,5.507
12.877,36.414,12.44,15.198,12.478,14.475,12.964,13.247
26.863,85.424,21.051,30.205,18.226,25.753,17.61,16.139
18.979,60.339,18.665,26.833,16.512,22.938,16.45,12.54
5.8,6.298,12.566,20.041,11.865,19.339,13.525,9.291
2.067,-10.937,8.903,14.248,8.126,15.424,10.398,8.613
-3.108,-19.037,3.257,-1.401,1.594,0.973,5.014,5.255
-10.875,-42.123,-0.616,-14.163,-2.989,-9.466,1.177,0.689
-6.437,-43.806,4.319,-8.927,2.174,-3.281,2.97,0.924
9.777,-13.064,13.039,3.703,12.349,6.396,8.522,6.201
23.338,20.783,18.49,11.817,19.368,10.265,15.146,12.705
27.931,47.493,20.521,15.969,21.05,12.151,19.984,16.027
27.388,69.057,20.399,18.581,17.442,14.194,19.943,14.801
19.673,55.748,15.442,14.277,8.461,10.853,14.442,10.272
2.552,-1.316,5.729,0.194,-1.491,-0.339,7.168,3.704
-4.95,-30.182,4.392,-3.421,-0.189,-2.096,7.399,2.113
13.19,16.977,19.856,20.774,17.243,20.202,19.268,12.493
32.993,69.617,32.643,44.554,32.673,41.15,28.657,24.337
24.877,55.196,22.662,31.225,27.592,27.402,21.601,21.417
1.299,7.499,3.474,-1.657,11.301,-4.392,8.32,8.813
-12.2,-23.187,-3.226,-14.024,2.122,-14.558,4.234,2.495
-14.183,-39.165,0.488,-5.756,1.278,-2.861,6.186,3.913
-8.571,-31.294,4.851,1.7,4.236,5.184,7.462,6.76
6.993,17.724,10.247,9.274,12.326,8.955,11.217,11.193
18.984,57.249,13.588,20.105,18.721,17.136,15.25,14.496
6.702,23.482,5.313,14.086,10.471,12.268,10.05,9.031
-14.285,-35.366,-5.257,-7.02,-2.536,-7.554,2.456,1.779
-12.089,-30.642,0.411,-10.001,1.721,-10.723,7.918,6.595
0.946,9.056,11.941,2.913,15.009,2.519,17.735,15.106
-4.581,5.139,9.115,0.322,14.28,0.872,13.716,10.862
-16.379,-22.387,1.086,-11.576,5.496,-11.427,3.431,1.321
-9.996,-9.811,4.826,-5.366,7.555,-7.403,4.069,2.457
1.306,15.756,11.538,7.861,14.469,3.632,10.215,8.654
-5.298,-10.39,7.219,1.09,10.959,-2.83,8.802,7.251
-18.492,-57.825,0.601,-11.883,3.564,-12.992,5.158,3.761
-16.856,-54.621,3.278,-4.492,5.11,-4.026,7.779,7.019
-6.946,-11.696,7.592,9.532,9.999,8.309,10.672,10.597
-4.429,14.243,6.142,6.95,9.722,3.366,10.478,8.556
-3.399,18.192,8.136,2.561,11.6,-1.434,15.87,9.56
3.353,21.43,16.743,13.705,19.778,11.21,25.651,18.017
0.952,6.847,15.474,17.131,19.783,16.608,23.529,19.991
-17.22,-38.477,-1.651,-4.993,5.036,-4.203,7.734,8.521
-26.404,-64.408,-13.044,-22.164,-6.162,-21.195,-1.184,0.508
-10.645,-28.395,-4.682,-8.813,-2.351,-9.256,5.828,7.05
7.205,21.146,6.718,10.706,2.205,8.734,12.601,14.063
4.771,20.372,4.707,10.029,-1.942,9.258,7.176,9.256
-7.712,-14.576,-2.444,0.711,-4.947,2.905,-1.931,0.968
-13.695,-35.564,-2.17,-2.387,-2.104,0.89,-5.086,-1.791
-11.764,-30.365,3.599,-2.291,1.737,-0.336,-2.741,-1.577
-2.998,-6.756,10.297,4.681,8.574,4.552,4.248,1.648
9.658,21.081,16.883,20.183,18.282,18.052,12.819,9.206
12.136,24.458,15.9,21.569,17.723,18.714,12.9,11.346
-0.37,-3.413,4.563,0.598,3.7,-1.102,3.624,2.943
-9.881,-25.911,-3.172,-12.842,-6.77,-13.442,-2.404,-3.942
-5.094,-16.318,1.155,-3.314,-4.728,-4.806,-0.728,-1.563
2.071,5.991,7.217,7.238,-0.194,3.741,0.962,2.315
0.773,10.865,6.035,4.215,-0.735,0.376,-0.639,1.377
-4.318,-6.316,1.099,-2.091,-2.983,-3.618,-2.027,-0.893
-6.433,-27.061,-2.175,-3.374,-3.388,-2.592,-1.458,-0.354
-4.789,-28.01,-2.057,-2.804,-1.769,-2.269,0.391,1.892
0.078,-4.565,1.487,-2.031,1.525,-3.174,3.123,3.443
5.986,19.477,5.58,0.883,4.37,-0.934,5.432,3.836
7.345,18.376,6.043,3.465,4.383,2.258,5.453,2.884
2.352,-1.78,2.928,0.994,2.494,0.551,3.628,1.137
-2.873,-11.994,0.061,-4.256,0.442,-4.569,2.665,1.078
-2.175,-1.441,0.978,-4.333,-0.298,-5.753,4.812,4.024
2.833,10.514,5.954,2.37,2.541,-0.748,8.839,7.642
4.953,4.312,9.954,6.455,5.149,3.221,10.224,8.056
1.712,-12.549,8.535,0.946,-0.634,-0.612,7.595,5.023
-0.604,-17.211,4.508,-7.779,-9.744,-7.861,5.362,2.609
2.33,-3.646,2.379,-10.448,-8.603,-9.755,5.927,2.504
7.214,13.375,4.222,-5.181,0.039,-4.038,7.425,3.855
10.792,20.246,10.855,5.847,3.602,6.507,9.479,8.519
10.969,16.245,15.714,15.39,2.312,14.862,10.601,15.081
4.386,7.325,9.409,11.653,2.353,10.3,6.962,14.343
-5.568,-3.702,-1.98,-3.105,2.813,-4.665,1.033,4.02
-8.768,-12.026,-4.182,-9.859,2.478,-11.125,-0.379,-3.359
-1.707,-3.326,3.18,-0.993,4.969,-2.057,3.217,0.132
9.271,22.797,11.183,11.449,10.922,9.918,7.144,6.148
13.949,36.542,13.47,14.097,12.949,12.542,8.037,6.479
8.651,23.69,8.601,5.991,6.642,5.489,6.017,4.528
5.002,15.146,5.036,1.186,1.94,1.265,5.106,5.734
10.194,23.133,9.494,6.912,7.298,7.027,6.18,7.284
9.306,8.735,9.545,5.306,10.712,6.927,2.193,2.285
-1.865,-27.039,-2.012,-9.879,2.166,-5.972,-6.005,-5.744
0.976,-18.651,-5.095,-9.153,-3.006,-5.14,-3.807,-3.098
21.272,32.001,8.24,15.04,5.634,17.134,9.486,9.657
27.066,42.908,13.782,24.33,11.875,24.803,14.146,13.984
11.518,8.168,3.841,7.235,7.116,6.536,5.118,5.854
2.079,-5.613,-0.469,-2.719,3.813,-4.573,-1.24,1.465
3.956,4.91,4.702,3.517,4.685,1.332,0.266,4.735
0.684,1.926,3.304,4.101,0.956,1.891,0.034,4.041
-4.253,-2.767,-4.466,-1.202,-3.487,-4.846,-2.06,-0.835
1.623,15.774,-5.579,3.963,0.082,-1.906,0.635,-0.775
9.876,30.262,-1.195,13.165,3.65,7.234,3.75,1.57
8.745,12.192,-0.804,9.067,-4.168,5.78,0.941,-0.544
6.819,-4.546,-2.452,-0.737,-14.491,-2.555,-1.357,-1.595
11.238,10.379,-1.611,1.189,-13.692,-2.629,3.004,3.981
12.336,29.641,-2.743,10.015,-6.34,3.932,7.259,9.15
6.56,29.379,-7.255,12.063,-2.002,6.552,4.956,7.377
2.835,19.636,-9.665,8.104,-1.021,4.94,0.058,3.001
4.707,12.84,-8.616,7.475,-1.884,6.237,-1.528,1.905
6.623,10.636,-7.347,11.464,-4.68,10.614,0.445,2.519
4.401,9.539,-7.5,10.791,-6.714,8.361,2.027,0.905
2.811,11.974,-6.733,5.189,-3.343,0.485,1.665,-0.366
5.799,17.67,-3.918,5.577,3.373,0.989,1.421,2.329
4.584,9.111,-5.315,6.455,3.398,5.507,-0.079,3.194
-4.594,-14.025,-12.082,-3.42,-4.852,-0.152,-3.868,-2.453
-5.494,-11.333,-10.247,-8.207,-8.486,-4.29,-2.832,-5.564
13.953,46.333,8.231,11.793,0.587,11.123,7.013,2.289
34.929,109.941,24.969,38.176,10.944,30.72,14.268,12.237
24.852,83.055,14.67,31.965,4.259,22.179,5.347,8.444
-10.537,-24.862,-15.486,-4.05,-16.181,-9.399,-12.724,-7.434
-25.669,-79.21,-31.523,-21.288,-25.934,-21.732,-19.585,-15.255
-7.114,-34.315,-23.096,-3.721,-17.187,-4.026,-11.2,-6.655
10.888,17.089,-11.783,11.7,-5.878,8.951,-0.932,3.623
11.753,27.104,-9.821,7.209,-0.369,2.606,3.031,4.133
10.741,30.309,-8.673,4.736,3.768,-0.721,2.666,1.52
13.197,39.956,-3.451,13.032,6.664,7.483,0.568,2.739
6.739,26.708,-3.46,12.497,1.719,8.367,-4.205,1.08
-11.362,-17.046,-14.706,-3.883,-11.106,-4.677,-10.438,-8.151
-22.216,-38.324,-24.228,-13.586,-17.803,-12.231,-12.46,-14.242
-13.118,-1.268,-20.665,-4.105,-11.194,-4.623,-10.609,-10.108
-0.818,37.005,-15.343,4.918,-5.261,1.667,-11.316,-5.089
-1.118,23.65,-17.413,1.165,-7.785,-2.372,-12.788,-5.643
-1.27,5.624,-15.457,1.524,-6.193,-2.104,-8.303,-5.036
7.816,24.204,-6.04,11.756,2.763,6.824,-2.424,-0.664
9.163,31.853,-5.387,9.686,3.313,5.023,-4.942,-1.011
-4.918,-1.14,-17.683,-9.646,-8.988,-11.76,-12.622,-7.923
-17.106,-33.147,-26.87,-21.399,-19.957,-21.561,-15.251,-11.983
-16.466,-33.219,-24.499,-14.944,-21.161,-15.963,-12.496,-10.448
-8.512,-7.864,-16.291,-3.222,-15.754,-7.781,-9.336,-9.184
-0.92,20.583,-9.012,3.389,-10.333,-4.112,-6.399,-8.465
