EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
2.147,14.463,9.984,13.22,2.143,39.065,13.832,15.172
-1.371,10.338,5.115,10.36,-2.688,37.562,10.668,13.296
-9.045,2.8,-2.556,4.011,-10.65,30.856,4.381,6.6
-16.508,-4.739,-7.497,-1.337,-16.053,24.083,0.108,0.539
-16.63,-6.194,-4.869,0.281,-13.457,25.315,3.199,1.427
-9.542,-1.144,3.017,7.095,-5.091,33.03,10.841,7.83
-2.562,3.975,8.708,10.97,1.015,37.412,14.71,12.432
-0.776,4.32,8.871,8.676,1.2,34.193,12.577,11.822
-2.389,2.541,8.038,5.79,0.318,29.6,11.059,9.975
-5.188,1.954,9.38,6.416,1.938,29.129,13.512,10.53
-11.528,-1.844,7.729,5.47,0.79,28.263,13.024,9.952
-20.996,-11.537,0.591,0.097,-5.901,23.58,6.375,5.836
-27.612,-19.471,-5.196,-2.992,-11.136,21.22,1.363,3.167
-29.332,-21.181,-6.112,-2.005,-11.356,22.627,1.427,3.144
-29.187,-22.294,-6.521,-3.949,-11.555,20.381,1.093,0.406
-27.392,-24.92,-8.124,-8.516,-13.542,15.226,-0.818,-3.844
-22.378,-24.595,-8.025,-7.885,-13.402,16.166,-0.127,-2.883
-17.013,-21.801,-5.764,-2.396,-10.124,22.603,3.143,1.944
-16.272,-21.932,-3.8,0.425,-7.057,25.283,5.306,3.821
-20.004,-25.77,-2.672,-0.846,-5.785,22.432,6.202,2.828
-23.538,-29.772,-1.255,-1.872,-4.897,20.132,7.88,3.382
-23.531,-31.907,0.193,-1.147,-3.753,21.207,8.671,5.194
-19.57,-32.084,1.396,0.175,-2.832,23.813,6.605,6.186
-14.343,-31.666,2.001,0.916,-3.06,25.532,3.714,6.705
-12.623,-32.868,0.04,-0.64,-5.725,24.388,1.552,6.157
-16.326,-35.343,-4.243,-4.295,-9.695,20.795,-0.36,3.623
-22.879,-37.468,-7.66,-7.206,-12.163,17.762,-1.692,1.173
-29.273,-40.795,-10.012,-8.981,-13.794,15.977,-3.265,-0.099
-33.22,-46.156,-13.748,-11.321,-17.291,13.933,-7.826,-2.457
-30.081,-48.475,-16.492,-11.737,-20.228,13.793,-13.446,-4.881
-17.007,-43.27,-13.182,-6.843,-17.47,18.083,-13.462,-2.939
-2.35,-33.925,-6.131,0.009,-10.693,23.261,-7.318,2.311
0.244,-27.489,-2.453,2.857,-6.309,24.554,-1.262,5.645
-10.602,-27.785,-3.595,0.78,-6.09,21.883,1.789,5.955
-23.537,-33.003,-5.632,-2.143,-6.884,19.092,3.393,5.718
-30.268,-37.305,-6.063,-1.691,-6.511,20.084,4.123,6.122
-30.866,-37.072,-5.435,1.279,-5.81,23.142,3.189,6.02
-27.528,-34.517,-4.773,2.168,-6.078,22.514,0.846,4.108
-22.526,-33.083,-3.808,0.727,-6.519,18.738,-0.553,2.251
-19.629,-34.072,-2.211,0.662,-6,17.546,1.235,3.49
-21.583,-37.926,-1.664,1.091,-6.107,18.044,4.11,5.814
-25.45,-43.012,-3.131,-0.933,-8.038,15.705,4.246,5.437
-23.901,-44.72,-2.703,-2.015,-7.982,13.799,4.107,5.298
-14.843,-40.985,3.099,2.474,-2.566,17.848,9.039,9.981
-6.7,-36.14,8.84,8.774,2.884,24.029,15.073,15.302
-6.986,-34.5,7.607,10.14,1.49,25.176,14.058,14.925
-10.558,-34.853,3.415,7.368,-3.35,22.258,9.019,11.575
-9.258,-35.214,3.311,5.299,-4.861,20.288,7.635,10.157
-5.815,-36.616,4.684,3.871,-4.87,18.535,7.704,8.359
-7.961,-39.95,2.256,0.175,-8.12,13.332,4.191,2.966
