EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
116.268,151.212,124.797,133.201,129.536,142.163,130.465,124.738
112.749,147.686,121.54,132.53,126.522,142.143,130.786,127.124
117.43,149.539,122.533,136.216,126.284,146.614,132.462,131.657
122.179,152.784,125.445,139.282,127.365,150.11,134.119,134.81
119.355,150.094,123.674,135.335,124.385,145.872,131.123,130.472
112.431,140.603,116.066,125.425,116.651,134.951,122.284,118.767
111.138,133.337,110.95,119.305,112.191,127.999,116.004,111.952
115.757,134.019,113.143,121.357,115.25,130.022,118.428,117.141
118.495,137.373,117.333,124.646,119.818,133.689,123.787,124.773
117.431,136.521,117.172,122.379,119.176,131.649,123.514,123.729
114.722,131.094,111.927,115.55,113.048,124.667,116.527,114.641
109.878,124.924,104.872,108.6,105.377,117.331,107.517,104.311
105.065,121.758,100.676,105.125,100.793,114.079,101.967,98.913
107.206,123.898,103.031,106.838,102.25,116.716,103.29,101.494
116.197,129.264,109.316,110.661,107.025,120.647,108.76,107.453
120.555,130.672,111.483,111.695,108.646,120.584,112.191,110.669
112.345,122.625,105.597,107.966,104.11,115.923,110.379,110.187
96.791,107.403,94.56,97.602,94.326,105.084,101.41,101.32
84.227,94.125,84.28,83.456,83.494,90.457,87.701,82.788
80.352,90.781,80.383,77.057,78.802,84.094,80.118,71.165
84.49,96.457,83.438,82.777,82.241,90.48,84.086,77.926
92.928,104.446,88.884,90.43,87.724,98.429,91.152,89.919
101.741,110.413,93.001,92.33,90.421,99.892,94.08,94.323
106.648,113.378,94.197,91.038,90.282,98.004,94.283,93.603
104.318,111.897,90.907,87.942,86.838,94.561,91.287,88.005
96.342,105.192,83.863,81.324,80.225,88.03,83.581,75.801
87.681,97.12,77.397,74.503,74.673,81.705,77.357,66.247
82.058,93.12,75.688,72.644,74.053,80.283,78.579,67.619
82.042,94.084,79.106,75.395,77.27,83.022,83.813,75.093
85.496,95.941,82.167,77.31,78.956,84.238,85.502,78.456
84.332,94.431,78.286,73.544,74.432,79.051,79.839,72.279
77.645,91.006,70.811,67.607,67.431,71.982,71.642,62.617
73.172,89.013,67.699,66.079,64.71,70.457,67.824,58.23
70.374,84.872,66.086,65.705,63.134,70.559,65.784,56.695
