EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
28.517,33.432,30.719,42.892,30.6,43.172,20.917,28.374
33.359,34.206,29.21,38.651,29.069,38.057,15.863,24.129
25.4,28.252,22.97,26.512,22.511,22.725,7.797,12.868
16.047,23.948,18.309,22.149,17.752,17.026,7.039,10.857
18.971,28.932,21.438,32.642,21.303,29.448,15.791,25.79
29.545,37.2,26.618,42.336,26.873,40.639,22.132,39.952
38.453,40.466,26.731,41.191,26.936,38.979,20.867,38.3
45.154,41.284,24.328,37.813,24.286,35.202,17.616,28.133
45.631,43.245,19.584,36.426,19.384,34.671,11.461,19.166
34.133,42.563,9.384,31.535,9.135,30.939,0.906,11.403
20.941,36.964,2.011,22.862,1.758,21.796,-3.838,6.112
20.215,31.501,6.914,17.64,6.687,14.909,2.278,7.097
27.464,30.606,16.559,20.149,16.41,18.284,9.125,12.421
31.162,31.867,19.1,24.656,19.077,26.129,9.708,16.306
29.459,30.926,14.813,22.553,14.907,24.868,6.839,13.629
23.061,26.288,6.765,13.059,6.831,12.654,-0.061,2.387
12.489,19.156,-4.505,3.039,-4.714,0.672,-10.896,-9.988
4.674,12.762,-12.366,-0.98,-12.875,-2.325,-15.476,-12.257
4.963,9.352,-11.338,-0.06,-11.836,0.241,-10.207,-5.73
6.45,7.436,-7.961,-0.176,-8.245,0.332,-5.995,-1.689
1.974,6.252,-8.644,-1.573,-8.826,-0.81,-7.841,-3.441
-2.041,8.346,-10.273,0.892,-10.469,4.198,-10.411,-4.451
1.256,12.727,-11.378,5.679,-11.67,12.022,-12.932,-2.795
7.246,14.038,-13.805,5.339,-14.432,10.66,-16.043,-3.33
10.74,11.608,-14.001,-0.451,-15.094,0.118,-15.09,-6.751
12.352,10.631,-8.889,-4.274,-10.211,-6.521,-10.214,-8.9
13.698,13.437,-2.59,-1.921,-3.887,-2.931,-6.717,-7.319
13.086,14.183,-1.609,1.847,-2.909,2.674,-5.796,-4.354
6.323,6.185,-8.143,-0.344,-9.532,0.72,-6.977,-5.698
-2.772,-5.422,-16.865,-6.689,-18.219,-5.356,-10.637,-10.21
-6.272,-11.111,-22.52,-11.511,-23.675,-9.086,-16.153,-11.916
-10.181,-14.189,-27.193,-18.383,-28.358,-16.355,-22.184,-15.724
-20.853,-20.527,-31.532,-28.104,-33.126,-28.061,-24.611,-24.316
-26.137,-24.096,-31.046,-30.103,-33.097,-29.918,-21.032,-24.779
-18.853,-21.089,-27.375,-23.328,-29.603,-20.749,-18.231,-15.859
-12.911,-19.161,-28.094,-20.242,-30.316,-16.94,-22.069,-13.799
-18.311,-22.143,-33.365,-23.764,-35.451,-21.521,-27.029,-20.268
-24.882,-21.94,-34.439,-23.261,-36.398,-20.859,-25.876,-20.895
-21.973,-14.711,-28.942,-15.589,-31.094,-11.709,-22.06,-14.734
-18.035,-13.01,-28.425,-14.16,-31.012,-9.53,-26.212,-17.577
-24.886,-25.616,-40.397,-27.357,-43.198,-23.734,-39.776,-33.804
-36.91,-40.218,-55.088,-43.205,-57.742,-42.141,-51.223,-48.419
-43.323,-43.267,-60.041,-48.298,-62.537,-49.769,-53.042,-50.81
-43.471,-37.627,-54.309,-43.795,-56.93,-45.292,-48.676,-44.528
-41.17,-33.097,-45.144,-37.793,-48.065,-37.08,-42.746,-36.467
-40.868,-35.495,-40.209,-36.411,-43.358,-34.607,-39.553,-33.143
-46.118,-43.294,-42.525,-40.043,-45.84,-39.147,-43.934,-38.941
-51.986,-49.39,-48.538,-44.201,-52.009,-43.871,-53.098,-49.124
-51.754,-49.68,-52.593,-45.61,-56.011,-44.703,-58.349,-53.925
-47.952,-45.475,-51.563,-43.369,-54.762,-42.427,-54.554,-49.764
-44.751,-40.044,-46.139,-39.32,-49.356,-40.253,-45.017,-42.825
-44.037,-39.248,-42.307,-39.604,-45.741,-43.201,-41.831,-43.666
-46.863,-44.494,-43.457,-44.657,-46.87,-49.226,-48.525,-51.128
-45.943,-45.894,-42.376,-44.086,-45.466,-47.691,-48.885,-49.2
-34.612,-36.718,-33.116,-32.384,-35.893,-34.982,-33.449,-33.448
-22.373,-25.074,-22.323,-18.101,-25.024,-19.998,-17.847,-20.316
-20.906,-21.712,-20.051,-12.483,-22.841,-13.033,-19.277,-21.042
-27.53,-27.779,-27.165,-18.772,-29.965,-18.487,-33.124,-29.278
-33.172,-35.992,-34.237,-29.462,-36.819,-30.714,-40.214,-33.77
-31.798,-36.76,-30.417,-30.472,-32.668,-33.955,-29.399,-28.247
-22.547,-26.445,-15.455,-16.982,-17.567,-20.188,-9.04,-14.77
-11.475,-12.2,-1.033,-1.869,-3.262,-2.782,4.426,-2.205
-6.491,-6.213,2.028,0.346,-0.237,0.689,2.942,1.435
-10.603,-13.535,-6.902,-9.843,-8.93,-10.13,-9.618,-4.942
-19.959,-25.197,-19.763,-20.205,-21.495,-21.251,-22.01,-14.348
-25.636,-28.521,-26.052,-20.964,-27.599,-21.316,-24.501,-16.746
-24.253,-23.989,-22.76,-15.37,-24.174,-14.009,-17.972,-10.626
-21.196,-20.165,-16.265,-12.892,-17.571,-10.894,-11.206,-5.903
-19.821,-19.184,-12.89,-14.931,-14.154,-14.041,-10.369,-9.769
-19.566,-19.54,-14.394,-16.522,-15.689,-15.952,-14.5,-16.629
-18.264,-19.218,-16.746,-14.267,-18.091,-12.395,-16.189,-15.645
-12.3,-13.99,-11.962,-6.96,-13.143,-5.599,-7.2,-3.76
-2.181,-4.434,0.607,3.378,-0.041,1.851,9.521,9.949
7.702,3.653,11.77,11.43,11.706,8.594,19.934,15.266
14.183,8.014,15.113,14.12,15.303,12.529,18.276,14.949
16.176,10.353,13.714,14.449,13.851,14.488,14.835,18.266
15.978,12.815,14.364,17.867,14.274,19.424,18.533,24.214
16.132,15.266,18.522,23.587,18.153,26.43,24.822,25.55
15.051,14.512,21.038,24.368,20.515,27.073,26.415,23.476
12.499,10.888,19.361,18.621,18.758,19.746,24.366,22.046
10.593,8.793,15.735,12.183,14.972,11.995,20.485,16.713
9.741,9.384,11.512,9.564,10.658,9.877,13.579,7.52
12.544,11.671,10.085,12.594,9.277,14.403,10.432,7.363
21.375,14.653,15.62,18.862,14.63,20.649,18.186,18.263
30.187,14.93,22.868,21.075,21.416,21.115,27.277,24.428
28.574,9.705,21.148,15.76,19.568,14.547,24.283,18.105
15.825,2.605,11.323,8.597,10.097,7.424,12.835,9.001
6.576,1.468,7.491,8.336,6.361,7.786,7.388,8.234
9.336,5.584,13.334,13.836,11.682,13.717,11.661,13.346
11.283,4.421,14.818,13.751,12.652,13.126,14.917,13.26
6.558,-1.565,8.765,7.26,6.695,5.624,12.762,8.563
8.915,-0.27,8.033,6.354,6.396,4.336,14.119,9.803
18.52,5.822,13.437,11.499,11.918,9.604,20.523,15.002
17.979,3.482,13.159,10.521,11.337,8.035,20.09,11.564
6.973,-4.229,6.426,2.475,4.297,-1.56,9.466,-0.593
3.451,-3.897,4.52,0.882,2.278,-3.537,3.43,-5.141
13.095,4.871,10.52,10.92,8.159,8.257,12.075,6.587
23.074,11.716,14.07,20.323,11.489,18.866,22.225,19.73
21.116,10.964,8.688,19.122,5.98,17.432,18.246,18.148
8.652,4.132,0.667,11.386,-1.971,10.506,6.881,8.177
-2.269,-5.403,-3.155,2.342,-5.81,2.905,1.625,1.278
-5.297,-14.008,-4.83,-7.693,-7.762,-7.768,1.051,-5.196
-6.006,-16.863,-6.809,-13.979,-9.791,-16.054,-0.342,-12.417
-7.765,-12.177,-6.22,-10.742,-8.841,-13.686,-0.776,-12.947
-7.788,-5.747,-3.162,-3.271,-5.689,-5.779,-0.042,-8.599
-5.916,-4.049,-1.495,-0.076,-4.405,-1.894,-1.135,-8.012
-5.515,-8.01,-3.469,-2.106,-6.488,-3.127,-4.083,-9.527
-9.209,-14.875,-9.893,-7.594,-12.344,-7.507,-7.665,-8.452
-14.355,-18.389,-15.901,-12.349,-17.685,-11.341,-8.63,-6.943
-15.006,-14.424,-12.928,-10.101,-14.503,-8.532,-2.227,-5.637
