EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0.578,5.512,4.919,7.429,5.208,7.067,5.872,12.234
0.748,4.495,3.088,5.091,3.185,4.769,3.672,9.208
2.661,3.921,3.24,3.924,3.233,3.505,4.575,7.793
5.834,3.906,4.085,4.076,4.161,3.532,6.067,8.427
7.26,3.662,3.305,3.554,3.537,2.545,5.428,8.501
6.234,2.944,2.365,1.869,2.484,0.316,4.535,7.39
5.706,2.171,2.546,0.332,2.31,-0.967,4.105,6.48
7.468,1.836,2.33,-0.527,1.969,-0.914,2.524,6.079
7.586,1.216,1.556,-1.225,1.341,-1.104,1.002,5.635
2.543,-0.45,2.275,-1.452,2.142,-1.294,2.445,5.753
-2.716,-1.91,4.233,-0.734,4.155,-0.197,5.783,6.969
-2.111,-1.979,4.501,0.169,4.577,1.417,6.91,8.083
1.64,-1.688,2.742,0.488,2.834,2.202,5.1,8.127
2.242,-2.721,2.021,0.205,1.901,2.185,3.854,7.75
-0.618,-4.95,3.173,-0.327,2.95,1.646,4.687,7.729
-1.643,-5.664,4.616,0.316,4.509,1.359,6.466,8.924
1.972,-2.498,7.511,3.672,7.536,3.262,10.656,12.58
6.69,2.873,12.669,8.693,12.804,7.748,17.13,17.68
10.038,7.098,16.334,12.887,16.613,12.531,20.406,21.334
13.841,9.244,17.064,15.394,17.458,15.668,20.235,23.196
16.412,9.676,18.493,16.36,18.851,16.913,23.292,24.93
13.778,8.556,20.26,15.295,20.363,16.209,28.526,26.007
7.771,6.381,17.114,12.065,16.893,13.532,26.867,24.354
3.777,4.188,10.268,8.38,9.99,10.462,17.858,20.532
4.042,3.581,7.676,6.607,7.69,9.397,10.987,17.596
6.076,4.808,10.938,7.125,11.262,10.574,10.042,16.976
7.088,6.065,14.649,8.7,15.074,12.432,11.1,17.852
8.797,7.739,17.708,11.322,18.155,14.616,13.628,19.488
13.595,12.188,22.385,15.381,22.895,17.31,19.446,21.201
18.745,17.531,25.791,18.173,26.357,18.544,23.953,21.213
20.515,19.322,23.18,16.498,23.746,16.349,19.98,18.054
20.002,17.546,16.703,12.446,17.097,12.624,9.946,13.452
20.099,15.454,13.171,10.87,13.172,11.051,4.357,11.106
19.847,13.893,14.29,12.141,13.953,11.955,6.459,11.637
16.117,11.261,15.015,12.434,14.58,12.256,8.575,12.001
10.091,7.917,12.086,10.319,11.773,10.35,5.529,10.299
6.413,6.609,8.872,8.602,9.011,8.109,1.886,8.141
6.38,8.205,9.327,9.389,9.935,7.69,2.944,7.927
7.57,10.655,11.864,11.125,12.27,8.96,6.279,9.624
8.717,12.255,13.061,11.717,12.895,10.417,7.565,11.437
10.696,13.033,12.966,11.615,12.831,11.371,7.894,12.701
12.705,12.85,12.62,11.668,13.011,12.04,8.784,13.644
12.193,11.399,12.172,11.459,12.645,12.474,8.989,14.342
10.414,10.76,13.897,12.106,13.854,13.379,10.684,16.015
11.001,12.856,18.976,15.144,18.588,15.601,16.75,19.432
12.778,15.183,22.847,18.329,22.634,17.818,22.415,22.358
12.101,14.908,21.392,18.333,21.338,17.937,21.167,22.214
9.978,13.447,17.253,15.689,17.034,16.159,15.698,19.823
9.769,12.909,15.442,13.778,15.104,14.683,13.856,18.501
10.874,12.806,16.691,14.516,16.555,15.186,16.468,19.596
11.066,12.064,18.343,16.492,18.622,17.22,18.101,21.059
11.445,11.302,19.674,17.739,20.389,19.041,17.995,21.368
13.233,12.008,21.879,18.31,22.861,19.511,19.846,21.198
14.226,13.65,23.092,18.05,23.918,18.185,21.326,20.082
13.401,14.146,20.2,16.151,20.498,15.629,16.715,16.892
12.941,13.351,16.296,14.405,16.263,14.235,10.631,14.225
12.295,11.819,16.598,14.556,16.761,14.924,11.932,15.055
8.207,8.818,18.583,14.57,19.103,15.288,16.359,16.78
1.738,4.94,16.828,13.061,17.445,14.03,14.316,15.681
-1.907,2.571,12.755,12.213,13.174,13.107,8.283,13.357
-0.418,2.991,11.459,13.43,11.667,14.083,7.038,13.391
3.156,5.354,13.659,14.938,13.907,15.531,10.964,15.271
5.282,7.522,15.228,14.582,15.567,15.241,13.198,15.626
5.038,7.092,12.741,11.906,13.031,12.832,10.522,13.288
2.699,4.115,8.399,8.454,8.719,9.59,7.404,10.404
-0.866,1.785,7.372,6.996,7.763,7.423,8.825,9.562
-4.325,1.952,10.204,8.556,10.457,7.626,12.858,11.052
-5.896,3.271,12.243,10.83,12.286,9.047,13.615,12.297
-4.219,3.836,9.392,10.301,9.442,8.238,8.089,10.138
-0.383,3.723,3.87,6.965,4.238,4.825,0.93,5.992
2.376,4.699,3.172,5.399,4.018,3.559,1.428,5.347
1.579,6.392,8.669,7.537,9.792,6.392,9.683,9.122
-1.213,6.316,12.776,9.403,13.784,8.938,14.873,12.172
-1.896,4.545,11.733,8.375,12.507,7.943,12.38,11.445
1.149,4.445,10.478,7.477,11.188,6.218,9.086,9.489
5.809,8.173,12.529,9.601,13.176,7.519,9.604,9.321
8.072,12.604,14.446,12.04,14.927,9.94,10.398,9.958
6.757,13.699,13.72,11.642,14.255,9.735,9.382,9.748
6.231,12.94,13.661,10.662,14.479,8.32,9.911,9.918
7.576,12.165,15.19,10.409,16.015,7.742,11.745,10.298
4.61,9.211,13.484,7.322,13.932,5.473,9.315,7.626
-2.24,5.086,8.877,2.158,9.018,1.344,3.912,2.986
-3.431,4.868,9.286,1.979,9.479,1.128,4.6,2.936
1.95,8.514,15.832,7.984,16.286,6.628,11.845,8.481
4.536,10.071,19.279,12.309,19.91,10.958,14.965,11.947
1.768,6.865,15.103,10.161,15.749,8.965,9.924,8.809
0.33,2.918,8.956,5.606,9.617,4.081,4.461,3.279
2.945,1.818,5.448,3.171,6.232,1.092,3.516,-0.107
3.595,0.979,2.801,1.536,3.771,-0.439,3.374,-2.019
-2.266,-3.433,-0.701,-1.775,0.325,-2.61,1.129,-4.045
-8.81,-8.956,-3.35,-4.883,-2.647,-4.537,-1.357,-5.317
-8.148,-9.968,-4.307,-4.749,-4.103,-4.431,-3.605,-5.48
-2.592,-6.258,-4.536,-2.013,-4.416,-2.511,-6.218,-5.599
0.186,-2.341,-3.36,0.689,-2.972,-0.092,-6.177,-5.292
-1.911,-0.958,-0.448,1.548,-0.126,1.102,-1.869,-4.214
-4.962,-1.48,1.423,0.218,1.319,-0.106,2.457,-3.878
-5.442,-2.596,-0.074,-2.236,-0.37,-2.705,2.683,-5.116
-4.666,-3.577,-2.757,-4.07,-2.916,-4.51,0.669,-6.406
-4.717,-2.687,-1.973,-3.147,-1.994,-3.625,1.125,-5.132
-3.402,1.549,2.313,1.215,2.36,0.265,3.676,-1.227
0.69,7.005,5.238,6.165,5.278,4.626,4.377,1.882
3.753,9.67,4.68,7.429,4.589,5.832,3.569,1.824
2.195,7.402,1.714,3.224,1.584,2.573,3.144,-0.689
-2.555,1.649,-3.013,-3.429,-2.86,-2.497,1.751,-3.811
-5.94,-2.747,-6.91,-7.084,-6.452,-5.309,-0.561,-5.635
-4.339,-2.067,-5.77,-5.929,-5.517,-4.845,-0.398,-5.205
1.211,1.488,-0.332,-2.926,-0.69,-3.133,2.525,-3.532
4.94,2.747,3.176,-1.412,2.473,-1.901,3.319,-2.635
3.444,0.837,2.09,-1.87,1.621,-0.962,0.526,-2.675
0.774,-0.421,0.667,-2.464,0.643,0.604,-0.586,-1.635
1.167,0.423,0.979,-2.179,1.173,2.143,1.467,0.536
1.913,0.606,-0.288,-1.715,-0.154,2.349,1.41,1.668
-0.678,-1.233,-3.756,-1.656,-3.905,1.46,-2.414,1.327
-3.992,-2.771,-5.2,-1.747,-5.745,0.487,-5.46,0.77
-2.648,-1.319,-1.787,-0.83,-2.409,0.511,-4.396,1.179
3.142,2.328,3.646,1.492,3.382,1.831,-1.936,2.372
7.877,4.667,6.003,3.534,5.971,3.134,-2.621,2.753
9.706,5.036,5.491,4.406,5.361,3.646,-4.699,2.249
11.282,5.94,6.063,4.459,5.948,3.227,-4.141,1.61
12.744,7.446,7.458,3.019,7.487,1.022,-3.578,-0.028
12.471,7.778,7.699,1.112,7.573,-1.611,-5.416,-2.005
9.894,7.296,8.907,1.827,8.476,-1.39,-4.85,-1.904
4.998,7.014,12.183,4.43,11.827,1.192,-0.305,-0.682
1.664,7.145,13.644,4.995,13.717,2.324,1.456,-2.027
4.29,7.609,11.287,2.86,11.731,0.596,-2.198,-6.327
8.616,7.458,7.929,0.381,8.604,-2.255,-5.756,-9.918
7.848,6.229,4.917,-1.495,5.831,-4.481,-6.992,-10.649
3.73,5.13,1.8,-2.99,2.883,-5.659,-7.951,-9.782
1.893,4.9,1.081,-2.945,1.973,-5.663,-6.707,-8.232
2.035,4.142,3.327,-0.971,3.703,-4.602,-2.686,-6.163
-0.319,1.003,3.032,-0.211,3.199,-4.027,-2.854,-5.352
-4.41,-3.409,-1.32,-2.625,-0.729,-5.022,-9.864,-6.709
-4.144,-5.611,-2.761,-4.99,-1.74,-5.963,-15.276,-7.919
1.36,-4.646,2.057,-4.424,2.936,-5.385,-12.874,-7.078
5.216,-3.064,7.114,-2.873,7.627,-4.368,-6.892,-5.116
3.554,-2.323,7.393,-2.472,7.88,-3.673,-3.086,-3.01
1.435,-0.907,5.382,-1.977,6.154,-2.299,-1.802,-0.913
3.121,1.53,3.652,-0.852,4.564,-0.627,-2.955,-0.399
5.258,3.155,1.346,-0.484,2.015,-0.136,-7.052,-2.108
5.601,4.543,0.667,0.209,1.085,0.327,-9.723,-3.168
6.866,7.241,4.373,2.58,4.916,1.972,-7.801,-2.487
9.835,9.548,9.039,4.065,9.835,2.697,-5.198,-2.452
13.317,10.6,11.251,3.447,12.137,1.988,-3.641,-2.398
17.639,12.773,12.167,3.695,13.101,2.723,-0.729,0.26
22.662,16.558,12.528,5.639,13.5,5.131,2.265,3.59
26.902,19.891,12.341,6.855,13.226,6.636,3.45,4.293
29.097,22.282,12.081,6.781,12.801,6.793,3.425,2.675
28.659,24.494,10.711,6.841,11.237,6.661,0.89,0.271
27.49,26.592,8.93,8.037,9.314,6.92,-3.362,-1.465
29.131,29.151,10.756,11.014,11.245,8.885,-3.083,-0.34
32.372,32.278,15.993,14.787,16.746,12.554,2.867,3.18
32.85,34.12,18.828,16.406,19.63,15.035,6.871,5.093
31.044,34.177,16.833,15.203,17.378,14.829,4.724,3.88
29.401,33.671,12.842,13.424,13.094,13.57,0.445,2.161
27.339,32.395,8.698,11.817,8.827,12.275,-2.486,1.331
25.347,30.369,4.735,9.631,4.84,10.56,-5.001,0.059
25.344,29.035,2.703,7.548,2.716,8.779,-6.9,-2.047
26.143,28.453,3.674,7.032,3.607,7.946,-5.807,-3.137
25.328,27.425,5.125,7.82,5.159,8.15,-2.983,-2.145
22.831,25.728,3.792,7.879,3.932,8.167,-2.484,-0.857
19.74,23.721,0.265,6.576,0.328,7.213,-4.269,-0.854
16.06,21.368,-2.298,5.952,-2.381,6.337,-5.433,-0.895
10.796,18.455,-2.82,6.787,-2.92,6.292,-5.939,-0.572
4.435,14.669,-3.074,6.53,-2.933,5.455,-7.414,-2.511
-0.116,10.265,-3.896,3.925,-3.461,3,-8.846,-6.759
-0.415,6.854,-3.215,1.541,-2.813,1.211,-7.775,-8.983
3.002,5.89,-0.475,0.966,-0.33,1.176,-5.489,-8.1
7.532,7.229,1.308,0.713,1.42,0.937,-5.237,-7.73
10.619,9.489,0.41,0.041,0.724,-0.434,-6.32,-8.957
10.259,10.136,-1.888,-0.287,-1.517,-1.98,-6.914,-9.63
6.092,7.145,-3.512,-0.069,-3.175,-2.943,-7.29,-8.799
0.482,1.77,-2.959,0.298,-2.479,-3.111,-6.876,-6.942
-4.262,-2.993,-0.911,0.264,-0.388,-3.077,-5.136,-4.698
-7.626,-5.992,0.35,-0.655,0.558,-3.655,-4.197,-3.14
-9.153,-7.654,0.091,-2.085,-0.018,-4.449,-5.722,-3.277
-8.598,-8.058,-0.467,-2.894,-0.59,-4.717,-7.67,-4.581
-6.901,-7.231,-0.741,-2.563,-0.721,-4.629,-7.148,-5.403
-5.52,-6.311,-1.388,-1.894,-1.322,-4.818,-4.149,-5.247
-6.44,-7.016,-3.809,-2.503,-3.829,-6.22,-2.99,-6.074
-11.379,-9.958,-10.342,-5.578,-10.403,-9.487,-10.445,-10.589
-18.264,-13.868,-19.336,-9.724,-19.27,-13.059,-24.338,-17.111
-21.717,-16.434,-22.413,-11.405,-22.088,-14.193,-30.1,-19.33
-19.421,-16.538,-16.12,-9.863,-15.521,-12.921,-22.388,-15.816
-14.19,-15.532,-8.759,-8.373,-8.068,-11.86,-14.493,-12.848
-10.125,-14.931,-7.209,-8.686,-6.701,-12.142,-14.62,-13.357
-8.764,-13.67,-8.139,-8.48,-7.88,-12.127,-14.965,-13.025
-8.152,-10.821,-7.435,-6.27,-7.281,-10.446,-10.668,-9.922
-7.357,-9.554,-6.846,-4.643,-6.711,-8.513,-7.281,-7.433
-8.562,-13.04,-8.119,-5.716,-7.969,-8.211,-7.774,-7.274
-11.429,-18.944,-9.743,-7.995,-9.466,-9.435,-9.519,-8.48
-12.699,-23.184,-10.572,-10.071,-10.13,-11.559,-11.258,-10.826
-12.879,-25.006,-11.229,-12.303,-10.796,-14.148,-13.426,-13.78
-15.313,-25.483,-12.465,-14.264,-12.234,-15.909,-15.578,-15.648
