EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-27.252,-31.217,-12.294,-12.685,-12.316,-13.016,-4.778,-0.27
-25.333,-26.55,-13.675,-13.199,-13.466,-12.994,-6.851,-3.075
-27.623,-26.17,-20.322,-17.709,-19.385,-16.284,-17.01,-10.269
-28.873,-27.679,-27.984,-21.751,-26.623,-18.774,-28.229,-14.997
-26.113,-26.932,-26.074,-19.183,-24.869,-15.042,-25.896,-11.352
-22.148,-23.158,-13.809,-10.782,-12.787,-6.215,-9.388,-1.607
-19.72,-19.509,-3.02,-3.666,-1.946,0.623,5.206,6.959
-16.415,-15.966,-0.764,0.061,0.332,4.015,7.053,10.797
-8.737,-9.985,-0.771,4.43,0.252,8.395,1.711,11.254
-0.992,-4.886,3.229,9.151,4.263,12.523,-0.108,10.843
-1.45,-5.898,6.572,9.683,7.729,11.276,2.756,10.134
-7.92,-10.426,4.138,6.424,5.546,6.528,5.09,8.418
-12.097,-13.95,-0.575,2.999,1.191,3.144,5.585,6.429
-14.202,-17.656,-3.748,-0.31,-1.781,0.263,4.131,4.158
-17.895,-22.146,-6.492,-3.851,-4.489,-3.569,-1.015,-0.211
-20.693,-23.972,-9.337,-5.515,-7.075,-4.941,-7.389,-4.317
-19.739,-22.03,-10.804,-4.694,-8.176,-2.057,-10.259,-3.279
-17.676,-20.261,-10.791,-4.643,-8.274,0.057,-9.79,0.142
-17.47,-21.497,-9.347,-7.089,-7.312,-2.652,-7.318,-0.415
-17.149,-22.525,-6.232,-8.824,-4.411,-6.273,-2.838,-3.59
-13.778,-19.483,-4.406,-7.894,-2.51,-6.871,-1.312,-5.313
-9.304,-14.745,-6.976,-6.462,-5.097,-6.45,-7.036,-5.975
-7.035,-13.184,-10.845,-5.635,-8.994,-6.621,-12.611,-5.634
-5.317,-13.957,-9.983,-4.093,-8.064,-5.285,-8.915,-2.534
-2.376,-12.364,-5.135,-1.702,-3.351,-1.134,-1.31,1.634
-1.435,-8.762,-3.764,-1.14,-2.219,2.227,-1.342,1.73
-3.187,-6.972,-7.249,-3.621,-5.488,0.628,-6.935,-2.884
-4.841,-7.704,-9.655,-6.445,-7.353,-3.86,-8.616,-6.529
-7.854,-10.684,-10.951,-8.579,-8.376,-6.933,-8.334,-7.509
-13.144,-15.964,-14.574,-11.627,-12.001,-8.362,-11.12,-9.654
-16.098,-21.1,-16.775,-14.321,-14.232,-9.641,-11.497,-11.853
-13.523,-22.129,-13.592,-13.328,-11.031,-9.806,-5.618,-9.598
-7.298,-16.988,-9.847,-8.556,-7.012,-6.841,-1.191,-5.13
-2.093,-8.366,-11.165,-3.844,-7.831,-2.072,-4.402,-3.831
-1.425,-2.568,-14.27,-2.906,-10.686,0.085,-9.38,-5.04
-2.974,-2.309,-12.303,-5.271,-8.866,-1.843,-7.628,-5.092
-2.414,-3.344,-5.37,-6.519,-2.245,-3.465,0.173,-3.673
-1.203,-2.264,-0.743,-4.83,2.031,-1.818,5.095,-3.129
-2.482,-1.955,-3.386,-4.451,-0.82,-0.955,0.262,-5.378
-4.107,-4.275,-9.314,-7.38,-6.682,-3.367,-9.133,-9.148
-3.305,-5.052,-11.228,-8.75,-8.559,-4.499,-12.069,-10.91
-1.084,-1.284,-7.636,-5.805,-5.169,-1.713,-7.435,-9.543
