EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-111.678,-83.403,-115.479,-101.456,-128.788,-101.598,-96.31,-93.171
-107.619,-82.88,-108.004,-90.383,-123.273,-90.227,-82.705,-65.491
-102.865,-91.409,-99.293,-89.358,-116.114,-89.152,-70.822,-60.015
-106.712,-96.894,-99.467,-96.654,-113.855,-96.53,-68.718,-80.57
-116.967,-93.552,-101.458,-99.705,-110.083,-99.605,-69.674,-97.061
-124.201,-91.323,-96.55,-93.412,-99.39,-93.402,-65.87,-91.238
-121.527,-91.923,-83.3,-81.673,-82.618,-81.796,-58.322,-77.266
-112.006,-85.692,-66.775,-69.248,-64.972,-69.342,-53.192,-69.258
-105.902,-73.48,-55.856,-58.04,-54.2,-58.033,-52.47,-60.138
-107.427,-68.193,-54.781,-48.481,-53.677,-48.424,-50.822,-45.235
-108.606,-73.187,-58.162,-43.398,-58.668,-43.138,-46.568,-39.637
-103.542,-76.491,-59.6,-45.619,-62.559,-45.055,-45.075,-49.323
-99.739,-70.642,-59.039,-49.481,-62.392,-48.993,-45.881,-53.453
-104.193,-64.136,-58.062,-46.536,-59.261,-46.376,-44.229,-40.75
-109.675,-65.137,-55.701,-39.541,-56.679,-39.259,-41.29,-28.24
-106.889,-67.072,-51.946,-38.121,-57.019,-37.324,-40.94,-30.583
-97.462,-60.241,-49.021,-43.138,-58.352,-42.064,-43.134,-41.338
-86.643,-47.325,-49.214,-46.746,-58.15,-45.673,-42.795,-45.947
-76.193,-37.819,-50.599,-43.285,-55.547,-42.192,-35.919,-36.083
-68.617,-33.691,-44.166,-32.479,-46.501,-31.422,-26.286,-15.635
-67.442,-30.872,-27.778,-21.372,-31.236,-20.348,-20.292,-2.309
-69.332,-26.788,-15.731,-19.719,-22.274,-18.196,-17.735,-7.786
-65.067,-19.262,-17.761,-25.238,-27.245,-22.747,-14.818,-16.955
-52.172,-8.046,-23.491,-25.36,-34.365,-22.354,-9.821,-11.096
-37.522,4.031,-20.022,-14.722,-28.792,-11.909,-2.142,1.764
-26.9,15.402,-10.913,-2.115,-14.43,0.633,3.583,-0.113
-19.984,26.247,-6.335,2.775,-5.389,5.935,0.673,-15.732
-13.238,38.469,-4.897,4.268,-3.025,7.807,-5.932,-20.343
-3.206,53.893,1.484,13.119,1.862,16.859,-5.217,-7.243
8.538,66.39,11.845,29.111,10.677,33.172,3.674,5.841
13.522,64.899,15.079,37.433,13.454,41.89,11.672,11.519
8.394,51.474,7.169,28.954,5.851,33.631,12.919,16.449
2.511,42.974,1.995,20.003,1.102,24.744,13.149,25.597
3.067,47.874,10.021,26.77,9.973,31.624,21.267,40.49
6.135,57.709,21.786,38.325,22.505,43.443,34.707,56.945
5.094,61.375,27.341,43.14,26.444,48.444,42.484,65.047
-5.024,53.105,26.704,47.077,23.589,52.263,41.714,58.372
-20.733,36.049,20.879,51.344,21.006,56.436,39.31,42.067
-28.132,22.276,16.035,48.891,22.712,54.198,38.594,31.89
-25.073,18.759,21.07,42.002,27.539,47.461,37.332,37.454
-23.952,22.538,29.228,39.169,29.686,44.385,37.522,47.842
-25.914,30.59,27.631,43.146,28.02,47.917,42.03,49.182
-24.086,40.931,23.653,53.761,30.667,58.116,45.819,48.222
-20.083,49.157,30.026,68.614,40.597,72.632,45.544,58.694
-17.948,49.948,36.594,77.26,45.925,81.112,44.875,73.561
-19.235,43.419,29.122,71.305,37.293,75.069,42.624,72.394
-23.39,38.599,15.784,58.761,23.213,62.272,35.682,55.197
-27.656,39.205,10.061,52.257,15.639,55.435,30.786,44.365
-31.499,35.906,9.564,50.885,13.892,53.895,34.3,49.466
-34.9,25.877,6.81,48.119,11.757,51.077,39.119,55.87
