EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
55.204,46.645,55.941,42.955,56.497,58.429,33.729,45.915
53.567,44.497,54.92,44.515,55.493,56.937,38.104,46.77
52.929,44.145,54.446,47.222,55.034,55.798,49.077,48.614
54.759,49.907,55.636,52.176,56.619,56.089,58.409,53.166
56.959,56.526,57.193,55.359,58.377,56.68,62.926,57.476
57.513,56.81,57.745,53.71,58.279,56.699,64.355,59.105
57.361,57.604,58.075,55.602,57.786,57.217,68.531,63.131
57.958,66.391,59.118,67.202,58.937,58.955,78.364,73.466
58.971,76.3,60.22,80.895,60.944,60.843,89.136,85.503
59.78,80.801,60.88,88.425,62.197,61.91,95.329,93.084
60.81,83.325,61.568,90.056,62.662,62.45,97.303,94.368
62.116,87.914,62.426,91.179,63.085,62.926,99.217,94.136
62.69,90.502,63.038,92.844,63.795,63.392,98.873,96.326
61.743,88.414,62.789,93.294,63.964,63.629,94.703,99.863
60.317,87.207,62.037,92.659,63.171,63.678,92.915,101.139
60.472,87.961,62.292,88.225,62.969,63.885,93.294,93.884
62.368,83.588,63.815,78.876,64.326,64.269,87.492,79.211
64.336,70.24,65.548,68.109,66.315,64.952,72.012,66.079
65.219,57.658,66.742,61.685,67.504,65.968,56.923,59.786
65.232,57.291,66.945,62.243,66.992,66.659,53.453,58.799
65.322,63.377,66.22,63.063,65.57,66.705,56.241,57.593
66.136,66.704,65.586,60.856,64.996,66.696,57.525,56.608
67.644,68.181,65.841,60.496,65.56,66.984,58.86,59.256
68.923,70.079,66.365,63.239,66.098,67.262,61.937,62.515
68.78,71.373,66.455,66.136,66.288,67.743,65.515,64.443
67.409,71.483,66.345,67.677,66.605,68.541,68.117,67.633
66.349,73.611,66.147,69.295,66.714,68.466,69.299,72.345
66.619,77.994,65.938,70.385,66.516,67.328,67.593,74.078
67.506,80.601,66.057,69.678,66.576,66.687,63.784,71.505
68.049,80.161,66.48,69.092,66.833,67.16,61.992,69.821
68.528,77.853,66.929,70.164,67.039,67.958,64.639,72.509
69.051,77.722,67.207,74.244,67.305,68.171,72.063,77.224
68.838,80.793,67.126,78.869,67.42,67.306,78.7,77.383
67.602,81.961,66.676,79.481,67.193,65.692,78.919,72.338
66.545,80.238,66.767,78.161,67.732,64.738,76.673,69.521
66.724,78.476,67.811,77.861,69.249,65.376,76.753,70.047
66.861,75.647,68.023,75.766,69.379,66.243,75.073,68.511
65.42,68.133,66.24,67.41,67.225,65.524,64.437,61.97
63.144,59.457,63.702,57.009,64.184,63.827,52.814,54.832
61.671,56.695,61.999,53.964,61.49,63.409,53.703,54.222
61.243,55.086,61.501,55.097,60.469,64.553,58.285,56.807
60.92,46.655,61.418,50.185,61.183,64.976,53.302,55.272
60.434,34.986,61.173,39.821,61.798,63.928,45.504,51.927
59.973,29.867,60.805,34.993,61.316,62.872,46.35,53.749
59.789,34.472,60.616,39.923,60.805,62.347,51.502,56.448
60.493,41.644,61.144,45.027,61.643,61.82,47.435,47.466
61.469,46.75,61.98,46.469,63.04,61.13,35.934,33.919
61.282,52.856,61.838,51.876,62.785,60.732,33.501,36.789
60.442,61.613,60.72,62.92,60.802,60.977,46.26,54.537
60.968,68.653,60.448,69.699,59.994,61.486,58.673,63.248
62.448,67.058,61.545,64.276,61.552,61.523,54.846,53.295
61.931,57.992,61.876,54.434,62.42,60.916,43.913,43.434
59.815,51.154,61.142,51.181,61.488,60.598,41.995,45.179
59.604,51.327,61.433,51.537,61.636,60.863,45.587,45.328
60.807,51.72,61.897,46.501,62.64,60.21,41.569,36.753
59.734,45.3,59.807,36.93,61.072,58.008,29.81,30.552
56.756,39.664,56.285,33.965,57.273,56.046,24.851,34.328
55.893,44.111,54.829,40.289,54.746,56.057,32.232,39.605
57.315,51.423,55.486,45.989,54.507,57.032,40.427,39.184
57.115,51.522,55.611,47.222,54.892,56.899,41.403,40.81
54.845,49.61,54.781,50.838,54.738,55.998,42.336,50.045
54.185,55.826,54.825,60.671,54.59,56.136,51.171,59.355
56.082,65.541,55.936,68.723,55.19,57.347,59.256,60.491
57.113,69.448,56.033,69.632,55.522,57.804,58.089,57.972
55.559,70.997,54.905,71.724,54.93,57.195,57.743,63.632
54.07,76.059,54.891,80.332,55.127,57.393,67.626,77.961
54.624,81.302,56.246,88.392,56.768,58.409,80.036,88.676
55.723,79.86,56.873,87.36,57.932,58.209,82.96,85.715
55.827,74.125,56.317,81.078,57.394,56.866,79.661,75.78
55.814,72.273,56.236,80.929,56.452,56.535,80.154,75.623
56.465,72.908,57.296,86.381,56.733,57.585,82.852,85.865
56.216,70.314,57.779,87.53,57.258,57.937,82.268,91.475
54.243,64.437,56.571,80.264,56.384,56.81,75.498,85.023
52.419,60.507,55.171,71.582,55.172,55.68,64.823,74.905
51.992,62.121,54.974,70.151,55.171,55.326,62.234,72.337
52.286,63.848,55.428,72.036,55.605,55.545,74.9,75.218
