EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-0.204,-15.352,-12.044,-19.508,-0.988,-2.351,-15.261,-13.504
-0.809,-7.455,-6.422,-12.436,-1.178,-2.825,-5.06,-5.884
-1.14,6.361,5.438,0.928,-1.307,-3.39,11.734,8.542
-2.304,31.569,28.538,25.996,-2.24,-5.148,41.168,35.187
-4.003,52.077,48.135,47.185,-3.594,-6.611,64.234,59.749
-4.217,39.2,38.635,36.068,-3.339,-5.613,51.422,51.881
-2.499,4.145,8.669,3.017,-1.242,-2.881,16.431,17.672
-0.364,-11.472,-6.27,-11.893,0.576,-0.669,0.34,-2.063
1.006,-1.213,0.585,-2.302,1.029,0.381,7.678,4.837
1.193,7.384,7.115,6.625,0.581,0.698,12.58,15.376
0.599,4.39,4.484,5.78,-0.19,0.743,6.676,15.618
0.722,2.459,2.576,4.931,-0.347,1.296,0.818,11.018
2.176,1.665,1.955,2.335,0.682,2.376,-5.742,2.995
3.393,-10.16,-8.003,-11.506,1.86,3.207,-20.676,-11.831
2.747,-24.801,-20.763,-24.565,1.915,3.711,-31.583,-21.04
0.624,-22.828,-18.624,-18.242,0.711,3.738,-23.265,-10.526
-1.131,-7.483,-5.367,-1.68,-1.193,2.604,-7.364,7.801
-0.841,-0.964,-2.57,-0.604,-2.412,1.025,-7.303,8.188
1.479,-11.741,-16.419,-19.498,-1.675,0.714,-24.124,-12.894
4.082,-20.948,-27.863,-33.732,-0.046,1.658,-34.793,-29.122
5.546,-10.899,-21.159,-25.298,0.501,2.21,-25.293,-22.206
5.507,10.525,-3.104,-4.434,-0.297,1.25,-4.982,-3.552
3.723,28.224,14.219,14.471,-1.759,-0.844,14.56,14.174
0.812,41.108,29.312,31.672,-3.234,-2.577,32.838,34.282
-1.325,47.235,38.334,42.458,-3.908,-2.87,44.127,50.569
-1.653,33.4,28.727,29.621,-3.467,-2.289,34.179,42.234
-1.066,5.4,5.875,-0.388,-2.358,-1.814,10.805,15.01
-0.653,-11.198,-7.263,-17.745,-1.142,-1.341,-1.553,-0.709
-0.604,-12.693,-7.064,-17.434,-0.406,-0.803,-1.374,-0.499
-0.722,-13.509,-6.553,-17.032,-0.428,-0.929,-2.96,-2.606
-0.602,-15.824,-8.691,-20.672,-0.546,-1.554,-7.868,-9.483
-0.189,-15.282,-9.832,-21.979,-0.479,-1.775,-11.275,-11.877
-0.234,-18.026,-14.466,-25.054,-1.263,-1.764,-18.65,-13.8
-0.717,-29.186,-27.363,-35.663,-2.873,-1.645,-32.708,-23.491
-0.562,-34.748,-36.746,-41.313,-3.562,-0.891,-37.513,-30.111
0.211,-19.993,-27.155,-27.648,-2.782,-0.189,-20.725,-18.631
0.539,6.043,-3.357,-2.315,-1.768,-0.494,6.474,5.089
0.063,26.676,18.724,19.651,-1.433,-1.266,28.725,26.299
-0.932,41.719,35.007,37.315,-1.865,-2.056,45.265,43.044
-1.801,51.555,44.789,48.784,-2.514,-2.804,52.96,53.745
-1.505,41.192,36.146,38.219,-2.235,-2.523,38.291,43.423
-0.286,14.004,11.973,9.814,-1.096,-1.294,10.649,15.705
0.181,-1.369,-2.692,-6.535,-0.701,-0.831,-1.229,0.013
-0.109,1.949,-0.234,-3.547,-1.095,-1.248,4.631,3.551
0.39,6.418,4.827,0.206,-0.699,-1.303,9.119,7.144
1.471,4.308,3.98,-3.807,0.344,-1.043,6.229,2.777
1.875,2.813,1.55,-7.448,0.789,-0.913,4.842,-0.139
1.734,10.515,6.009,-0.483,0.803,-0.531,13.595,8.409
1.806,25.667,18.786,15.525,1.144,0.135,29.176,25.9
2.33,34.161,28.802,24.945,1.949,0.59,36.743,36.841
3.05,24.043,23.623,15.259,2.903,0.763,26.689,29.374
3.324,3.062,7.822,-3.951,3.527,0.998,9.425,12.786
3.104,-13.961,-5.042,-16.982,3.904,1.673,-2.365,1.452
3.266,-26.131,-13.339,-25.609,4.662,2.815,-12.144,-8.419
3.835,-31.713,-17.039,-30.396,5.58,3.83,-19.048,-17.916
3.732,-21.749,-9.668,-20.767,5.489,4.115,-12.253,-13.218
3.061,-4.155,3.025,-2.823,4.226,3.914,1.752,3.008
3.131,-3.299,1.856,-2.18,3.186,3.876,-0.659,4.664
4.03,-24.657,-17.901,-25.12,3.19,3.913,-22.855,-16.558
4.464,-40.637,-33.428,-42.32,3.307,3.365,-36.218,-32.147
3.845,-28.397,-24.604,-29.977,2.622,2.411,-21.444,-18.45
3.033,0.235,-0.882,-0.826,1.797,2.192,6.308,11.946
2.973,24.771,18.843,22.941,1.644,2.76,27.517,35.884
