EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
56.297,-367.995,-65.046,-408.3,57.219,55.294,-363.721,-398.745
51.337,-344.542,-159.852,-368.784,53.458,52.599,-316.567,-343.304
35.412,-456.217,-379.87,-471.7,37.765,40.017,-434.586,-428.582
16.319,-587.166,-429.377,-615.103,18.071,20.606,-575.4,-569.946
4.541,-572.667,-260.057,-615.11,5.672,5.651,-554.384,-578.783
0.417,-440.778,-129.785,-478.914,1.857,-0.011,-414.113,-454.693
-4.141,-380.218,-220.285,-407.085,-1.62,-4.374,-353.678,-397.452
-15.338,-472.988,-389.718,-502.802,-12.574,-15.861,-453.568,-493.37
-30.677,-597.039,-415.464,-640.71,-29.146,-31.372,-589.975,-605.43
-41.218,-603.67,-293.808,-657.57,-41.401,-42.507,-607.261,-605.526
-43.596,-499.398,-200.619,-556.07,-45.598,-47.662,-518.814,-530.548
-46.783,-432.662,-260.114,-487.316,-50.171,-53.069,-477.746,-501.119
-60.008,-499.907,-400.533,-548.499,-62.701,-63.963,-550.288,-559.745
-79.152,-620.291,-459.32,-659.936,-79.556,-77.548,-640.212,-621.656
-93.018,-642.855,-376.512,-675.929,-92.399,-87.739,-629.519,-595.632
-98.854,-539.738,-263.665,-575.032,-99.386,-95.693,-524.208,-516.113
-102.843,-439.121,-264.684,-483.268,-104.817,-106.084,-447.082,-485.453
-110.462,-450.733,-358.858,-498.342,-112.485,-117.941,-469.243,-520.813
-120.741,-527.163,-411.505,-568.966,-121.746,-127.152,-527.337,-561.51
-128.268,-553.112,-365.761,-589.112,-128.584,-131.852,-543.531,-567.129
-132.426,-511.184,-305.162,-542.48,-132.43,-134.066,-517.304,-533.332
-137.759,-476.872,-319.404,-498.257,-136.518,-137.282,-481.61,-485.291
-145.78,-489.438,-367.419,-502.491,-142.327,-143.418,-454.13,-467.307
-154.589,-516.923,-375.09,-533.046,-149.931,-151.816,-439.938,-482.465
-161.508,-521.361,-353.69,-548.534,-158.963,-159.179,-449.733,-488.728
-163.773,-499.892,-355.336,-539.598,-166.443,-162.906,-490.151,-477.219
-163.169,-480.93,-388.908,-532.031,-170.302,-164.74,-530.471,-477.522
-164.139,-476.457,-403.195,-536.841,-172.884,-167.658,-532.905,-492.431
-165.128,-458.714,-378.642,-529.497,-175.475,-171.975,-515.617,-508.548
-164.531,-424.27,-361.534,-504.19,-177.441,-177.267,-510.822,-518.845
-168.016,-424.488,-382.988,-500.779,-181.425,-183.38,-514.976,-510.873
-176.211,-475.187,-413.326,-541.741,-188.255,-188.986,-520.708,-504.29
-180.336,-507.285,-409.24,-581.397,-192.687,-192.743,-527.309,-535.672
-178.924,-486.13,-392.106,-581.138,-193.72,-194.86,-541.612,-580.27
-180.331,-462.923,-394.511,-563.11,-197.197,-196.609,-560.43,-576.702
-186.868,-464.756,-391.852,-551.609,-204.18,-200.425,-556.231,-533.863
-191.174,-460.874,-368.417,-540.935,-208.11,-206.237,-527.675,-518.724
-189.673,-434.604,-354.498,-520.905,-206.368,-209.512,-505.088,-535.093
-188.611,-414.885,-376.319,-504.819,-204.921,-208.797,-496.787,-532.436
-192.7,-422.024,-399.791,-506.446,-207.737,-207.962,-482.422,-500.219
-198.308,-425.1,-379.649,-499.216,-211.74,-208.81,-455.623,-457.568
-199.429,-389.438,-331.24,-453.247,-212.466,-208.515,-425.577,-413.757
-195.082,-328.942,-294.661,-388.825,-209.51,-205.666,-389.147,-378.085
-188.798,-285.381,-297.884,-350.672,-205.512,-201.696,-360.371,-360.347
-183.341,-286.559,-331.608,-361.305,-201.316,-197.268,-373.9,-369.223
-179.162,-319.27,-352.386,-400.155,-195.602,-192.14,-412.93,-401.172
-174.591,-332.251,-330.319,-412.66,-187.965,-185.709,-412.96,-414.41
-168.835,-297.334,-273.451,-367.833,-180.806,-178.76,-353.577,-366.495
-163.668,-253.057,-239.928,-304.571,-175.813,-173.344,-293.396,-291.204
-159.053,-259.369,-273.437,-298.607,-170.364,-168.875,-307.339,-282.265
-153.722,-328.85,-337.893,-376.736,-162.755,-163.355,-394.091,-371.503
-148.726,-406.124,-367.922,-471.511,-155.481,-157.661,-467.799,-474.446
-144.787,-423.004,-336.848,-494.12,-150.237,-153.617,-467.828,-494.852
-141.939,-388.51,-290.361,-451.086,-147.284,-150.727,-432.168,-440.532
-141.309,-361.798,-283.55,-413.537,-147.469,-148.613,-409.174,-386.891
-142.646,-362.944,-302.99,-409.004,-149.7,-148.736,-391.999,-372.347
-142.857,-373.794,-308.753,-417.393,-150.338,-149.691,-377.033,-380.654
-139.445,-368.012,-297.3,-412.68,-147.418,-147.305,-374.914,-387.481
-134.346,-340.561,-296.987,-389.846,-142.733,-142.064,-375.912,-385.188
-131.578,-308.428,-296.678,-356.105,-138.814,-138.163,-348.269,-360.145
-132.271,-271.753,-254.489,-307.03,-137.052,-137.137,-275.447,-300.897
-132.784,-223.43,-185.208,-246.727,-135.998,-136.049,-195.366,-232.144
-129.573,-181.181,-147.794,-201.988,-132.752,-131.454,-168.808,-188.129
-124.721,-172.359,-174.212,-194.855,-128.172,-124.751,-206.552,-178.87
-122.28,-197.967,-223.475,-218.05,-125.084,-120.938,-248.653,-199.362
-121.905,-230.508,-237.341,-244.759,-123.464,-121.558,-248.737,-237.324
-119.464,-249.185,-221.238,-257.951,-121.345,-121.097,-244.415,-265.166
-114.813,-258.084,-205.921,-260.304,-118.733,-115.613,-271.745,-256.786
-112.855,-266.648,-203.024,-262.873,-116.605,-109.724,-289.038,-230.611
-114.08,-275.49,-209.082,-276.833,-113.757,-108.218,-268.341,-240.313
-112.729,-283.455,-226.705,-302.234,-108.849,-108.058,-260.019,-295.398
-106.829,-295.928,-255.491,-324.867,-103.165,-104.144,-298.224,-338.127
-101.879,-309.606,-257.101,-327.819,-99.316,-98.281,-330.008,-325.127
-101.954,-304.844,-219.187,-305.151,-98.327,-96.444,-300.492,-282.432
-104.346,-278.378,-191.975,-268.304,-98.665,-98.612,-240.525,-248.155
-105.439,-265.947,-209.47,-246.761,-98.576,-98.601,-221.895,-225.539
-105.166,-294.658,-242.535,-265.303,-97.884,-94.147,-258.447,-219.934
-103.23,-328.734,-241.27,-301.975,-96.087,-89.649,-290.434,-244.714
-98.547,-332.09,-213.466,-322.773,-92.962,-88.773,-288.547,-291.63
-93.27,-319.224,-194.877,-325.029,-90.788,-89.845,-284.913,-320.888
-90.919,-301.264,-186.313,-310.392,-91.305,-89.986,-288.476,-297.142
-90.652,-275.836,-184.033,-283.984,-91.664,-88.492,-277.363,-244.583
-90.202,-263.882,-196.489,-271.149,-89.173,-86.548,-255.752,-220.371
-91.188,-293.147,-218.092,-292.994,-86.821,-86.484,-254.251,-242.968
-93.457,-337.971,-213.797,-323.744,-87.164,-87.778,-273.135,-275.546
-92.848,-334.038,-177.99,-310.885,-87.46,-87.073,-274.965,-274.378
-88.456,-277.712,-156.977,-254.5,-84.41,-82.92,-244.873,-237.236
-86.097,-243.962,-168.37,-221.079,-80.909,-79.118,-219.954,-210.513
-90.025,-273.566,-189.276,-248.513,-82.306,-80.146,-236.53,-233.637
-95.511,-307.791,-189.851,-281.183,-86.63,-83.365,-263.465,-265.585
-98.374,-293.557,-171.462,-264.772,-89.441,-85.069,-254.739,-248.348
-100.803,-269.889,-175.365,-237.255,-91.157,-86.735,-231.527,-211.36
