EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
112.117,116.849,112.181,108.477,101.798,109.173,103.667,107.427
118.344,123.11,117.117,112.575,106.768,114.484,108.371,112.564
122.71,127.44,120.589,116.201,109.991,119.166,112.259,115.829
121.35,125.855,118.191,114.521,107.026,117.952,110.697,113.767
121.972,125.591,116.417,113.317,104.534,116.69,108.259,111.709
126.606,129.082,118.253,115.378,105.752,118.497,108.026,111.836
127.951,130.096,118.558,116.66,105.786,119.326,107.634,111.056
122.87,125.429,114.421,114.919,101.722,117.212,104.932,108.062
116.556,119.486,109.544,112.591,97.022,115.067,101.318,105.147
113.709,117.178,107.834,111.954,95.351,114.589,99.485,103.714
113.456,117.913,108.143,112.073,95.601,113.882,99.066,101.963
112.334,117.598,106.455,110.581,93.992,111.14,96.673,98.219
108.812,114.456,102.201,106.98,89.696,107.232,91.958,94.24
103.968,109.83,98.56,102.455,85.327,103.311,88.014,91.757
101.298,106.538,98.123,98.878,83.819,100.12,86.745,89.952
107.238,110.359,103.868,100.895,89.124,101.914,90.657,91.259
121.039,122.182,114.507,109.468,100.141,110.279,98.783,97.714
128.481,129.861,118.718,114.024,104.735,115.27,100.793,100.917
123.803,126.616,112.179,108.407,97.954,110.474,93.105,94.778
121.245,124.656,108.011,104.026,93.257,106.5,87.986,89.057
128.877,132.468,113.809,109.512,98.733,111.906,92.328,92.578
136.212,140.621,120.19,116.269,104.839,118.955,98.182,98.999
133.619,139.349,118.397,114.363,102.754,118.284,98.064,99.093
125.303,132.76,111.541,106.977,95.924,112.428,93.768,93.784
120.431,129.999,106.912,102.571,91.574,108.709,90.689,89.422
118.343,129.558,104.383,100.231,89.11,106.091,89.189,87.115
115.434,127.187,101.836,96.857,86.241,102.232,87.61,85.546
118.284,130.119,105.598,99.894,89.566,104.763,90.457,88.062
127.959,139.821,117.548,111.494,101.382,115.677,100.932,96.077
130.124,141.308,125.477,118.058,109.632,122.027,112.622,104.114
118.445,128.382,121.526,111.953,106.078,116.624,118.529,106.653
103.984,113.162,112.277,101.044,96.83,106.439,117.378,102.026
95.553,105.192,103.69,92.561,88.063,97.926,106.772,92.219
90.62,102.325,93.024,85.849,77.614,91.01,84.563,82.611
85.174,99.944,80.151,79.175,65.264,84.499,61.184,76.078
81.946,98.565,74.609,75.301,59.819,80.563,53.931,71.614
85.827,101.725,82.369,78.565,66.982,83.193,64.186,71.586
95.518,109.798,95.945,88.039,79.884,91.999,78.635,79.249
107.185,120.905,108.207,99.966,92.062,102.91,91.61,91.749
120.512,134.302,120.875,113.484,105.18,114.362,104.865,103.929
132.779,146.434,131.884,126.07,116.602,125.24,113.246,112.402
