EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-123.126,-124.682,-117.582,-80.074,-109.638,-96.024,-109.488,-80.204
-119.281,-118.469,-115.702,-75.29,-108.589,-90.281,-105.931,-75.63
-114.532,-111.989,-112.878,-69.732,-106.408,-83.615,-100.76,-70.61
-109.627,-107.392,-109.742,-65.878,-103.927,-79.03,-96.334,-66.033
-105.274,-104.653,-106.568,-64.056,-101.72,-77.252,-93.85,-62.643
-100.168,-101.097,-101.662,-60.943,-97.919,-74.272,-90.274,-58.513
-93.294,-95.446,-94.517,-55.085,-91.671,-67.93,-84.073,-52.056
-84.192,-87.479,-85.532,-47.925,-83.48,-59.934,-76.845,-43.832
-72.77,-76.512,-74.847,-40.052,-73.605,-51.374,-68.935,-35.016
-62.447,-65.43,-64.824,-32.514,-64.365,-43.388,-61.042,-27.522
-57.267,-59.279,-58.151,-27.782,-58.442,-38.605,-55.587,-22.849
-54.879,-56.645,-52.867,-24.945,-53.696,-36.385,-51.578,-19.375
-50.099,-51.264,-45.8,-19.981,-46.861,-32.345,-46.288,-14.85
-42.252,-41.78,-37.253,-11.138,-38.566,-23.963,-40.521,-9.116
-33.272,-32.049,-28.056,0.328,-29.807,-12.359,-34.539,-1.942
-24.022,-24.083,-18.383,11.964,-20.499,-0.503,-26.344,6.559
-15.147,-16.725,-9.744,21.498,-12.153,8.967,-17.631,14.106
-7.57,-9.577,-3.224,28.42,-6.091,15.892,-12.417,19.335
-1.118,-3.11,2.366,33.844,-1.039,21.869,-9.923,23.816
5.704,3.798,8.489,39.115,4.625,27.818,-5.873,29.204
13.517,11.926,14.46,44.638,10.154,33.684,0.228,35.003
20.31,19.166,18.094,49.144,13.403,38.742,4.75,39.369
23.916,23.347,18.587,50.965,13.588,41.442,6.311,41.399
26.445,26.529,18.44,51.223,12.811,42.08,7.576,42.786
32.901,33.328,21.59,53.625,14.753,44.467,11.09,46.192
43.73,43.898,28.393,59.192,20.233,50.689,16.423,51.89
53.527,52.749,34.858,64.764,25.78,57.563,21.587,57.863
58.82,56.776,38.296,68.151,28.791,61.745,25.948,62.653
61.637,59.246,40.163,70.605,30.643,64.135,30.197,66.331
65.161,63.82,43.079,74.105,33.587,67.612,33.944,69.442
70.705,70.188,48.415,79.584,38.509,73.655,36.577,72.839
78.395,77.663,56.693,87.608,46.127,82.192,40.64,78.469
87.2,86.872,67.208,97.606,56.331,91.892,49.155,87.207
94.565,95.737,76.63,105.913,65.815,99.494,58.949,95.548
98.85,100.755,81.803,109.315,70.945,102.784,63.646,99.375
101.991,103.604,84.941,111.177,73.677,105.001,64.625,101.197
107.253,109.471,91.359,117.665,79.503,111.398,69.86,106.997
115.125,119.099,101.64,128.617,89.251,121.758,80.311,116.542
123.55,128.491,111.501,138.774,98.657,131.385,89.243,124.735
130.975,135.247,119.07,146.012,105.739,138.434,95.046,130.68
137.394,140.649,126.398,152.311,112.511,144.91,101.888,137.112
143.478,146.621,134.409,158.614,119.99,151.638,109.907,143.7
149.666,153.564,141.663,164.008,126.825,157.313,115.45,148.212
154.936,159.963,147.179,168.305,132.038,161.32,118.097,151.128
157.688,164.006,151.47,172.105,136.099,164.638,120.864,154.397
158.811,166.568,155.31,175.366,139.667,168.198,125.115,158.203
160.587,169.528,158.419,177.28,142.326,171.221,128.714,161.136
163.445,172.323,160.142,177.948,143.435,173.069,129.958,162.688
166.884,174.643,161.118,179.191,143.85,175.353,130.998,164.583
170.516,178.117,162.196,181.851,144.672,178.981,134.038,168.233
172.99,182.009,162.218,183.756,144.754,181.698,136.629,171.635
174.092,184.251,160.64,183.53,143.211,182.178,135.833,172.342
176.765,186.796,160.941,184.212,143.038,183.473,134.166,172.336
182.375,192.097,166.064,188.656,147.191,188.396,136.278,175.218
187.29,197.695,173.199,194.728,153.518,194.878,142.621,180.72
188.707,200.774,178.383,199.475,158.326,199.937,150.563,186.555
188.621,202.332,181.81,202.924,161.466,203.724,158.13,191.935
189.407,203.722,185.239,205.66,164.675,207.23,163.935,196.395
192.153,206.063,189.69,208.704,168.984,211.193,167.999,199.962
198.329,211.794,195.868,213.786,174.651,216.467,172.058,203.869
207.072,220.652,202.644,219.771,180.554,222.048,176.125,208.133
214.452,228.42,207.553,223.763,184.765,226.161,178.483,211.486
218.833,233.188,210.874,226.69,187.608,230.059,179.813,214.161
222.527,237.39,215.505,232.038,191.762,236.405,183.397,218.082
226.524,241.797,221.411,238.815,197.351,243.66,189.408,223.258
228.698,243.667,225.203,242.11,201.017,247.199,192.922,226.159
229.111,243.115,226.657,241.751,202.277,247.173,192.099,225.531
231.989,245.205,230.211,243.45,205.53,249.187,192.669,226.277
240.153,253.062,238.631,249.841,213.482,255.675,198.843,232.145
251.222,263.76,249.203,257.361,223.325,263.015,207.209,239.811
261.807,273.605,258.681,263.633,232.18,269.008,214.778,245.901
272.624,283.424,268.632,271.166,242.006,276.611,224.563,253.294
285.587,295.155,281.196,281.58,254.764,287.702,238.583,265.018
299.289,307.555,294.096,292.503,267.692,299.591,253.296,278.4
309.741,317.197,302.735,300.108,275.921,308.02,262.946,287.571
311.143,318.904,301.624,299.387,274.257,308.194,261.877,287.214
300.547,309.567,288.123,287.74,260.622,297.914,248.57,276.881
285.922,295.997,270.139,272.01,242.812,283.486,230.893,263.667
280.314,290.361,261.221,263.728,233.739,275.504,220.934,256.421
286.588,296.154,265.444,266.964,237.549,278.111,223.077,257.879
296.371,306.259,275.511,276.805,247.486,287.137,231.941,264.52
302.92,314.021,284.833,287.534,256.835,297.159,242.32,272.769
306.543,318.995,292.47,296.89,264.321,305.966,253.392,281.739
307.769,321.487,297.308,303.355,269.109,312.348,261.991,289.087
306.147,320.837,298.348,306.3,270.479,315.742,263.893,291.796
305.697,320.326,299.761,308.892,272.305,318.944,262.579,292.545
