EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
22.684,21.053,11.935,20.204,12.846,20.642,26.678,23.322
11.768,11.285,2.574,11.443,3.24,12.56,16.028,15.735
1.432,2.125,-6.985,4.092,-7.33,5.425,1.449,5.464
-6.182,-4.984,-14.638,-2.03,-15.387,-0.642,-10.987,-4.716
-7.405,-6.844,-15.599,-4.146,-15.688,-2.776,-15.25,-9.946
-3.041,-4.286,-10.44,-2.218,-9.281,-0.694,-12.157,-8.948
1.851,-1.649,-4.695,0.023,-2.499,2.097,-6.945,-5.305
4.028,-1.097,-1.905,0.737,0.664,3.125,-3.688,-3.047
3.513,-1.859,-2.304,0.764,0.182,2.887,-3.595,-3.258
1.829,-2.728,-4.593,1.068,-1.988,3.016,-5.125,-4.161
0.423,-3.507,-7.286,1.675,-4.005,3.79,-6.011,-3.96
-0.644,-4.651,-9.863,1.411,-5.759,3.607,-5.91,-3.271
-1.6,-5.498,-11.938,-0.472,-7.38,1.694,-5.835,-3.538
-1.887,-5.042,-13.095,-3.173,-8.757,-0.907,-6.882,-4.958
-0.693,-3.542,-13.234,-4.953,-9.882,-2.836,-8.739,-5.971
1.498,-2.179,-12.306,-4.52,-10.044,-3.283,-9.164,-4.792
2.939,-1.834,-10.843,-2.559,-8.816,-2.452,-6.862,-1.883
3.865,-1.552,-9.231,-0.402,-6.663,-0.878,-3.161,1.177
5.529,-0.252,-7.343,1.809,-4.605,1.193,-0.665,3.283
6.554,0.718,-5.723,4.046,-3.843,3.149,-0.494,3.803
5.084,-0.458,-5.31,4.763,-4.721,3.678,-1.412,2.764
2.426,-3.03,-5.964,2.666,-6.44,1.961,-2.291,0.749
1.434,-4.385,-6.169,0.035,-7.413,-0.528,-2.746,-0.654
2.248,-3.636,-4.993,0.223,-6.714,-1.29,-2.471,-0.126
3.108,-1.883,-3.015,3.125,-5.036,0.462,-1.523,1.665
3.883,0.349,-0.956,5.965,-3.417,3.091,-0.446,3.161
5.058,2.527,0.701,6.58,-2.168,3.883,0.291,3.566
6.266,3.579,1.692,5.558,-1.119,2.584,1.126,3.553
6.682,3.419,1.879,4.459,-0.851,1.588,1.646,3.645
5.774,2.917,1.184,3.324,-1.785,1.851,0.657,3.277
4.563,2.48,0.676,2.309,-2.003,2.572,-0.452,2.772
4.632,1.922,1.914,2.348,0.373,3.448,0.708,3.206
5.938,1.616,4.698,2.951,4.11,4.176,3.553,4.553
7.135,2.015,7.423,2.581,6.815,3.989,5.633,5.707
8.159,3.198,9.553,1.813,8.361,3.579,6.625,6.409
9.774,4.854,11.233,2.408,9.596,4.294,7.821,7.421
10.921,5.503,11.671,3.624,9.864,5.204,8.847,8.531
10.696,4.342,11.003,3.687,9.392,4.767,9.051,9.239
10.427,2.854,10.936,2.795,9.832,3.493,9.323,9.914
11.454,2.671,12.032,2.1,11.052,2.425,10.189,10.366
12.537,2.92,12.509,0.956,10.897,0.787,10.061,8.913
11.416,1.681,10.844,-1.928,8.429,-2.408,7.249,5.002
9.021,0.033,8.333,-4.811,5.635,-5.404,3.353,1.499
7.28,-0.052,6.592,-5.35,4.085,-6.266,1.161,0.69
5.77,0.61,5.842,-3.97,3.459,-5.506,1.341,1.743
4.26,0.807,6.232,-2.063,3.901,-3.964,3.421,3.656
3.439,0.78,6.761,-0.916,5.015,-2.41,5.839,5.432
4.075,1.38,6.255,-0.828,5.598,-1.829,6.622,5.946
6.642,2.697,5.855,-0.672,5.933,-2.104,6.485,5.999
9.589,3.162,6.22,-0.62,6.554,-3.038,7.362,6.691
10.496,1.689,5.595,-1.981,6.452,-4.86,8.353,7.103
9.354,-0.262,3.573,-3.541,5.285,-6.036,8.13,6.778
7.866,-0.955,2.506,-3.004,4.681,-4.987,8.298,6.882
6.616,-0.945,3.786,-0.924,5.676,-3.067,9.724,7.366
5.163,-1.521,5.726,1.029,7.046,-1.824,10.567,7.462
2.199,-3.452,4.551,1.215,5.53,-2.051,8.74,6.603
-2.564,-6.425,-0.986,-1.59,-0.28,-4.548,4.051,4.021
-5.514,-8.07,-6.093,-4.654,-5.83,-7.11,-0.282,1.186
-5.027,-7.993,-7.048,-5.131,-7.219,-7.439,-1.651,-0.037
-4.762,-8.622,-6.217,-4.953,-6.642,-7.49,-1.411,-0.495
-5.922,-9.268,-5.612,-5.444,-6.22,-8.44,-0.825,-0.666
-5.333,-6.964,-4.008,-4.296,-4.875,-7.691,1.063,0.962
-1.74,-2.07,-1.012,-0.132,-2.124,-3.545,4.886,5.041
1.552,1.57,0.719,4.371,-0.499,1.349,7.964,8.643
1.479,1.626,-1.144,5.559,-2.389,3.029,6.848,8.333
0.377,0.581,-3.923,3.928,-5.434,1.73,3.173,5.532
2.198,1.764,-3.001,3.155,-5.361,1.102,1.221,4.146
5.299,4.042,0.908,4.328,-2.599,2.121,1.715,4.962
4.272,3.688,2.771,4.647,-1.715,1.902,1.977,5.36
-0.678,1.059,1.522,3.296,-3.622,-0.257,0.87,3.984
-3.027,0.655,1.216,3.632,-4.06,-0.766,0.711,3.211
-0.363,3.497,3.218,6.702,-1.774,1.814,2.638,4.806
2.344,5.196,3.831,8.21,-0.807,3.464,3.995,6.418
1.142,2.583,0.9,4.975,-3.218,0.718,2.678,5.321
-0.769,-1.078,-1.819,1.128,-5.272,-2.958,1.227,3.826
0.885,-0.923,-0.434,2.492,-3.705,-1.936,3.097,5.795
2.929,1.08,2.158,6.751,-1.802,1.992,6.023,8.521
-0.27,-0.764,0.417,7.097,-4.487,2.446,4.882,6.388
-7.472,-6.714,-5.59,2.668,-10.954,-1.392,0.117,0.744
-12.359,-11.272,-10.045,-1.012,-15.616,-4.447,-2.809,-2.094
-12.298,-10.91,-9.272,-0.473,-15.163,-4.092,-2.104,-0.898
-10.878,-8.323,-6.226,1.627,-12.07,-2.96,-1.169,0.039
-11.066,-7.468,-5.149,1.758,-10.29,-3.486,-1.534,-0.764
-11.719,-8.614,-6.808,-0.499,-11.172,-5.382,-2.108,-1.574
-11.438,-9.824,-9.459,-3.644,-13.109,-7.606,-2.695,-1.981
-11.164,-10.56,-11.283,-6.152,-13.804,-9.533,-3.212,-2.486
-12.629,-12.172,-12.326,-7.819,-13.658,-11.209,-3.47,-3.443
-15.104,-14.425,-13.069,-8.505,-13.985,-12.143,-3.489,-4.438
-16.628,-15.569,-13.049,-8.068,-14.308,-11.92,-3.39,-4.634
-17.39,-15.756,-12.26,-7.994,-13.819,-11.852,-3.445,-4.16
-18.207,-15.992,-10.983,-9.282,-12.206,-12.786,-2.828,-3.366
-18.999,-16.283,-9.561,-11.311,-10.038,-14.323,-1.369,-3.204
-19.63,-16.168,-8.833,-13.381,-8.756,-16.24,-1.04,-4.906
-19.571,-14.8,-8.864,-14.506,-8.706,-17.592,-2.103,-7.078
-17.846,-11.795,-8.731,-13.77,-8.725,-17.291,-2.474,-7.358
-15.248,-9.029,-8.727,-12.323,-8.724,-16.537,-2.484,-6.821
-14.41,-9.082,-10.01,-12.431,-9.921,-17.42,-4.298,-7.951
-15.255,-10.985,-10.972,-13.774,-11.049,-19.285,-6.548,-9.586
-14.644,-11.362,-9.157,-13.754,-9.575,-19.258,-6.03,-9.097
-12.019,-10.112,-6.571,-11.887,-7.024,-16.708,-3.527,-7.427
-10.552,-10.559,-6.99,-10.844,-7.246,-14.922,-2.77,-7.384
-11.488,-13.061,-9.441,-11.611,-9.951,-16.029,-4.404,-8.565
-11.641,-13.226,-9.499,-11.043,-10.78,-16.866,-4.91,-7.744
-9.344,-9.625,-6.564,-8.094,-8.487,-14.676,-3.012,-5.021
-7.239,-6.612,-4.44,-6.465,-6.437,-12.257,-1.655,-4.06
-7.1,-7.099,-4.918,-7.971,-6.636,-12.897,-2.429,-5.742
-7.908,-9.519,-6.625,-10.819,-8.224,-15.921,-4.333,-8.146
-8.392,-11.514,-8.449,-13.72,-10.008,-19.008,-6.408,-10.289
-8.431,-12.379,-9.977,-16.131,-11.113,-20.827,-8.001,-11.845
-8.875,-12.617,-10.983,-17.329,-11.55,-21.494,-8.736,-12.573
-11.266,-13.674,-12.675,-18.517,-13.125,-22.818,-9.645,-13.636
-15.744,-16.578,-15.698,-21.284,-16.528,-25.926,-12.032,-16.162
-18.289,-18.489,-16.424,-22.558,-17.856,-27.49,-13.701,-17.428
-16.287,-16.489,-12.609,-19.478,-14.73,-24.704,-11.831,-14.979
-14.029,-13.93,-9.46,-16.432,-12.148,-21.592,-9.405,-12.873
-15.16,-15.05,-11.314,-17.476,-14.146,-21.736,-10.385,-14.607
-16.753,-17.891,-14.434,-19.383,-16.773,-22.114,-12.263,-16.242
-15.509,-18.325,-14.277,-18.845,-15.427,-20.533,-10.974,-14.109
-13.01,-16.482,-12.434,-17.96,-12.383,-19.967,-8.026,-11.049
-11.377,-14.477,-11.758,-18.359,-11.422,-21.61,-6.399,-9.952
-9.885,-12.304,-11.297,-18.265,-11.258,-22.522,-5.364,-9.301
-8.946,-10.397,-10.164,-18.041,-10.087,-22.372,-4.358,-8.35
-10.236,-10.591,-9.694,-19.934,-9.334,-23.636,-4.795,-8.593
-12.891,-12.789,-10.102,-22.95,-9.787,-25.834,-6.512,-10.244
-14.173,-14.059,-9.729,-23.808,-9.664,-26.044,-7.474,-11.902
-12.976,-12.03,-8.063,-21.133,-8.116,-23.1,-6.426,-11.593
-11.441,-8.696,-7.152,-17.205,-7.2,-19.153,-4.556,-9.083
-11.696,-7.452,-8.437,-15.341,-8.096,-17.489,-4.429,-7.812
-13.411,-8.543,-11.098,-16.601,-9.847,-19.217,-7.187,-10.609
-15.538,-10.534,-14.311,-19.979,-12.223,-22.93,-11.308,-15.006
-16.858,-12.102,-17.406,-23.557,-15.135,-26.517,-14.557,-17.304
-16.03,-12.175,-18.556,-24.907,-16.801,-27.991,-15.617,-17.351
-13.345,-10.978,-16.459,-22.531,-15.399,-26.133,-13.884,-15.945
-10.703,-9.607,-12.228,-17.55,-11.448,-21.701,-10.207,-12.837
-8.817,-8.148,-7.672,-12.626,-6.68,-16.787,-6.251,-8.727
-7.398,-6.761,-4.574,-10.367,-2.901,-13.883,-3.561,-6.918
-6.31,-5.968,-4.187,-11.202,-1.6,-14.211,-3.209,-9.842
-3.67,-3.688,-4.026,-10.928,-1.059,-14.484,-3.119,-13.157
1.3,1.614,-0.753,-6.293,1.83,-11.021,-0.245,-11.332
5.345,6.57,4.136,-1.003,6.235,-6.619,3.583,-6.952
6.33,7.737,6.897,0.304,8.803,-5.806,4.111,-5.592
6.001,6.263,6.662,-1.355,8.596,-7.43,2.067,-6.962
6.376,5.226,5.158,-2.534,7.444,-8.101,1.952,-7.413
7.811,5.959,3.847,-2.398,6.662,-7.995,3.853,-6.747
11.793,9.185,4.956,-0.942,8.029,-7.686,6.027,-5.934
20.826,16.405,11.647,3.401,14.676,-4.577,10.93,-3.006
32.091,25.836,21.577,9.588,24.493,1.68,18.281,1.867
38.468,31.847,27.132,12.843,30.25,6.315,23.162,5.124
37.763,31.669,25.81,11.115,29.787,6.092,24.773,6.261
33.935,27.876,22.872,7.961,27.817,3.564,26.566,8.125
30.529,24.27,22.741,7.349,27.824,2.87,29.5,11.823
27.243,21.808,23.065,7.99,27.532,3.788,30.278,14.746
21.429,17.784,18.191,4.818,22.066,1.678,24.607,12.538
12.452,10.189,7.324,-3.698,10.688,-5.697,12.328,3.739
