EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-4.326,-1.749,-5.844,-3.149,-5.131,14.695,-2.651,-3.331
-6.375,-4.484,-5.403,-5.3,-4.786,12.41,-2.965,-3.742
-8.155,-5.366,-5.825,-5.784,-4.144,11.879,-2.421,-3.25
-8.523,-4.15,-7.004,-4.857,-4.07,13.184,-2.201,-2.968
-6.019,-1.393,-6.813,-3.024,-3.678,15.637,-2.187,-2.901
-1.339,2.401,-4.614,-0.952,-2.436,18.039,-1.841,-2.421
1.829,5.552,-3.672,-0.393,-2.478,18.598,-2.23,-2.616
1.584,6.447,-5.837,-1.878,-4.926,16.989,-3.975,-4.354
0.548,5.878,-8.285,-3.546,-7.419,15.214,-5.432,-6.205
0.999,5.526,-8.592,-4.034,-7.87,14.736,-4.999,-6.618
1.375,5.327,-8.288,-4.382,-7.377,14.363,-3.941,-6.408
1.337,5.317,-8.544,-5.042,-6.969,13.496,-3.919,-6.431
3.112,6.702,-8.039,-4.623,-6.15,13.695,-4.183,-5.946
5.859,8.696,-6.649,-3.405,-5.23,14.848,-3.673,-4.937
6.245,8.592,-6.046,-3.738,-5.022,14.7,-2.907,-4.696
4.083,5.927,-6.925,-5.978,-5.53,12.913,-2.63,-5.743
2.363,3.622,-7.88,-7.098,-5.975,12.029,-2.142,-6.455
1.929,3.455,-7.499,-5.372,-5.847,13.249,-0.963,-5.477
1.188,3.777,-6.46,-3.231,-5.242,14.596,-0.255,-4.092
0.374,3.462,-5.849,-2.861,-4.025,14.848,-0.69,-3.828
0.687,3.305,-5.261,-3.174,-2.361,15.097,-1.519,-4.235
2.314,4.115,-3.573,-2.121,-0.616,16.419,-1.463,-3.867
4.703,5.98,-0.9,0.543,1.163,18.718,0.024,-2.359
6.254,7.784,0.991,3.048,2.352,20.931,1.807,-0.764
5.535,8.242,0.951,3.827,1.961,21.769,2.199,-0.069
3.508,7.723,0.011,3.366,0.38,21.276,1.262,-0.129
3.423,7.86,0.274,3.493,-0.182,21.224,1.2,0.449
6.733,9.486,2.032,4.554,1.018,22.2,2.775,1.795
10.446,11.502,3.176,4.813,1.817,22.4,3.812,1.917
10.96,11.988,2.391,3.541,0.964,20.992,2.96,0.41
8.443,10.528,0.867,2.35,-0.118,19.533,1.674,-0.807
6.158,9.182,0.862,2.946,0.365,19.696,2.113,-0.436
5.791,9.36,2.898,4.653,2.165,21.137,3.836,0.668
5.949,9.547,5.254,5.727,3.854,22.281,5.165,1.469
5.841,8.581,6.794,6.004,5.196,22.6,6.938,2.562
5.854,7.036,7.257,5.337,6.121,21.8,9.114,3.534
5.744,5.362,6.096,2.813,6.179,19.206,9.085,2.832
5.51,4.306,3.661,-0.65,5.713,15.797,7.016,1.172
6.083,4.736,1.578,-2.913,5.005,13.599,5.828,0.619
7.432,5.579,0.645,-3.693,3.411,12.927,6.118,1.331
7.861,4.853,-0.333,-4.173,0.573,12.562,5.986,1.737
6.966,3.022,-1.79,-4.109,-1.946,12.517,5.098,1.682
5.788,1.56,-2.445,-2.912,-2.847,13.319,4.378,1.855
4.359,-0.382,-2.331,-2.131,-3.471,13.648,3.247,1.112
2.665,-3.295,-2.584,-2.69,-4.788,12.856,1.401,-0.952
1.123,-5.044,-3.491,-3.239,-6.056,12.46,-0.103,-2.511
-1.127,-5.151,-5.422,-3.775,-7.614,12.343,-1.2,-3.264
-5.383,-6.691,-9.146,-6.283,-10.818,10.048,-3.325,-5.142
-9.993,-10.508,-13.482,-10.296,-14.711,5.714,-6.703,-8.086
-11.557,-12.597,-15.298,-12.274,-16.376,3.21,-9.075,-9.45
-10.524,-10.78,-13.777,-10.768,-15.463,4.365,-8.834,-8.555
-10.242,-8.376,-11.763,-8.284,-14.534,6.495,-7.36,-7.606
-11.214,-8.294,-11.33,-6.928,-14.764,7.541,-6.76,-7.773
-11,-8.549,-10.807,-5.389,-14.174,9.298,-6.718,-7.398
-9.216,-6.804,-8.292,-2.063,-11.324,13.064,-5.751,-5.329
-8.189,-4.574,-4.822,2.267,-7.896,17.086,-4.171,-3.065
-7.892,-3.472,-1.428,6.644,-5.055,20.439,-2.663,-1.407
-7.105,-3.356,1.352,9.258,-2.786,22.402,-1.544,-0.462
-6.969,-4.342,1.95,7.362,-2.027,20.677,-1.569,-1.298
-6.944,-4.773,1.639,3.213,-1.746,16.898,-1.565,-2.53
-4.625,-2.627,3.588,1.72,0.478,15.494,0.274,-1.776
-1.211,-0.794,6.473,1.789,3.695,15.518,2.302,-0.604
-0.146,-3.088,7.025,-0.481,5.364,13.326,2.152,-1.47
-1.152,-7.152,6.108,-4.055,5.819,9.8,1.064,-3.113
-0.845,-8.307,5.693,-5.954,6.243,7.426,0.767,-3.772
1.936,-6.18,4.93,-6.574,5.731,6.016,0.252,-4.37
6.416,-2.199,4.134,-6.503,4.88,6.002,-0.026,-4.672
11.857,3.45,5.87,-3.956,6.515,9.279,2.837,-2.418
17.275,10.009,10.547,1.976,11.431,15.614,9.38,2.734
22.414,16.105,16.724,9.657,18.479,22.839,17.71,9.399
26.096,19.613,22.473,15.632,25.231,28.312,25.894,16.134
25.269,17.712,24.825,17.126,28.017,30.003,31.9,21.361
19.148,10.728,22.347,15.014,25.383,28.4,33.374,23.351
9.7,1.591,15.748,10.904,18.467,24.393,28.209,20.498
-2.297,-9.08,4.631,3.314,7.242,16.543,15.749,12.142
-14.975,-20.205,-9.781,-7.349,-7.176,5.73,-0.32,0.692
-21.97,-25.96,-20.691,-14.713,-18.318,-1.677,-11.756,-7.827
-20.406,-22.8,-23.182,-14.32,-21.428,-1.71,-14.074,-9.688
-15.245,-15.091,-20.101,-9.297,-19.384,2.467,-10.72,-7.119
-10.455,-8.316,-15.75,-4.127,-16.075,7.064,-5.823,-3.347
-6.16,-3.648,-11.953,-0.025,-12.522,11.164,-1.189,0.243
