EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
18.09,8.05,4.51,-2.46,4.763,-1.98,2.129,-1.336
12.89,9.182,3.335,2.229,3.676,5.033,2.041,-0.454
6.08,3.917,-1.19,3.851,-0.743,7.53,1.02,-1.438
3.071,-4.07,-5.439,4.269,-4.834,7.434,1.079,-0.134
3.839,-8.103,-6.016,4.781,-6.308,6.587,1.586,2.204
5.456,-6.86,-3.166,4.163,-5.252,4.223,1.132,1.926
6.484,-4.756,-0.104,2.307,-2.964,2.066,-0.559,0.024
7.96,-3.565,1.402,1.495,-0.559,2.816,-2.532,0.277
10.235,-1.504,2,2.119,1.108,4.31,-3.608,1.726
10.332,0.409,1.165,0.264,0.302,1.505,-4.99,-0.592
7.23,0.303,-1.86,-6.515,-3.769,-5.956,-7.866,-6.713
5.179,-0.313,-4.866,-13.645,-8.456,-12.646,-10.69,-11.809
5.819,-1.534,-5.916,-15.444,-10.8,-14.876,-12.089,-13.299
4.884,-5.57,-6.801,-13.43,-11.706,-15.251,-11.791,-12.02
0.746,-9.826,-9.131,-12.921,-13.587,-17.061,-10.903,-9.994
-1.85,-10.306,-10.371,-14.434,-15.386,-18.206,-11.396,-7.795
0.298,-8.738,-7.836,-13.867,-13.927,-15.836,-11.669,-3.9
2.939,-9.181,-4.27,-9.921,-10.096,-11.845,-8.886,1.13
0.891,-12.469,-4.6,-6.006,-8.853,-8.524,-5.77,3.097
-3.16,-15.476,-8.089,-4.139,-11.744,-5.593,-6.059,0.209
-2.785,-14.24,-9.36,-2.273,-14.418,-3.024,-6.835,-3.348
1.669,-8.424,-7.758,-0.218,-14.212,-2.193,-5.311,-3.923
3.702,-1.804,-8.729,-2.034,-14.619,-4.673,-6.392,-3.806
0.762,0.775,-14.112,-7.871,-18.326,-9.075,-12.636,-5.823
-2.806,-2.341,-18.912,-11.103,-21.987,-11.003,-16.77,-7.858
-3.52,-7.171,-19.433,-8.88,-22.299,-10.228,-14.299,-7.123
-3.209,-9.164,-17.895,-7.081,-21.43,-12.439,-11.241,-5.241
-3.948,-9.083,-17.418,-9.97,-22.325,-18.874,-12.385,-5.659
-4.861,-9.8,-17.38,-13.412,-23.611,-22.863,-14.474,-8.846
-5.22,-11.503,-16.015,-12.886,-22.61,-21.329,-13.732,-11.729
-5.503,-13.621,-14.233,-10.723,-20.006,-18.843,-11.709,-12.423
-5.653,-16.439,-13.725,-11.546,-18.623,-18.972,-12.298,-13.501
