EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
276.871,274.818,241.299,217.36,241.112,189.643,152.314,167.409
283.79,286.376,242.262,220.248,242.897,194.087,154.79,177.147
284.728,294.566,239.224,220.503,240.002,194.552,151.696,176.845
280.296,297.264,234.358,217.261,234.558,190.314,144.381,167.279
276.389,299.82,234.113,217.894,233.228,190.723,142.531,164.924
277.347,303.009,238.88,225.201,238.198,197.836,151.024,176.391
278.843,298.602,241.875,231.013,243.773,202.425,160.261,184.264
272.931,284.202,239.371,227.858,244.012,198.076,159.589,173.085
261.893,271.2,235.018,221.071,240.526,192.288,153.423,158.12
254.923,268.424,232.483,218.905,237.69,193.915,149.69,157.595
252.633,271.666,230.124,218.971,235.044,197.642,146.324,160.47
248.702,274.383,225.989,215.379,230.69,194.084,140.476,153.377
242.473,275.224,222.004,209.914,226.485,185.116,136.238,144.355
238.413,274.751,220.769,209.013,225.536,180.497,137.141,143.252
236.515,272.125,222.335,212.772,227.81,182.445,139.695,148.367
233.403,267.827,225.582,214.924,231.069,183.733,140.101,155.889
230.235,265.829,229.117,214.591,233.689,183.389,141.079,164.646
230.194,266.145,230.377,215.307,234.264,185.887,144.22,169.829
232.042,263.634,228.706,216.784,232.81,189.055,146.219,166.656
231.201,257.498,225.472,218.004,230.564,189.876,145.564,162.288
224.785,250.514,219.937,219.279,226.281,190.15,140.834,163.32
216.028,244.021,213.031,219.015,219.67,189.756,131.191,160.22
210.598,238.912,208.867,215.065,214.259,185.473,123.48,148.762
207.713,233.878,207.673,208.316,211.61,178.229,124.415,141.353
202.615,226.494,205.812,201.299,209.638,172.89,129.599,141.562
195.556,219.044,201.388,193.927,206.587,168.848,131.186,139.812
191.341,215.808,196.178,186.182,202.914,162.771,128.531,135.338
192.615,216.829,193.914,182.247,200.722,158.814,124.841,135.767
197.455,219.338,196.152,184.246,201.704,160.661,121.225,139.163
202.914,221.594,200.498,187.8,205.053,162.526,118.332,136.387
207.892,224.14,203.56,189.443,207.9,160.874,118.32,129.559
211.518,227.716,204.065,190.195,208.288,160.233,121.674,129.192
212.204,228.332,202.53,190.115,206.779,161.18,125.682,133.565
210.042,219.968,199.255,188.4,204.788,159.268,128.011,134.001
207.278,205.774,194.931,186.941,203.234,154.895,128.003,134.315
206.076,197.037,192.815,187.323,203.699,152.036,126.629,140.364
206.844,197.646,195.755,187.801,207.651,151.617,126.257,145.342
206.879,199.97,199.33,185.427,211.622,150.577,126.056,140.977
203.069,198.656,196.097,180.032,209.699,146.026,122.536,128.358
