EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
-8.751,0.294,-4.177,-5.403,-5.211,-6.593,-7.128,-13.438
-9.87,-3.339,-5.008,-6.608,-4.295,-8.111,-9.502,-15.265
-10.087,-6.72,-9.403,-10.301,-9.204,-11.55,-15.999,-20.201
-9.768,-5.79,-14.248,-13.02,-15.702,-13.451,-22.016,-24.158
-8.976,-0.899,-16.623,-13.337,-18.403,-13.068,-23.212,-24.669
-10.351,2.63,-18.689,-14.921,-19.642,-14.695,-23.065,-25.676
-10.095,5.664,-17.83,-15.11,-18.636,-15.781,-21.168,-25.539
-5.772,9.539,-13.503,-12.101,-15.494,-14.204,-17.255,-22.91
-0.524,11.911,-10.338,-9.277,-14.017,-12.52,-14.897,-20.671
1.187,9.224,-11.666,-10.003,-16.347,-13.143,-16.446,-21.177
-2.269,0.974,-16.745,-14.702,-21.501,-16.671,-21.187,-24.742
-5.937,-5.614,-19.931,-17.561,-24.781,-18.441,-23.556,-26.475
-9.561,-8.287,-20.25,-16.454,-25.677,-16.686,-21.71,-24.331
-13.563,-8.973,-17.78,-12.674,-23.542,-12.015,-16.623,-18.699
-14.796,-8.474,-12.893,-8.758,-18.508,-6.881,-12.134,-12.724
-15.033,-9.082,-10.363,-8.903,-16.131,-6.355,-13.933,-12.449
-15.142,-9.449,-9.662,-10.544,-15.864,-8.241,-17.878,-15.158
-14.023,-9.599,-9.518,-11.944,-15.239,-10.224,-19.747,-17.231
-10.956,-10.781,-9.629,-13.979,-13.928,-12.852,-19.733,-18.735
-8.766,-12.581,-8.404,-15.965,-11.865,-15.578,-17.288,-19.46
-10.596,-14.023,-6.69,-17.77,-10.24,-17.988,-13.82,-20.088
-12.085,-12.918,-5.956,-18.605,-9.273,-18.746,-11.689,-20.041
-11.869,-13.352,-9.907,-21.213,-12.472,-20.734,-14.179,-21.013
-10.706,-16.379,-16.175,-24.728,-18.806,-23.74,-18.171,-21.899
-9.77,-15.889,-19.254,-25.145,-22.973,-24.004,-19.805,-20.418
-13.41,-11.658,-21.479,-24.623,-25.441,-23.651,-22.283,-19.284
-17.58,-7.759,-23.647,-23.989,-25.932,-23.444,-23.624,-17.856
-17.699,-7.89,-24.93,-23.223,-25.041,-22.942,-21.144,-15.891
-16.407,-10.002,-24.718,-22.031,-23.598,-21.489,-17.015,-14.042
-16.068,-11.056,-22.915,-19.952,-21.237,-18.742,-14.152,-11.511
-15.401,-11.901,-21.186,-17.65,-19.49,-15.72,-12.6,-8.824
-12.561,-11.481,-18.119,-13.254,-17.183,-11.112,-7.998,-5.112
-12.039,-12.247,-14.651,-9.229,-14.228,-7.653,-2.388,-2.482
-14.455,-14.577,-11.973,-7.791,-10.93,-6.893,-0.147,-1.878
-15.192,-14.746,-10.346,-7.405,-8.602,-6.669,-1.253,-1.918
-14.741,-13.987,-11.308,-8.234,-10.039,-7.518,-4.332,-3.374
-15.339,-14.521,-12.424,-9.589,-12.11,-8.851,-6.534,-4.792
-20.505,-19.206,-14.47,-14.128,-14.046,-12.699,-10.351,-7.961
-27.001,-26.202,-18.745,-22.07,-17.164,-19.716,-17.172,-14.468
-27.254,-30.183,-22.704,-28.644,-20.148,-26.315,-23.239,-21.343
-23.229,-31.183,-25.299,-32.838,-22.169,-31.113,-26.693,-26.198
-20.629,-30.61,-26.16,-35.764,-22.033,-33.839,-26.304,-27.388
-23.163,-31.286,-28.962,-40.287,-23.799,-37.593,-25.508,-28.751
-28.02,-32.279,-34.021,-44.152,-29.05,-41.586,-26.675,-31.539
-31.298,-31.212,-37.179,-43.051,-32.82,-41.273,-27.813,-31.054
-34.337,-31.419,-39.296,-40.322,-34.436,-38.421,-29.048,-27.355
-35.704,-33.022,-41.328,-39.05,-35.758,-36.29,-30.455,-24.073
-35.986,-34.113,-42.894,-39.988,-37.432,-37.063,-33.266,-24.934
-37.443,-33.596,-41.443,-40.822,-35.914,-38.571,-35.665,-27.782
-39.34,-33.29,-38.638,-40.808,-32.682,-39.206,-36.327,-30.301
-39.621,-35.9,-40.681,-42.154,-35.427,-40.843,-37.465,-33.66
-35.748,-37.189,-43.173,-40.764,-39.697,-39.656,-35.367,-33.094
-31.912,-36.027,-39.611,-35.287,-36.942,-34.433,-29.21,-27.265
-30.969,-34.607,-30.965,-28.602,-27.369,-27.781,-22.456,-19.626
-31.163,-33.402,-23.104,-22.521,-18.33,-21.227,-16.703,-12.556
-33.048,-32.378,-20.027,-18.42,-15.214,-16.427,-12.805,-8.116
-33.815,-28.592,-17.574,-14.594,-13.695,-12.381,-9.398,-5.243
-31.806,-24.39,-15.278,-12.976,-12.138,-11.205,-8.7,-5.733
-29.015,-23.695,-15.726,-15.573,-12.202,-14.322,-11.464,-10.361
-28.092,-26.162,-17.956,-20.035,-13.716,-18.839,-14.46,-15.528
-28.712,-30.012,-19.62,-22.896,-16.082,-21.111,-16.057,-17.821
-25.543,-31.169,-17.677,-20.834,-15.57,-17.935,-14.576,-14.809
-20.182,-30.501,-15.823,-18.966,-13.341,-15.054,-13.477,-12.315
-15.909,-28.96,-17.092,-21.594,-12.459,-17.474,-14.908,-15.123
-11.902,-25.098,-19.065,-25.473,-12.648,-21.8,-16.711,-20.231
-9.285,-21.146,-20.282,-27.972,-12.812,-24.699,-18.945,-24.446
-8.139,-18.051,-19.366,-27.508,-10.978,-24.423,-20.038,-24.678
-9.983,-17.856,-20.173,-27.248,-12.021,-24.545,-21.155,-23.327
-13.404,-20.331,-23.589,-27.716,-17.229,-25.9,-22.747,-22.473
-15.643,-22.058,-23.332,-24.349,-18.494,-23.754,-20.709,-19.035
-18.377,-22.163,-18.047,-17.505,-13.694,-17.967,-13.451,-12.142
-19.111,-20.162,-13.039,-12.269,-9.098,-13.134,-5.134,-5.605
-17.325,-19.89,-16.059,-15.18,-12.495,-15.551,-5.177,-7.236
-17.113,-22.815,-23.038,-21.259,-19.428,-20.553,-10.967,-13.239
-20.222,-26.391,-24.572,-21.659,-20.871,-19.921,-12.5,-13.849
-24.124,-31.118,-23.542,-20.943,-19.77,-18.519,-12.361,-12.542
-24.708,-35.495,-23.76,-23.274,-19.926,-20.571,-14.311,-13.751
-25.328,-38.726,-24.687,-26.033,-21.403,-23.603,-17.141,-16.047
-26.521,-39.172,-24.332,-25.381,-22.092,-23.565,-18.661,-16.158
-23.886,-36.282,-23.763,-23.377,-21.895,-21.843,-20.053,-15.095
-20.637,-34.802,-26.938,-25.806,-24.503,-24.192,-24.275,-17.639
-20.976,-35.382,-31.175,-29.383,-28.054,-28.133,-27.039,-21.116
-24.865,-36.91,-34.389,-30.165,-30.634,-29.664,-26.061,-22.376
-26.24,-37.036,-36.716,-28.941,-32.038,-28.45,-23.324,-21.544
-21.494,-34.562,-38.415,-29.171,-32.89,-27.814,-21.675,-20.979
-16.137,-33.011,-40.814,-33.264,-35.078,-31.357,-23.76,-23.546
-13.282,-31.943,-40.416,-35.059,-34.986,-33.449,-25.197,-24.644
-13.578,-30.66,-36.13,-31.701,-31.492,-30.568,-23.916,-21.912
-14.838,-28.437,-30.007,-26.407,-26.903,-25.525,-22.213,-17.972
-16.114,-26.112,-25.522,-23.516,-23.844,-23.018,-22.352,-16.984
-21.353,-28.576,-26.439,-26.726,-24.221,-27.221,-26.113,-22.952
-27.801,-33.419,-27.877,-31.503,-22.356,-33.406,-29.451,-30.757
-31.932,-36.245,-26.581,-32.986,-17.401,-35.474,-29.348,-33.463
-34.064,-37.065,-25.113,-30.542,-15.96,-32.036,-25.122,-28.833
-35.256,-39.577,-25.845,-27.88,-20.226,-28.087,-19.439,-22.083
-36.696,-45.837,-28.974,-29.977,-26.013,-30.176,-18.489,-21.466
-37.264,-49.657,-30.77,-33.262,-28.059,-34.394,-20.891,-24.247
-39.537,-49.847,-31.848,-34.965,-29.016,-36.788,-23.403,-25.927
-43.101,-49.887,-32.942,-35.899,-30.098,-37.942,-24.378,-26.178
-44.496,-50.954,-33.619,-37.348,-29.883,-39.333,-24.645,-26.263
-45.745,-52.807,-37.21,-40.409,-32.424,-41.66,-28.184,-27.997
-46.382,-51.072,-42.932,-41.615,-38.201,-41.259,-33.384,-28.964
-46.184,-47.359,-50.109,-42.972,-45.823,-40.981,-39.809,-30.881
-45.96,-46.035,-57.108,-47.55,-52.237,-44.922,-47.49,-35.917
-45.502,-46.032,-59.442,-51.974,-52.982,-49.823,-52.959,-41.209
-45.546,-45.449,-57.147,-54.024,-49.453,-52.919,-55.55,-45.496
-44.541,-43.016,-52.32,-53,-45.176,-52.965,-54.793,-47.45
-44.953,-43.469,-48.844,-51.606,-44.058,-52.236,-51.532,-47.718
-48.673,-48.705,-46.68,-50.348,-44.31,-51.112,-46.697,-45.901
-52.752,-52.57,-43.321,-46.958,-41.936,-47.594,-42.542,-41.575
-54.766,-51.239,-39.494,-41.733,-38.248,-42.225,-40.919,-37.098
-51.686,-44.982,-33.388,-34.01,-32.633,-34.465,-36.815,-31.405
-46.914,-39.841,-27.071,-27.886,-27.07,-28.692,-31.975,-27.725
-45.06,-38.861,-24.265,-26.52,-24.583,-28.233,-32.498,-29.67
-44.847,-39.319,-24.566,-27.091,-24.788,-29.726,-36.92,-33.471
-44.98,-40.521,-27.245,-28.289,-27.641,-31.013,-40.935,-35.159
-44.714,-40.632,-29.649,-28.952,-30.679,-31.146,-41.463,-33.977
-45.131,-38.827,-31.364,-29.931,-32.731,-32.196,-40.832,-34.365
-42.88,-33.877,-30.78,-29.939,-31.348,-33.037,-38.628,-35.513
-35.656,-26.85,-26.001,-26.712,-24.655,-30.151,-32.303,-32.362
-30.176,-23.424,-21.321,-22.991,-18.384,-25.945,-26.952,-27.809
-29.257,-23.344,-20.245,-20.559,-17.599,-23.056,-26.568,-25.728
-31.265,-24.708,-24.685,-21.875,-23.321,-23.972,-30.866,-27.794
-32.288,-25.625,-31.366,-25.888,-30.091,-27.211,-35.275,-31.294
-30.635,-24.09,-35.127,-28.543,-32.904,-29.306,-35.889,-32.292
-30.214,-21.741,-36.029,-29.74,-33.711,-30.804,-34.304,-31.267
-29.429,-19.585,-32.785,-28.233,-31.417,-30.138,-30.461,-27.474
-26.492,-20.041,-26.51,-25.008,-25.802,-27.694,-26.061,-23.044
-23.434,-21.473,-19.207,-20.924,-18.807,-23.999,-22.359,-20.061
-21.943,-20.28,-11.376,-15.135,-11.976,-18.307,-18.204,-17.205
-22.216,-18.92,-5.524,-9.802,-7.576,-13.165,-14.635,-14.572
-20.774,-17.263,-0.763,-5.01,-2.999,-8.483,-11.168,-11.181
