EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
61.642,193.706,26.925,57.349,-75.956,-283.507,-471.173,-22.355
106.659,229.461,78.841,112.333,-45.694,-246.653,-456.708,21.027
136.36,249.634,117.629,152.452,-16.136,-211.464,-445.21,49.032
158.062,255.493,146.798,178.944,12.314,-177.939,-436.073,65.672
193.883,267.196,182.884,210.489,39.648,-145.101,-424.475,88.637
246.319,288.645,227.072,251.189,65.709,-113.072,-409.444,118.433
295.595,309.57,266.723,290.13,90.541,-81.87,-394.822,143.54
324.23,321.494,292.249,317.623,114.408,-50.717,-383.923,157.466
342.951,329.823,313.843,341.036,138.315,-19.04,-374.388,170.114
369.543,340.551,342.284,368.504,162.115,11.75,-362.444,188.49
397.501,347.112,368.347,391.405,184.274,39.526,-349.192,201.355
412.372,346.705,384.06,404.259,205.34,65.269,-337.618,202.764
416.753,344.129,395.186,414.197,226.877,91.851,-328.055,201.081
432.005,348.323,414.919,433.86,249.159,120.596,-317.514,209.377
460.646,357.206,441.226,460.552,270.744,149.553,-304.971,224.991
477.475,353.576,455.183,475.143,289.926,175.822,-293.622,230.133
478.278,336.076,455.212,475.553,307.473,199.746,-284.462,223.535
483.989,322.825,457.148,477.842,325.418,223.842,-275.105,218.708
503.937,325.534,470.509,491.792,344.929,249.684,-264.402,222.722
520.072,329.13,484.43,504.55,364.916,275.633,-254.66,224.672
514.998,311.896,482.984,499.237,382.747,298.735,-247.661,210.471
503.629,283.684,474.71,488.38,398.203,319.937,-240.492,190.998
508.372,270.043,478.691,494.552,413.864,342.631,-229.999,187.028
529.482,277.462,497.549,517.039,431.549,367.415,-216.985,199.638
546.709,283.315,511.612,531.135,449.383,391.114,-205.452,204.818
545.592,266.142,505.972,523.11,464.63,411.613,-197.536,187.327
539.289,241.467,498.156,515.1,478.533,431.473,-189.527,170.018
545.393,234.851,508.761,527.881,493.917,453.446,-177.784,175.341
563.514,244.174,532.429,551.928,511.064,476.529,-163.777,192.888
576.335,242.829,547.578,563.954,528.01,498.165,-151.948,197.622
573.722,220.217,547.175,559.983,543.985,518.405,-143.844,185.122
572.954,202.668,550.06,562.024,560.238,539.7,-135.578,177.617
586.832,205.264,564.268,577.932,576.786,562.618,-125.294,182.866
603.299,208.473,577.217,592.936,592.909,585.775,-115.806,186.169
606.287,192.104,579.551,595.687,608.533,607.614,-108.88,177.6
598.427,162.678,576.477,590.642,624.035,627.811,-102.937,163.525
595.487,141.563,580.435,591.023,640.052,647.649,-95.312,157.352
598.238,132.13,588.884,596.378,655.374,666.98,-85.818,157.045
600.901,127.439,593.624,600.099,669.034,685.367,-75.94,154.869
603.59,123.799,597.13,603.305,682.692,704.05,-66.757,152.51
607.215,116.856,604.961,609.499,697.492,723.63,-57.882,154.735
616.507,107.285,617.487,620.269,712.196,743.287,-47.763,163.138
628.829,97.369,624.315,627.253,724.925,761.699,-37.489,166.293
636.928,93.426,622.832,626.669,736.246,778.816,-28.82,157.029
639.049,95.917,623.729,627.12,747.904,795.587,-20.52,146.649
638.235,90.158,630.198,632.27,759.934,812.469,-11.1,145.54
640.483,69.297,635.023,636.24,772.133,829.824,-2.02,148.577
640.374,39.899,628.68,629.175,784.452,847.162,3.494,140.074
631.591,16.15,615.389,615.052,796.068,863.433,6.636,121.149
620.033,5.517,606.187,606.667,805.83,878.312,12.188,107.185
610.78,-4.285,599.764,603.685,814.221,892.681,20.67,99.629
602.581,-27.194,590.756,598.37,823.28,907.665,28.597,89.546
589.496,-63.326,576.623,585.291,832.502,921.948,34.292,70.658
574.276,-94.726,563.482,570.418,840.298,934.029,40.261,49.826
565.478,-107.785,557.902,561.435,847.683,944.975,48.242,35.379
560.933,-115.259,553.62,553.062,855.57,955.869,56.55,21.237
553.952,-134.41,544.296,540.863,862.807,966.501,64.382,2.11
541.026,-167.249,530.762,526.404,868.663,976.505,71.994,-19.879
528.74,-197.404,521.223,516.424,874.631,986.753,79.841,-36.637
518.934,-213.894,516.678,512.636,881.283,998.303,87.689,-46.079
497.478,-230.873,503.557,503.352,887.092,1010.587,93.297,-61.256
465.985,-258.297,480.784,484.676,892.338,1022.38,96.39,-87.264
445.979,-285.946,462.819,466.425,898.733,1032.816,100.223,-112.719
449.165,-299.931,459.994,459.968,906.702,1042.745,107.634,-123.532
459.472,-306.792,462.519,461.273,914.641,1053.657,116.421,-124.209
452.094,-326.714,450.287,452.718,920.406,1064.76,121.919,-135.788
430.17,-356.213,426.042,433.282,924.399,1074.615,124.73,-161.176
414.204,-376.917,407.694,416.879,928.694,1083.672,128.793,-184.891
412.449,-385.327,402.319,410.991,934.534,1093.546,135.354,-196.447
412.354,-397.44,399.291,406.358,940.969,1103.515,142.29,-203.92
398.906,-426.81,385.874,389.621,945.786,1110.856,147.659,-222.415
378.808,-460.895,368.932,368.537,948.993,1116.301,152.668,-246.017
364.653,-483.464,358.749,356.561,952.375,1123.124,158.596,-261.269
357.864,-495.215,353.722,352.152,956.942,1131.956,165.054,-269.009
350.542,-508.174,345.325,343.783,961.572,1140.157,171.129,-280.023
336.872,-530.194,328.608,326.134,964.126,1145.58,176.646,-299.616
325.892,-551.354,313.081,310.353,965.221,1149.618,183.014,-317.191
321.214,-566.316,303.903,301.273,967.389,1154.666,189.659,-327.198
312.074,-582.488,293.42,290.448,971.155,1161.197,194.54,-337.277
291.247,-603.542,276.496,273.746,974.369,1167.779,198.139,-353.706
265.346,-624.952,257.617,256.487,975.762,1173.214,202.278,-374.63
250.998,-638.969,247.139,246.871,977.292,1178.088,207.944,-391.181
249.498,-652.184,242.897,239.829,979.922,1182.278,214.474,-403.381
245.84,-673.881,235.847,228.062,982.315,1185.67,220.968,-415.699
234.755,-696.678,227.188,217.106,984.237,1190.068,226.942,-425.686
227.573,-708.461,223.288,213.27,986.621,1196.2,232.456,-431.551
231.861,-707.628,225.685,215.012,989.438,1202.341,238.71,-434.429
230.141,-711.67,222.151,210.543,991.133,1206.807,244.717,-442.106
210.796,-730.677,205.74,195.518,991.644,1210.597,248.483,-457.872
190.913,-751.021,187.621,179.568,992.625,1214.956,251.186,-474.896
183.04,-764.939,175.822,166.576,994.373,1218.732,254.639,-491.121
178.05,-781.155,166.538,152.886,996.465,1221.516,257.997,-508.473
160.059,-810.319,149.484,132.66,998.076,1224.153,259.28,-530.262
133.715,-844.946,126.342,110.006,998.527,1227.137,260.035,-552.735
120.614,-865.902,111.964,98.034,998.696,1230.698,263.654,-565.108
123.421,-869.001,108.659,96.864,999.436,1234.504,269.556,-568.145
122.365,-866.878,104.139,93.17,1000.159,1237.776,274.466,-573.766
101.785,-878.507,87.653,75.154,999.782,1239.593,276.562,-591.838
75.692,-903.488,67.751,51.667,999.222,1240.563,277.931,-613.421
67.805,-919.986,60.166,41.333,1000.24,1242.618,281.375,-622.77
70.464,-923.228,57.937,39.642,1001.924,1246.091,285.13,-626.632
58.228,-931.864,43.714,27.398,1002.013,1249.115,286.141,-641.356
24.435,-957.774,16.207,-0.952,999.822,1249.262,285.357,-669.503
-5.541,-984.868,-5.688,-26.563,997.207,1247.287,286.964,-694.763
-10.749,-998.478,-11.069,-34.575,996.013,1246.545,291.952,-703.687
-11.613,-1012.125,-14.8,-39.294,995.627,1247.476,296.279,-706.956
-30.069,-1034.415,-28.407,-54.039,994.53,1247.93,298.204,-717.27
-18.461,-1019.687,-11.33,-36.241,995.467,1251.036,306.43,-696.27
157.527,-841.941,161.62,140.752,1012.203,1271.112,343.112,-518.155
517.783,-479.071,516.695,499.039,1050.053,1311.902,411.111,-157.466
749.668,-244.415,747.772,728.97,1074.728,1337.677,456.882,75.796
559.297,-439.201,558.165,536.14,1048.485,1311.595,432.217,-117.022
198.873,-807.589,197.96,174.565,997.8,1261.741,382.273,-481.69
178.553,-827.685,178.708,156.415,986.128,1251.863,391.141,-500.615
524.238,-473.707,525.653,504.6,1021.835,1289.413,458.055,-148.706
761.05,-232.495,761.824,740.197,1048.048,1316.704,502.528,90.929
614.111,-384.067,613.133,589.679,1026.894,1296.037,483.305,-59.261
277.617,-726.739,276.392,251.668,984.003,1253.728,431.326,-400.305
-72.809,-1080.45,-72.609,-97.647,953.718,1224.266,362.913,-754.796
-449.714,-1464.403,-449.107,-474.257,932.862,1204.262,276.86,-1136.98
-690.213,-1716.055,-692.643,-717.373,917.157,1189.687,223.604,-1381.397
-595.408,-1624.965,-604.023,-627.166,923.39,1197.551,243.859,-1286.242
-358.191,-1384.464,-373.095,-394.566,944.968,1220.866,289.681,-1047.218
-335.362,-1366.289,-353.318,-374.756,944.662,1221.866,296.398,-1024.294
-552.222,-1596.375,-568.23,-591.619,912.932,1190.589,266.818,-1241.111
-717.291,-1763.412,-726.872,-752.934,887.083,1164.414,247.62,-1403.365
-639.195,-1665.988,-641.581,-669.391,896.15,1173.237,263.59,-1320.345
-464.919,-1470.426,-462.785,-490.851,918.47,1195.865,292.834,-1140.499
-444.924,-1451.074,-441.171,-468.629,915.873,1193.499,301.657,-1114.779
-586.726,-1611.511,-585.13,-611.944,888.091,1165.574,288.014,-1253.909
-679.724,-1717.596,-684.87,-711.489,868.291,1145.826,278.8,-1350.192
-600.65,-1634.106,-612.665,-639.535,875.047,1152.976,292.301,-1276.527
-471.688,-1492.94,-484.996,-511.59,889.007,1167.578,314.323,-1147.412
-474.51,-1489.468,-484.841,-509.632,882.694,1162.692,318.923,-1142.538
-600.462,-1615.181,-608.701,-630.967,858.591,1140.772,304.619,-1259.155
-681.511,-1693.411,-689.037,-710.022,843.01,1126.654,294.775,-1334.851
-621.659,-1627.366,-628.575,-651.047,848.963,1132.091,305.231,-1275.94
-512.644,-1515.656,-520.245,-546.935,859.91,1141.204,324.562,-1173.128
-488.063,-1492.075,-497.205,-528.663,855.734,1135.391,333.17,-1153.21
-543.921,-1546.676,-554.186,-587.771,839.904,1118.9,329.552,-1206.811
-576.14,-1573.432,-587.301,-618.149,829.862,1109.785,327.19,-1231.009
-533.156,-1523.146,-543.959,-568.637,832.611,1114.945,334.347,-1176.882
-473.272,-1456.984,-481.958,-503.358,838.343,1122.52,343.947,-1106.421
-453.373,-1431.981,-459.755,-501.115,835.341,1119.361,350.546,-1079.679
-394.815,-1366.074,-398.82,-506.44,822.603,1105.652,377.443,-1016.276
-175.332,-1135.462,-175.894,-348.638,806.665,1089.103,453.916,-791.878
128.934,-819.147,131.834,-12.155,795.814,1077.613,550.056,-483.562
292.51,-645.102,297.108,249.09,793.909,1074.824,596.533,-316.105
266.955,-663.846,271.76,273.397,795.993,1076.147,583.865,-335.926
192.343,-738.998,197.073,192.668,796.101,1075.646,558.419,-403.666
141.267,-795.152,145.344,140.437,795.338,1074.671,540.105,-447.982
106.421,-829.593,108.427,106.309,796.381,1076.394,524.067,-476.155
107.145,-820.611,106.05,85.192,796.635,1077.792,518.591,-470.399
163.842,-753.345,159.471,111.052,793.38,1075.1,532.563,-412.881
279.495,-626.687,273.208,189.127,787.48,1068.394,566.528,-299.752
467.338,-428.981,463.2,339.358,779.926,1058.387,624.204,-112.848
687.15,-204.471,688.416,570.668,772.923,1048.264,691.442,110.308
828.273,-60.09,832.653,770.37,769.025,1042.611,731.8,256.286
859.207,-19.03,862.748,844.543,767.406,1041.413,736.422,291.706
831.597,-33.405,834.318,838.562,766.412,1041.495,723.39,269.739
755.767,-104.524,758.818,782.116,766.544,1041.479,695.843,200.169
660.468,-203.074,663.336,674.507,768.247,1041.485,661.02,108.672
637.101,-226.418,640.61,602.994,768.725,1039.477,648.247,86.367
710.826,-145.801,716.954,647.372,765.578,1033.908,667.603,162.117
814.63,-33.415,822.191,750.211,760.052,1026.83,697.637,271.302
920.657,81.053,926.656,841.796,752.362,1018.83,729.231,384.702
1046.242,216.485,1051.123,954.655,741.931,1008.737,768.817,518.631
1155.875,336.151,1162.705,1091.472,731.758,998.557,804.402,637.444
1209.101,399.248,1219.083,1189.051,726.21,992.097,819.807,697.659
1206.251,409.006,1218.243,1222.289,726.925,991.137,812.385,696.263
1141.996,356.932,1154.676,1182.577,732.571,995.026,781.358,631.054
1052.044,269.905,1064.101,1080.346,739.435,1000.664,741.016,544.469
1029.188,243.518,1038.63,1007.984,742.291,1003.111,723.475,529.682
1106.148,324.878,1112.439,1051.729,740.513,1001.678,739.088,615.011
1225.004,461.063,1232.212,1171.695,738.537,1000.014,768.124,743.3
1346.013,601.943,1359.73,1293.272,736.764,997.643,799.368,877.328
