freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,8.489258251778406e-12,7.125176884050365e-12,8.939037537336208e-13,1.03875997780365e-12,1.6767119882899665e-12,1.3802708953654902e-12,3.927468677125782e-12,3.077364421828771e-12,8.0,1.2714680563468513e-12,1.2767675883704269e-12,2.4762832653848815e-13,3.808756143818595e-13,5.158488610659392e-13,3.788519090914409e-13,1.6048745606505375e-12,7.550090572099999e-13,12.0,7.701793955701691e-13,7.930823617802666e-13,3.5309046724508213e-13,3.728299265652028e-13,4.728450813798981e-13,4.3621704036801036e-13,1.2483348041656868e-12,5.028457206234199e-13
5.0,4.29441961942736e-12,3.617330746583441e-12,6.089192340676232e-13,7.44622575667644e-13,1.123844543312006e-12,9.326455865261573e-13,2.625296156723138e-12,1.882321492679126e-12,9.0,9.598722560005329e-13,1.0574142860743822e-12,2.578076566596442e-13,2.944213416234647e-13,5.349607791945835e-13,3.3158017404263587e-13,1.5514048507912819e-12,7.115946361057682e-13,13.0,6.012322093708841e-13,6.109432688160682e-13,1.989149453846559e-13,2.2237765040954335e-13,3.5732610964456266e-13,2.8181144730944084e-13,1.2142750784115783e-12,4.0388622970126203e-13
6.0,2.4576588516939257e-12,2.553149932195138e-12,4.1041954789168416e-13,5.106089542217145e-13,8.550202149308276e-13,6.462706343728656e-13,1.9411228344977202e-12,1.232638326513625e-12,10.0,9.042458518448476e-13,8.624687374130636e-13,2.4063500839469946e-13,2.89021802280395e-13,4.782907226871057e-13,3.2647740925093215e-13,1.2354673089935118e-12,5.757096982280287e-13,14.0,5.111439812111568e-13,5.541301943005613e-13,1.4065944059025719e-13,1.6332086840312946e-13,3.114343349257081e-13,2.091744995734044e-13,1.143685553192225e-12,4.0677319886248067e-13
7.0,1.8050744578892155e-12,1.9035031509754813e-12,3.0077268545510166e-13,4.3211596689265876e-13,6.073750740715462e-13,5.215319151340764e-13,1.5849401930579924e-12,1.02906591714972e-12,11.0,9.012930003879208e-13,8.842101128599303e-13,3.533613721933096e-13,4.2330808592571e-13,5.680175885430327e-13,4.47244653279001e-13,1.2363587124311056e-12,5.340966363279788e-13,15.0,4.579916104841677e-13,5.227493520674855e-13,1.1053728926546034e-13,1.3551743188105545e-13,2.6790851609864175e-13,1.674564667916835e-13,1.0959833238082065e-12,4.3640286172898505e-13
8.0,1.2714680563468513e-12,1.2767675883704269e-12,2.4762832653848815e-13,3.808756143818595e-13,5.158488610659392e-13,3.788519090914409e-13,1.6048745606505375e-12,7.550090572099999e-13,12.0,7.701793955701691e-13,7.930823617802666e-13,3.5309046724508213e-13,3.728299265652028e-13,4.728450813798981e-13,4.3621704036801036e-13,1.2483348041656868e-12,5.028457206234199e-13,16.0,3.8793149713270064e-13,4.389010636984477e-13,9.936480320456044e-14,1.355558296643992e-13,2.1242877238254006e-13,1.704657893465776e-13,9.782015083713007e-13,3.323740116979789e-13
,,,,,,,,,,,,,,,,,,17.0,3.2858931601960824e-13,3.510194216983295e-13,9.040253700939606e-14,1.2087920873996466e-13,1.8466562513270406e-13,1.5334885976902077e-13,9.104611904409633e-13,2.6376503399223667e-13
,,,,,,,,,,,,,,,,,,18.0,3.167094541346879e-13,3.43672532023447e-13,8.960025321917751e-14,9.961282489260158e-14,1.8933712957778855e-13,1.5066970838022498e-13,7.706580575211297e-13,2.3601332911584375e-13
,,,,,,,,,,,,,,,,,,19.0,3.0191385502246405e-13,3.06400956345634e-13,8.621892457398235e-14,9.039277702427923e-14,1.786660357623303e-13,1.365492833084926e-13,7.968516466730006e-13,2.7658516844737385e-13
,,,,,,,,,,,,,,,,,,20.0,2.8976098868603355e-13,2.995036941448563e-13,8.050848422704418e-14,8.503146479203042e-14,1.6718837767307682e-13,1.2698063416380895e-13,8.831233382243626e-13,2.7649018111313076e-13
,,,,,,,,,,,,,,,,,,21.0,2.664377355236537e-13,2.9771821883656644e-13,9.051849619947313e-14,9.069051942162681e-14,1.6426123507511156e-13,1.3016550942977098e-13,8.801721836872324e-13,2.60310678312326e-13
