freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.8080129538376204e-12,1.6405197860489708e-12,7.471642117548278e-13,4.895338639747666e-13,7.442656295236042e-13,1.0027427106020157e-12,8.328310237878874e-12,1.2346172542693147e-12,8.0,5.134257196776968e-13,5.345179316634481e-13,2.1788093639577564e-13,2.2367417836978345e-13,2.3294099996178e-13,2.2167683486054862e-13,1.914374116427442e-12,3.882908301150262e-13,12.0,7.394554032535204e-13,7.438602403527055e-13,9.332365672442566e-13,7.360817757591296e-13,8.53987087776776e-13,7.415256630725126e-13,1.2997756750908827e-12,3.903721309422558e-13
5.0,1.2790682848872153e-12,1.2325556955303628e-12,5.350129006340261e-13,3.7754882115011586e-13,5.729483542920853e-13,5.96996629832883e-13,5.2342903360677534e-12,9.941884759072182e-13,9.0,4.91614364064828e-13,5.125196360625208e-13,2.3098579694715435e-13,2.4938838882598954e-13,2.4593606241863046e-13,2.7648224079991016e-13,1.6404248030844108e-12,3.67257604177139e-13,13.0,3.3146342386737304e-13,3.4577473687517633e-13,2.9107465294246274e-13,2.0341447660465332e-13,3.0130565555779657e-13,2.2039616995791034e-13,8.536994380917901e-13,2.754965727237025e-13
6.0,8.744388499109885e-13,9.335333649175988e-13,3.5802332509899826e-13,2.8673309393431794e-13,4.045349644436021e-13,3.5311647590140336e-13,3.3194641917153617e-12,6.758658388569131e-13,10.0,6.487541269395454e-13,6.767141107364771e-13,4.259582304515309e-13,5.716475224841434e-13,4.3005864095305775e-13,5.985537169096972e-13,1.5300643457329853e-12,4.248957453772302e-13,14.0,2.2786039277736836e-13,2.458363938498625e-13,1.412118695325498e-13,1.1470437978141583e-13,1.627481290450116e-13,1.2620887620993338e-13,5.682576233228002e-13,2.128521561862952e-13
7.0,6.385681928170071e-13,6.76239517796331e-13,2.70032961387567e-13,2.4678163998514437e-13,3.10333361186557e-13,2.6222125307233104e-13,2.547916901144789e-12,5.117447655572169e-13,11.0,1.121238031831569e-12,1.1195592039674893e-12,1.098286447332385e-12,1.4404701237336878e-12,1.0384157574848358e-12,1.3940491742893737e-12,1.5149109221906119e-12,4.594438756835295e-13,15.0,1.8879492070902527e-13,1.9949109673090166e-13,1.1239071225103089e-13,8.096908072696828e-14,1.314334764133082e-13,9.778401530255445e-14,4.895765837886929e-13,1.8500237248550938e-13
8.0,5.134257196776968e-13,5.345179316634481e-13,2.1788093639577564e-13,2.2367417836978345e-13,2.3294099996178e-13,2.2167683486054862e-13,1.914374116427442e-12,3.882908301150262e-13,12.0,7.394554032535204e-13,7.438602403527055e-13,9.332365672442566e-13,7.360817757591296e-13,8.53987087776776e-13,7.415256630725126e-13,1.2997756750908827e-12,3.903721309422558e-13,16.0,1.7708564545310961e-13,1.7931107507865325e-13,9.282512311182801e-14,7.15029870499042e-14,1.084136426436651e-13,8.34637664777865e-14,4.412526461618382e-13,1.5559584059872148e-13
,,,,,,,,,,,,,,,,,,17.0,1.6269441229491465e-13,1.7151996058711024e-13,8.118980934216681e-14,6.388006420535795e-14,9.352653127392149e-14,7.641970770963774e-14,3.660278806740012e-13,1.4073655710806493e-13
,,,,,,,,,,,,,,,,,,18.0,1.6002260369570199e-13,1.6426022847457795e-13,7.143929801409485e-14,5.81290544069569e-14,8.353251937512583e-14,6.983846169061342e-14,3.2259601511396927e-13,1.3807018593476702e-13
,,,,,,,,,,,,,,,,,,19.0,1.5306113336225313e-13,1.5665536245278793e-13,6.222250850137074e-14,5.452821889044653e-14,7.416669274716359e-14,6.403625850482099e-14,2.9620122570844474e-13,1.1938364577324071e-13
,,,,,,,,,,,,,,,,,,20.0,1.4470324209472234e-13,1.5285162231100491e-13,5.990575123854708e-14,6.047007650785775e-14,7.064930874634023e-14,6.676055656481625e-14,2.9222192934176036e-13,1.0639505464358586e-13
,,,,,,,,,,,,,,,,,,21.0,1.6306764981754575e-13,1.7231903618090993e-13,6.851764667820234e-14,9.353416363993763e-14,7.56586494753952e-14,9.274959590824768e-14,2.7705085125720467e-13,1.140747971169707e-13
