freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.1213793217010042e-11,5.510606049614158e-12,1.0978574618569649e-12,1.6285390358149365e-12,1.5655156913596594e-12,2.242356385611284e-12,3.1677040931976373e-12,2.717793633245854e-12,8.0,2.710765773342007e-12,1.9142161922684875e-12,3.9740931776988537e-13,7.091300535898777e-13,5.878298478382725e-13,9.302580937192354e-13,1.7607211019705634e-12,1.3717764492737215e-12,12.0,1.130663523753442e-12,1.015789546038407e-12,3.8129848019460804e-13,3.6527401678011175e-13,4.5447959796107993e-13,5.851090932066088e-13,1.4144042524521858e-12,1.1139901494174852e-12
5.0,6.250807809007801e-12,3.348644264233383e-12,7.516716977597043e-13,1.0411441437217225e-12,1.102735952792389e-12,1.474727781900785e-12,2.1566896099273737e-12,1.6830624567011637e-12,9.0,1.834117422768834e-12,1.4549107343335259e-12,3.550473041006124e-13,5.667827975436263e-13,5.032168189882156e-13,7.557272391349401e-13,1.4874214582575518e-12,1.2768267327149353e-12,13.0,9.265419389506635e-13,8.513605633726229e-13,3.2444515118153216e-13,3.1013448915854663e-13,3.9487648321041454e-13,4.893091715116823e-13,1.3177176110026967e-12,9.32461615509734e-13
6.0,4.2356935317932645e-12,2.5261277746150454e-12,5.5740740056683e-13,8.075852449984731e-13,7.861825189495201e-13,1.094312698498414e-12,1.705582275940445e-12,1.3797184271153418e-12,10.0,1.5071993271570056e-12,1.1800292777269103e-12,3.7128180757575816e-13,4.404547082285365e-13,4.774124186953407e-13,6.513814186701363e-13,1.4363920855162497e-12,1.2920592432166697e-12,14.0,6.921501032087177e-13,6.57516187398682e-13,2.0287295393499103e-13,2.294785173667693e-13,3.0888176006377523e-13,3.7304330417581895e-13,1.2286081133150523e-12,8.281143662373003e-13
7.0,3.470016028196922e-12,2.1642149023026557e-12,4.644886847770053e-13,7.409032675377263e-13,6.326855833134143e-13,1.022012711918492e-12,1.7253860347974746e-12,1.4137347365332783e-12,11.0,1.2208090877498637e-12,1.018422142161159e-12,3.7027199850870916e-13,3.7919008175143944e-13,4.63333817292692e-13,6.035011623810758e-13,1.5312036283396523e-12,1.2472198654345972e-12,15.0,5.902690354812418e-13,5.405009724792491e-13,1.6943211261395382e-13,2.027410992652753e-13,2.8322893037632747e-13,3.260091603487068e-13,1.21037277533714e-12,7.236067017841061e-13
8.0,2.710765773342007e-12,1.9142161922684875e-12,3.9740931776988537e-13,7.091300535898777e-13,5.878298478382725e-13,9.302580937192354e-13,1.7607211019705634e-12,1.3717764492737215e-12,12.0,1.130663523753442e-12,1.015789546038407e-12,3.8129848019460804e-13,3.6527401678011175e-13,4.5447959796107993e-13,5.851090932066088e-13,1.4144042524521858e-12,1.1139901494174852e-12,16.0,6.114802467726336e-13,5.139688471481816e-13,1.8144608843631586e-13,1.8989568487935812e-13,3.0065271222090423e-13,3.1197309138854874e-13,1.1488817754742633e-12,7.738300269889721e-13
,,,,,,,,,,,,,,,,,,17.0,5.877059654135053e-13,5.535851157879219e-13,1.9074886187683406e-13,1.8430596779043964e-13,3.257547250293261e-13,2.886067166482708e-13,1.059323566797707e-12,8.08601496204199e-13
,,,,,,,,,,,,,,,,,,18.0,5.248863041399834e-13,5.382537459996462e-13,2.0893463820109252e-13,1.6472565660374072e-13,3.531519958097504e-13,2.7249004118522696e-13,9.933720345301118e-13,8.959186675890285e-13
,,,,,,,,,,,,,,,,,,19.0,5.144569538270811e-13,5.463523245313529e-13,2.150608005112341e-13,1.8000930429076454e-13,3.794117484197907e-13,2.8229574016114094e-13,1.046828889681438e-12,7.801016990742731e-13
,,,,,,,,,,,,,,,,,,20.0,5.377054203632749e-13,5.412918104974997e-13,2.2111139414639428e-13,1.738677999123101e-13,3.985564275669833e-13,2.9775448332878185e-13,1.012599247254537e-12,7.669161847607656e-13
,,,,,,,,,,,,,,,,,,21.0,5.219544989780685e-13,5.48261681677343e-13,2.37405878772475e-13,1.751574328322541e-13,4.3595991105626003e-13,2.9790132303587517e-13,1.0951856586503562e-12,8.038874368529314e-13
,,,,,,,,,,,,,,,,,,22.0,5.32892575812415e-13,5.490235162661917e-13,2.433026233245408e-13,1.774372682223417e-13,4.586343819241797e-13,2.976141617156806e-13,1.2394908781280185e-12,8.723036081865327e-13
,,,,,,,,,,,,,,,,,,23.0,5.117406486263819e-13,5.377719861430121e-13,2.302719269586505e-13,1.5311677194333584e-13,4.574949384552935e-13,2.8660326638687033e-13,1.2524527353876563e-12,9.6397251244031e-13
,,,,,,,,,,,,,,,,,,24.0,5.219869907980645e-13,5.282732997897596e-13,2.26999831846566e-13,1.5332063543552717e-13,4.699017316079264e-13,3.0181844754313604e-13,1.1603694621994464e-12,1.0299540944030278e-12
,,,,,,,,,,,,,,,,,,25.0,5.177773025078757e-13,5.18228467011221e-13,2.1689369512078444e-13,1.517541690293636e-13,4.863048381619456e-13,2.9471662781562284e-13,1.1587509987677833e-12,1.0245524818606313e-12
,,,,,,,,,,,,,,,,,,26.0,4.748566835063461e-13,4.787716013695202e-13,1.9746826282922452e-13,1.3548457723416378e-13,4.759961656865383e-13,2.6447110213411544e-13,1.3033347035539096e-12,8.891681772556324e-13
,,,,,,,,,,,,,,,,,,27.0,3.837972760959827e-13,4.016067824395359e-13,1.9769700185002369e-13,1.2045663851894202e-13,4.74898913306324e-13,2.447379305875165e-13,1.1910852913187355e-12,8.63536384517369e-13
,,,,,,,,,,,,,,,,,,28.0,3.6129901949088395e-13,3.8265950368460235e-13,1.8301190935008412e-13,1.0136521667380239e-13,4.66606106133247e-13,2.1527159114239898e-13,1.0669699851409777e-12,8.611608880588203e-13
,,,,,,,,,,,,,,,,,,29.0,3.6626710755333504e-13,3.9523812146957373e-13,1.8465228810120504e-13,1.0083443741857139e-13,4.70843552793022e-13,2.191144027262675e-13,1.1895599050381351e-12,8.918353293479907e-13
,,,,,,,,,,,,,,,,,,30.0,3.571216118914648e-13,4.2296288518108276e-13,1.7782617650906822e-13,1.040674040086537e-13,4.562200875804419e-13,2.278267093678799e-13,1.2812228173050844e-12,8.898437611786014e-13
