freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.2137215259662026e-11,4.330411033672434e-12,1.0730471015544748e-12,1.6849142652516866e-12,1.5015924492823013e-12,1.9442099583528184e-12,2.398103108121887e-12,1.9119279857645185e-12,8.0,2.4656953320757603e-12,1.7492864495271375e-12,3.9208884699202196e-13,5.520211866488513e-13,4.61432195221029e-13,7.460649021063918e-13,1.2334020144593293e-12,9.152958393487432e-13,12.0,2.410573492791297e-12,1.897571201715558e-12,3.518405479063896e-13,8.243984118917532e-13,4.179029148240748e-13,1.4137034047101125e-12,2.2617938007077875e-12,7.732740928393063e-13
5.0,6.51221745088652e-12,2.845048957238982e-12,6.809711614257443e-13,1.109180340021549e-12,9.497479156307234e-13,1.4337209678059117e-12,1.476885485269944e-12,1.3435355470213254e-12,9.0,2.341558465084762e-12,1.698112317916467e-12,4.635747761479425e-13,6.148593549294821e-13,5.164101851308835e-13,8.999000633906046e-13,1.3806420239383297e-12,8.203363085311278e-13,13.0,1.0272999755788944e-12,8.502560282457775e-13,2.1820452286692847e-13,3.932091697058843e-13,2.799496090688592e-13,6.810284462565222e-13,1.0705854751390784e-12,4.300456464369655e-13
6.0,4.779303453758904e-12,2.393421831427552e-12,4.400853489712778e-13,8.652209401953544e-13,6.035656725699076e-13,1.165680133265451e-12,1.3751171319443176e-12,1.4588687732697053e-12,10.0,2.2974308401975668e-12,1.691825166511515e-12,5.298408048372158e-13,7.622674207552275e-13,5.347071291212717e-13,1.0226961575374298e-12,2.0607920916584015e-12,7.869704017965765e-13,14.0,6.119307438446478e-13,5.274725839593184e-13,1.475016875193914e-13,2.2850117116659877e-13,1.9422911725208743e-13,3.4260982584075956e-13,6.819179041054822e-13,2.8315629303909603e-13
7.0,3.2890606400801937e-12,2.2291207989742728e-12,3.804927985039046e-13,6.514059042208834e-13,4.915957106755862e-13,8.71686802071988e-13,1.3909387737695099e-12,1.2945611845875483e-12,11.0,2.8481595360333736e-12,2.2324394469273562e-12,4.705293946029001e-13,8.394842457584995e-13,4.90905865411968e-13,1.2924949192860487e-12,3.1244704098216168e-12,9.130724142609668e-13,15.0,5.010219959651176e-13,4.544458792161697e-13,1.2600954084897881e-13,2.0059280678543962e-13,1.9494955131601773e-13,2.934407230291627e-13,6.307394296543084e-13,2.641285235221724e-13
8.0,2.4656953320757603e-12,1.7492864495271375e-12,3.9208884699202196e-13,5.520211866488513e-13,4.61432195221029e-13,7.460649021063918e-13,1.2334020144593293e-12,9.152958393487432e-13,12.0,2.410573492791297e-12,1.897571201715558e-12,3.518405479063896e-13,8.243984118917532e-13,4.179029148240748e-13,1.4137034047101125e-12,2.2617938007077875e-12,7.732740928393063e-13,16.0,5.058917243852216e-13,4.668935364901757e-13,1.5264156464316631e-13,2.1806903598231454e-13,2.095445357631202e-13,3.0494711703337817e-13,5.908433234292904e-13,2.68896151153522e-13
,,,,,,,,,,,,,,,,,,17.0,5.047659130246827e-13,4.1312221524665683e-13,1.8088871522083646e-13,2.4020495561525915e-13,2.3193713925133334e-13,3.260669023772861e-13,5.521353739655337e-13,2.713740329238231e-13
,,,,,,,,,,,,,,,,,,18.0,5.643366278200017e-13,5.159417463984078e-13,2.639553837014853e-13,2.768526772576469e-13,2.914841210053341e-13,4.0272615577509836e-13,5.528765532918826e-13,2.68955312593297e-13
,,,,,,,,,,,,,,,,,,19.0,6.106475478960279e-13,5.954996526031978e-13,3.149050618587605e-13,3.0519791933142296e-13,3.7220151804498826e-13,4.161284173928078e-13,5.413010277845456e-13,2.6208815523021893e-13
,,,,,,,,,,,,,,,,,,20.0,6.490107216049309e-13,4.889577760816176e-13,2.3605944058392227e-13,2.9161165319187627e-13,2.8206016740101015e-13,3.958023025774544e-13,5.422186642269423e-13,2.3198985331963657e-13
,,,,,,,,,,,,,,,,,,21.0,6.506441580410165e-13,4.561113490649493e-13,2.0841738320329143e-13,2.6067679823614794e-13,2.4415539181756504e-13,3.1959015305249875e-13,5.289405492279158e-13,2.2578539131534685e-13
,,,,,,,,,,,,,,,,,,22.0,6.240913774925448e-13,4.784933728130255e-13,1.8958143613623563e-13,2.6087003920667333e-13,2.3843470913723764e-13,2.949445887235208e-13,5.209009849394767e-13,2.518224686607842e-13
,,,,,,,,,,,,,,,,,,23.0,5.20359060008217e-13,4.3260467882856126e-13,1.4626428983344124e-13,2.1921125969032454e-13,2.1512296845239546e-13,2.814274360625141e-13,4.666733783484879e-13,2.1174619019871106e-13
,,,,,,,,,,,,,,,,,,24.0,4.0413880881987013e-13,3.6893126010752487e-13,1.17424283640377e-13,1.7476743640273503e-13,1.6516342666844216e-13,2.582007634084871e-13,4.242234122917883e-13,1.8195074247417334e-13
,,,,,,,,,,,,,,,,,,25.0,3.3338599863484586e-13,2.8487778218328836e-13,1.0563860516617298e-13,1.324075857516672e-13,1.5995144790716448e-13,2.1597204399355653e-13,4.0030028349771153e-13,1.861528141584428e-13
,,,,,,,,,,,,,,,,,,26.0,2.8870099544406563e-13,2.3555859966604633e-13,7.937506869905188e-14,1.0687518115765059e-13,1.3541520122569557e-13,1.6587338454997078e-13,3.398541035720974e-13,1.589932976249296e-13
,,,,,,,,,,,,,,,,,,27.0,2.6749998763655686e-13,2.131551757297317e-13,7.183323077551282e-14,8.086887275845696e-14,1.2343414611081528e-13,1.2985658505946354e-13,2.6639214450656165e-13,1.5467013558113396e-13
,,,,,,,,,,,,,,,,,,28.0,2.9936696147342163e-13,2.3757762873681283e-13,6.719467082072702e-14,6.914105192470483e-14,1.1222504077344017e-13,1.0863207327761454e-13,3.459864027422673e-13,1.7465560976288631e-13
,,,,,,,,,,,,,,,,,,29.0,2.9461382348122105e-13,2.4377123932085953e-13,6.771090005222284e-14,6.074541371358928e-14,1.207530461016502e-13,9.356221824905974e-14,3.483221978623113e-13,1.5175701544711189e-13
,,,,,,,,,,,,,,,,,,30.0,2.4165875960588183e-13,2.1951652336564481e-13,5.919497751172398e-14,5.0129864827267554e-14,1.1363930245699199e-13,8.160653132766326e-14,2.546118246351524e-13,1.2778920122162267e-13
