freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.6093388332806325e-12,2.149617623738741e-12,5.45855157566395e-13,8.798372119243767e-13,8.472269807529995e-13,1.1968735027511368e-12,1.1863888301544319e-12,9.06071531856989e-13,8.0,1.4888057727250134e-12,1.2000300813580912e-12,3.1874435196454583e-13,3.7086272411202616e-13,4.685262852718813e-13,5.261078165516752e-13,7.849814719511002e-13,5.61577127568268e-13,12.0,1.0648496012918364e-12,1.0504915389083388e-12,1.0094038932780411e-12,5.773437501006906e-13,8.146693664189622e-13,8.464577263605471e-13,7.589542867780906e-13,3.9938739319103804e-13
5.0,1.901540682972496e-12,1.5634058121596825e-12,4.267875134346278e-13,5.669457781794462e-13,6.202999320517305e-13,8.076141255499852e-13,8.755963892941015e-13,6.481295809809211e-13,9.0,1.3012117667236822e-12,1.1187964551905052e-12,3.506076013252245e-13,4.055160433931214e-13,5.310300221621761e-13,5.57055627018135e-13,8.079951998181956e-13,5.576623841846453e-13,13.0,8.836850978609091e-13,9.237839255048532e-13,7.335272910983754e-13,4.5393597884793574e-13,6.246825771612223e-13,6.583091955638416e-13,7.364856988593356e-13,3.4202094754697654e-13
6.0,1.6159335098076909e-12,1.3988674319757264e-12,3.220499620067473e-13,4.127001892931223e-13,4.878675856527265e-13,5.729820597465962e-13,7.741956354639842e-13,5.950128181651306e-13,10.0,1.001038836775682e-12,8.38491976705053e-13,4.130758688800091e-13,3.950817893616256e-13,5.181787828378e-13,5.834950245197501e-13,8.190603996833785e-13,5.039884843931176e-13,14.0,3.982679755101956e-13,4.131199462762503e-13,1.7666203038332286e-13,1.9598652729222852e-13,2.0777360071081978e-13,3.079420905189442e-13,4.898884953390038e-13,2.4239749524430145e-13
7.0,1.5363963391346302e-12,1.3501856987906386e-12,2.9567779081434423e-13,3.6010028706010275e-13,4.338651971240344e-13,4.92786779770542e-13,7.317519817532304e-13,5.805719261562203e-13,11.0,9.390300147029761e-13,8.175723971487825e-13,5.601628642905235e-13,4.1565096904430793e-13,5.29608329747092e-13,6.390254854677295e-13,8.037217117309697e-13,4.3814375120396823e-13,15.0,3.11791776351055e-13,3.167483517367851e-13,9.935121667571077e-14,1.3980477133733795e-13,1.4107981378275224e-13,2.2726301854231156e-13,4.4138215538881336e-13,2.2620675376866008e-13
8.0,1.4888057727250134e-12,1.2000300813580912e-12,3.1874435196454583e-13,3.7086272411202616e-13,4.685262852718813e-13,5.261078165516752e-13,7.849814719511002e-13,5.61577127568268e-13,12.0,1.0648496012918364e-12,1.0504915389083388e-12,1.0094038932780411e-12,5.773437501006906e-13,8.146693664189622e-13,8.464577263605471e-13,7.589542867780906e-13,3.9938739319103804e-13,16.0,3.4375993889621247e-13,3.1849899598591724e-13,1.0299935114475333e-13,1.5895652180965104e-13,1.497044300939919e-13,2.4488116482413057e-13,4.556068929906372e-13,2.682063152430073e-13
,,,,,,,,,,,,,,,,,,17.0,3.6316679036810314e-13,3.386147276677808e-13,1.4040865219371687e-13,1.8922031566599455e-13,1.783095045232909e-13,2.866411774115231e-13,4.851980998365308e-13,3.18979325767011e-13
,,,,,,,,,,,,,,,,,,18.0,3.9573574262299267e-13,3.831151266804491e-13,1.840148583567589e-13,2.5189661114401806e-13,2.0990843417046775e-13,3.597496903771486e-13,5.195569581358611e-13,3.312025506108902e-13
,,,,,,,,,,,,,,,,,,19.0,3.916601654791979e-13,3.6529784545529517e-13,2.0179059045338514e-13,2.686662496877608e-13,2.2312306055703467e-13,3.758162836853067e-13,5.553892632549701e-13,3.38784312198632e-13
,,,,,,,,,,,,,,,,,,20.0,3.795075320057729e-13,4.0253928347563143e-13,2.0214893813960632e-13,2.477667242020749e-13,2.1629251191017074e-13,3.6459138415864234e-13,6.353165770799967e-13,3.5093521031111696e-13
,,,,,,,,,,,,,,,,,,21.0,3.950770081600626e-13,3.9261735943721706e-13,1.8168228880129742e-13,2.1830182087317834e-13,1.9862024409330657e-13,3.26368818951754e-13,6.478053299741498e-13,3.174500444708455e-13
