freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.406239936732599e-12,3.0809302427171004e-12,1.0191281119183644e-12,1.3270110023243361e-12,1.4129331058046912e-12,1.0426753613951833e-12,1.509166760948326e-12,1.583369457982003e-12,8.0,1.7203163147912919e-12,1.298820205070334e-12,6.142036146509628e-13,7.961886535005964e-13,5.801578170580742e-13,6.609495365289996e-13,8.502328647617965e-13,9.968685919556061e-13,12.0,8.922611030182044e-13,9.356267470997162e-13,3.9550018366631456e-13,4.0170180270702613e-13,4.847019357354678e-13,5.155485901762228e-13,7.442299041358963e-13,1.2024963151930354e-12
5.0,2.225978852015221e-12,1.922993390270355e-12,8.829715484525882e-13,8.916390098190528e-13,1.2473160961957034e-12,8.029684530276254e-13,9.421752578409551e-13,9.753147875161718e-13,9.0,1.4489414263322837e-12,1.2289096122943142e-12,5.800181109462909e-13,7.32342741208821e-13,5.973903293772951e-13,5.813917409323626e-13,1.0006067423985798e-12,1.0421411884031689e-12,13.0,9.06137425372769e-13,8.942277930928199e-13,3.5724695512823427e-13,3.556917593005699e-13,5.136862697138167e-13,5.219808764404908e-13,8.850751121889824e-13,1.2428273233825282e-12
6.0,1.907686655552453e-12,1.577221420599836e-12,7.941806453449639e-13,8.431031163821727e-13,7.861892382971028e-13,7.64105813613998e-13,8.455111057221004e-13,1.0278429694413732e-12,10.0,1.209055970656553e-12,1.0947696885473114e-12,5.027020508285521e-13,5.507892552785167e-13,5.175541251988057e-13,5.905409562475403e-13,9.984731871708594e-13,1.2431091320119418e-12,14.0,7.47950924564434e-13,7.245267981802413e-13,2.7784326316599775e-13,3.293740594719746e-13,4.154622062849684e-13,5.81023002487046e-13,8.983821868310222e-13,1.0875404167726862e-12
7.0,1.903573074968579e-12,1.4598667183206259e-12,6.753326785640081e-13,8.367152071631491e-13,5.710853554303634e-13,6.878618002066988e-13,9.438797102905178e-13,1.189000500678081e-12,11.0,9.772691140388706e-13,8.991493144484631e-13,3.9022400785487485e-13,4.64801725801713e-13,4.2513816195649977e-13,5.30025944488261e-13,8.752036020429791e-13,1.1505128363915953e-12,15.0,5.244342202966157e-13,5.027030974110698e-13,2.5237389733023074e-13,3.066659776957242e-13,4.0988788725726614e-13,6.010996598855025e-13,8.971210450490204e-13,7.664215063058447e-13
8.0,1.7203163147912919e-12,1.298820205070334e-12,6.142036146509628e-13,7.961886535005964e-13,5.801578170580742e-13,6.609495365289996e-13,8.502328647617965e-13,9.968685919556061e-13,12.0,8.922611030182044e-13,9.356267470997162e-13,3.9550018366631456e-13,4.0170180270702613e-13,4.847019357354678e-13,5.155485901762228e-13,7.442299041358963e-13,1.2024963151930354e-12,16.0,5.984859179593346e-13,5.665474253735662e-13,2.3037774256187085e-13,2.7732783018354245e-13,4.78993691418966e-13,5.911575294256165e-13,8.336341050194056e-13,8.944671244691475e-13
,,,,,,,,,,,,,,,,,,17.0,6.236997589305383e-13,5.600104488564899e-13,2.2255432576336916e-13,2.665752629012517e-13,4.403831907297912e-13,7.178892191181643e-13,9.456876978495633e-13,9.165832033879865e-13
,,,,,,,,,,,,,,,,,,18.0,6.771027449267187e-13,5.427674349172192e-13,2.2412140112747548e-13,2.527676874578992e-13,4.124618486167274e-13,7.778936775957347e-13,1.093047775376836e-12,8.30864465940155e-13
,,,,,,,,,,,,,,,,,,19.0,7.389067577292624e-13,5.237406785781278e-13,2.3485428482690234e-13,2.454640544841951e-13,4.97087991221145e-13,7.949972556853247e-13,9.197439435479847e-13,1.0749633222377012e-12
,,,,,,,,,,,,,,,,,,20.0,7.063850141076573e-13,5.667013188164919e-13,1.9724774581018253e-13,2.4373740218265614e-13,5.205547228671581e-13,7.585673159867895e-13,8.665756392179502e-13,1.1359713113651534e-12
,,,,,,,,,,,,,,,,,,21.0,6.804887893768312e-13,5.09908636438829e-13,1.789232728209037e-13,2.2800753828196123e-13,5.219540126698388e-13,6.869557634990839e-13,9.913150866929763e-13,1.0775278364531336e-12
,,,,,,,,,,,,,,,,,,22.0,6.708846651508e-13,5.714495896346302e-13,1.7598743031064665e-13,2.389945798396536e-13,5.709692152048766e-13,7.714908813220113e-13,1.006029359472826e-12,1.1985696918724818e-12
,,,,,,,,,,,,,,,,,,23.0,7.285117376440024e-13,5.391203067659122e-13,1.963080336389206e-13,2.7057355320437507e-13,5.619759557473092e-13,9.24001507580497e-13,1.138628260488793e-12,1.2226263474564858e-12
,,,,,,,,,,,,,,,,,,24.0,8.127526059325199e-13,5.966338833901487e-13,1.9861473683051635e-13,2.732377417470272e-13,5.702136013930834e-13,8.415969529812884e-13,1.1172592271727658e-12,1.5551364438967815e-12
,,,,,,,,,,,,,,,,,,25.0,7.665717580808368e-13,4.845110899495028e-13,1.68415123809532e-13,2.1819934473213932e-13,4.902613334145152e-13,7.718931831050035e-13,1.0175971023600188e-12,1.0436158589428418e-12
,,,,,,,,,,,,,,,,,,26.0,5.716668262080045e-13,5.177004554640639e-13,1.542135103259217e-13,1.7104513681208846e-13,4.547055892618928e-13,6.453699597173012e-13,9.144267818079149e-13,9.992193673824518e-13
,,,,,,,,,,,,,,,,,,27.0,5.70270407347789e-13,4.870417751201102e-13,1.5936585347334529e-13,1.780215537734949e-13,4.579929142898823e-13,7.395882773951528e-13,1.0190028268101331e-12,1.548248956974587e-12
,,,,,,,,,,,,,,,,,,28.0,5.198392789151859e-13,3.335830503751508e-13,1.4240243169373178e-13,1.7955273598596783e-13,5.236721877434388e-13,7.498652357911912e-13,9.255358663279252e-13,1.2197533336335713e-12
,,,,,,,,,,,,,,,,,,29.0,5.681374061203906e-13,3.5995480069565464e-13,1.3369181986627534e-13,1.8686626834086784e-13,4.764419271767165e-13,7.716125625270335e-13,9.746855261754689e-13,9.326207193625563e-13
,,,,,,,,,,,,,,,,,,30.0,6.238223655976903e-13,4.563781970477245e-13,1.4853540102450356e-13,1.574793493525949e-13,4.571610797119443e-13,6.954798685657661e-13,1.0430115062836772e-12,1.0231079399963855e-12
