freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.6316146757126163e-12,2.546039076830381e-12,7.289544588896919e-13,1.053839381199439e-12,8.532204564556034e-13,9.227674980910672e-13,1.1548526729896328e-12,1.136875404029864e-12,8.0,1.2537427850601226e-12,1.2458144638039732e-12,4.680408852699279e-13,6.456993420108624e-13,4.883632345891073e-13,4.964698405268014e-13,6.12242357209685e-13,7.257181510422202e-13,12.0,6.437064125568804e-13,7.267690395696666e-13,5.053166665925278e-13,4.0065886837250553e-13,5.128463564361203e-13,4.1411517266510314e-13,4.838804211730023e-13,5.312710619359374e-13
5.0,2.1334105306390956e-12,1.993450077149099e-12,6.015617824264883e-13,7.204212620026391e-13,6.562567315704263e-13,6.547662084128269e-13,9.360823480916523e-13,1.0115511631957548e-12,9.0,9.634637665107564e-13,9.411309316499166e-13,4.697428662400756e-13,5.24006841556577e-13,4.76962933603596e-13,4.181482376503693e-13,5.270935454539444e-13,6.063712753238184e-13,13.0,4.976464869396237e-13,5.2910191935051e-13,4.731269392899058e-13,3.455395716037056e-13,4.721119814904988e-13,3.87736907665981e-13,4.0155962661277055e-13,4.4354140735533413e-13
6.0,2.082543873335849e-12,2.0276140329500603e-12,6.314432902630159e-13,7.008453726470622e-13,6.583442346676767e-13,7.477256561280312e-13,8.200736810486875e-13,9.241940457956504e-13,10.0,7.248251079061087e-13,7.984422234737206e-13,4.892778089339338e-13,4.1339551765912237e-13,4.925326776641985e-13,3.996591690590187e-13,4.935071601616628e-13,5.599217897582932e-13,14.0,4.1898032933984775e-13,4.695959903558513e-13,4.3906424411825004e-13,2.8894694669362995e-13,4.3749051329612573e-13,3.832738125282399e-13,4.159084049128095e-13,4.402243210996202e-13
7.0,1.5949800123079024e-12,1.6144763544066687e-12,5.678163919883349e-13,7.621681996192748e-13,5.786010731888575e-13,7.066075388997913e-13,6.52679406903284e-13,7.347203939430932e-13,11.0,8.021017130043075e-13,8.983262407592967e-13,5.990258437816704e-13,4.5294596346352097e-13,6.129207209736281e-13,4.231698459764501e-13,5.318455685199569e-13,5.373501986160258e-13,15.0,3.7406113914374553e-13,3.731532709643561e-13,5.121562900560558e-13,2.8195302312242154e-13,5.16777818308482e-13,4.0211671570549843e-13,4.568457114983055e-13,4.503720125497735e-13
8.0,1.2537427850601226e-12,1.2458144638039732e-12,4.680408852699279e-13,6.456993420108624e-13,4.883632345891073e-13,4.964698405268014e-13,6.12242357209685e-13,7.257181510422202e-13,12.0,6.437064125568804e-13,7.267690395696666e-13,5.053166665925278e-13,4.0065886837250553e-13,5.128463564361203e-13,4.1411517266510314e-13,4.838804211730023e-13,5.312710619359374e-13,16.0,3.901272257319659e-13,3.9097470391033624e-13,6.394777452808251e-13,2.6701145151154057e-13,6.489385955062892e-13,4.0774430863995536e-13,4.878972600121085e-13,4.586263813739771e-13
,,,,,,,,,,,,,,,,,,17.0,3.4221851121350194e-13,3.653184531528953e-13,6.403228743891665e-13,2.4042927208456503e-13,6.500672538200319e-13,3.927531739094954e-13,4.657643808221242e-13,4.242940028569267e-13
,,,,,,,,,,,,,,,,,,18.0,3.4188837181844894e-13,3.7091485298395854e-13,7.092887372880704e-13,2.1602151688662607e-13,7.226883580615786e-13,4.3071589483814394e-13,4.94953009110498e-13,4.0974594373094645e-13
,,,,,,,,,,,,,,,,,,19.0,3.619871243556949e-13,3.926568221244535e-13,8.031427328791039e-13,1.95489285481511e-13,8.170078047086847e-13,4.671771344750554e-13,4.999542321028153e-13,4.420360211317513e-13
,,,,,,,,,,,,,,,,,,20.0,3.642692396514378e-13,4.21665223490071e-13,9.09721939352035e-13,2.0785445740014796e-13,9.27375830675919e-13,5.145286903422791e-13,5.240147323275797e-13,4.832425095552685e-13
,,,,,,,,,,,,,,,,,,21.0,3.831630491919665e-13,4.754915129873831e-13,1.0346493351660522e-12,2.324896998082283e-13,1.051357776045438e-12,5.571630808138409e-13,5.293338139335211e-13,5.364541545784217e-13
