freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.762492248717383e-12,3.260839063614101e-12,9.94162401161591e-13,1.589604738735438e-12,2.5451777448526245e-12,1.6411027035131175e-12,2.1411017113903154e-12,2.5412813960763425e-12,8.0,1.6103841519121047e-12,1.9387335935403085e-12,9.93645733280325e-13,1.3096040384903772e-12,1.1681283554298745e-12,9.057357068235825e-13,8.423720513797997e-13,8.509124654372124e-13,12.0,1.7469324781579045e-12,1.824150341212763e-12,1.1580926549456613e-12,1.0269539856876617e-12,1.2420915393161337e-12,9.534466502858737e-13,6.673112531497138e-13,6.213279995205805e-13
5.0,2.842953336531597e-12,2.8161517226213885e-12,7.087062036833009e-13,1.3081963847401757e-12,1.5252827792314529e-12,1.2058669310659635e-12,1.5802975121168777e-12,1.832383325121606e-12,9.0,2.1203213894868785e-12,2.625065982348809e-12,1.986942297868382e-12,1.5878786499609982e-12,2.01953621650872e-12,1.3307738268074536e-12,8.456419020079461e-13,1.0071001313189166e-12,13.0,7.262181017746e-13,7.891592656387366e-13,7.816542936186791e-13,5.802963659105917e-13,8.039722176330443e-13,6.088558320142129e-13,4.962463611571107e-13,4.732197239961945e-13
6.0,2.4343278304369686e-12,2.8197739590547363e-12,6.944560101724345e-13,1.4400782008133278e-12,1.0386457629976008e-12,9.8398953676267e-13,1.3537709404292777e-12,1.3369190460819823e-12,10.0,5.2508384715641064e-12,5.981605696004863e-12,4.7441418240078165e-12,2.519902560352835e-12,4.7009508454910815e-12,2.2095029741343994e-12,9.979730838303901e-13,1.2441881429247624e-12,14.0,5.829330564524091e-13,5.890164581301584e-13,7.927035896226438e-13,5.089312225561447e-13,8.813090848393996e-13,5.506667207979905e-13,4.923350198710049e-13,5.570364056843381e-13
7.0,1.9609644606007383e-12,2.38991460140115e-12,7.919110256849533e-13,1.2976474140090425e-12,1.0170266956394391e-12,9.289944576313482e-13,1.0439235154671361e-12,9.33531731145806e-13,11.0,5.795667719692407e-12,5.982565257195186e-12,3.852519568226971e-12,2.6554481307357775e-12,3.9045532211099624e-12,2.215085734776848e-12,1.0397798487697455e-12,1.1911002624449638e-12,15.0,4.830307428598225e-13,5.793965769687283e-13,9.398711923973575e-13,4.452955493625932e-13,1.0274880216876544e-12,5.937281105966538e-13,5.596790886284936e-13,5.532563960586544e-13
8.0,1.6103841519121047e-12,1.9387335935403085e-12,9.93645733280325e-13,1.3096040384903772e-12,1.1681283554298745e-12,9.057357068235825e-13,8.423720513797997e-13,8.509124654372124e-13,12.0,1.7469324781579045e-12,1.824150341212763e-12,1.1580926549456613e-12,1.0269539856876617e-12,1.2420915393161337e-12,9.534466502858737e-13,6.673112531497138e-13,6.213279995205805e-13,16.0,4.2779534451948587e-13,5.445710190164717e-13,9.1129231447612e-13,3.734735530038831e-13,9.58251272203635e-13,5.722816428036202e-13,5.538115037832476e-13,4.607434255843406e-13
,,,,,,,,,,,,,,,,,,17.0,4.0068160277336653e-13,5.173987115398918e-13,8.46149844995317e-13,2.951883037161773e-13,8.939595434666534e-13,4.755105118043895e-13,5.214036811766481e-13,4.921101028732066e-13
,,,,,,,,,,,,,,,,,,18.0,3.7627528290060715e-13,5.231336369058811e-13,1.0585564987205294e-12,2.851641928774176e-13,1.1185135336480805e-12,4.821654166858943e-13,6.224614660726674e-13,6.123524563906106e-13
,,,,,,,,,,,,,,,,,,19.0,4.4121467351332876e-13,4.993559293111126e-13,1.1970839381812202e-12,3.620814021680117e-13,1.2435915125538467e-12,5.170050129469152e-13,6.534616039648708e-13,5.506389043476117e-13
,,,,,,,,,,,,,,,,,,20.0,5.123399944833289e-13,6.438433838720725e-13,1.453080077951608e-12,3.8510016789790965e-13,1.4602784558872312e-12,6.373106946197725e-13,7.709426449115764e-13,6.319745838494932e-13
,,,,,,,,,,,,,,,,,,21.0,4.95981616097704e-13,6.690766739963283e-13,1.420572336223609e-12,3.8064798526201297e-13,1.4262704722900531e-12,5.589932946154447e-13,6.572327450860763e-13,5.57673618050056e-13
,,,,,,,,,,,,,,,,,,22.0,4.878159513263041e-13,6.089429906135889e-13,1.4233746114178899e-12,3.00841669415095e-13,1.4580749087407528e-12,4.799388695323955e-13,6.323686877058288e-13,5.00052734876113e-13
,,,,,,,,,,,,,,,,,,23.0,4.694794363506525e-13,5.271402635900112e-13,1.406162091301454e-12,2.505654659794541e-13,1.4215896228355008e-12,4.95353403219994e-13,6.619339868801967e-13,4.897206948715328e-13
,,,,,,,,,,,,,,,,,,24.0,4.0898232679083297e-13,5.200096391077602e-13,1.6180412745228434e-12,2.7222472088803305e-13,1.6552874381407902e-12,5.104129714403121e-13,7.89206754483931e-13,5.611843527106605e-13
,,,,,,,,,,,,,,,,,,25.0,4.612101181698268e-13,5.686947825023471e-13,1.4923767368427954e-12,2.72084744030743e-13,1.5094809596217781e-12,5.34781605526395e-13,7.203019621747898e-13,5.529029312378762e-13
,,,,,,,,,,,,,,,,,,26.0,4.818397074857393e-13,5.355199107309585e-13,1.5054715309097775e-12,2.567498363458806e-13,1.5395162487419673e-12,4.808332065706706e-13,8.021871237245639e-13,5.50751311305391e-13
,,,,,,,,,,,,,,,,,,27.0,4.055271771985626e-13,5.612382729084015e-13,1.511452059133169e-12,2.6917901964815584e-13,1.531237990766174e-12,4.709337990436626e-13,7.635899181914608e-13,5.944658476605696e-13
,,,,,,,,,,,,,,,,,,28.0,3.615804982386499e-13,4.777217349974499e-13,1.2049135770094328e-12,2.2265684423937715e-13,1.2170172867831846e-12,4.018000200347863e-13,5.438177523410876e-13,4.93170127924202e-13
,,,,,,,,,,,,,,,,,,29.0,3.5307391931310453e-13,4.755963428255804e-13,1.3361981376770177e-12,2.228321618931618e-13,1.3331277083804866e-12,4.3361943077726527e-13,5.69792145757899e-13,5.730916343289774e-13
,,,,,,,,,,,,,,,,,,30.0,3.689197938159946e-13,4.221360602633728e-13,1.3647461484649067e-12,2.0887985229221265e-13,1.3881516456430764e-12,4.1419958858717423e-13,6.127737535402457e-13,5.281282577717155e-13
