freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.7211447674286064e-12,2.306863149909452e-12,7.473759922936453e-13,9.475812177544602e-13,8.293680825534479e-12,9.931001721151634e-13,1.1560775929863284e-12,1.2076480592207969e-12,8.0,1.4341054084956463e-12,1.4697477894046526e-12,9.240641643230293e-13,8.892110015760393e-13,1.399780226491634e-12,6.776554532511963e-13,5.264384161202933e-13,5.558477086817694e-13,12.0,8.295312121820271e-13,9.248525643266225e-13,7.684595619642373e-13,6.644832371704411e-13,8.615111555741722e-13,5.865049017148711e-13,2.8124265419466544e-13,2.665245605340668e-13
5.0,2.272141081810072e-12,1.958409186701077e-12,6.081365076166864e-13,7.068425249060308e-13,3.688831179170026e-12,8.243798630831288e-13,9.21114429017477e-13,9.352068360028138e-13,9.0,1.950851588201445e-12,2.0536433686102067e-12,1.525571892328512e-12,1.337937801891056e-12,1.7566828337845314e-12,9.585389699828334e-13,5.762196523316423e-13,6.629904232201413e-13,13.0,3.6499658033017905e-13,3.960365136547412e-13,4.432128501120278e-13,3.9009074878918003e-13,5.016162054845921e-13,3.7729263360844627e-13,2.3480314734622377e-13,1.94351131792688e-13
6.0,2.0005546707390015e-12,1.8917126988360395e-12,5.848222219887115e-13,7.022369313120281e-13,2.2352234347567066e-12,6.974174999139735e-13,7.318226351458414e-13,6.986484603419729e-13,10.0,4.764189330951223e-12,5.37715825375612e-12,3.7485894724969894e-12,2.9859793948633633e-12,3.863077959369729e-12,1.786104908818927e-12,8.35820579443643e-13,1.3087249400092628e-12,14.0,3.075991652865138e-13,3.3166440655427276e-13,3.748776978839398e-13,3.241133630231558e-13,4.2478385592195245e-13,3.4390643909461576e-13,2.3785760206486075e-13,1.7892107492799389e-13
7.0,1.5984661983258276e-12,1.682521270437445e-12,7.127417529340874e-13,8.041807865000167e-13,1.5497573051333673e-12,6.499520476071289e-13,5.950944391566017e-13,5.839498269627272e-13,11.0,3.2062924877320636e-12,3.8345895830844734e-12,2.6496753427753757e-12,2.0792395392962208e-12,2.809443626202734e-12,1.5054744596883404e-12,5.449855178738066e-13,7.813003677564398e-13,15.0,2.5749995796310845e-13,2.8884105350004907e-13,3.664046724467736e-13,2.539881512986703e-13,4.0882541526032863e-13,3.440718580996001e-13,1.8988500543908651e-13,1.5316123146375268e-13
8.0,1.4341054084956463e-12,1.4697477894046526e-12,9.240641643230293e-13,8.892110015760393e-13,1.399780226491634e-12,6.776554532511963e-13,5.264384161202933e-13,5.558477086817694e-13,12.0,8.295312121820271e-13,9.248525643266225e-13,7.684595619642373e-13,6.644832371704411e-13,8.615111555741722e-13,5.865049017148711e-13,2.8124265419466544e-13,2.665245605340668e-13,16.0,2.572507619445909e-13,2.754476403466458e-13,3.808583086618096e-13,2.2262695509263972e-13,4.183825996185877e-13,3.2780713001693483e-13,1.7882487272175883e-13,1.526368587442079e-13
,,,,,,,,,,,,,,,,,,17.0,2.5116041258041575e-13,2.952419335756662e-13,3.9218720047721634e-13,2.1965801622451294e-13,4.298591942706576e-13,3.394701229079074e-13,1.8933848028545168e-13,1.4790507288735248e-13
,,,,,,,,,,,,,,,,,,18.0,2.731170284670371e-13,3.275739592571444e-13,4.3809935031776736e-13,2.0792700660296675e-13,4.57201180311089e-13,3.598470572546837e-13,2.154358145269321e-13,1.582893235722923e-13
,,,,,,,,,,,,,,,,,,19.0,3.5377706535105393e-13,3.946813036751357e-13,4.709063661214442e-13,2.296446931957639e-13,4.780123021906047e-13,3.5008064028513825e-13,1.9853096895221682e-13,1.6466768196692966e-13
,,,,,,,,,,,,,,,,,,20.0,3.8661323457638097e-13,4.5211842189703746e-13,4.970269395166922e-13,2.6245379174451457e-13,5.134427244092864e-13,3.6396697991690296e-13,1.9354066007975014e-13,1.629350316380527e-13
,,,,,,,,,,,,,,,,,,21.0,4.0841905440735825e-13,4.81098157127762e-13,5.12975581741563e-13,2.703035670577231e-13,5.188927516197421e-13,3.696736950389843e-13,1.9518333266712708e-13,1.6029461246708055e-13
