freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.3934899682387734e-12,3.3220583987277554e-12,1.1510982660936022e-12,6.465996056305466e-13,1.0620664078007563e-12,6.463369750933716e-13,2.9150828055348393e-12,2.6095821305394128e-12,8.0,1.1098801579699656e-12,1.0893153174640481e-12,3.721569050018946e-13,3.1919003414564216e-13,3.942914943179807e-13,3.282376369285871e-13,8.904993399094419e-13,7.240513739874909e-13,12.0,6.864500949965854e-13,7.189044118814865e-13,3.1211345104157856e-13,2.9558261335273807e-13,3.13360275871609e-13,3.0396615614818784e-13,6.067931804857975e-13,6.311201934717995e-13
5.0,2.273155123546852e-12,2.290362393347805e-12,7.427457077441949e-13,4.557243223493254e-13,5.940559350750114e-13,4.557308398232576e-13,2.1237522700436273e-12,1.7765843424830844e-12,9.0,9.291658107701957e-13,9.634528512793228e-13,3.6290092463058103e-13,3.0495093061711955e-13,3.9520713234448894e-13,3.1518678771867836e-13,7.527684995568788e-13,6.636349855399095e-13,13.0,4.578391676318116e-13,5.578336613197953e-13,1.543897276576362e-13,2.00951136373983e-13,2.7249187577877e-13,2.094727334589294e-13,5.389541749965433e-13,5.586471684235508e-13
6.0,1.6544738599888046e-12,1.800036611863821e-12,5.912376555132339e-13,3.8880127872436066e-13,5.084334165863378e-13,3.864979950812494e-13,1.5279515045447236e-12,1.3597519289637231e-12,10.0,1.1056926207676454e-12,1.1252364836567666e-12,4.688192346598876e-13,3.279042864061627e-13,5.720179688271496e-13,3.277969614492928e-13,9.162951074751232e-13,6.169610266779033e-13,14.0,5.507303485721927e-13,5.486490634776935e-13,1.5252408531782666e-13,1.8209111375406914e-13,2.635952413100438e-13,1.8954153697215802e-13,5.89828663960754e-13,5.841442611786245e-13
7.0,1.3977119425838975e-12,1.3851150977563316e-12,4.728408712392077e-13,2.8679767076503895e-13,4.064485738885316e-13,2.9059711950364706e-13,1.097435413857485e-12,9.13350545814433e-13,11.0,1.181477277843604e-12,1.190558625432835e-12,5.85670290258894e-13,3.893815128184694e-13,6.618875412325797e-13,3.879557372980768e-13,7.850944939245852e-13,6.5722661764713e-13,15.0,4.3250779375569795e-13,5.008372540882976e-13,1.4638387133032084e-13,1.9789170845468312e-13,2.2135765220473452e-13,2.0868970901314867e-13,4.710624730914605e-13,4.743613965382096e-13
8.0,1.1098801579699656e-12,1.0893153174640481e-12,3.721569050018946e-13,3.1919003414564216e-13,3.942914943179807e-13,3.282376369285871e-13,8.904993399094419e-13,7.240513739874909e-13,12.0,6.864500949965854e-13,7.189044118814865e-13,3.1211345104157856e-13,2.9558261335273807e-13,3.13360275871609e-13,3.0396615614818784e-13,6.067931804857975e-13,6.311201934717995e-13,16.0,3.1644564188400064e-13,4.0195568030855716e-13,1.3355958159617453e-13,2.1820182794194963e-13,2.346907302097141e-13,2.2661723463627719e-13,4.901097273695709e-13,3.9765452241596144e-13
,,,,,,,,,,,,,,,,,,17.0,3.0436027179319175e-13,3.870224967516496e-13,1.5735416662190724e-13,2.200396772807244e-13,2.4382229894026585e-13,2.306790618676947e-13,4.1999256840240514e-13,3.586501886476636e-13
,,,,,,,,,,,,,,,,,,18.0,2.9974530687232263e-13,3.904214922933083e-13,1.3922668264172922e-13,1.9140912199022053e-13,2.4846537059689433e-13,2.034745079747711e-13,3.069932510272785e-13,3.524004504630735e-13
,,,,,,,,,,,,,,,,,,19.0,3.112138409013387e-13,4.0677315879458477e-13,1.4798739403662002e-13,1.9017417071414579e-13,2.9220116045988243e-13,2.0555528088603087e-13,3.3009796844154424e-13,4.030556163445486e-13
,,,,,,,,,,,,,,,,,,20.0,2.867976041437797e-13,3.688835081827358e-13,1.3166136679886852e-13,2.0164959587363342e-13,2.9164081163245265e-13,2.1939345912022924e-13,3.441618080783546e-13,3.557710217028979e-13
,,,,,,,,,,,,,,,,,,21.0,2.526188653998685e-13,4.498324437594853e-13,1.2947392681701371e-13,1.7617786246468558e-13,2.6490300571751766e-13,1.8994083680052617e-13,3.4345791271979325e-13,3.466637885035548e-13
