freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,4.3484206038934916e-12,3.9176248301985345e-12,7.68287642526626e-13,6.329438250561872e-13,1.0415583681091934e-12,6.772708318027012e-13,2.438551406333423e-12,3.0654046647112114e-12,8.0,1.3590009589820775e-12,1.4524141043378034e-12,4.605949248464364e-13,3.750708146159761e-13,5.657626398960262e-13,3.770397454412012e-13,1.0024845234809405e-12,9.796472499860872e-13,12.0,1.2696143389233108e-12,1.579878780758647e-12,5.027940918199015e-13,4.14198260955757e-13,7.139426522286379e-13,4.3445242221985386e-13,1.0883849933938276e-12,8.833231734835723e-13
5.0,3.0269885762096242e-12,3.098205971028595e-12,4.966785021724378e-13,4.3289094988984137e-13,6.924608187250998e-13,4.735082400554953e-13,1.7900349831183254e-12,2.1058294123097515e-12,9.0,2.085660492476485e-12,2.165483639196955e-12,1.1392702695617716e-12,6.725489830378021e-13,1.195618125309989e-12,6.796850202819622e-13,1.0997975808919738e-12,8.9091076207933e-13,13.0,5.886109591666563e-13,9.984812422504313e-13,1.9915507255221332e-13,2.7714897871385566e-13,3.100926034187618e-13,2.9059596077735107e-13,7.803747484073628e-13,5.601365470773454e-13
6.0,2.343783454500644e-12,2.503491407454023e-12,4.0105661907563545e-13,4.2068529158149423e-13,5.895074932454329e-13,4.583094652142969e-13,1.5014972499737255e-12,1.4335117610939755e-12,10.0,5.417277494084335e-12,5.53676846649607e-12,2.57569552056259e-12,1.0107694044199875e-12,2.4812768927328325e-12,1.0185723087859385e-12,1.6429464305093379e-12,8.265169417487877e-13,14.0,5.542032405997632e-13,7.537878519867041e-13,1.5320873947159879e-13,2.2531763566927938e-13,2.685165515097296e-13,2.323061817961931e-13,5.905269691917175e-13,4.792382427248522e-13
7.0,1.8638511670046845e-12,2.0999166841172117e-12,3.745885176169779e-13,3.5183928893402835e-13,5.734570536065949e-13,3.6020517778427604e-13,1.411537194551329e-12,1.2962669668703453e-12,11.0,3.848386231153801e-12,4.181520464297049e-12,1.6710244482606286e-12,8.197311051269561e-13,2.048907833465442e-12,8.238890194113775e-13,1.6063783478196227e-12,1.1122716577086016e-12,15.0,4.430971947440751e-13,4.554849522305611e-13,1.2631532867010659e-13,1.9227033774192692e-13,2.489126456237947e-13,2.112380163166173e-13,3.48154673417994e-13,2.914890544214208e-13
8.0,1.3590009589820775e-12,1.4524141043378034e-12,4.605949248464364e-13,3.750708146159761e-13,5.657626398960262e-13,3.770397454412012e-13,1.0024845234809405e-12,9.796472499860872e-13,12.0,1.2696143389233108e-12,1.579878780758647e-12,5.027940918199015e-13,4.14198260955757e-13,7.139426522286379e-13,4.3445242221985386e-13,1.0883849933938276e-12,8.833231734835723e-13,16.0,3.9671706230108737e-13,4.054134541407236e-13,1.149839034086861e-13,1.960721725324463e-13,2.716839301493756e-13,2.0604859998740187e-13,4.1369300000498534e-13,2.9258329851003823e-13
,,,,,,,,,,,,,,,,,,17.0,3.751260137991704e-13,4.868989661321341e-13,1.0365855259391354e-13,1.7144036059478685e-13,2.2217922935056968e-13,1.882868980805521e-13,4.538316161283175e-13,3.013069721152814e-13
,,,,,,,,,,,,,,,,,,18.0,3.5359339584726363e-13,5.97925790182072e-13,1.0655774904413499e-13,1.6297046858113586e-13,2.629261624275429e-13,1.7142700775193244e-13,3.4225003777997454e-13,2.9698216136309326e-13
,,,,,,,,,,,,,,,,,,19.0,4.0269801061173685e-13,6.146422854369234e-13,1.2812559403803123e-13,1.6806210170333083e-13,2.914731317226068e-13,1.708338862637624e-13,3.0194624531753815e-13,3.1126796889737803e-13
,,,,,,,,,,,,,,,,,,20.0,4.2708279436688047e-13,6.306356166272491e-13,1.5644655044907944e-13,1.654975536083609e-13,3.292280809182792e-13,1.6936198309786374e-13,3.3685774863384473e-13,3.143566033492606e-13
,,,,,,,,,,,,,,,,,,21.0,4.10265030647174e-13,5.449039434174796e-13,1.6050175349181414e-13,1.834757855839269e-13,3.5516327083130874e-13,1.9755411497792192e-13,3.2281302567497367e-13,2.517117699350496e-13
,,,,,,,,,,,,,,,,,,22.0,4.414248950682603e-13,5.986622453345434e-13,1.4451039963427564e-13,1.696949940036673e-13,3.4325971613234463e-13,1.8592016325083437e-13,3.5186217383243837e-13,2.674958979098559e-13
,,,,,,,,,,,,,,,,,,23.0,4.107429229093704e-13,6.601843223390317e-13,1.2094667089500406e-13,1.5309834112895264e-13,2.918851277044207e-13,1.613888146398129e-13,3.0704776140896736e-13,2.442178885945779e-13
,,,,,,,,,,,,,,,,,,24.0,4.101872003854137e-13,7.2087421110064e-13,8.932475663129391e-14,1.4388478712444387e-13,2.7301222890541137e-13,1.4752897088445325e-13,3.4158714157663825e-13,2.6760231951117723e-13
,,,,,,,,,,,,,,,,,,25.0,3.4948033512688575e-13,5.647917337925165e-13,6.38025903749386e-14,1.2716789950381863e-13,2.576657835636878e-13,1.3288015630951598e-13,2.7981026033873306e-13,2.3978106419741367e-13
,,,,,,,,,,,,,,,,,,26.0,3.1449211799773564e-13,7.464056553278952e-13,7.803155287839636e-14,1.1813165665045664e-13,2.706093185472617e-13,1.2438116693762773e-13,3.086711934836298e-13,2.1904320321282253e-13
,,,,,,,,,,,,,,,,,,27.0,3.639211250297258e-13,7.63767962446211e-13,8.351689687869258e-14,1.417050755122412e-13,2.679362217361997e-13,1.4486505025451433e-13,2.979648943163629e-13,2.471766640584328e-13
,,,,,,,,,,,,,,,,,,28.0,3.2148207441769625e-13,6.883443694750771e-13,8.065842913819786e-14,1.329403954960863e-13,2.5106150802280825e-13,1.426917863733861e-13,2.876966688358843e-13,2.35600089470855e-13
,,,,,,,,,,,,,,,,,,29.0,2.6274014937874807e-13,7.12532161419088e-13,8.684090119630254e-14,1.1554812619173515e-13,2.403300088314922e-13,1.2989023955819217e-13,2.9523512027332183e-13,2.670611741717481e-13
,,,,,,,,,,,,,,,,,,30.0,2.6034003518514147e-13,6.034518669746579e-13,8.112203545863436e-14,1.0866739766570346e-13,2.935111531463816e-13,1.1705209008320618e-13,2.8410861814770684e-13,2.4656389965271803e-13
