freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,1.925453973105886e-12,1.9643115424883218e-12,4.5062333055165616e-13,4.586515780015151e-13,5.423101294906125e-13,4.742069330721776e-13,9.39740740321881e-13,9.484003356209444e-13,8.0,1.887990441119925e-12,2.0534479381752087e-12,1.2463953520707382e-12,8.209495333380287e-13,1.400198082847019e-12,9.705448530599511e-13,9.220297329199923e-13,6.558916129453862e-13,12.0,1.2734924901078572e-12,1.4059109880177444e-12,6.037258346161516e-13,5.810137145021531e-13,7.707425742030628e-13,6.416432642341908e-13,6.864495992088712e-13,5.390735587873288e-13
5.0,1.6487815787815263e-12,1.565029521306892e-12,4.4774760346263304e-13,4.4081957179927293e-13,5.418288753590736e-13,5.030618671362083e-13,7.634508028735238e-13,7.63429304797446e-13,9.0,4.2848443175240776e-12,4.127699181291263e-12,2.0864536393905006e-12,1.5153774921328275e-12,1.970279367096312e-12,1.5098524419844238e-12,1.5070775015529658e-12,9.344648660044432e-13,13.0,4.860749815627274e-13,5.399432090402189e-13,1.8301187203028381e-13,2.3054821839124075e-13,2.472508687440383e-13,2.9427158804191283e-13,3.9883560181142975e-13,3.106796875258208e-13
6.0,1.6927741218482448e-12,1.5835202795937108e-12,4.683053992254556e-13,4.3465976366933415e-13,5.609458116394136e-13,5.02173746990579e-13,6.937829393241416e-13,6.670608143442261e-13,10.0,1.6158280414958135e-11,1.6241425748744454e-11,5.487933855617301e-12,4.777729654884096e-12,4.615129549007768e-12,3.681383543341617e-12,3.6285500562998237e-12,1.7827605153269641e-12,14.0,3.6286325641116475e-13,3.874993490595106e-13,1.314074718058654e-13,1.6293468238591623e-13,1.8785670161318057e-13,2.30607214049869e-13,2.986886234608724e-13,2.676651105689422e-13
7.0,1.6913463518884083e-12,1.8381469999648716e-12,7.817662182199681e-13,5.496253929540097e-13,9.358599709411352e-13,6.409395189950729e-13,7.853286771518813e-13,6.260222118629503e-13,11.0,1.0223993293508578e-11,1.0932722823145301e-11,3.956830105987232e-12,3.376434308189459e-12,4.166318135830328e-12,2.8323685000683813e-12,2.583520987264339e-12,1.4077637268868973e-12,15.0,3.291257763502907e-13,3.38723952919979e-13,1.083814616490235e-13,1.4293575691066658e-13,1.7069081842203606e-13,2.0434845987933203e-13,2.3587112867048424e-13,2.324087985357461e-13
8.0,1.887990441119925e-12,2.0534479381752087e-12,1.2463953520707382e-12,8.209495333380287e-13,1.400198082847019e-12,9.705448530599511e-13,9.220297329199923e-13,6.558916129453862e-13,12.0,1.2734924901078572e-12,1.4059109880177444e-12,6.037258346161516e-13,5.810137145021531e-13,7.707425742030628e-13,6.416432642341908e-13,6.864495992088712e-13,5.390735587873288e-13,16.0,2.8952859806221706e-13,3.098401636101549e-13,1.1360545285621969e-13,1.258126223635447e-13,1.7240323065144705e-13,1.8980560127787821e-13,2.0498266346345294e-13,2.0540809167885028e-13
,,,,,,,,,,,,,,,,,,17.0,2.951517950145402e-13,3.335837066668265e-13,1.1281706240945725e-13,1.32898074031417e-13,1.72377563673112e-13,1.9900517157406039e-13,2.0259011725061767e-13,2.093072236666756e-13
,,,,,,,,,,,,,,,,,,18.0,3.3483937480063903e-13,3.664451173973909e-13,1.1607303060589289e-13,1.4140924908773343e-13,1.8953536719611342e-13,1.994377974756189e-13,2.0969731173434205e-13,2.1408123408978507e-13
,,,,,,,,,,,,,,,,,,19.0,3.989614171336286e-13,4.3260216601272736e-13,1.44115188034081e-13,1.5178369501711304e-13,2.2664658404715645e-13,2.0693895954133015e-13,2.174616459741497e-13,2.275475160899653e-13
,,,,,,,,,,,,,,,,,,20.0,5.024958627944153e-13,5.499817198832893e-13,2.0818446194025528e-13,1.8459258136455078e-13,2.9478170454361006e-13,2.4834217627358125e-13,2.9351302762822474e-13,2.6622765392531e-13
,,,,,,,,,,,,,,,,,,21.0,5.532510597152034e-13,6.162371906987021e-13,2.0673145567644284e-13,1.636848404509296e-13,2.9361979016631694e-13,2.3555307684083e-13,2.705267215104753e-13,2.8249105700929737e-13
