freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,4.350067463210906e-12,1.633574351570945e-11,1.5900173556380956e-12,1.687639053185618e-12,2.0621562375235355e-12,2.0548987426483004e-12,3.216587701749149e-12,2.3263958249253606e-12,8.0,1.3278253876277172e-12,3.1459772261881996e-12,6.151017235561341e-13,6.148225069866986e-13,8.686570854987802e-13,7.452875876274744e-13,1.0876765691774103e-12,1.0817239909349835e-12,12.0,1.1179198372445965e-12,1.6382321511076066e-12,5.957284226195123e-13,7.31709595114056e-13,7.316143777008256e-13,8.642733916786323e-13,6.914216858085018e-13,1.2637641733419991e-12
5.0,2.6724670921766976e-12,9.887046929659206e-12,1.1326831070207324e-12,1.1708336435236313e-12,1.4790931560119676e-12,1.4161715046327818e-12,2.1203216636399895e-12,1.7409932113184075e-12,9.0,1.1655171360390205e-12,2.3676856218689803e-12,5.570984901069955e-13,6.128163197260381e-13,7.178640283699477e-13,7.475444486347174e-13,8.900475451787964e-13,1.1497916584554839e-12,13.0,1.1952849434308005e-12,1.4637889793415455e-12,6.397428531143773e-13,7.172338925722047e-13,7.065773116136823e-13,9.190844728784686e-13,6.252815912329293e-13,1.2936655653855062e-12
6.0,2.1074188800493937e-12,6.54637888172517e-12,8.369485724211113e-13,8.425483004301862e-13,1.2170627605789587e-12,9.518395556672459e-13,1.4486286019188093e-12,1.3066652179823002e-12,10.0,1.1249664620675249e-12,2.239516556903393e-12,5.268103501326465e-13,6.873346485263527e-13,6.654999872944083e-13,8.209865289415343e-13,8.17811144958772e-13,1.2493140091422895e-12,14.0,1.0962605926462221e-12,1.2431512722254465e-12,5.648399730752958e-13,7.166846599483872e-13,6.329687126933292e-13,9.194704716029055e-13,6.844070006960224e-13,1.2965736144901086e-12
7.0,1.7772290187480122e-12,4.3203346905287815e-12,6.503343351210386e-13,6.941123211034848e-13,1.0540067049133393e-12,7.814418449016025e-13,1.197005117467538e-12,1.1576371188420465e-12,11.0,1.1252258900714853e-12,1.9735331006455532e-12,5.605159766682014e-13,7.430623919186655e-13,7.391755786220515e-13,8.674880114654226e-13,7.509782733812059e-13,1.361617214495028e-12,15.0,7.889934137952018e-13,1.1888831358248483e-12,4.953588741178687e-13,6.851151590600647e-13,5.476525793404383e-13,9.039638563409213e-13,6.927454862082199e-13,1.2551860788945606e-12
8.0,1.3278253876277172e-12,3.1459772261881996e-12,6.151017235561341e-13,6.148225069866986e-13,8.686570854987802e-13,7.452875876274744e-13,1.0876765691774103e-12,1.0817239909349835e-12,12.0,1.1179198372445965e-12,1.6382321511076066e-12,5.957284226195123e-13,7.31709595114056e-13,7.316143777008256e-13,8.642733916786323e-13,6.914216858085018e-13,1.2637641733419991e-12,16.0,6.854845382994811e-13,1.08442619098858e-12,5.02791861429785e-13,6.690418232244589e-13,5.013099646780276e-13,9.098660968369494e-13,6.139180081980954e-13,1.1406458751877862e-12
,,,,,,,,,,,,,,,,,,17.0,6.449005591920919e-13,9.035126488203311e-13,5.28591975333718e-13,7.391658846129744e-13,5.087164740712081e-13,1.0072646252693466e-12,6.071608704129752e-13,1.1112594059507998e-12
,,,,,,,,,,,,,,,,,,18.0,6.546870665516879e-13,8.984368577887627e-13,5.501183858991938e-13,7.958860780716307e-13,5.260440405529374e-13,1.0688573952178252e-12,6.255272145922677e-13,1.207128064340705e-12
,,,,,,,,,,,,,,,,,,19.0,6.843197928851175e-13,8.85516396671662e-13,5.383769198500984e-13,8.600049397690975e-13,5.099406872589764e-13,1.1379835391671696e-12,6.31562760724683e-13,1.2401494912411877e-12
,,,,,,,,,,,,,,,,,,20.0,6.114325924215687e-13,8.358922459768026e-13,4.786718083866966e-13,8.094803524374996e-13,4.840313778186591e-13,1.1060844007539357e-12,5.861700656728936e-13,1.1633122652308141e-12
,,,,,,,,,,,,,,,,,,21.0,5.425845750180871e-13,6.748019755898673e-13,4.441466492282331e-13,7.369286483010189e-13,4.2297548943432455e-13,1.0333068116344043e-12,5.315975183949105e-13,1.0357075355311549e-12
,,,,,,,,,,,,,,,,,,22.0,5.49280993844525e-13,6.089331360427562e-13,4.383371960776059e-13,7.24496986463761e-13,3.9748481937678257e-13,1.0255080724346539e-12,5.097488521832387e-13,1.0893364952391071e-12
,,,,,,,,,,,,,,,,,,23.0,4.985623115166365e-13,5.817911890344136e-13,4.304500422421111e-13,7.269647337912782e-13,3.525349739818357e-13,1.0621912003055762e-12,4.955864578592934e-13,1.0547214416558541e-12
,,,,,,,,,,,,,,,,,,24.0,4.4395690792380026e-13,5.123312967504909e-13,4.066107824231789e-13,6.801703964637866e-13,3.186608214120489e-13,9.814413654120553e-13,4.742548870318588e-13,1.0834519390674264e-12
,,,,,,,,,,,,,,,,,,25.0,4.454851843937244e-13,5.054309486668013e-13,3.702781135506115e-13,6.928721092238482e-13,3.003427431232749e-13,1.0025014203189985e-12,4.803357802441032e-13,1.066897234782088e-12
,,,,,,,,,,,,,,,,,,26.0,4.095270296526682e-13,4.796725098983138e-13,3.260226640135253e-13,6.344013495267349e-13,2.665066266421357e-13,9.41129095114623e-13,4.600449627760866e-13,9.959793386659807e-13
,,,,,,,,,,,,,,,,,,27.0,3.836810292791404e-13,4.5374877433728455e-13,3.173428494559307e-13,6.237343938299674e-13,2.581839848263428e-13,9.665502210717749e-13,4.173797213163149e-13,9.897730343505335e-13
,,,,,,,,,,,,,,,,,,28.0,3.68601167864273e-13,4.1901942097982996e-13,3.163935911567664e-13,5.97802520442813e-13,2.2162451204441745e-13,9.489205059880619e-13,3.94472350674336e-13,9.619865540260383e-13
,,,,,,,,,,,,,,,,,,29.0,3.4615838571594175e-13,3.7599756517247644e-13,3.037015916752346e-13,5.09508495223207e-13,2.04332182738722e-13,7.727025779650621e-13,3.6513771187859414e-13,9.547474957252561e-13
,,,,,,,,,,,,,,,,,,30.0,3.0803990485540304e-13,3.556397018508309e-13,2.9279804021629084e-13,4.971033156108453e-13,2.1455895861416133e-13,7.546748307849785e-13,3.564297353967748e-13,1.026672557599691e-12
