freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,4.987619013149365e-12,2.2530725963577617e-11,1.5202458902250865e-12,1.7402401584892853e-12,1.938714684351797e-12,1.830527811762214e-12,4.126387758623125e-12,3.2531198836598145e-12,8.0,1.5570879642006462e-12,3.402365079327083e-12,5.143087023863789e-13,6.273889244442706e-13,6.619289368584271e-13,7.032363101481505e-13,1.111204002912245e-12,1.2915465850912728e-12,12.0,1.2911182109553024e-12,1.39494776956715e-12,5.647466397598675e-13,7.256025422496925e-13,6.105155626490519e-13,8.943589171270226e-13,6.473009570781081e-13,1.6745084761378328e-12
5.0,3.090070091796349e-12,1.1158147476867457e-11,8.64489811229735e-13,1.1536790682471425e-12,9.955222667649465e-13,1.3258325559900345e-12,2.3506699707275097e-12,1.976524770853705e-12,9.0,1.400942956112532e-12,2.5893333285141255e-12,4.909675527665879e-13,5.825228721683645e-13,5.619330631185735e-13,6.59615082915967e-13,7.221202014508229e-13,1.4062294827507747e-12,13.0,1.234213330988345e-12,1.3608152859567938e-12,6.278308442886879e-13,7.454107329997038e-13,5.975604179711436e-13,9.764574164808022e-13,5.843538665142503e-13,1.3718168660486589e-12
6.0,1.8076221335488215e-12,6.822956627315899e-12,7.90140703394957e-13,8.123005181333818e-13,9.54656533521562e-13,1.0217445528083927e-12,1.3864549653808433e-12,1.3261339241669764e-12,10.0,1.2774356922621406e-12,2.4473616542033606e-12,5.492941050007357e-13,7.316672477118139e-13,6.71479749021667e-13,8.125326692306563e-13,6.430616970951249e-13,1.499537879178162e-12,14.0,9.724357883343452e-13,1.2581069634194705e-12,6.031888798752465e-13,6.550538514408106e-13,5.413266398081075e-13,8.686709953973358e-13,5.95695640440829e-13,1.5866937854374798e-12
7.0,1.5593252788593746e-12,5.0946337787995344e-12,6.442158913518132e-13,6.958572463596621e-13,8.964224864014619e-13,8.617143213208421e-13,1.263183794981901e-12,1.284616161987562e-12,11.0,1.4888534440057144e-12,2.3689838569078613e-12,6.543581022368682e-13,8.861826024510713e-13,6.962675167314319e-13,9.755298171785888e-13,6.360709967420734e-13,1.7227962078346986e-12,15.0,7.742500950414792e-13,1.0711654952161485e-12,5.433193889857248e-13,6.567904044295434e-13,5.21849627423662e-13,9.684580522995982e-13,5.650650908213942e-13,1.7366507533088714e-12
8.0,1.5570879642006462e-12,3.402365079327083e-12,5.143087023863789e-13,6.273889244442706e-13,6.619289368584271e-13,7.032363101481505e-13,1.111204002912245e-12,1.2915465850912728e-12,12.0,1.2911182109553024e-12,1.39494776956715e-12,5.647466397598675e-13,7.256025422496925e-13,6.105155626490519e-13,8.943589171270226e-13,6.473009570781081e-13,1.6745084761378328e-12,16.0,7.640159087735504e-13,1.0177939688241645e-12,6.588634638554458e-13,7.578610877803958e-13,5.792589344419603e-13,1.1530663774894507e-12,6.415860845766109e-13,2.1717007027848022e-12
,,,,,,,,,,,,,,,,,,17.0,7.181174820496102e-13,9.324959082100775e-13,5.52546671662373e-13,6.607377368519875e-13,4.5402923479916286e-13,1.0137926458437284e-12,6.197305172343028e-13,1.7452084714657583e-12
,,,,,,,,,,,,,,,,,,18.0,7.801946847942385e-13,1.0182351962093345e-12,5.145810383622848e-13,6.68699980427779e-13,4.269409769226983e-13,1.0267543807767367e-12,5.555485330874233e-13,1.7346014029372714e-12
,,,,,,,,,,,,,,,,,,19.0,6.90572981622622e-13,9.408984817212761e-13,4.924726163552004e-13,7.329776108849945e-13,5.156451666661134e-13,1.2263882336916293e-12,6.852676066036629e-13,1.5502891591128163e-12
,,,,,,,,,,,,,,,,,,20.0,6.837833498667093e-13,7.870585586421821e-13,4.936840601422794e-13,7.593068722799941e-13,4.324283655040289e-13,1.2709858166541114e-12,6.680713899520924e-13,1.4635648872212955e-12
,,,,,,,,,,,,,,,,,,21.0,6.799543331807292e-13,7.922944336467045e-13,5.347786647007566e-13,6.761644905982183e-13,4.555028549390201e-13,1.1046959361461812e-12,5.470641789442023e-13,1.562253520558353e-12
