freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,2.9138531829787568e-12,3.113295553107681e-11,1.5014083030883184e-12,1.3195434471678146e-12,2.511934215840212e-12,1.6160859882442256e-12,2.9600478318564844e-12,1.7226458109841234e-12,8.0,1.0593664122326223e-12,3.892322535619779e-12,4.427071027555421e-13,3.799479952648664e-13,7.61199128950585e-13,4.278576589653446e-13,7.685153568142512e-13,4.80386700775349e-13,12.0,9.336785460847267e-13,1.8247841689369113e-12,5.271502574579478e-13,5.259746458954375e-13,6.226964992879195e-13,5.144970262018166e-13,4.355133032945198e-13,3.3849515328727553e-13
5.0,2.0643028724043396e-12,1.692167154306432e-11,1.0123040014937415e-12,8.018341475868541e-13,1.5795320897249826e-12,9.9270495700387e-13,1.8014931136828455e-12,1.062126825963677e-12,9.0,9.41865243471558e-13,3.0587083663244504e-12,4.177078281524017e-13,4.4807492345286307e-13,6.748023261326311e-13,4.829456937172074e-13,6.33422570072957e-13,4.3804887442629395e-13,13.0,9.209413000654097e-13,1.6634089542194254e-12,5.025245604762803e-13,4.043181932429586e-13,6.01551623984551e-13,4.0707772792630835e-13,4.0884776453625804e-13,2.7619879436119795e-13
6.0,1.4455205607890688e-12,1.0006546914088404e-11,7.230837105882347e-13,5.308767411134894e-13,1.1134658465714914e-12,5.985796314918547e-13,1.3134653500332999e-12,7.259515717413324e-13,10.0,9.692286550233892e-13,2.314027465889494e-12,4.831101855200214e-13,5.995247918775056e-13,6.845753600833795e-13,6.154194368394731e-13,5.286153474898047e-13,3.8960560052239887e-13,14.0,7.389119541478889e-13,1.2549490766376804e-12,4.349014480455267e-13,2.7765445513256717e-13,4.798024257223004e-13,2.8729866253631873e-13,3.7418256146195683e-13,2.637395404985377e-13
7.0,1.199499456132964e-12,6.1759386460700395e-12,5.265893126064346e-13,3.9629540783462033e-13,9.058186070942818e-13,4.505623973391441e-13,1.0154118907660325e-12,5.273961162769287e-13,11.0,9.599204016966735e-13,1.963521831412417e-12,5.22311736458168e-13,6.097419513494664e-13,6.101060545645144e-13,5.91236220652051e-13,4.715463685624437e-13,3.642526471260219e-13,15.0,6.899829384866273e-13,1.1430914680125363e-12,3.470405788896019e-13,2.5639406780901754e-13,3.7602446660588217e-13,2.643610247552561e-13,3.79386649136479e-13,2.6254486336023516e-13
8.0,1.0593664122326223e-12,3.892322535619779e-12,4.427071027555421e-13,3.799479952648664e-13,7.61199128950585e-13,4.278576589653446e-13,7.685153568142512e-13,4.80386700775349e-13,12.0,9.336785460847267e-13,1.8247841689369113e-12,5.271502574579478e-13,5.259746458954375e-13,6.226964992879195e-13,5.144970262018166e-13,4.355133032945198e-13,3.3849515328727553e-13,16.0,5.721073142931568e-13,9.978702112140989e-13,3.0590073374499085e-13,2.3188324217095484e-13,3.4900077154856993e-13,2.2913676928528675e-13,3.1212433360075013e-13,2.4866963708059457e-13
,,,,,,,,,,,,,,,,,,17.0,4.976422179607429e-13,8.289437216479747e-13,2.8327668919162645e-13,2.021307764149489e-13,3.1572983537678243e-13,2.0793840478589184e-13,2.8116480086452676e-13,2.433607658774136e-13
,,,,,,,,,,,,,,,,,,18.0,4.409727572724514e-13,8.190104490812589e-13,2.627636330898967e-13,1.8398998267785323e-13,3.058878814654731e-13,1.8822237015008912e-13,2.5601215732002337e-13,2.1739073337678552e-13
,,,,,,,,,,,,,,,,,,19.0,4.006020786668624e-13,7.341644111134227e-13,2.2656264801488137e-13,1.5935637633932688e-13,2.680935745894729e-13,1.6025151042942818e-13,2.456964059733645e-13,1.988821133693247e-13
,,,,,,,,,,,,,,,,,,20.0,3.372515143251721e-13,6.203547397060512e-13,1.8842343456230807e-13,1.5087800112608278e-13,2.3731384831672176e-13,1.486775976729966e-13,1.983219223474675e-13,1.7560921286212307e-13
,,,,,,,,,,,,,,,,,,21.0,3.0788935819372484e-13,5.145645552690979e-13,1.6681401007846192e-13,1.2769452747159956e-13,1.947639142620352e-13,1.2597682336785334e-13,1.7937160449767345e-13,1.5563944304542696e-13
