freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.0772392886562906e-12,2.8233315228262084e-12,1.6948109212743665e-12,9.048233601560144e-13,1.174391457887163e-12,9.140400315771516e-13,1.602593435459373e-12,1.4608978025517374e-12,8.0,1.0376030233238367e-12,9.518410136822306e-13,5.44018024869616e-13,4.3608365559482316e-13,6.701212829907996e-13,5.864579928864322e-13,5.882840672876168e-13,7.227501485451974e-13,12.0,1.1279820211550078e-12,9.018510567570896e-13,4.754806180314375e-13,4.440954062824615e-13,7.839496853243528e-13,7.233949270759529e-13,7.936524528708181e-13,9.900681474201895e-13
5.0,2.0787062372711323e-12,1.8608358218832925e-12,1.1012800015475397e-12,7.176309131735387e-13,1.004220673397319e-12,8.167292480034064e-13,1.0505831784915629e-12,9.915216290475788e-13,9.0,9.686367849472915e-13,9.10486076486353e-13,4.763149741785923e-13,4.085326591064384e-13,7.03233290385235e-13,5.944433196531953e-13,6.540195932712532e-13,9.041072698835445e-13,13.0,8.378344892062097e-13,7.456807046008375e-13,4.942288189558307e-13,3.844905566747757e-13,7.81690145463575e-13,6.750682991648766e-13,6.845792412579443e-13,8.921393849159423e-13
6.0,1.6627696123715774e-12,1.388599375538608e-12,8.078556450722165e-13,5.886818484284468e-13,7.627942126740934e-13,6.552404734448937e-13,7.524924133069834e-13,7.920771934349911e-13,10.0,9.486678162299185e-13,8.555488811078074e-13,4.441329189073484e-13,3.791816868075852e-13,7.536306155704033e-13,6.615772877770676e-13,6.23084631545844e-13,8.566982824454403e-13,14.0,6.265964678049935e-13,6.748787610803976e-13,5.516028784922527e-13,3.967581032630704e-13,9.388225333773135e-13,7.220689018194572e-13,6.347451193133247e-13,8.605236689562392e-13
7.0,1.3217753809893167e-12,1.1297905071714597e-12,7.638563007139827e-13,5.20189488898265e-13,6.771183757741245e-13,6.368013125992172e-13,6.251115131062876e-13,6.445725635362095e-13,11.0,1.0280880628304167e-12,8.858022093190628e-13,4.4809614247839053e-13,4.353664681167897e-13,7.596123897327436e-13,7.320747138449053e-13,6.925091007529265e-13,9.526405711677576e-13,15.0,5.221974126047093e-13,5.936284291753053e-13,4.861697043569162e-13,3.5843822280178986e-13,9.22010591758096e-13,6.738727997245712e-13,5.375098215205663e-13,8.94383833396563e-13
8.0,1.0376030233238367e-12,9.518410136822306e-13,5.44018024869616e-13,4.3608365559482316e-13,6.701212829907996e-13,5.864579928864322e-13,5.882840672876168e-13,7.227501485451974e-13,12.0,1.1279820211550078e-12,9.018510567570896e-13,4.754806180314375e-13,4.440954062824615e-13,7.839496853243528e-13,7.233949270759529e-13,7.936524528708181e-13,9.900681474201895e-13,16.0,4.874448043090041e-13,5.31537799521227e-13,5.116485834324532e-13,3.4970228816594014e-13,1.0084994509640027e-12,7.262924367057919e-13,5.122744179734651e-13,8.475668359750934e-13
,,,,,,,,,,,,,,,,,,17.0,4.734631634586952e-13,4.991913608153746e-13,6.133091761839077e-13,3.800724631784798e-13,1.1628610219011723e-12,7.652182776080384e-13,5.254933737122875e-13,9.032289291591969e-13
,,,,,,,,,,,,,,,,,,18.0,4.590860274592866e-13,4.812066407434635e-13,7.572055356414204e-13,3.90668354056214e-13,1.5038957541105758e-12,8.099479588753216e-13,5.840681434176885e-13,7.344967148502637e-13
,,,,,,,,,,,,,,,,,,19.0,4.537349747146344e-13,5.009761768623493e-13,7.110796091056436e-13,4.618786320959202e-13,1.523802037876249e-12,9.168602776895464e-13,6.134520547877646e-13,6.572993322110661e-13
,,,,,,,,,,,,,,,,,,20.0,5.045797734341697e-13,5.516778333068002e-13,8.64977096871256e-13,4.650373110676693e-13,1.95320056863014e-12,9.316022557803081e-13,5.146053159093833e-13,6.369941317484001e-13
,,,,,,,,,,,,,,,,,,21.0,5.140321689364492e-13,4.587947329490102e-13,1.1085725736044086e-12,4.887395515986819e-13,2.4386245226436356e-12,9.750282721109188e-13,5.003373536030661e-13,6.670492825870338e-13
,,,,,,,,,,,,,,,,,,22.0,5.153798102061136e-13,4.834869515706962e-13,1.004639116471212e-12,5.764256020015542e-13,2.16081003352847e-12,1.1855291396015406e-12,5.543522292926093e-13,7.91691766153226e-13
,,,,,,,,,,,,,,,,,,23.0,3.8793848313763807e-13,3.9499926924764897e-13,7.658238630140696e-13,6.320242526233444e-13,1.8145806938539153e-12,1.0309532910957118e-12,5.144217706634216e-13,6.191827786818654e-13
,,,,,,,,,,,,,,,,,,24.0,4.042742203092657e-13,3.926170752163137e-13,8.906433059555656e-13,6.805322694638424e-13,1.788893154173567e-12,8.260985568755009e-13,5.421723349634061e-13,6.187575875685996e-13
,,,,,,,,,,,,,,,,,,25.0,4.085737404412414e-13,3.825683466908774e-13,8.769897415234632e-13,5.219885526775182e-13,1.54776873682206e-12,7.282780773884696e-13,5.325009066876726e-13,7.698943264045677e-13
,,,,,,,,,,,,,,,,,,26.0,3.5447398207931276e-13,3.3414272903218776e-13,6.967041021350786e-13,4.590369608609204e-13,1.4033500686428144e-12,6.947165704208024e-13,4.346896648037162e-13,6.510972184454413e-13
,,,,,,,,,,,,,,,,,,27.0,3.3817554672998236e-13,3.779234412248973e-13,6.025904873059585e-13,5.111983171166677e-13,1.2516325923723388e-12,6.575385431462855e-13,4.019868482378267e-13,6.851959922223685e-13
,,,,,,,,,,,,,,,,,,28.0,3.566068896921183e-13,3.9360301500929165e-13,5.956715361359129e-13,4.4972581867783375e-13,1.1479831818113775e-12,6.595646029297912e-13,3.768735207258971e-13,7.110619769428412e-13
,,,,,,,,,,,,,,,,,,29.0,3.5636374741944893e-13,3.778505064551256e-13,5.404733063635206e-13,3.970727356371949e-13,1.1414313247136615e-12,5.43939537638813e-13,4.4104990109141056e-13,7.240816255125728e-13
,,,,,,,,,,,,,,,,,,30.0,2.913731037402394e-13,2.9747744291003565e-13,5.694424812939742e-13,3.401222169276815e-13,1.0536679249792711e-12,6.587275900411476e-13,4.0124612557785706e-13,5.343783981710093e-13
