freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.0846359798752802e-11,1.3952410965508756e-11,4.965710329981315e-12,4.568824537578873e-12,3.739732172764854e-12,6.406113276326755e-12,1.1395682231280665e-11,8.175849914397673e-12,8.0,5.4942824880361884e-12,4.698983901265862e-12,1.820359606481217e-12,1.2734138010754732e-12,1.6049589269891196e-12,1.3919372498103346e-12,2.3723172481655454e-12,2.9661827685172912e-12,12.0,3.4405059905919397e-12,3.330362024318738e-12,1.0163237528686737e-12,4.5246279976598233e-13,1.037009976388543e-12,3.223821606736582e-13,1.9182486175562403e-12,1.9791693963152424e-12
5.0,1.5196183102225135e-11,8.507490649748389e-12,3.365205401315901e-12,3.188102678845571e-12,2.4106605400533556e-12,5.105815409008349e-12,8.6864264452121e-12,5.909385064523541e-12,9.0,4.523646285007726e-12,3.0002426777551735e-12,1.0791553348412322e-12,8.905374387819525e-13,9.89086245818952e-13,8.836502817052301e-13,1.7605626635790412e-12,2.0637528665676893e-12,13.0,1.976503661618365e-12,1.9185090478151417e-12,9.182648684757559e-13,5.77078275239226e-13,7.950825396289819e-13,4.739128701933495e-13,1.3022548285422453e-12,1.2375500776343438e-12
6.0,1.2128961310761021e-11,8.63445134900421e-12,3.448881439196612e-12,2.1828574948282382e-12,2.0903487973145597e-12,2.618802007150649e-12,4.703374077264915e-12,5.4622562264976315e-12,10.0,3.528921642479715e-12,2.4919366693618805e-12,1.102278735752687e-12,6.443271923905087e-13,6.825708679039368e-13,6.278438618356186e-13,1.6582197570415596e-12,1.599873494678348e-12,14.0,2.0210656310672857e-12,1.6258056461762211e-12,9.169597063329465e-13,5.797243144802373e-13,8.08001516006094e-13,5.387151579169027e-13,1.0930917527736825e-12,1.296800907349791e-12
7.0,8.537404145009821e-12,8.289146601659096e-12,3.137167047282065e-12,1.8234200584079783e-12,1.6613369888946303e-12,1.5812350537500397e-12,3.80636212485108e-12,5.146542775630882e-12,11.0,4.4238429104208645e-12,3.1982761759388534e-12,1.1529635416517037e-12,6.488137741013194e-13,8.930081572335947e-13,5.136799597743983e-13,1.9778659330848375e-12,1.7765687667473494e-12,15.0,1.9109738319404412e-12,1.5160780645178453e-12,7.354571811303107e-13,4.487322714368496e-13,8.420009248054979e-13,3.364333382725968e-13,9.908660568627503e-13,1.1625309040207378e-12
8.0,5.4942824880361884e-12,4.698983901265862e-12,1.820359606481217e-12,1.2734138010754732e-12,1.6049589269891196e-12,1.3919372498103346e-12,2.3723172481655454e-12,2.9661827685172912e-12,12.0,3.4405059905919397e-12,3.330362024318738e-12,1.0163237528686737e-12,4.5246279976598233e-13,1.037009976388543e-12,3.223821606736582e-13,1.9182486175562403e-12,1.9791693963152424e-12,16.0,1.4649564102547883e-12,9.160977133442751e-13,4.808760282512733e-13,4.2148382968301177e-13,4.942873378243638e-13,2.3973418623872973e-13,7.552670738526039e-13,7.357510263409637e-13
,,,,,,,,,,,,,,,,,,17.0,1.3227374396967805e-12,9.615569862552382e-13,3.395296431488245e-13,4.1024139263630624e-13,4.778121608945906e-13,2.795956079584317e-13,6.801968416517598e-13,8.394097585079647e-13
,,,,,,,,,,,,,,,,,,18.0,1.4654233436016452e-12,1.1804803944095871e-12,3.0710105120800714e-13,3.552600740438264e-13,4.005077013851038e-13,2.868729380712517e-13,7.063598293691378e-13,7.027257655312031e-13
,,,,,,,,,,,,,,,,,,19.0,1.1525343706555465e-12,9.044385412693836e-13,4.0352506873665154e-13,2.479681537631739e-13,3.881274169996298e-13,2.467066149398921e-13,5.387428561569385e-13,4.101429984224361e-13
,,,,,,,,,,,,,,,,,,20.0,8.000177806038202e-13,6.608676890595291e-13,4.1059584150547233e-13,2.943766742668755e-13,2.695858501000305e-13,2.704574121749207e-13,5.245197756848333e-13,5.441881870421207e-13
,,,,,,,,,,,,,,,,,,21.0,7.233399743083804e-13,6.483802987752096e-13,3.9405203696637327e-13,2.918579091287172e-13,3.3277911216463396e-13,2.8279552140733236e-13,4.0219588702773984e-13,3.5838427750442065e-13
,,,,,,,,,,,,,,,,,,22.0,7.31497464272199e-13,5.756683700075608e-13,3.7309575593226517e-13,2.4951011547120007e-13,3.5207400314754115e-13,2.1681291932968287e-13,3.0328682644585e-13,3.3433779168843837e-13
,,,,,,,,,,,,,,,,,,23.0,7.885764941150437e-13,7.115955941164064e-13,2.810672751713191e-13,1.5295778244296985e-13,5.037578306562518e-13,2.1009418497398856e-13,3.397180053344798e-13,3.7891167462729274e-13
,,,,,,,,,,,,,,,,,,24.0,1.019850940098379e-12,8.560200456481613e-13,2.0589345037243624e-13,2.2690152082915294e-13,5.99602925941774e-13,2.345301673405107e-13,4.0762296880695937e-13,5.017630350012388e-13
,,,,,,,,,,,,,,,,,,25.0,7.559343258386845e-13,6.523023676260619e-13,2.0970391427229363e-13,2.744001508004691e-13,5.069574867438238e-13,2.0105500291495784e-13,3.2574184294179197e-13,3.4044879082572154e-13
,,,,,,,,,,,,,,,,,,26.0,5.894069860388048e-13,5.839048239995628e-13,2.5972515805814566e-13,2.325330549638804e-13,4.602876176077733e-13,2.4533346531441474e-13,2.44152836265005e-13,3.0199310286369265e-13
,,,,,,,,,,,,,,,,,,27.0,5.69708436765652e-13,5.676736907293613e-13,2.634790346075648e-13,2.1475878611842922e-13,4.181750830335705e-13,2.2016182438777046e-13,3.428534238993771e-13,3.2996189156263353e-13
,,,,,,,,,,,,,,,,,,28.0,6.827763108330229e-13,6.192285286222027e-13,1.9806907907725226e-13,2.0233882508736661e-13,5.075065849087186e-13,1.641407687007468e-13,3.2059808103173117e-13,3.421411380302559e-13
,,,,,,,,,,,,,,,,,,29.0,5.34409368158676e-13,4.805403610795267e-13,1.8458768683860395e-13,1.7605233882585597e-13,3.0786879706288394e-13,1.869659813403163e-13,2.1801706414430792e-13,2.655299715823368e-13
,,,,,,,,,,,,,,,,,,30.0,3.9552872643424995e-13,3.7897618643797293e-13,1.4999686188673042e-13,1.8796943980959122e-13,2.1579147099283457e-13,1.9486213561600925e-13,1.4486632206512483e-13,2.0501735490464093e-13
