freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.4440684660979396e-12,2.0376262370888007e-12,1.1150561838445016e-12,7.895680487196672e-13,6.91905567270211e-13,9.233872021338648e-13,9.6477612910527e-13,9.493291177230686e-13,8.0,9.400589143108732e-13,9.222581400616359e-13,4.67551737346171e-13,4.3883703287145255e-13,3.655749349879659e-13,5.009977438078869e-13,3.9239910774549177e-13,4.3141029497066246e-13,12.0,1.7244395225183941e-12,1.2937314865607532e-12,7.775511522336931e-13,9.793565008780577e-13,6.777847601544891e-13,8.526511827014765e-13,3.811943134634888e-13,4.603590288996129e-13
5.0,1.5400018877792064e-12,1.3845710435107017e-12,8.128020612522393e-13,5.68575386395968e-13,4.895321169657897e-13,6.402303882453163e-13,6.221045457032248e-13,5.749639201327429e-13,9.0,1.1326739649240028e-12,1.0771799061193648e-12,6.95352082167171e-13,7.846231459333968e-13,5.504617448219211e-13,7.813958858848553e-13,4.502097763826248e-13,4.925982375496522e-13,13.0,1.2970514876963028e-12,1.0356915151159208e-12,6.767075748099516e-13,7.809522812428854e-13,6.098249143444257e-13,7.561260455121747e-13,3.3847913329238773e-13,3.906013923318617e-13
6.0,1.272335062143704e-12,1.1891764865117233e-12,5.446289030054326e-13,4.5337058415046585e-13,3.6901189225151167e-13,4.842271497331148e-13,4.2085294548710186e-13,4.730932334185361e-13,10.0,1.2915819348493067e-12,1.2442750767619224e-12,8.710993511393927e-13,1.359780561828228e-12,6.878713514019697e-13,1.0448937208219222e-12,5.734415216907949e-13,5.856587245869595e-13,14.0,1.0351121845708614e-12,9.765386544954167e-13,6.44941843219595e-13,6.603789531444109e-13,6.375741028552068e-13,6.159135143877322e-13,2.719454319090014e-13,3.7501768086894653e-13
7.0,1.0858880590753844e-12,1.01366227334911e-12,4.267994147452166e-13,4.2439748695261465e-13,3.349416768833962e-13,4.499255986825079e-13,4.09822961680797e-13,4.5367046134545937e-13,11.0,1.5793240880946594e-12,1.3984374818510982e-12,8.829877997090624e-13,1.2046105318112703e-12,7.042932737019993e-13,8.803537028499407e-13,4.708900573031834e-13,5.86336497590771e-13,15.0,8.196830301949595e-13,8.299565515120672e-13,5.774122462809098e-13,5.823794376835377e-13,5.779910015972396e-13,5.387606867637633e-13,2.4463795458002977e-13,3.247636877491047e-13
8.0,9.400589143108732e-13,9.222581400616359e-13,4.67551737346171e-13,4.3883703287145255e-13,3.655749349879659e-13,5.009977438078869e-13,3.9239910774549177e-13,4.3141029497066246e-13,12.0,1.7244395225183941e-12,1.2937314865607532e-12,7.775511522336931e-13,9.793565008780577e-13,6.777847601544891e-13,8.526511827014765e-13,3.811943134634888e-13,4.603590288996129e-13,16.0,7.789395064534417e-13,7.794960093073395e-13,5.741688546688198e-13,5.477078082072754e-13,5.359902619664027e-13,4.84058007217197e-13,2.395646857428419e-13,3.002455157989084e-13
,,,,,,,,,,,,,,,,,,17.0,7.241045012457275e-13,6.905540376265121e-13,4.812547267775249e-13,4.619305661691114e-13,4.2269847376522865e-13,3.9127188194152706e-13,2.1230198595444365e-13,3.02513505520456e-13
,,,,,,,,,,,,,,,,,,18.0,6.184623353914e-13,6.250468616451361e-13,3.951021780131655e-13,3.726610104023069e-13,3.243038637716641e-13,3.0483687010863194e-13,2.1257183167600536e-13,3.1084706869162647e-13
,,,,,,,,,,,,,,,,,,19.0,4.86295415340587e-13,4.810661089404377e-13,3.4526797165876794e-13,3.3845080381141243e-13,2.498096012494764e-13,2.496769135718944e-13,2.098160306200414e-13,2.9729082783482643e-13
,,,,,,,,,,,,,,,,,,20.0,4.132353243888486e-13,3.9100744261355416e-13,2.426545939939208e-13,2.5450400255187366e-13,1.764673568688232e-13,1.8868483816633715e-13,1.7745296700473927e-13,2.545167037213491e-13
,,,,,,,,,,,,,,,,,,21.0,3.1310836934776394e-13,2.855677050206426e-13,1.8432373585629163e-13,1.853729177157094e-13,1.3601632199710967e-13,1.5220625858624002e-13,1.4345614552054963e-13,2.420411489861676e-13
,,,,,,,,,,,,,,,,,,22.0,2.9530453421153495e-13,2.4397962986674523e-13,1.5989970642250463e-13,1.6598101909832932e-13,1.1509993257498312e-13,1.355475602199451e-13,1.3324651448902267e-13,2.4928558125296265e-13
