freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,4.015560184035988e-12,8.989440379548867e-12,8.734096995210324e-13,8.756047634852188e-13,1.027204371858434e-12,1.50074460404489e-12,1.7211231029049713e-12,1.87601946483857e-12,8.0,1.2675337204063402e-12,1.6529130470754299e-12,3.0837427532267644e-13,2.789450027154011e-13,3.3234024397157774e-13,3.535030531393906e-13,7.720281027491287e-13,7.197239091223217e-13,12.0,5.330148182129457e-13,7.177120717603375e-13,2.12520125501855e-13,2.2060773646986738e-13,1.941286477951384e-13,2.352569496309496e-13,3.2724980524348213e-13,4.443381792414911e-13
5.0,2.7106298384403024e-12,5.1460556497495516e-12,6.586823822650626e-13,6.588162980022118e-13,6.707486842050987e-13,1.0014399726819275e-12,1.310572144754749e-12,1.4753576097062386e-12,9.0,8.983324677707421e-13,1.193841485723202e-12,2.435828464574876e-13,2.1663975192823819e-13,2.5771059857225144e-13,2.723514962798942e-13,5.998890342206477e-13,5.823346328441973e-13,13.0,4.929236575457595e-13,5.464635867069981e-13,1.4759245617519083e-13,1.6981351886075864e-13,1.274470705916169e-13,1.8780027873522488e-13,2.7214763613924307e-13,3.5782566989624425e-13
6.0,2.0243689132457687e-12,3.514486133158073e-12,5.306186873838818e-13,4.950324222864769e-13,5.376402376232739e-13,7.041348690992794e-13,1.099191312310506e-12,1.1536978473450396e-12,10.0,6.689455478405398e-13,1.0044018311129654e-12,2.48242189962496e-13,2.297576474315782e-13,2.5950562425299893e-13,2.6542296703635596e-13,4.4603645686956854e-13,5.058346069508526e-13,14.0,3.7216963694298974e-13,4.2842227673369984e-13,1.3414241644679193e-13,1.263859694264164e-13,1.1742277115055748e-13,1.5991526285963142e-13,2.1887109905234908e-13,2.7591295906718125e-13
7.0,1.5385560816658017e-12,2.46907836454063e-12,4.067946535844948e-13,3.630432403329157e-13,4.235960539318816e-13,4.886186383852871e-13,9.625392431048866e-13,9.554979080402607e-13,11.0,6.037012351613555e-13,8.690522084273348e-13,2.473907998454185e-13,2.4582757496068296e-13,2.651027895894694e-13,2.629176773833592e-13,3.478916038276709e-13,4.861186551728667e-13,15.0,3.473417194441243e-13,3.662654571793091e-13,1.1396762438870796e-13,1.2276161612079385e-13,1.0302161957545909e-13,1.523476354654011e-13,2.361049526308209e-13,2.532437980727908e-13
8.0,1.2675337204063402e-12,1.6529130470754299e-12,3.0837427532267644e-13,2.789450027154011e-13,3.3234024397157774e-13,3.535030531393906e-13,7.720281027491287e-13,7.197239091223217e-13,12.0,5.330148182129457e-13,7.177120717603375e-13,2.12520125501855e-13,2.2060773646986738e-13,1.941286477951384e-13,2.352569496309496e-13,3.2724980524348213e-13,4.443381792414911e-13,16.0,3.195369806864414e-13,3.176838991369483e-13,1.0882541526624342e-13,1.0442423216742774e-13,8.999908518547054e-14,1.274640367116652e-13,1.890612570993849e-13,2.334266284574853e-13
,,,,,,,,,,,,,,,,,,17.0,4.0223379090821557e-13,2.8361309876995614e-13,1.1245548642358203e-13,9.925663815627144e-14,8.376500766853865e-14,1.225843360932339e-13,1.8165938987206317e-13,2.3927231041157865e-13
,,,,,,,,,,,,,,,,,,18.0,3.659833797817897e-13,2.743597992403767e-13,1.0209882301916488e-13,9.887591780008848e-14,8.043351018234833e-14,1.2094314905385486e-13,1.7923930944398222e-13,2.056918810886422e-13
,,,,,,,,,,,,,,,,,,19.0,3.1975571794585543e-13,2.9127717516162504e-13,1.0540319521735879e-13,1.0134538234511742e-13,8.333952072530282e-14,1.1511290056881684e-13,1.6126666723142718e-13,2.0210122471769106e-13
,,,,,,,,,,,,,,,,,,20.0,3.438436693478e-13,2.739762445968599e-13,9.869511567919112e-14,9.39792073030917e-14,7.288738180687151e-14,1.2003732579421971e-13,1.6514055190738293e-13,1.8968463786380602e-13
,,,,,,,,,,,,,,,,,,21.0,3.885773348690338e-13,2.5954355233913293e-13,9.146897601602917e-14,8.462829412300185e-14,7.319196960863168e-14,1.0816885287747009e-13,1.5345057549934781e-13,1.7567694298269342e-13
,,,,,,,,,,,,,,,,,,22.0,3.865054882398258e-13,2.696110753212441e-13,9.929761683175621e-14,7.258560453599201e-14,7.547676925139047e-14,1.0501730472824292e-13,1.5787944044958933e-13,1.7336795461736734e-13
,,,,,,,,,,,,,,,,,,23.0,3.4595503537017773e-13,2.48512940137579e-13,8.702348600118216e-14,6.986429806710538e-14,6.359870498856038e-14,1.0245698711735453e-13,1.3951771840211753e-13,1.7113693288572418e-13
,,,,,,,,,,,,,,,,,,24.0,3.2535480814952286e-13,2.2498890259926344e-13,8.320422104254849e-14,5.829175660628764e-14,5.5434405644460496e-14,8.492973928608394e-14,1.301280082368682e-13,1.5626523123616093e-13
,,,,,,,,,,,,,,,,,,25.0,3.052907117680458e-13,2.304127037338019e-13,7.436525361912647e-14,5.289973791152346e-14,4.767490042812326e-14,7.389797516299344e-14,1.4130387927099927e-13,1.7641326619969968e-13
,,,,,,,,,,,,,,,,,,26.0,2.765811692723623e-13,2.1215705552311124e-13,6.842989622348188e-14,5.2964829680448455e-14,4.636727003277277e-14,7.26687112360956e-14,1.4187394662127422e-13,1.731975967113955e-13
,,,,,,,,,,,,,,,,,,27.0,2.850319832039659e-13,1.8876077303601649e-13,7.557449357376617e-14,6.042464014547072e-14,5.3506531739251226e-14,9.252880426180244e-14,1.3329234802203182e-13,1.6222174695727396e-13
,,,,,,,,,,,,,,,,,,28.0,2.729475863962471e-13,1.6795702469885355e-13,8.074709052624651e-14,6.342971853771007e-14,5.686449516402519e-14,8.942990374226813e-14,1.2021980911410667e-13,1.4597983251209947e-13
,,,,,,,,,,,,,,,,,,29.0,2.6499659244906147e-13,1.676317427043949e-13,9.526259569585498e-14,8.781358967534203e-14,6.475047699637085e-14,1.0937644192284778e-13,1.3235312695342753e-13,1.3934976660929568e-13
,,,,,,,,,,,,,,,,,,30.0,2.442827322842652e-13,1.572319588865527e-13,1.2296471270744798e-13,9.81512054089789e-14,7.530159787362459e-14,1.2055512729872465e-13,1.3878243150581328e-13,1.4181709850327248e-13
