freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,7.047632453423688e-12,8.776218928718224e-12,1.3669370820315065e-12,1.2212483470051598e-12,1.4981919780388407e-12,2.1469332575153615e-12,2.864620292756823e-12,2.6001260214136646e-12,8.0,1.6836366318738557e-12,1.601462013644298e-12,3.4338561955221203e-13,3.6000339409943047e-13,4.2903856430236136e-13,4.066612092777849e-13,1.0687600579923564e-12,8.601536736425221e-13,12.0,6.286739488422953e-13,7.241147741516498e-13,2.2484937320704146e-13,2.0681001277557717e-13,2.1909881096832368e-13,2.466569112296536e-13,6.134896207031709e-13,7.11493558906054e-13
5.0,4.840890972266824e-12,5.1240045848206685e-12,8.234279933824591e-13,7.933508908550263e-13,8.871059266978718e-13,1.380409772229538e-12,2.0681146527506926e-12,2.182646802849427e-12,9.0,1.4627967368885079e-12,1.2796675946057977e-12,2.7295455044439725e-13,2.9761641649680565e-13,3.76879158980265e-13,3.3945297214376093e-13,9.67700589105479e-13,7.454234976014855e-13,13.0,5.550623403218578e-13,5.169847604029171e-13,2.0899248756438508e-13,1.7152044939593497e-13,1.5573242936110773e-13,2.176649483048464e-13,4.741892328629095e-13,5.11244926796318e-13
6.0,2.9515794202937473e-12,3.1342350545236025e-12,5.789034037754913e-13,5.053575614804169e-13,7.102559953593615e-13,8.798785799617759e-13,1.371110488212351e-12,1.5179662576428592e-12,10.0,1.0002337747022219e-12,1.1019786527550354e-12,3.207443514102776e-13,2.5071965774367015e-13,3.996759576312861e-13,3.1895939551919856e-13,6.726105898771643e-13,9.097436905617275e-13,14.0,4.5427103865295647e-13,4.280227768142698e-13,1.8239229848342148e-13,1.2987978243219404e-13,1.4203850178275947e-13,1.8203584568795768e-13,3.5859874820756095e-13,4.12082905242867e-13
7.0,1.820197007095532e-12,2.1861568980936224e-12,4.273278053023395e-13,3.9564608363676745e-13,5.126159478122344e-13,5.20043523839606e-13,1.2350773977096362e-12,1.1069442025491949e-12,11.0,6.781130486686145e-13,9.334492140196463e-13,2.6343457420926833e-13,2.5299502798862217e-13,3.1219255871444753e-13,2.858610129334645e-13,6.279055637280248e-13,9.468034052651877e-13,15.0,4.426257246638304e-13,4.202498930142124e-13,1.3880978658397744e-13,1.2279404612926448e-13,1.3427762676283059e-13,1.4676551033634954e-13,3.7594869564254616e-13,3.586780909746534e-13
8.0,1.6836366318738557e-12,1.601462013644298e-12,3.4338561955221203e-13,3.6000339409943047e-13,4.2903856430236136e-13,4.066612092777849e-13,1.0687600579923564e-12,8.601536736425221e-13,12.0,6.286739488422953e-13,7.241147741516498e-13,2.2484937320704146e-13,2.0681001277557717e-13,2.1909881096832368e-13,2.466569112296536e-13,6.134896207031709e-13,7.11493558906054e-13,16.0,4.4900641085305823e-13,4.1154295414747336e-13,1.2700021577689698e-13,1.2518444847292535e-13,1.0954740771546692e-13,1.4814201623956628e-13,3.3917114496515837e-13,3.3321005992431445e-13
,,,,,,,,,,,,,,,,,,17.0,4.0426798072996845e-13,3.6649240614909655e-13,1.184801488634467e-13,1.248855851814951e-13,1.0265720441694317e-13,1.4037248657857861e-13,3.0122596726051486e-13,3.433153505719961e-13
,,,,,,,,,,,,,,,,,,18.0,3.8365374865592403e-13,3.15781560230699e-13,1.1204335147241829e-13,1.1811554115286544e-13,8.896419014674193e-14,1.3781602975590675e-13,2.5885784767621317e-13,2.644431595191858e-13
,,,,,,,,,,,,,,,,,,19.0,3.6184612408426956e-13,2.902058519939521e-13,1.2378603459507341e-13,1.0788431539689773e-13,8.570847668464499e-14,1.2120588647681405e-13,2.35111696265809e-13,2.5288991363014515e-13
,,,,,,,,,,,,,,,,,,20.0,4.2015078056525175e-13,3.328572407317748e-13,1.2999616788570393e-13,1.065169804169847e-13,9.127016546869546e-14,1.2880327518922864e-13,2.604954427753695e-13,2.914580818939632e-13
,,,,,,,,,,,,,,,,,,21.0,4.2022155767353834e-13,3.056781998453484e-13,1.1717868658737675e-13,8.91173921673363e-14,8.592625965230414e-14,1.1208978853115972e-13,2.6297060867486117e-13,2.717089155228712e-13
