freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,2.87805214345549e-12,3.811983754840483e-12,8.291274652913774e-13,6.455032061917243e-13,9.253555932730602e-13,1.2840991695317278e-12,1.3690550973166974e-12,1.5733836541141173e-12,8.0,1.5984856480824405e-12,1.7320483840916424e-12,4.654316863470137e-13,3.235030540987597e-13,5.387557547384739e-13,4.2645131245620387e-13,8.142182965554165e-13,9.671997364489911e-13,12.0,6.233689942765945e-13,7.26393308377008e-13,2.3490315187417633e-13,2.0948696014285248e-13,2.0346832535438278e-13,2.4764518672992126e-13,3.705599274871434e-13,5.200715534934906e-13
5.0,2.2632685517338536e-12,2.7043443364112896e-12,6.395018027855348e-13,4.935291799873729e-13,6.232882374670804e-13,8.199655806369231e-13,1.1494589058525175e-12,1.2953404732989841e-12,9.0,3.5175527323373865e-12,4.037187889667379e-12,8.641071392877983e-13,5.000500831695498e-13,1.2773867949170943e-12,5.84849067315604e-13,1.6133754660043367e-12,2.321249084282502e-12,13.0,4.211762469661277e-13,4.449169460944608e-13,1.686996511807919e-13,1.4163897664847794e-13,1.3871112710389392e-13,1.6129647031486591e-13,2.5454844997805833e-13,3.2366055969046366e-13
6.0,1.6655437377733599e-12,2.0078531631001175e-12,5.209166625707491e-13,3.8166747004565583e-13,5.156085141994607e-13,5.620869879295859e-13,8.826617166050121e-13,1.0070317017837475e-12,10.0,7.165631739781185e-12,8.069837958508901e-12,1.0233291116598203e-12,7.796698522448957e-13,1.5674385602883402e-12,7.580272900977755e-13,3.247912114602793e-12,4.654701188675725e-12,14.0,3.154687440997917e-13,3.441154608256072e-13,1.3458579022212117e-13,1.1087743535419196e-13,1.0898105259944296e-13,1.2152219630189165e-13,2.0062896793585135e-13,2.5966444571247133e-13
7.0,1.5228298636750525e-12,1.5273950756001304e-12,4.698488058982105e-13,3.5703100741302813e-13,4.4091419082067535e-13,4.815876889470354e-13,7.905524256777017e-13,9.133258164375125e-13,11.0,2.594773452360556e-12,3.0075004674691847e-12,4.5199856914797174e-13,4.1033941378583743e-13,5.489956879264029e-13,4.201442905434831e-13,1.32406270343878e-12,1.946845683088255e-12,15.0,2.723376968451069e-13,2.959742217589799e-13,1.170782187385663e-13,9.306549349107428e-14,9.410675987149604e-14,1.0303244962895408e-13,1.8271279990947309e-13,2.1222731671270604e-13
8.0,1.5984856480824405e-12,1.7320483840916424e-12,4.654316863470137e-13,3.235030540987597e-13,5.387557547384739e-13,4.2645131245620387e-13,8.142182965554165e-13,9.671997364489911e-13,12.0,6.233689942765945e-13,7.26393308377008e-13,2.3490315187417633e-13,2.0948696014285248e-13,2.0346832535438278e-13,2.4764518672992126e-13,3.705599274871434e-13,5.200715534934906e-13,16.0,2.586996070238481e-13,2.707008619602867e-13,1.063836379794347e-13,9.67127030597968e-14,9.07759504291967e-14,1.0750282668133107e-13,1.6303895521510568e-13,1.8568514910186327e-13
,,,,,,,,,,,,,,,,,,17.0,2.686279237490607e-13,2.6728031870580075e-13,1.0931614181034366e-13,9.495134786045252e-14,9.667906543351375e-14,1.0251586735086064e-13,1.5215297960900298e-13,1.7704901780055928e-13
,,,,,,,,,,,,,,,,,,18.0,3.0409337829304176e-13,3.040349074019035e-13,1.306282397140178e-13,1.0116829700588155e-13,1.2548761572709629e-13,1.111018279517447e-13,1.7312379357741894e-13,1.8485515112296804e-13
,,,,,,,,,,,,,,,,,,19.0,3.330846071187307e-13,3.4024039722243343e-13,1.3744492790310366e-13,1.0497055434088716e-13,1.375276880212775e-13,1.183169690027853e-13,1.8274734552920475e-13,2.129106931714018e-13
,,,,,,,,,,,,,,,,,,20.0,3.78663870050541e-13,3.4959087025729057e-13,1.183318176456393e-13,9.462575850790469e-14,1.0737222595708506e-13,1.0260446812220729e-13,1.8635585709786915e-13,2.3263525397817283e-13
,,,,,,,,,,,,,,,,,,21.0,3.367202079946876e-13,2.910210854602989e-13,9.538026224434326e-14,9.287803438256358e-14,8.395693586740341e-14,9.829534294482666e-14,1.293308938733938e-13,1.77915162287256e-13
,,,,,,,,,,,,,,,,,,22.0,3.0710065814710577e-13,2.8233630140442497e-13,8.978440868423756e-14,7.307623402748313e-14,7.959378505615998e-14,8.334804398019522e-14,1.1188175691179701e-13,1.424062376294403e-13
,,,,,,,,,,,,,,,,,,23.0,2.7098831879097586e-13,2.5027513787687184e-13,7.512176463225223e-14,6.241228758368954e-14,6.614102888003283e-14,6.954511592009639e-14,9.871294676107234e-14,1.1984586305453218e-13
,,,,,,,,,,,,,,,,,,24.0,2.37344948377902e-13,2.0377963611783106e-13,6.135213298590487e-14,5.6508482900241924e-14,5.5635402416767735e-14,6.121468607436426e-14,9.127551352452712e-14,9.854281172652713e-14
,,,,,,,,,,,,,,,,,,25.0,1.9259689389903327e-13,1.7011603694004974e-13,5.818973424356381e-14,5.1636474857171336e-14,5.159418748182042e-14,5.4089795144941004e-14,7.678056754951844e-14,8.871926327022777e-14
