freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,4.639663857075347e-12,4.695282561160134e-12,8.826036958753334e-13,7.495858160737428e-13,8.312583135863437e-13,1.14118891990107e-12,1.5046520277254917e-12,1.7353236086707378e-12,8.0,1.2555435007176999e-12,1.3220085745303786e-12,3.560632870727922e-13,2.440712498047733e-13,3.366670304332736e-13,2.995296558342123e-13,6.767817537096101e-13,7.316649959305371e-13,12.0,6.285393635876336e-13,4.845303260042071e-13,2.0787175160660775e-13,2.1529439180457815e-13,2.086313519275496e-13,2.0647623978455395e-13,4.3976445360948604e-13,4.0174872587704904e-13
5.0,2.6802434566866173e-12,2.691834661348836e-12,6.546436362794727e-13,5.633330272172791e-13,6.154603180482368e-13,6.699055972801995e-13,1.2787030999941293e-12,1.1051238498899616e-12,9.0,9.769503263323927e-13,9.787692201628716e-13,3.0989267396513353e-13,2.658765794249466e-13,2.9001730087159574e-13,2.8985168858044317e-13,4.648394408053473e-13,5.441768663965867e-13,13.0,5.498920977196373e-13,4.904743572499195e-13,1.980304768172214e-13,1.6820581019103039e-13,1.935118100467605e-13,1.8570023344175063e-13,4.638827794198345e-13,3.328527691065346e-13
6.0,2.0586976359913675e-12,2.0184523761495568e-12,5.867887844379271e-13,4.777193427158581e-13,5.584262238820427e-13,5.336670981198704e-13,9.955076723439355e-13,9.253993448393445e-13,10.0,7.74752373361582e-13,7.567693001890357e-13,2.3249997022099976e-13,2.274190353084839e-13,2.315497577224244e-13,2.6852625516824045e-13,4.5254718937489944e-13,5.466041944710864e-13,14.0,4.888634128059499e-13,4.833002659550861e-13,1.5264952482276672e-13,1.327001207484333e-13,1.482723985228762e-13,1.4545959429812733e-13,4.1637822017488704e-13,3.1908967013368446e-13
7.0,1.6235916389792563e-12,1.5794276294609133e-12,4.517487775790767e-13,3.466880872243485e-13,4.3665791872706547e-13,4.111414914004995e-13,7.670705301664852e-13,7.992891850560186e-13,11.0,6.746405805078036e-13,5.656855888076921e-13,2.1413601583203174e-13,2.2003374695243142e-13,2.0828770665254896e-13,2.321840516246438e-13,4.5011819732546116e-13,4.591746976641785e-13,15.0,4.319146400383091e-13,4.2047712703784986e-13,1.206157538346699e-13,1.1345619684131752e-13,1.138019293942707e-13,1.5292961570919952e-13,4.222015998694926e-13,3.117657396049861e-13
8.0,1.2555435007176999e-12,1.3220085745303786e-12,3.560632870727922e-13,2.440712498047733e-13,3.366670304332736e-13,2.995296558342123e-13,6.767817537096101e-13,7.316649959305371e-13,12.0,6.285393635876336e-13,4.845303260042071e-13,2.0787175160660775e-13,2.1529439180457815e-13,2.086313519275496e-13,2.0647623978455395e-13,4.3976445360948604e-13,4.0174872587704904e-13,16.0,4.987590561117135e-13,3.8705008473487436e-13,1.1457126857337347e-13,1.0940800932589755e-13,1.1247323373729478e-13,1.6359682502806087e-13,4.122392225088554e-13,2.9982867547777737e-13
,,,,,,,,,,,,,,,,,,17.0,4.418625005066898e-13,3.4548371803590875e-13,1.1789421813916244e-13,1.2103618824985117e-13,1.2030284229202973e-13,1.4725524328137013e-13,3.172051631533048e-13,2.381853905966402e-13
,,,,,,,,,,,,,,,,,,18.0,3.945763360191667e-13,2.9368609047930065e-13,1.206670978422384e-13,1.1787169800107054e-13,1.200905751495093e-13,1.4455896342450547e-13,3.135564434631591e-13,2.2945314864068164e-13
,,,,,,,,,,,,,,,,,,19.0,3.315308979706642e-13,2.6921258494827317e-13,9.680084399767941e-14,1.0572757773748148e-13,9.610543289925938e-14,1.3801578302504396e-13,2.904556201236524e-13,2.1437728463563908e-13
,,,,,,,,,,,,,,,,,,20.0,3.8939512871801373e-13,3.003111586895044e-13,1.0480131644244541e-13,9.854983943957944e-14,1.044737463154431e-13,1.3857011722405912e-13,3.126753538867752e-13,2.3654998489413366e-13
,,,,,,,,,,,,,,,,,,21.0,4.610623329828154e-13,3.0696399212731576e-13,1.0662525347957091e-13,9.22259774628024e-14,9.854724650113348e-14,1.2569650374457437e-13,3.2730311905422123e-13,2.3981721237501e-13
,,,,,,,,,,,,,,,,,,22.0,4.1042593466251713e-13,2.812912775523263e-13,8.748737879032707e-14,7.777342769720022e-14,8.388529857990046e-14,9.657264172013937e-14,2.8295567170853284e-13,2.3222642438344087e-13
,,,,,,,,,,,,,,,,,,23.0,4.056997313835542e-13,2.8281144150385644e-13,8.591262729476897e-14,8.033306280455631e-14,8.517608814041973e-14,9.768315477082773e-14,2.711203912503031e-13,2.554411378079709e-13
,,,,,,,,,,,,,,,,,,24.0,4.027772335707844e-13,2.709177977122572e-13,8.376462811608419e-14,8.073771922372028e-14,7.980015667536261e-14,1.1182781127875815e-13,2.350556223807959e-13,2.8543595508351537e-13
,,,,,,,,,,,,,,,,,,25.0,4.462052482886275e-13,2.877148863998954e-13,8.216459383296771e-14,7.400835751385274e-14,7.709692911716306e-14,1.0211648071353358e-13,2.8005120802139314e-13,2.2511579035459206e-13
,,,,,,,,,,,,,,,,,,26.0,4.247224821764531e-13,2.6101826554231404e-13,7.655135407649373e-14,7.04028492022273e-14,7.575333443285576e-14,1.0039592094264167e-13,3.061566956140416e-13,2.305498852670081e-13
,,,,,,,,,,,,,,,,,,27.0,3.5061293150441775e-13,2.390376870671502e-13,8.088162920318612e-14,7.706835874505662e-14,8.152403598825821e-14,9.583427005252066e-14,2.80885939081445e-13,2.4522339123023305e-13
