freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,4.047488257520983e-12,4.3564733982032925e-12,1.2631523914021222e-12,7.616263041860171e-13,9.15986837416185e-13,9.162868227271154e-13,1.430467841667502e-12,1.5883575345346893e-12,8.0,1.382937751627208e-12,1.159925241209156e-12,4.1670625371364625e-13,2.7867307639538727e-13,3.52008451487041e-13,3.2838852521703564e-13,6.257883742997823e-13,7.867231341267649e-13,12.0,9.861335975987995e-13,1.1029040494138813e-12,3.890265475220865e-13,2.323352708960955e-13,3.825171286005898e-13,2.535258296610758e-13,6.056011335729401e-13,1.1603329125229024e-12
5.0,2.766885591749619e-12,2.8045778977199253e-12,8.591799326435154e-13,5.30400673293591e-13,6.563943275588761e-13,6.697416692701201e-13,1.1257999957942209e-12,1.1243769182060202e-12,9.0,1.5252262072795939e-12,1.318892371261481e-12,3.9356021426916037e-13,2.3301527142140265e-13,3.5319343326015844e-13,2.9468209405693763e-13,9.952852926439489e-13,1.4952270800394709e-12,13.0,5.092884117711555e-13,5.343423890311547e-13,2.278291600841288e-13,1.7313178321503574e-13,2.329895348400567e-13,1.8554365192518636e-13,3.192336780329768e-13,4.874681755448794e-13
6.0,1.845596063926264e-12,1.7499335905602822e-12,5.527015380092925e-13,4.0191716843256227e-13,4.675152097320193e-13,5.104199542964397e-13,7.665193284598626e-13,8.121139314793985e-13,10.0,2.963106132220448e-12,3.028083260474947e-12,7.378859613384933e-13,2.998920183952292e-13,7.077555891640989e-13,3.316474534924362e-13,2.506069866568687e-12,5.232335781670186e-12,14.0,4.570529561717403e-13,4.240574998376074e-13,2.0783903945676536e-13,1.3716744772309366e-13,2.0290549857818575e-13,1.6698042749557304e-13,2.8151281916273944e-13,3.315199136784573e-13
7.0,1.3950321176554926e-12,1.332919333083961e-12,4.725922635613233e-13,3.084923260887151e-13,4.1416252559088314e-13,3.6285297944219805e-13,6.225887552426319e-13,7.131269191259119e-13,11.0,3.0896258048439047e-12,3.443963637704381e-12,7.928259999701722e-13,2.76319568327186e-13,7.96277244882665e-13,3.0751982588643064e-13,1.9566335704736652e-12,4.736413992135196e-12,15.0,4.71847305145851e-13,4.444195512587617e-13,1.5595496338564563e-13,1.2951787558260874e-13,1.58102546492867e-13,1.6346523268117827e-13,2.9273999520240765e-13,3.273233228065798e-13
8.0,1.382937751627208e-12,1.159925241209156e-12,4.1670625371364625e-13,2.7867307639538727e-13,3.52008451487041e-13,3.2838852521703564e-13,6.257883742997823e-13,7.867231341267649e-13,12.0,9.861335975987995e-13,1.1029040494138813e-12,3.890265475220865e-13,2.323352708960955e-13,3.825171286005898e-13,2.535258296610758e-13,6.056011335729401e-13,1.1603329125229024e-12,16.0,4.671621823237504e-13,4.796275311133181e-13,1.3441901199732022e-13,1.2920714296343962e-13,1.3727136334692383e-13,1.533199777195751e-13,2.853241189780301e-13,3.2167881498499326e-13
,,,,,,,,,,,,,,,,,,17.0,4.718420014112178e-13,3.852532207313312e-13,1.186855666290932e-13,1.2207721540054345e-13,1.2168043149509019e-13,1.3618194576548056e-13,2.852316298021738e-13,3.03939766760121e-13
,,,,,,,,,,,,,,,,,,18.0,4.602333892547731e-13,3.566846711966026e-13,1.1009288231571094e-13,1.1287816659487648e-13,1.0985815941841673e-13,1.265485841088456e-13,2.603792799091714e-13,2.7765261399324874e-13
,,,,,,,,,,,,,,,,,,19.0,4.950420832417719e-13,4.1890122963460105e-13,1.0950343835999545e-13,1.1019854497325944e-13,1.0985258984291313e-13,1.108186879018764e-13,2.7678639207639154e-13,3.130106347173324e-13
,,,,,,,,,,,,,,,,,,20.0,5.419128824373202e-13,4.1842752020718674e-13,1.0906775016838276e-13,1.0657889499556383e-13,1.061723950526803e-13,1.0376881448920763e-13,3.4727726103803314e-13,4.20905331738661e-13
,,,,,,,,,,,,,,,,,,21.0,5.485129343435869e-13,4.203119108620615e-13,1.311647231738662e-13,9.891069941630751e-14,1.2331626187683493e-13,1.1627317673202455e-13,3.2977904241313783e-13,4.77828603216664e-13
,,,,,,,,,,,,,,,,,,22.0,4.2327721084363494e-13,3.090097079170121e-13,1.064063060164974e-13,9.817306873841787e-14,9.810074715254798e-14,1.2510409146411032e-13,2.482387658594634e-13,3.0034782837813437e-13
,,,,,,,,,,,,,,,,,,23.0,3.690730860343384e-13,3.0911247000705684e-13,1.0054495809766435e-13,8.998049865383895e-14,9.54565210616776e-14,1.0521003863295005e-13,2.4009435667947605e-13,2.040728710732133e-13
,,,,,,,,,,,,,,,,,,24.0,4.574913522341265e-13,3.414104580342629e-13,8.752518383820714e-14,8.239809065938328e-14,8.764923164046743e-14,8.46887871260657e-14,2.277029088534456e-13,2.0213890837997045e-13
,,,,,,,,,,,,,,,,,,25.0,4.2367129701105434e-13,3.2183409581790386e-13,7.898513573408987e-14,8.109240296597587e-14,8.024802584291178e-14,7.752258234008862e-14,2.2130055393897386e-13,1.7725259548737374e-13
,,,,,,,,,,,,,,,,,,26.0,4.097655516440125e-13,2.6741633173438123e-13,6.891467629200393e-14,8.096999186111081e-14,6.932677326169602e-14,8.044830220401174e-14,2.1235732954639938e-13,1.5746101493342084e-13
,,,,,,,,,,,,,,,,,,27.0,3.3852679297720827e-13,2.125419712358771e-13,7.645988780873934e-14,8.092402763261516e-14,7.502553735801834e-14,8.758724207721555e-14,1.9544232094573622e-13,1.6542076520049022e-13
,,,,,,,,,,,,,,,,,,28.0,3.760974468892143e-13,2.2416047055161752e-13,7.754095605216306e-14,8.672731851566693e-14,7.699646955690197e-14,8.867466375457545e-14,2.4500998000833033e-13,1.8808190452701778e-13
,,,,,,,,,,,,,,,,,,29.0,3.7277147268833364e-13,2.882966010129495e-13,8.838297049921059e-14,1.0851011952091231e-13,8.700091198140455e-14,9.76055915104886e-14,2.862632603816242e-13,1.9562314575698564e-13
,,,,,,,,,,,,,,,,,,30.0,3.6070097239180696e-13,2.8392339548743856e-13,1.0264257492511313e-13,1.5470072217062395e-13,1.0106909472097087e-13,1.190921430162803e-13,2.502497000662668e-13,1.817214934899532e-13
