freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,2.3150368564358973e-12,2.3226474096416925e-12,6.879670085327918e-13,5.97794973581367e-13,6.867611018554513e-13,6.809977891751678e-13,1.221289991960997e-12,1.1213979694981775e-12,8.0,1.39124092351319e-12,1.5634286763489528e-12,4.992749922359445e-13,2.541364055228654e-13,5.020339712308813e-13,3.1845609059943096e-13,6.076492488722754e-13,7.179006301294245e-13,12.0,6.37358315053982e-13,6.881122533738265e-13,2.418598971018445e-13,1.9992934509529346e-13,2.4266166024529715e-13,2.0800727105484285e-13,3.0674183818639645e-13,5.303736173128157e-13
5.0,1.9985361148670257e-12,1.8448493909954332e-12,5.241225851968699e-13,4.56309148467643e-13,5.286732608663778e-13,5.081998365172542e-13,1.0006107899022809e-12,1.010288420146591e-12,9.0,3.029577839719036e-12,3.811867755687582e-12,1.4537443731411952e-12,4.162843001852744e-13,1.4656408477508754e-12,4.971291792570676e-13,8.704271122211426e-13,1.4256243385011398e-12,13.0,4.549744089634732e-13,4.654064631270913e-13,1.6895864391311936e-13,1.2563210654227162e-13,1.6914000919087954e-13,1.3650465058662684e-13,2.1752192732045388e-13,3.412092511382388e-13
6.0,1.625647982453572e-12,1.57974559933841e-12,4.1175477403730916e-13,3.590500453713992e-13,4.172225668504869e-13,4.064802058117301e-13,7.507667647379622e-13,7.84603782606171e-13,10.0,3.1385587997471497e-12,4.12145703635858e-12,1.5767867026174205e-12,4.979450629172154e-13,1.5909552098240899e-12,5.317820719799361e-13,9.033580734776677e-13,1.5387584320426023e-12,14.0,3.4889169231171957e-13,3.36795359007785e-13,1.3774915134090012e-13,1.0015813229768601e-13,1.3958852649588018e-13,1.0932721250070943e-13,1.7649020696916138e-13,2.3177015005474207e-13
7.0,1.353657681214826e-12,1.4612979146489882e-12,3.68203270056075e-13,2.638752245702321e-13,3.691147328001849e-13,3.354190305309741e-13,6.204752513401171e-13,6.718676457890022e-13,11.0,1.0684096425405314e-12,1.2574650435814507e-12,4.729853859100131e-13,2.8425200593871137e-13,4.74969393244344e-13,3.0182946591078927e-13,4.618790377884277e-13,8.185449782913061e-13,15.0,3.0036904365535094e-13,2.819179505337483e-13,1.1663285203324848e-13,9.767241524716846e-14,1.1909591421809847e-13,1.0285107607455196e-13,1.671656549465904e-13,1.8175824984176647e-13
8.0,1.39124092351319e-12,1.5634286763489528e-12,4.992749922359445e-13,2.541364055228654e-13,5.020339712308813e-13,3.1845609059943096e-13,6.076492488722754e-13,7.179006301294245e-13,12.0,6.37358315053982e-13,6.881122533738265e-13,2.418598971018445e-13,1.9992934509529346e-13,2.4266166024529715e-13,2.0800727105484285e-13,3.0674183818639645e-13,5.303736173128157e-13,16.0,2.888730431582985e-13,2.893070381487378e-13,1.1054619760522125e-13,9.984988326321923e-14,1.1429597831470697e-13,1.0107289748404361e-13,1.6892357142790291e-13,1.5576404712864627e-13
,,,,,,,,,,,,,,,,,,17.0,2.8421978281801415e-13,2.7541840142645165e-13,1.1039546288957467e-13,1.0319079343204208e-13,1.1217908578450436e-13,1.0555810499101755e-13,1.6319811004461648e-13,1.4564667081857821e-13
,,,,,,,,,,,,,,,,,,18.0,3.244371550280639e-13,3.1591768056529035e-13,1.3372633451911588e-13,1.0605284913897318e-13,1.358335367125311e-13,1.0881854620215865e-13,1.6089437181539358e-13,1.540178783133436e-13
,,,,,,,,,,,,,,,,,,19.0,3.8465387378476177e-13,3.9310620208966407e-13,1.7096114389176418e-13,1.2268822905269504e-13,1.7388245590952742e-13,1.2274600376590755e-13,1.8311501603424746e-13,1.7574695787348192e-13
,,,,,,,,,,,,,,,,,,20.0,3.4943395966241247e-13,3.466560203212946e-13,1.3023513043571632e-13,1.0517051394784082e-13,1.3189384192873505e-13,1.0372333950991855e-13,1.7784533703291218e-13,1.4766636981022324e-13
,,,,,,,,,,,,,,,,,,21.0,3.047456045181545e-13,2.966745641897738e-13,9.844343486805649e-14,8.217391247242153e-14,1.0046035176347322e-13,7.863838203740563e-14,1.5001221409165749e-13,1.0662293832559169e-13
