freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,2.2102014931331602e-12,9.330254011648697e-13,6.456167433601791e-12,1.9085642406097517e-12,1.939601535703145e-12,1.014791900753183e-12,7.176083114689928e-13,2.2468615019268236e-12,8.0,4.956296573027205e-13,2.4191101220296325e-13,1.652238566644376e-12,5.392085664263387e-13,5.098652739600447e-13,2.5344567413470715e-13,2.0055891884623617e-13,5.621265675946729e-13,12.0,2.3566995079577346e-13,1.2091290676929787e-13,8.599957131552668e-13,2.358769537864013e-13,2.487488898821159e-13,1.2848664600399247e-13,1.0854603457055181e-13,2.5386407339460744e-13
5.0,1.3450168595425885e-12,6.307748752559563e-13,4.536841922015989e-12,1.37858259575995e-12,1.2825498062241039e-12,6.669742724898816e-13,4.678154315186256e-13,1.499338351404447e-12,9.0,3.804382215661471e-13,1.9576887503950996e-13,1.2615556052144557e-12,3.9277618564740254e-13,3.9403026868711564e-13,2.1277618720132302e-13,1.5815009422567007e-13,4.2283090198976947e-13,13.0,2.107738160691907e-13,1.1227375250736815e-13,7.100523502915284e-13,2.0643742079288923e-13,2.14041705145434e-13,1.1442033645508969e-13,9.7256441339954e-14,2.490981660730141e-13
6.0,9.174306475019566e-13,4.4111831190807e-13,3.0486715418832364e-12,9.381536804919797e-13,9.134712677491965e-13,4.815186823858516e-13,3.5614707784845746e-13,1.0612979008504735e-12,10.0,3.07253312958931e-13,1.6927273890714604e-13,1.0959420229061827e-12,2.970294573928474e-13,2.9519419416547835e-13,1.8305880944536213e-13,1.2671228719847647e-13,3.768280598070993e-13,14.0,1.8122411363858865e-13,1.0608509263200493e-13,5.904436923077403e-13,1.7753205871398197e-13,1.8510298686603848e-13,1.1843802229992617e-13,9.093520898986223e-14,2.329788200319225e-13
7.0,6.158094060624332e-13,3.126423087352213e-13,2.1682634192266015e-12,6.892894062614905e-13,6.563465191656381e-13,3.325662009410438e-13,2.638565801715858e-13,7.223126360646795e-13,11.0,2.7995305678054673e-13,1.38534962780969e-13,9.359515841131956e-13,2.5858673610133603e-13,2.7031491821362027e-13,1.5785655522350781e-13,1.1431159734551384e-13,3.076382361650587e-13,15.0,1.5839605088332845e-13,1.0765322792889552e-13,5.451384046458412e-13,1.4795594066408995e-13,1.746133593263684e-13,1.1280436589818769e-13,8.054622421687132e-14,2.0819883839835217e-13
8.0,4.956296573027205e-13,2.4191101220296325e-13,1.652238566644376e-12,5.392085664263387e-13,5.098652739600447e-13,2.5344567413470715e-13,2.0055891884623617e-13,5.621265675946729e-13,12.0,2.3566995079577346e-13,1.2091290676929787e-13,8.599957131552668e-13,2.358769537864013e-13,2.487488898821159e-13,1.2848664600399247e-13,1.0854603457055181e-13,2.5386407339460744e-13,16.0,1.4724709646658012e-13,9.844690067123489e-14,4.938273352487344e-13,1.37620628370682e-13,1.4785989693980918e-13,9.785891409460071e-14,7.09616673656035e-14,1.8280710067078213e-13
,,,,,,,,,,,,,,,,,,17.0,1.3580835142065944e-13,8.365103489200532e-14,4.0889388844364673e-13,1.3791263619609418e-13,1.4005641286244128e-13,9.074314357297276e-14,6.200786445839949e-14,1.828151155194452e-13
,,,,,,,,,,,,,,,,,,18.0,1.2684741239074605e-13,7.908651994487685e-14,3.914426885762638e-13,1.3640745781163575e-13,1.3996315626013096e-13,8.999211872185973e-14,5.91472447746896e-14,1.7611673793463764e-13
,,,,,,,,,,,,,,,,,,19.0,1.1989136621349323e-13,6.650339431408283e-14,3.804316264021677e-13,1.3404405466240278e-13,1.384865950735894e-13,9.01077313981959e-14,6.022683595547858e-14,1.5972310602227537e-13
,,,,,,,,,,,,,,,,,,20.0,1.2162346337944945e-13,6.59347092842505e-14,3.7279683338650556e-13,1.3773986407578974e-13,1.2756940430596114e-13,9.691076691197252e-14,6.152407923701822e-14,1.7319199412441076e-13
,,,,,,,,,,,,,,,,,,21.0,1.197239224965784e-13,7.123443324149021e-14,3.432178217811082e-13,1.273340617709998e-13,1.2710055107323107e-13,1.0378818430959203e-13,6.83357143493687e-14,1.8508043682768735e-13
,,,,,,,,,,,,,,,,,,22.0,1.0629683243033111e-13,6.762736425843378e-14,3.1121320538088433e-13,1.1439354534165603e-13,1.2223063742693001e-13,9.644187677899389e-14,6.101039388637186e-14,1.7026767051937402e-13
,,,,,,,,,,,,,,,,,,23.0,1.0313527834793914e-13,7.118221757038973e-14,2.856810282467739e-13,1.0912405216531065e-13,1.0813347349215541e-13,7.720769646558603e-14,5.697672917483364e-14,1.5421120134529097e-13
,,,,,,,,,,,,,,,,,,24.0,9.854370375071206e-14,6.519087740578619e-14,2.6637075967486967e-13,1.0385491093341639e-13,1.141903673131377e-13,7.849110840661455e-14,5.850393377549202e-14,1.4821996035380983e-13
,,,,,,,,,,,,,,,,,,25.0,1.026133749641855e-13,6.072607669206661e-14,2.531278450341302e-13,9.450233847492773e-14,1.0816886676664764e-13,7.75535009381654e-14,5.819815166002e-14,1.405201473478905e-13
