freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2,freq,F3,F4,P5,P4,P3,P6,O1,O2
4.0,1.7982595966303642e-11,1.7480112706427783e-11,1.5133492503645633e-12,1.6052289503416218e-12,2.55940165541921e-12,1.858143401162828e-12,8.298876073528741e-12,7.851882075892839e-12,8.0,3.1652036426398604e-12,3.915208139007908e-12,5.864327882010662e-13,5.177279971116375e-13,8.518797795138355e-13,5.30705562346224e-13,1.9757769658808905e-12,2.1128848465275125e-12,12.0,1.7084736162714082e-12,1.870674547255921e-12,5.891297860754804e-13,3.626927221399718e-13,9.508409131985962e-13,3.699773677961653e-13,7.567976826288536e-13,1.856372872382027e-12
5.0,1.1163976322315295e-11,1.165599714532241e-11,1.055530936770082e-12,9.610516655321802e-13,1.9841865525341767e-12,1.0800937567968145e-12,4.988341554555784e-12,4.75010306468213e-12,9.0,1.926657940954063e-12,2.2763570603872306e-12,7.488297861327629e-13,6.944582987287957e-13,8.415230456396677e-13,7.001622738752744e-13,1.6699007736660342e-12,1.7509803111220177e-12,13.0,1.2187871448367756e-12,1.5272898085849262e-12,5.088486915073456e-13,2.856645667300048e-13,8.925203662872799e-13,2.99600230101624e-13,6.332780091011519e-13,1.6822910533749889e-12
6.0,8.155961538886923e-12,8.754707321652479e-12,7.994412834105462e-13,6.912580825564211e-13,1.5102184067141742e-12,7.584801879884819e-13,3.3591155542829802e-12,3.3886315872943317e-12,10.0,1.6714377305760434e-12,1.9469065060854375e-12,8.105845166953372e-13,7.572261522327709e-13,1.000465341368124e-12,7.614997261007647e-13,1.194699248494678e-12,1.6715215925391803e-12,14.0,1.0578785261356098e-12,1.1284551824145431e-12,4.170066312424949e-13,2.702297821051236e-13,7.410400414018041e-13,2.800916553963636e-13,5.516177664876027e-13,1.3967156197192374e-12
7.0,5.516645274426625e-12,5.726849771069717e-12,5.694511635811977e-13,5.806148881352022e-13,1.121286665577658e-12,5.977350778264731e-13,2.4688135088175776e-12,2.819564107706262e-12,11.0,1.7469029952262919e-12,1.8545539603344184e-12,6.996066626609377e-13,5.381427882144744e-13,1.0132181237595059e-12,5.413806799265861e-13,9.14609956004975e-13,1.6694579242513434e-12,15.0,1.065900691584451e-12,1.0417974964609845e-12,4.1625288302212346e-13,2.6852918270426687e-13,6.406559124549697e-13,2.8600675654166044e-13,5.508126256042617e-13,1.4749555139421371e-12
8.0,3.1652036426398604e-12,3.915208139007908e-12,5.864327882010662e-13,5.177279971116375e-13,8.518797795138355e-13,5.30705562346224e-13,1.9757769658808905e-12,2.1128848465275125e-12,12.0,1.7084736162714082e-12,1.870674547255921e-12,5.891297860754804e-13,3.626927221399718e-13,9.508409131985962e-13,3.699773677961653e-13,7.567976826288536e-13,1.856372872382027e-12,16.0,1.086280798055317e-12,1.0756311168064333e-12,4.094400705556156e-13,2.57217599195698e-13,5.277595344270144e-13,2.684172959223729e-13,5.163749153445186e-13,1.540721683233099e-12
,,,,,,,,,,,,,,,,,,17.0,1.0708449871088318e-12,1.1095251051013927e-12,4.1463199979775774e-13,2.469108516593988e-13,5.211099029637722e-13,2.5027912832673586e-13,5.299393552233212e-13,1.8017940525580874e-12
,,,,,,,,,,,,,,,,,,18.0,1.114453473403478e-12,9.836744308515893e-13,3.8379707000595594e-13,2.379541338277254e-13,4.4396807800522514e-13,2.380877796845666e-13,5.891892600393757e-13,1.6437723678774546e-12
,,,,,,,,,,,,,,,,,,19.0,1.0452526714909619e-12,9.522341972966008e-13,3.88986254965017e-13,2.4658723811155025e-13,4.088140448979912e-13,2.5063113675210525e-13,5.01150564189406e-13,1.6301483988818386e-12
,,,,,,,,,,,,,,,,,,20.0,1.0356932548670425e-12,8.870090733001037e-13,3.386715208016347e-13,2.3976370198920786e-13,3.7155229107870147e-13,2.441499570754911e-13,4.9975967510277e-13,1.421388036581836e-12
,,,,,,,,,,,,,,,,,,21.0,1.0743715457019292e-12,8.069210717395147e-13,2.794331364801873e-13,2.2335922142908599e-13,3.006335881817788e-13,2.306878650932161e-13,4.926729080848471e-13,1.4941992700048635e-12
